FSMtype	States	Inputs	Outputs	Reduced	StronglyConnected	AccessSmax	AccessSmean	AccessSmedian	AccessSvariance	SepSmax	SepSmean	SepSmedian	SepSvariance	noSVS	SVSmax	SVSmean	SVSmedian	SVSvariance	ADSmax	ADSmean	ADSmedian	ADSvariance	Filename
4	10	100	2	1	1	1	0.900000	1.000000	0.090000	1	1.000000	1.000000	0.000000	0	2	2.000000	2.000000	0.000000	5	3.600000	4.000000	0.840000	DFA_R10.fsm
4	100	100	2	1	1	2	1.350000	1.000000	0.247500	1	1.000000	1.000000	0.000000	0	4	3.840000	4.000000	0.134400	-1	-1	-1	-1	DFA_R100.fsm
4	100	100	2	1	1	2	1.340000	1.000000	0.244400	1	1.000000	1.000000	0.000000	0	4	3.920000	4.000000	0.073600	-1	-1	-1	-1	DFA_R100_08y7y.fsm
4	100	100	2	1	1	2	1.320000	1.000000	0.237600	1	1.000000	1.000000	0.000000	0	4	3.880000	4.000000	0.105600	-1	-1	-1	-1	DFA_R100_0ae4A.fsm
4	100	100	2	1	1	2	1.370000	1.000000	0.253100	1	1.000000	1.000000	0.000000	0	4	3.820000	4.000000	0.147600	-1	-1	-1	-1	DFA_R100_0aeqI.fsm
4	100	100	2	1	1	2	1.320000	1.000000	0.237600	1	1.000000	1.000000	0.000000	0	4	3.910000	4.000000	0.081900	-1	-1	-1	-1	DFA_R100_0c97F.fsm
4	100	100	2	1	1	2	1.360000	1.000000	0.250400	1	1.000000	1.000000	0.000000	0	4	3.930000	4.000000	0.065100	-1	-1	-1	-1	DFA_R100_0CHAC.fsm
4	100	100	2	1	1	2	1.330000	1.000000	0.241100	1	1.000000	1.000000	0.000000	0	4	3.920000	4.000000	0.073600	-1	-1	-1	-1	DFA_R100_0FgE9.fsm
4	100	100	2	1	1	2	1.290000	1.000000	0.225900	1	1.000000	1.000000	0.000000	0	4	3.570000	4.000000	0.245100	-1	-1	-1	-1	DFA_R100_0gC4W.fsm
4	100	100	2	1	1	2	1.350000	1.000000	0.247500	1	1.000000	1.000000	0.000000	0	4	3.820000	4.000000	0.147600	-1	-1	-1	-1	DFA_R100_0hO83.fsm
4	100	100	2	1	1	2	1.460000	2.000000	0.268400	1	1.000000	1.000000	0.000000	
