Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	Exploration	EE	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	4	50	18	2	19458	19458	14	147762	18437	0.124775	0	0	0.084271	L*	addAllPrefixesToS	0	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	16235	16235	18	122906	15367	0.125031	0	0	0.058920	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	16235	16235	18	122906	15367	0.125031	0	0	0.061892	L*	addSuffix1by1ToE	2	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	16252	16252	18	122968	15367	0.124967	0	0	0.063601	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	16278	16278	18	123130	15367	0.124803	0	0	0.062257	L*	addSuffixToE_binarySearch	4	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	27709	27709	2	244570	54513	0.222893	0	0	0.102205	OP	AllGlobally	5	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	19602	19602	2	144835	17069	0.117851	0	0	0.052594	OP	OneGlobally	6	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	18704	18704	2	137296	16220	0.118139	0	0	0.051856	OP	OneLocally	7	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	3773	3773	49	23340	1291	0.055313	0	0	0.009550	DT		8	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	1811	1811	49	12693	1291	0.101710	0	0	0.007298	TTT		9	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	17052	17052	2	127251	17069	0.134136	0	0	0.074096	Quotient		10	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	262752	262752	1	2222603	264381	0.118951	0	0	311.572063	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	1337	2016	44	10057	2015	0.200358	0	0	0.317014	Hlearner	ExtraStates:0+EQ	12	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	15595	31447	1	131769	31446	0.238645	0	0	4.807599	Hlearner	ExtraStates:1+EQ	13	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	1233	1960	33	9340	1959	0.209743	0	0	2.337382	SPYlearner	ExtraStates:0+EQ	15	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	16534	17296	1	125676	17295	0.137616	0	0	246.708878	SPYlearner	ExtraStates:1+EQ	16	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	1235	1955	38	9351	1954	0.208962	0	0	2.640439	Slearner	ExtraStates:0+EQ	18	TeacherDFSM		DFA_R50_peterson2.fsm
1	4	50	18	2	15455	17170	1	136982	17169	0.125338	0	0	28.522361	Slearner	ExtraStates:1+EQ	19	TeacherDFSM		DFA_R50_peterson2.fsm
