Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	Exploration	EE	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	4	664	32	2	2031058	2031058	68	25166790	3216103	0.127792	0	0	98.302596	L*	addAllPrefixesToS	0	TeacherDFSM		DFA_R664_pots2.fsm
1	4	664	32	2	3081168	3081168	64	44138601	8481683	0.192160	0	0	68.745022	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		DFA_R664_pots2.fsm
1	4	664	32	2	1551245	1551245	68	18621477	1976903	0.106163	0	0	78.039308	L*	addSuffix1by1ToE	2	TeacherDFSM		DFA_R664_pots2.fsm
1	4	664	32	2	1508894	1508894	69	18065605	1899456	0.105142	0	0	54.157817	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		DFA_R664_pots2.fsm
1	4	664	32	2	1508956	1508956	69	18065838	1899425	0.105139	0	0	55.603650	L*	addSuffixToE_binarySearch	4	TeacherDFSM		DFA_R664_pots2.fsm
1	4	664	32	2	7335188	7335188	36	117889394	22376558	0.189810	0	0	80.316324	OP	AllGlobally	5	TeacherDFSM		DFA_R664_pots2.fsm
1	4	664	32	2	1619814	1619814	41	19997123	1899378	0.094983	0	0	12.253536	OP	OneGlobally	6	TeacherDFSM		DFA_R664_pots2.fsm
1	4	664	32	2	779448	779448	399	8997911	688355	0.076502	0	0	4.979733	OP	OneLocally	7	TeacherDFSM		DFA_R664_pots2.fsm
1	4	664	32	2	151821	151821	661	1416183	64486	0.045535	0	0	1.171776	DT		8	TeacherDFSM		DFA_R664_pots2.fsm
1	4	664	32	2	73523	73523	580	805147	64545	0.080165	0	0	1.323934	TTT		9	TeacherDFSM		DFA_R664_pots2.fsm
1	4	664	32	2	1385800	1385800	41	16278835	1899310	0.116674	0	0	48.050810	Quotient		10	TeacherDFSM		DFA_R664_pots2.fsm
