Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	Exploration	EE	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	4	97	12	2	23235	23235	12	283013	21428	0.075714	0	0	0.192706	L*	addAllPrefixesToS	0	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	18654	18654	15	231119	17184	0.074351	0	0	0.138394	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	18655	18655	15	231131	17184	0.074347	0	0	0.161938	L*	addSuffix1by1ToE	2	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	18670	18670	16	231224	17184	0.074318	0	0	0.150146	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	18699	18699	16	231486	17184	0.074233	0	0	0.147511	L*	addSuffixToE_binarySearch	4	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	63670	63670	4	1056247	194472	0.184116	0	0	0.604962	OP	AllGlobally	5	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	21736	21736	4	269173	17184	0.063840	0	0	0.119196	OP	OneGlobally	6	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	18322	18322	18	224021	14010	0.062539	0	0	0.103224	OP	OneLocally	7	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	11805	11805	96	110183	2409	0.021864	0	0	0.050571	DT		8	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	3606	3606	94	43757	2409	0.055054	0	0	0.031499	TTT		9	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	16741	16741	4	206793	17184	0.083098	0	0	0.140127	Quotient		10	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	149591	149591	2	1944084	152312	0.078346	0	0	42.874645	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	2307	3173	78	28913	3172	0.109708	0	0	0.550084	Hlearner	ExtraStates:0+EQ	12	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	14254	28128	1	190634	28127	0.147545	0	0	5.424654	Hlearner	ExtraStates:1+EQ	13	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	2007	3616	68	25334	3615	0.142694	0	0	9.142029	SPYlearner	ExtraStates:0+EQ	15	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	15908	18231	1	203289	18230	0.089675	0	0	350.825668	SPYlearner	ExtraStates:1+EQ	16	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	2017	3553	65	25438	3552	0.139634	0	0	9.092060	Slearner	ExtraStates:0+EQ	18	TeacherDFSM		DFA_R97_sched4.fsm
1	4	97	12	2	14107	17597	1	178965	17596	0.098321	0	0	181.943739	Slearner	ExtraStates:1+EQ	19	TeacherDFSM		DFA_R97_sched4.fsm
