Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	Size	Exploration	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	4	1328	57	2	0	5600250	177837273	22707771	0.127688	95.504483	TS	W-method	0	DFA_R1328_peterson3.fsm
0	4	1328	57	2	0	6508614	210580921	28914925	0.137310	160.248576	TS	W-methodST	1	DFA_R1328_peterson3.fsm
0	4	1328	57	2	0	192696	5573026	603476	0.108285	10.689719	TS	Wp-method	2	DFA_R1328_peterson3.fsm
0	4	1328	57	2	0	281587	8601259	986999	0.114751	5.659279	TS	Wp-methodST	3	DFA_R1328_peterson3.fsm
0	4	1328	57	2	0	127722	3571964	211059	0.059088	1.555478	TS	HSI-method	4	DFA_R1328_peterson3.fsm
0	4	1328	57	2	0	114104	3252374	278177	0.085530	3.441661	TS	HSI-methodST	5	DFA_R1328_peterson3.fsm
0	4	1328	57	2	0	103233	2968107	224853	0.075756	6.731082	TS	H-method	6	DFA_R1328_peterson3.fsm
0	4	1328	57	2	0	122722	3483658	268791	0.077158	0.983209	TS	SPY-method	7	DFA_R1328_peterson3.fsm
0	4	1328	57	2	0	100445	2901797	239879	0.082666	2.656622	TS	SPY-methodST	8	DFA_R1328_peterson3.fsm
0	4	1328	57	2	0	97079	2664083	217743	0.081733	7.195716	TS	SPYH-method	9	DFA_R1328_peterson3.fsm
0	4	1328	57	2	0	93494	2690860	251119	0.093323	1112.219890	TS	S-method	10	DFA_R1328_peterson3.fsm
