Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	Size	Exploration	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	4	241	15	2	0	50383	1607614	86542	0.053833	0.294083	TS	W-method	0	DFA_R241_sched5.fsm
0	4	241	15	2	0	50383	1614846	93774	0.058070	0.341947	TS	W-methodST	1	DFA_R241_sched5.fsm
0	4	241	15	2	0	9013	281640	15526	0.055127	0.138930	TS	Wp-method	2	DFA_R241_sched5.fsm
0	4	241	15	2	0	9033	283582	16032	0.056534	0.122243	TS	Wp-methodST	3	DFA_R241_sched5.fsm
0	4	241	15	2	0	7467	245826	12108	0.049254	0.058633	TS	HSI-method	4	DFA_R241_sched5.fsm
0	4	241	15	2	0	8105	266109	20605	0.077431	0.104484	TS	HSI-methodST	5	DFA_R241_sched5.fsm
0	4	241	15	2	0	7139	241853	17267	0.071395	0.088212	TS	H-method	6	DFA_R241_sched5.fsm
0	4	241	15	2	0	6522	219664	17457	0.079471	0.041603	TS	SPY-method	7	DFA_R241_sched5.fsm
0	4	241	15	2	0	6275	212055	16853	0.079475	0.081926	TS	SPY-methodST	8	DFA_R241_sched5.fsm
0	4	241	15	2	0	5909	195007	15601	0.080002	0.109557	TS	SPYH-method	9	DFA_R241_sched5.fsm
0	4	241	15	2	0	5969	205405	22349	0.108805	3.526519	TS	S-method	10	DFA_R241_sched5.fsm
0	4	241	15	2	1	755758	25625721	1298167	0.050659	3.836848	TS	W-method	0	DFA_R241_sched5.fsm
0	4	241	15	2	1	755758	25734203	1406649	0.054661	4.385915	TS	W-methodST	1	DFA_R241_sched5.fsm
0	4	241	15	2	1	107069	3506262	195534	0.055767	1.071948	TS	Wp-method	2	DFA_R241_sched5.fsm
0	4	241	15	2	1	107153	3517874	202862	0.057666	0.637648	TS	Wp-methodST	3	DFA_R241_sched5.fsm
0	4	241	15	2	1	61398	2081596	121015	0.058136	0.369419	TS	HSI-method	4	DFA_R241_sched5.fsm
0	4	241	15	2	1	64260	2178981	144877	0.066488	0.402998	TS	HSI-methodST	5	DFA_R241_sched5.fsm
0	4	241	15	2	1	58391	1999595	130287	0.065157	0.326382	TS	H-method	6	DFA_R241_sched5.fsm
0	4	241	15	2	1	47513	1630821	134333	0.082371	0.237751	TS	SPY-method	7	DFA_R241_sched5.fsm
0	4	241	15	2	1	48098	1651662	133171	0.080628	0.277366	TS	SPY-methodST	8	DFA_R241_sched5.fsm
0	4	241	15	2	1	56812	1929454	129603	0.067171	0.639352	TS	SPYH-method	9	DFA_R241_sched5.fsm
0	4	241	15	2	1	57737	1983821	146579	0.073887	32.012909	TS	S-method	10	DFA_R241_sched5.fsm
0	4	241	15	2	2	11336383	407058576	19472542	0.047837	66.617945	TS	W-method	0	DFA_R241_sched5.fsm
0	4	241	15	2	2	11336383	408685808	21099774	0.051628	74.343419	TS	W-methodST	1	DFA_R241_sched5.fsm
0	4	241	15	2	2	1532389	53073505	2837863	0.053470	15.556652	TS	Wp-method	2	DFA_R241_sched5.fsm
0	4	241	15	2	2	1532615	53192235	2946597	0.055395	8.661533	TS	Wp-methodST	3	DFA_R241_sched5.fsm
0	4	241	15	2	2	785032	27864627	1656710	0.059456	4.507321	TS	HSI-method	4	DFA_R241_sched5.fsm
0	4	241	15	2	2	794703	28211881	1718033	0.060897	4.218920	TS	HSI-methodST	5	DFA_R241_sched5.fsm
0	4	241	15	2	2	777290	27632146	1679151	0.060768	2.963404	TS	H-method	6	DFA_R241_sched5.fsm
0	4	241	15	2	2	672136	23996298	1711791	0.071336	3.255867	TS	SPY-method	7	DFA_R241_sched5.fsm
0	4	241	15	2	2	672639	24015889	1707141	0.071084	3.642105	TS	SPY-methodST	8	DFA_R241_sched5.fsm
0	4	241	15	2	2	760815	27108147	1677623	0.061886	5.902898	TS	SPYH-method	9	DFA_R241_sched5.fsm
0	4	241	15	2	2	759976	27129840	1709229	0.063002	488.209347	TS	S-method	10	DFA_R241_sched5.fsm
