Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	Size	Exploration	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	4	664	32	2	0	1210529	27488730	2400472	0.087326	9.261350	TS	W-method	0	DFA_R664_pots2.fsm
0	4	664	32	2	0	1529264	38332785	6076549	0.158521	26.967693	TS	W-methodST	1	DFA_R664_pots2.fsm
0	4	664	32	2	0	82968	1759493	167649	0.095283	2.359645	TS	Wp-method	2	DFA_R664_pots2.fsm
0	4	664	32	2	0	139916	3395350	615799	0.181365	1.957561	TS	Wp-methodST	3	DFA_R664_pots2.fsm
0	4	664	32	2	0	66192	1460311	101668	0.069621	0.491581	TS	HSI-method	4	DFA_R664_pots2.fsm
0	4	664	32	2	0	54180	1228940	164493	0.133849	0.983424	TS	HSI-methodST	5	DFA_R664_pots2.fsm
0	4	664	32	2	0	42862	997744	107935	0.108179	1.597253	TS	H-method	6	DFA_R664_pots2.fsm
0	4	664	32	2	0	62917	1440407	152617	0.105954	0.365620	TS	SPY-method	7	DFA_R664_pots2.fsm
0	4	664	32	2	0	47033	1107631	143461	0.129521	0.885447	TS	SPY-methodST	8	DFA_R664_pots2.fsm
0	4	664	32	2	0	48813	1054123	123031	0.116714	2.634618	TS	SPYH-method	9	DFA_R664_pots2.fsm
0	4	664	32	2	0	43881	1055837	167291	0.158444	211.400641	TS	S-method	10	DFA_R664_pots2.fsm
