States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	24	23	10	25	24	10	26	25	10	28	26	12	32	29	16	26.25	25.65	11.01
20	68	62	20	71	69	20	73	71	24	75	73	25	87	86	31	73.38	71.04	23.29
30	119	109	32	124	123	36	127	125	40	129	128	42	156	148	50	127.01	125.16	39.69
40	178	171	45	183	181	50.75	185.5	184	54.5	189	186.25	58	205	213	66	186.41	184.08	54.41
50	237	219	58	244	242	66	248	245	70	252	249	74	269	272	86	248.52	245.32	70.33
60	302	278	71	310	306	78	314	311	83	318	314	87	341	338	96	314.49	309.49	83.09
70	366	350	84	377	370.75	93	381	377.5	98	385	382.25	102	405	396	115	381.46	376.12	98.06
80	434	418	99	445	442	108	449	446.5	113	454	451	118	475	475	133	450.46	445.98	113.46
90	507	483	112	518	503.75	123	522	513	128	528	519	132	548	535	150	523.24	510.85	128
100	578	543	120	590	581.75	136	594	589	141	599.25	594	147	611	611	159	594.91	586.35	141.12
150	955	906	197	971.75	951.75	213	976	966	218	982	976	225	1005	997	235	976.93	962.35	218.46
200	1359	1266	269	1374	1348	288	1380	1362	297	1388	1374	304	1415	1396	320	1381.12	1359.81	295.97
300	2210	2067	421	2222	2174.75	440	2229	2195	449	2237.25	2218.5	456	2261	2253	485	2230.05	2194.09	448.6
400	3089	2945	565	3110	3062.5	592	3118	3089	603	3130.25	3108.25	614.25	3159	3142	642	3120.59	3082.42	603.24
600	4950	4822	854	4973.5	4900.75	899	4985	4934	909.5	4997	4966.25	926.25	5028	5023	967	4984.79	4930.12	912.57
800	6863	6575	1171	6897	6799.25	1209	6916	6837	1226	6935.25	6871.5	1241.25	6974	6953	1282	6915.48	6834.5	1225.21
1000	8821	8560	1481	8874.5	8765.75	1519.75	8888	8808	1540	8908.25	8856.5	1553.25	8942	8920	1595	8891.16	8802.86	1537.76
