States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	0.000027	0.000045	0.000086	0.00003075	0.000059	0.000094	0.000039	0.000069	0.000104	0.000047	0.0000855	0.000114	0.000082	0.000467	0.000448	0.00003965	0.00007839	0.00011159
20	0.000082	0.000142	0.000329	0.000086	0.000165	0.00034975	0.000088	0.0001745	0.000362	0.000092	0.00019575	0.000384	0.000124	0.000403	0.000592	0.00008986	0.00018802	0.00037637
30	0.000154	0.000275	0.000735	0.00016875	0.000314	0.00077575	0.0001725	0.000333	0.000804	0.000179	0.00035225	0.00084125	0.000239	0.000599	0.001067	0.00017601	0.00033868	0.00081429
40	0.000262	0.000439	0.001291	0.000279	0.000496	0.0013755	0.000288	0.0005165	0.001422	0.00029825	0.000538	0.001463	0.000352	0.000751	0.001808	0.00029143	0.00052099	0.00143868
50	0.0004	0.000641	0.001996	0.00041375	0.000699	0.0021	0.0004255	0.000732	0.0021435	0.000436	0.000756	0.00220325	0.000493	0.001105	0.002694	0.000428	0.00074013	0.00217744
60	0.000534	0.000873	0.002927	0.0005595	0.000928	0.00306975	0.000576	0.0009555	0.0031135	0.00059975	0.0009925	0.003191	0.001406	0.007377	0.003974	0.00059548	0.00103912	0.00315458
70	0.000748	0.001144	0.004028	0.00079675	0.00124075	0.00424075	0.000828	0.0012885	0.004341	0.0008735	0.0013525	0.00447075	0.00096	0.001597	0.008871	0.00083512	0.00130034	0.00441835
80	0.000952	0.001416	0.005193	0.000987	0.0014975	0.0054035	0.000999	0.00154	0.0055045	0.00102025	0.001568	0.00559925	0.001119	0.001711	0.008485	0.00100745	0.00153805	0.00554475
90	0.001236	0.001745	0.006624	0.001269	0.0018525	0.00683325	0.001291	0.001892	0.0069525	0.001311	0.00192725	0.007061	0.001442	0.002087	0.008123	0.00129329	0.00189241	0.00697635
100	0.001507	0.002086	0.008413	0.001548	0.00220225	0.008699	0.0015645	0.0022375	0.008814	0.00159425	0.002302	0.00893475	0.001818	0.002474	0.020009	0.00157702	0.00225476	0.00902818
150	0.003297	0.004255	0.018966	0.0034845	0.004439	0.0198175	0.00352	0.004526	0.0199685	0.00356525	0.004617	0.020224	0.007463	0.00483	0.020978	0.00360947	0.00453522	0.02001719
200	0.005659	0.007385	0.034582	0.00608075	0.00756125	0.0363205	0.006156	0.007646	0.036638	0.006217	0.00771925	0.03704775	0.006707	0.008146	0.039075	0.0061659	0.00764714	0.03672712
300	0.01479	0.017432	0.085685	0.016594	0.01889925	0.0891545	0.017467	0.0198015	0.091621	0.01818125	0.02082675	0.09262375	0.02024	0.022861	0.096276	0.0174152	0.01995463	0.0909478
400	0.024808	0.029432	0.155882	0.02795925	0.0306855	0.1608625	0.0284035	0.0313595	0.164732	0.028985	0.03225525	0.16769225	0.034814	0.036976	0.175765	0.02857604	0.03158947	0.1644577
600	0.065984	0.06779	0.381225	0.07041275	0.0732755	0.395456	0.0724635	0.076095	0.40944	0.07507625	0.078877	0.41860925	0.085806	0.098317	0.432827	0.07301488	0.07663399	0.40806713
800	0.111478	0.107037	0.697864	0.1200165	0.112356	0.7348275	0.123504	0.1170195	0.747328	0.12691325	0.12023	0.77148075	0.15363	0.135129	0.805883	0.12445759	0.11741403	0.75141729
1000	0.174696	0.165625	1.086057	0.17809425	0.17299075	1.1194325	0.1815145	0.1768285	1.144563	0.183682	0.180737	1.15526475	0.188674	0.203705	1.182769	0.18120018	0.17827044	1.13863416
