States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2	SeqAvg_0	SeqAvg_1	SeqAvg_2
10	48	48	58	50	50	60	52	52	62	56.5	56	66	96	136	150	55.4	56.08	65.88	25.27	24.08	11.57
20	136	136	156	143.5	142	162	146	147	166	154	152	176	228	216	206	150.1	149.9	170.86	67.71	65.7	26.04
30	242	238	270	254	252	286	258	260	294	266.5	272	310	422	364	376	263.88	263.84	299.3	116.53	113.02	40.78
40	360	364	400	372	376	418	382	383	430	396	394.5	450.5	552	542	582	387.88	389.6	442.02	167.73	161.25	55.68
50	484	486	536	503.5	504	553.5	513	517	566	530	538.5	594	716	666	814	521.74	524.6	582.18	220.55	214.01	71.66
60	614	614	682	644	646	700	656	658	712	672	674	738	758	792	934	661.34	662.6	725.72	275.04	267.78	86.78
70	754	746	820	788	792	851.5	804	806	864	820.5	822	894.5	994	932	1142	810.96	812.34	879.34	330.88	324.39	100.86
80	902	906	968	938	942	1006	954	957	1026	974.5	972	1056.5	1130	1058	1206	962.52	959.92	1035.64	387.11	378.57	114.93
90	1064	1054	1132	1096	1100	1157.5	1120	1121	1174	1144.5	1140	1202.5	1210	1222	1502	1122.96	1119.7	1187.58	444.88	437.55	130.5
100	1210	1222	1288	1266	1265.5	1322	1286	1285	1343	1312	1308	1372	1536	1422	1508	1292.9	1289.34	1350.4	502.58	497.89	146.69
150	2094	2060	2128	2173.5	2134	2170	2207	2154	2191	2234	2188.5	2220	2386	2330	2354	2208.82	2161.26	2197.34	808.84	803.66	224.63
200	3132	3034	3002	3214	3109.5	3051	3256	3146	3086	3312	3184	3118	3558	3314	3390	3270.96	3146.6	3095.58	1139.78	1136.96	300.04
300	5566	5134	4890	5733.5	5235.5	4947.5	5762	5271	4987	5834	5326	5034.5	6150	5536	5238	5784.82	5282.14	4996.94	1875.81	1830.57	455.44
400	8466	7350	6852	8617.5	7556	6951	8686	7628	7004	8766.5	7696	7054	8986	7804	7256	8696.4	7622.06	7009.32	2696.74	2582.41	607.65
600	15238	12266	10964	15479	12481.5	11145	15593	12588	11226	15715.5	12681	11267	16102	12998	11520	15618.88	12578.02	11214.66	4580.11	4108.89	922.4
800	23044	17444	15382	23388	17844	15535	23543	17913	15589	23735	18036.5	15699.5	24282	18394	16066	23557.5	17942.08	15618.1	6700.38	5741.91	1235.94
1000	31774	23078	19930	32161.5	23390	20068	32326	23507	20143	32482	23645	20242	33044	23942	20622	32327.94	23511.18	20168.02	9016.72	7401.14	1545.45
