States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	0.000019	0.000026	0.000046	0.000022	0.000031	0.00005	0.0000245	0.000034	0.000052	0.000026	0.000036	0.000054	0.000034	0.000047	0.000062	0.00002439	0.00003358	0.00005215
20	0.000054	0.000077	0.000169	0.000059	0.00008575	0.000181	0.0000625	0.000089	0.000188	0.000068	0.000093	0.000193	0.00008	0.000104	0.000204	0.00006369	0.00008936	0.00018691
30	0.000106	0.000144	0.000357	0.00011	0.000154	0.000385	0.000112	0.000157	0.000393	0.000113	0.00016125	0.000401	0.000123	0.000175	0.000436	0.00011202	0.00015793	0.00039331
40	0.000181	0.000239	0.000628	0.000189	0.000251	0.000659	0.0001925	0.0002555	0.0006675	0.000198	0.000261	0.00068425	0.000216	0.000284	0.000707	0.00019354	0.00025627	0.00067
50	0.000265	0.000342	0.000983	0.000272	0.000353	0.001015	0.000275	0.000357	0.00103	0.00028125	0.000364	0.00104525	0.000314	0.00042	0.00111	0.00027837	0.00035901	0.00103056
60	0.000366	0.000458	0.001392	0.00037875	0.000476	0.001447	0.0003825	0.000483	0.001472	0.000387	0.000491	0.00149425	0.000407	0.000521	0.001555	0.00038282	0.00048385	0.00147108
70	0.000493	0.000606	0.00189	0.000503	0.000618	0.00196875	0.000507	0.0006235	0.0019965	0.000513	0.000632	0.0020305	0.000524	0.000695	0.002108	0.00050778	0.00062599	0.00200085
80	0.000676	0.000774	0.002443	0.00069175	0.000792	0.002555	0.000703	0.0007995	0.002593	0.000714	0.000809	0.00261875	0.000751	0.000839	0.002723	0.00070432	0.00080107	0.00259215
90	0.00084	0.000958	0.003161	0.000854	0.00097675	0.0032375	0.000861	0.000985	0.0032745	0.000872	0.00099525	0.003323	0.000938	0.001032	0.003417	0.00086579	0.00098584	0.00327902
100	0.001027	0.00117	0.003909	0.00105925	0.001192	0.0040225	0.001086	0.001201	0.00408	0.001096	0.001212	0.004124	0.001127	0.001251	0.004292	0.00107861	0.00120296	0.00407975
150	0.002398	0.002612	0.008848	0.002439	0.00265175	0.00908675	0.002504	0.002665	0.00916	0.002548	0.0026905	0.00924225	0.002663	0.002815	0.013671	0.00250296	0.00267531	0.00925918
200	0.004184	0.004352	0.016487	0.00426225	0.00444975	0.01674325	0.0043025	0.0045215	0.016858	0.00434325	0.00458625	0.01695625	0.004907	0.00524	0.020847	0.00431783	0.00455581	0.01696177
300	0.009724	0.01015	0.038893	0.0102365	0.010519	0.03946	0.010631	0.0109265	0.0396475	0.01101825	0.01127375	0.03982	0.016868	0.012201	0.04519	0.01071549	0.0109498	0.03989271
400	0.02052	0.020258	0.073046	0.02199925	0.02231925	0.0739645	0.0225935	0.022895	0.07457	0.0230055	0.02352825	0.0754275	0.040403	0.046807	0.115602	0.02333106	0.02373516	0.07654319
600	0.043433	0.042125	0.178976	0.0475895	0.04695025	0.18321975	0.0487095	0.048533	0.186498	0.050195	0.050556	0.1898935	0.059914	0.061548	0.203037	0.04899065	0.04893293	0.18725678
800	0.085201	0.079361	0.317207	0.08787175	0.0816425	0.32410875	0.089098	0.083712	0.3469	0.08977775	0.08671125	0.34894375	0.093024	0.093636	0.354868	0.0889563	0.08438369	0.3396304
1000	0.139599	0.139407	0.555789	0.1428435	0.14574525	0.572585	0.144424	0.148325	0.576164	0.14720825	0.151846	0.581387	0.151553	0.158543	0.608411	0.14481162	0.14872769	0.57756396
