States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	10	10	10	10	10	10	12	12	10	12	12	10	17	17	10	11.93	11.84	10
20	26	26	20	30	29	20	32	32	20	33	33	20	38	37	20	31.61	31.3	20
30	45	45	30	52	52	30	55	54	30	57	56	30	64	63	30	54.83	54.37	30
40	71	70	40	78	78	40	80	80	40	83	83	40	93	90	40	80.68	80.37	40
50	98	99	50	104	103.75	50	107	106.5	50	111	110	50	121	119	50	107.48	106.94	50
60	122	121	60	132	131	60	134	134	60	138.25	138	60	148	150	60	134.92	134.52	60
70	155	153	70	161	161	70	165	164.5	70	168.25	168.25	70	179	183	70	165.19	164.8	70
80	181	183	80	192	191	80	195	194.5	80	199	198	80	209	209	80	195.63	195.01	80
90	214	210	90	223	222	90	226	226	90	231	230	90	241	245	90	226.93	226.25	90
100	244	243	100	254	253	100	259	259	100	264	263	100	275	275	100	258.3	257.97	100
150	407	406	150	418	418.75	150	424	424	150	430	429	150	451	451	150	424.3	423.93	150
200	580	586	200	598	598.75	200	604	604	200	610	610	200	624	621	204	603.79	603.83	200.1
300	954	955	300	973	972	300	979	978	300	987	986.25	300	1004	1007	304	979.89	979.05	300.4
400	1350	1342	400	1367	1369	400	1376.5	1379	402	1384	1386	402	1407	1414	406	1376.24	1377.97	401.57
600	2172	2175	600	2204	2204	602.75	2217.5	2214.5	606	2227	2223.25	608	2265	2255	614	2215.87	2213.38	605.5
800	3055	3040	800	3086.75	3081.75	807.5	3097	3093	810	3109	3108.25	814	3150	3140	821	3098.6	3094.81	810.17
1000	3962	3963	1006	3992.75	3994	1012	4007.5	4008	1016	4020.75	4022	1020	4056	4047	1031	4007.95	4007.26	1015.35
