States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2	SeqAvg_0	SeqAvg_1	SeqAvg_2
10	17	17	24	19	19	26	22	22	28	23	23	30	28	28	40	21.89	21.69	28.16	11.94	11.84	10
20	52	48	64	60	58	70	63	62	73	66	66	76	76	80	89	62.9	62.14	73.61	31.59	31.21	20
30	88	88	108	102	102	115.75	108	108	119	112	112	122	126	126	132	107.75	107.07	118.86	53.85	53.51	30
40	140	138	156	154	152	165	158	158	171	166	164	176	182	178	197	159.67	158.11	170.67	79.81	79.03	40
50	186	196	209	209.5	208	218	214	212	223	220	220	229	246	242	243	214.56	213.86	223.79	107.17	106.82	50
60	246	242	255	264	264	272	270	270	277.5	280	278	284	302	296	300	271.46	270.84	277.67	135.49	135.2	60.06
70	310	310	310	324	324	330	330	329	337	336	336	343.25	366	364	360	330.76	329.94	336.54	165.22	164.82	70.02
80	364	364	368	382	380	387	390	390	391	396	396	399	424	420	421	390	388.84	392.72	194.81	194.24	80.04
90	428	428	422	448	446	444.75	456	455	451	462.5	462.5	462.25	492	480	483	455.62	454.7	452.33	227.55	227.06	90.06
100	484	494	477	506	503.5	505.75	513	512	514	528.5	526	524.25	560	548	546	517.24	515.58	514.51	258.22	257.42	100.04
150	802	812	798	840	838	822.75	850	849	833	862	860	843	896	886	872	850.46	848.54	833.07	424.26	423.28	150.3
200	1160	1164	1130	1187.5	1188	1161	1201	1196	1169	1212	1210	1177.25	1256	1252	1206	1200.6	1198.55	1169.13	598.96	597.93	200.72
300	1910	1912	1835	1939.5	1935.5	1869	1952	1956	1880	1972	1974	1890.75	2012	2012	1925	1956.59	1955.36	1879.9	974.79	974.22	301.93
400	2698	2678	2551	2727.5	2724	2598	2743	2740	2612.5	2766	2760.5	2626.5	2820	2808	2658	2747.02	2742.32	2612.92	1367.28	1364.88	404.03
600	4338	4330	4068	4398	4388	4117	4416	4410.5	4134	4436	4438	4150	4506	4510	4198	4418.73	4411.35	4134.14	2196.19	2192.7	609.04
800	6073	6050	5563	6142	6131	5676	6166.5	6163	5696	6191	6182	5716	6250	6236	5800	6164.52	6157.42	5694.71	3058.47	3054.98	815.01
1000	7886	7851	7194	7950.75	7940.75	7297.75	7973.5	7962.5	7321.5	7993	7981.25	7350	8116	8079	7419	7974.85	7964.04	7321.46	3948.59	3943.55	1021.77
