States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	0.000025	0.000038	0.000053	0.000033	0.00004375	0.000059	0.000036	0.000046	0.0000615	0.00003825	0.000049	0.000065	0.000047	0.000082	0.00009	0.00003571	0.00004737	0.00006271
20	0.000054	0.000085	0.000189	0.00005675	0.00009775	0.000206	0.000058	0.0001085	0.0002165	0.00006	0.000127	0.00023325	0.000083	0.000149	0.00027	0.00005937	0.00011177	0.00022034
30	0.000106	0.000159	0.000344	0.000113	0.00019875	0.00039175	0.000116	0.00022	0.000407	0.00012	0.000226	0.000417	0.000141	0.00025	0.000445	0.00011739	0.00021236	0.00040338
40	0.000177	0.000245	0.000612	0.000182	0.0003135	0.00066675	0.000185	0.000321	0.000683	0.00019	0.00032925	0.000697	0.000222	0.000359	0.00072	0.00018778	0.00031903	0.0006805
50	0.000261	0.000383	0.000954	0.000267	0.00043	0.00098875	0.000273	0.0004375	0.001001	0.00028025	0.000443	0.00101	0.000304	0.000472	0.001069	0.00027478	0.00043703	0.0010003
60	0.000364	0.000534	0.001329	0.000399	0.00057475	0.00140475	0.000429	0.0005935	0.001416	0.00046125	0.000647	0.00143825	0.000531	0.000726	0.001537	0.00043423	0.00061051	0.00142304
70	0.000462	0.000682	0.001836	0.000507	0.0007435	0.00188875	0.000515	0.0007735	0.001908	0.00053025	0.000797	0.00192825	0.000674	0.000937	0.002061	0.0005293	0.0007735	0.00191316
80	0.000682	0.000891	0.00235	0.000703	0.00094	0.0024525	0.000713	0.000966	0.002484	0.0007285	0.00098925	0.002518	0.000864	0.00111	0.002629	0.00071862	0.00096597	0.00248573
90	0.000865	0.001098	0.002917	0.00089975	0.00115075	0.0029805	0.0009695	0.0011835	0.0030215	0.0010375	0.00122425	0.00306825	0.001272	0.001327	0.006847	0.00098144	0.00118836	0.00306435
100	0.001035	0.001294	0.003653	0.00105375	0.00133975	0.003772	0.0010725	0.0013765	0.0038255	0.0011105	0.0014205	0.003905	0.001467	0.006183	0.004133	0.00110075	0.00143075	0.00383586
150	0.002413	0.002743	0.008328	0.00275975	0.0029175	0.00864925	0.0030435	0.0031155	0.008865	0.003444	0.00342575	0.00906525	0.004737	0.005758	0.009801	0.00316997	0.00328217	0.00887395
200	0.004139	0.004496	0.014906	0.004241	0.0046285	0.01551275	0.004404	0.0047375	0.015684	0.0046335	0.004874	0.01610325	0.005521	0.027055	0.036622	0.00449367	0.00530016	0.0169967
300	0.009678	0.009655	0.033816	0.011148	0.011116	0.034825	0.0124315	0.012737	0.035955	0.01367525	0.0141795	0.039723	0.021796	0.025092	0.048735	0.01273396	0.01319558	0.03737268
400	0.019142	0.021914	0.062924	0.02348625	0.0249025	0.06556875	0.0241255	0.025702	0.0675995	0.0247365	0.02649625	0.06978375	0.032027	0.033432	0.077789	0.02417782	0.02565163	0.06787113
600	0.052733	0.049965	0.16131	0.056783	0.057822	0.16476725	0.058578	0.059499	0.167803	0.06129225	0.06262225	0.17004975	0.087258	0.083369	0.196937	0.05986254	0.06095979	0.16990462
800	0.083725	0.085843	0.302236	0.09562225	0.09112675	0.314531	0.1000605	0.0940205	0.316842	0.10279475	0.097603	0.319057	0.138376	0.150519	0.519562	0.10033483	0.09738488	0.32584757
1000	0.135215	0.126565	0.467338	0.13971775	0.13924025	0.47392475	0.1428115	0.14188	0.477013	0.145043	0.14531575	0.479709	0.149913	0.152421	0.489771	0.14242097	0.14201613	0.47702716
