States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	17	17	10	20	20	10	21	21	10	22	22	10	25	28	14	20.99	20.78	10.2
20	44	45	20	49	49	20	51	50	20	52.25	52	22	58	62	26	50.74	50.76	21.2
30	76	77	30	82	82	32	84	84	32	86	86	34	92	94	40	83.78	84.03	32.92
40	109	112	40	117	117	42	120	119	44	122	122	46	133	129	55	119.51	119.37	44.54
50	148	146	50	154	153	54	157	156	56	160	159	58.25	171	167	70	156.89	155.91	56.6
60	183	175	62	192	190	66	194	193	68	197	196	71	213	203	77	194.38	192.65	68.48
70	225	215	70	231	230	78	235	233	80	239	237	83	247	253	93	235.1	233.67	80.29
80	261	253	82	269	267	90	272	271	92	276	275	95.25	287	286	106	272.72	271.11	92.54
90	299	286	94	310	308	101.75	313	313	104	317	317	108	329	328	116	313.37	312.03	104.23
100	341	323	106	352.75	351	113	356	355	116	359	359	120.25	371	371	134	355.89	354.81	116.82
150	550	524	161	563	561.75	173	567	567	178	573	571	181.25	583	583	199	567.32	565.16	177.48
200	773	739	217	783	781	232	788	786	237	795.25	793	241	805	809	260	789.31	785.55	236.13
300	1230	1194	334	1245.75	1243	349.75	1253.5	1251	354	1260	1258	359.25	1290	1290	382	1253.71	1250.3	354.45
400	1704	1670	455	1722	1719.75	466	1731.5	1727	472	1737.5	1735	479	1758	1752	492	1731.11	1727.25	472.26
600	2670	2632	683	2703.75	2698.75	707	2715	2708.5	714.5	2722	2717	721	2756	2749	744	2713.1	2707.63	713.55
800	3691	3668	908	3709.75	3706	946.75	3719	3713	954	3726	3719.25	964.25	3757	3752	985	3718.42	3713.19	953.86
1000	4700	4657	1155	4725	4719	1184	4734	4731	1193	4742.25	4742	1206.25	4772	4779	1222	4733.35	4729.04	1194.43
