States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2	SeqAvg_0	SeqAvg_1	SeqAvg_2
10	17	17	18	20	20	19	21	21	21	22	22	22	26	28	28	21.05	20.84	20.99	20.99	20.78	10.2
20	44	45	46	49	49	50	51	50	52	53	52	55	59	62	65	50.88	50.9	52.37	50.74	50.76	21.2
30	76	77	75	82	82	82	84	84	85	86	86	90	92	98	100	84.04	84.29	85.88	83.78	84.03	32.92
40	109	112	110	117	117	118	120	120	121	122	122	125.25	133	129	138	119.89	119.75	121.95	119.51	119.37	44.54
50	148	148	148	155	154	157	157	156.5	160	161	159	164.25	171	167	180	157.65	156.67	161.02	156.89	155.91	56.6
60	185	181	185	192	192	197	195	194.5	200	199	197	205	213	204	226	195.6	194.17	200.86	194.38	192.65	68.48
70	225	223	224	232.75	232	235	237	236	239	241	239.25	245.25	250	255	266	236.94	235.9	240.81	235.1	233.67	80.29
80	263	263	267	271.75	271	278	275	274	282	279	277	290	291	288	319	275.02	274.32	284.34	272.72	271.11	92.54
90	299	301	308	312	311	319	315	316	324	320	320	331	331	331	363	315.81	315.11	325.57	313.37	312.03	104.23
100	345	345	342	355	354	364	359	358	369	363	363	375.25	376	374	406	359.1	358.46	370.07	355.89	354.81	116.82
150	556	554	566	568	569	585.75	574	573	593	580	579	601	596	593	623	574.58	574.28	594.06	567.32	565.16	177.48
200	784	776	785	795	793	817	801	799	827	808	805	832	821	820	866	801.13	799.16	825.45	789.31	785.55	236.13
300	1261	1256	1281	1274	1272	1305	1283	1278	1317.5	1288	1286	1327	1326	1326	1379	1282.13	1279.77	1317.8	1253.71	1250.3	354.45
400	1756	1751	1790	1771.75	1768	1815	1781	1778	1826.5	1790	1786	1843.5	1810	1803	1873	1780.84	1777.77	1828.61	1731.11	1727.25	472.26
600	2791	2784	2836	2816.75	2811.5	2886.25	2824.5	2819	2900.5	2837.25	2832	2919	2881	2865	2955	2827.29	2821.55	2901.5	2713.1	2707.63	713.55
800	3852	3856	3935	3895.75	3888	3982.5	3914	3901	4000.5	3924.25	3916.25	4019	3969	3955	4088	3912.55	3901.7	4001.23	3718.42	3713.19	953.86
1000	4978	4952	5062	5024.75	5006.75	5118.75	5041.5	5027	5141.5	5057.25	5041.25	5166	5109	5092	5214	5040.72	5024.82	5142.95	4733.35	4729.04	1194.43
