States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	0.000021	0.00003	0.000046	0.000027	0.000035	0.00005375	0.00003	0.000038	0.000056	0.000033	0.00004125	0.00006025	0.000042	0.000057	0.000072	0.00002966	0.00003884	0.00005722
20	0.000056	0.000077	0.000165	0.000059	0.000084	0.000186	0.00006	0.0000895	0.0001935	0.000062	0.000095	0.000202	0.0001	0.000118	0.000234	0.00006099	0.00009057	0.00019519
30	0.000111	0.000153	0.000378	0.000117	0.00016575	0.00040875	0.000121	0.000173	0.000421	0.00012625	0.000184	0.00044225	0.000155	0.000218	0.000474	0.00012305	0.00017503	0.00042458
40	0.00018	0.000232	0.000716	0.000186	0.00025475	0.000757	0.000191	0.000264	0.0007785	0.0002	0.000272	0.00080225	0.000247	0.000298	0.000876	0.00019398	0.00026425	0.00077999
50	0.000267	0.000343	0.001064	0.000279	0.000371	0.001092	0.0002845	0.000379	0.0011175	0.000297	0.000393	0.001144	0.000373	0.000429	0.001268	0.00029055	0.00038229	0.00112353
60	0.000369	0.000463	0.001514	0.00037975	0.0005	0.001593	0.000387	0.0005115	0.0016205	0.00039525	0.000527	0.00164625	0.000455	0.000555	0.001728	0.00038919	0.00051271	0.00162181
70	0.000493	0.000619	0.002076	0.000511	0.00064775	0.00214675	0.0005175	0.00066	0.002189	0.00053325	0.0006765	0.0022285	0.000613	0.000734	0.002302	0.00052423	0.00066348	0.00218885
80	0.000687	0.000809	0.002782	0.000722	0.000844	0.00289175	0.0007405	0.00086	0.0029425	0.00076325	0.00087625	0.00299775	0.000873	0.000955	0.003223	0.00074488	0.0008628	0.00294585
90	0.000864	0.001004	0.003507	0.00088275	0.00103925	0.0036055	0.0008925	0.001049	0.003653	0.000903	0.00106175	0.00370175	0.000996	0.001102	0.003965	0.00089442	0.00105002	0.00365926
100	0.001086	0.001204	0.004243	0.001128	0.00124275	0.004461	0.001139	0.0012545	0.004529	0.00115475	0.0012745	0.0045915	0.001294	0.001333	0.011233	0.00114492	0.0012591	0.00459282
150	0.002324	0.002616	0.009988	0.00247275	0.00267825	0.01022225	0.002502	0.002712	0.0103525	0.00254525	0.00275225	0.01051075	0.002714	0.00299	0.014141	0.00250712	0.00271809	0.01044404
200	0.004832	0.005097	0.018458	0.005038	0.0053665	0.0188435	0.0051285	0.005513	0.019077	0.0053045	0.0056945	0.01930125	0.008381	0.008392	0.021851	0.00526193	0.00557234	0.0190983
300	0.009172	0.009567	0.043991	0.00993675	0.01007875	0.04476775	0.010347	0.0103305	0.0451705	0.01194425	0.012059	0.04558875	0.012821	0.013265	0.046565	0.01086976	0.0109341	0.04516445
400	0.01892	0.018675	0.07927	0.020391	0.0205575	0.081184	0.0209305	0.0212705	0.083567	0.02148175	0.0217925	0.08617125	0.025531	0.024973	0.09081	0.02100567	0.02130865	0.08374251
600	0.038681	0.037654	0.185417	0.0439365	0.043143	0.19271025	0.0460035	0.045928	0.195735	0.0480205	0.0483055	0.20071025	0.05061	0.051934	0.206318	0.04579822	0.04563293	0.19652358
800	0.081136	0.081074	0.343798	0.08394475	0.08394	0.3574005	0.085889	0.085413	0.3729175	0.08724925	0.087213	0.38381675	0.090651	0.0927	0.389788	0.08563045	0.08587222	0.3705143
1000	0.12308	0.117624	0.55577	0.12648875	0.12405375	0.57244	0.1283405	0.1267895	0.5785605	0.1295095	0.12915625	0.58449375	0.14633	0.150841	0.594482	0.12805615	0.12695934	0.57742483
