States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	10	10	10	12	10	10	12	12	10	14	12	10	17	17	12	12.57	11.9	10.1
20	26	22	20	30	28	20	32	31	20	35	34	20	49	38	24	32.64	31.06	20.3
30	47	47	30	53	51.75	30	56.5	55.5	30	59.25	58	32	66	62	36	56.43	54.78	30.87
40	72	71	40	78.75	77	40	82	80	42	86	84	42	91	95	46	81.86	80.53	41.58
50	99	97	50	106	103.75	50	111	107	52	114	110	54	122	122	59	110.5	107.11	52.12
60	127	122	60	133.75	131	60	137.5	134.5	62	140.25	138	64	162	146	72	137.65	134.42	63.09
70	154	151	70	163	161	72	167	165	74	170.25	169	76	189	183	86	167.73	165.36	74.1
80	178	182	80	192	191	84	196.5	194.5	84	202	200.25	86	212	209	97	197.05	195.14	85.01
90	211	212	90	223	222	94	227	226	96	232	229	98	253	247	108	227.76	225.82	96.03
100	243	239	100	255	253	104	261	257	108	264.25	261	111	282	283	118	260.29	257.52	108.03
150	405	402	152	421	417.75	162	425.5	423	165	431	429	168.25	452	448	184	425.97	423.29	165.77
200	578	578	208	596	592	220	601	597.5	223.5	608	606	229	629	622	245	601.81	598.89	224.56
300	951	948	328	970	965.75	338	977	974	345	984	984	350	1004	1001	367	977.65	974.2	343.95
400	1333	1332	440	1362.75	1355	456	1373.5	1366.5	462.5	1382	1377.25	470	1406	1411	504	1371.89	1366.52	463.66
600	2164	2109	666	2192.75	2175.75	696	2201.5	2190.5	706	2211	2201.25	716	2250	2247	743	2201.71	2188.63	706.27
800	3012	2979	901	3051	3035.75	932	3061.5	3052	944.5	3073	3065	955	3103	3095	983	3061.8	3047.93	943.93
1000	3886	3848	1133	3939.75	3926	1168	3956	3940.5	1182	3970.25	3954.25	1193.25	3998	3991	1246	3954.05	3938.04	1182.11
