States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2	SeqAvg_0	SeqAvg_1	SeqAvg_2
10	18	17	24	21	19	28	22	22	30	26	23	32	31	31	38	23.02	21.68	29.56	12.57	11.9	10.1
20	52	44	64	60	56	78	64	61	80	70	67.25	86	101	77	104	65.02	61.86	81.8	32.64	31.06	20.3
30	94	94	124	107.5	103.5	136	114	112	140	119.25	116	146	132	124	168	113.13	109.83	140.96	56.43	54.78	30.87
40	144	142	178	158	154	194	164	162	202	172	168	210	182	190	236	163.96	161.36	202.38	81.86	80.53	41.58
50	198	194	246	212	208	258	222	214	266	230	220	272	246	244	306	221.36	214.98	266.6	110.5	107.11	52.12
60	256	250	308	268	262	324	276	270	332	282	276	342	328	294	372	276.22	269.88	333.42	137.65	134.42	63.09
70	308	302	382	328	323.5	395.5	335	330	404	342	340	414	378	366	434	336.26	331.72	405.1	167.73	165.36	74.1
80	356	364	444	384	382	468	394	390	476	404	400.5	484.5	424	418	534	395.36	391.54	476.62	197.05	195.14	85.01
90	422	424	518	446	445.5	537.5	456	452	548	464	460	560	506	494	600	456.68	452.96	549.46	227.76	225.82	96.03
100	486	478	578	510	507.5	618	522	516	627	532	524	638	564	566	672	521.9	516.58	627.9	260.29	257.52	108.03
150	818	812	968	844	840	997.5	852	849	1019	864.5	860.5	1040	904	900	1086	855.62	850.78	1020.34	425.97	423.29	165.77
200	1164	1164	1378	1195.5	1188	1415	1207	1202	1437	1220	1218	1454	1262	1254	1508	1208.8	1203.86	1436.94	601.81	598.89	224.56
300	1918	1914	2246	1949.5	1946	2301.5	1966	1958	2321	1982.5	1980	2338	2036	2014	2404	1966.82	1961.7	2321.04	977.65	974.2	343.95
400	2682	2696	3134	2741.5	2736	3213.5	2762	2757	3242	2780.5	2780	3277	2836	2834	3336	2763.28	2758.78	3244.44	1371.89	1366.52	463.66
600	4378	4352	5036	4433.5	4414	5153.5	4453	4435	5190	4476.5	4458.5	5214.5	4548	4534	5366	4454.36	4436.42	5182.98	2201.71	2188.63	706.27
800	6100	6100	6996	6177	6164	7165	6201	6187	7194	6230	6211	7237.5	6298	6270	7392	6202.34	6186.32	7200.18	3061.8	3047.93	943.93
1000	7908	7894	9104	8000	7995.5	9216.5	8038	8024	9262	8068	8045.5	9304	8154	8146	9428	8036.94	8021.64	9265.54	3954.05	3938.04	1182.11
