FSMtype	States	Inputs	Outputs	Sequences	Symbols	Seconds	Algorithm	AlgId	fileName
4	90	5	2	452	1138	0.001442	ShortestSeparatingSequences	0	DFA_R90_5.fsm
4	90	5	2	425	1134	0.001985	SeparatingSequencesFromSplittingTree	1	DFA_R90_5.fsm
4	90	5	2	146	1238	0.006846	SplittingTreeBased	2	DFA_R90_5.fsm
4	90	5	2	441	1126	0.001291	ShortestSeparatingSequences	0	DFA_R90_5_IyXb5.fsm
4	90	5	2	445	1156	0.001977	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_IyXb5.fsm
4	90	5	2	128	1166	0.006985	SplittingTreeBased	2	DFA_R90_5_IyXb5.fsm
4	90	5	2	459	1192	0.001361	ShortestSeparatingSequences	0	DFA_R90_5_Effn0.fsm
4	90	5	2	435	1144	0.001862	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_Effn0.fsm
4	90	5	2	126	1174	0.007030	SplittingTreeBased	2	DFA_R90_5_Effn0.fsm
4	90	5	2	443	1100	0.001324	ShortestSeparatingSequences	0	DFA_R90_5_iH91D.fsm
4	90	5	2	411	1072	0.001894	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_iH91D.fsm
4	90	5	2	124	1180	0.007003	SplittingTreeBased	2	DFA_R90_5_iH91D.fsm
4	90	5	2	438	1094	0.001310	ShortestSeparatingSequences	0	DFA_R90_5_IjEod.fsm
4	90	5	2	446	1098	0.001861	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_IjEod.fsm
4	90	5	2	123	1166	0.007087	SplittingTreeBased	2	DFA_R90_5_IjEod.fsm
4	90	5	2	445	1096	0.001260	ShortestSeparatingSequences	0	DFA_R90_5_CiGK3.fsm
4	90	5	2	421	1088	0.001909	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_CiGK3.fsm
4	90	5	2	131	1144	0.006848	SplittingTreeBased	2	DFA_R90_5_CiGK3.fsm
4	90	5	2	457	1148	0.001333	ShortestSeparatingSequences	0	DFA_R90_5_wH5Bo.fsm
4	90	5	2	442	1134	0.001940	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_wH5Bo.fsm
4	90	5	2	133	1224	0.007177	SplittingTreeBased	2	DFA_R90_5_wH5Bo.fsm
4	90	5	2	444	1068	0.001256	ShortestSeparatingSequences	0	DFA_R90_5_JenNC.fsm
4	90	5	2	433	1054	0.001927	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_JenNC.fsm
4	90	5	2	127	1184	0.007073	SplittingTreeBased	2	DFA_R90_5_JenNC.fsm
4	90	5	2	435	1082	0.001275	ShortestSeparatingSequences	0	DFA_R90_5_ClzoK.fsm
4	90	5	2	427	1082	0.001894	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_ClzoK.fsm
4	90	5	2	116	1168	0.007031	SplittingTreeBased	2	DFA_R90_5_ClzoK.fsm
4	90	5	2	433	1114	0.001275	ShortestSeparatingSequences	0	DFA_R90_5_bSlj2.fsm
4	90	5	2	422	1084	0.001906	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_bSlj2.fsm
4	90	5	2	137	1192	0.006966	SplittingTreeBased	2	DFA_R90_5_bSlj2.fsm
4	90	5	2	440	1082	0.001313	ShortestSeparatingSequences	0	DFA_R90_5_uXS1R.fsm
4	90	5	2	442	1086	0.001762	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_uXS1R.fsm
4	90	5	2	128	1134	0.006734	SplittingTreeBased	2	DFA_R90_5_uXS1R.fsm
4	90	5	2	448	1156	0.001354	ShortestSeparatingSequences	0	DFA_R90_5_jH1rV.fsm
4	90	5	2	445	1148	0.001972	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_jH1rV.fsm
4	90	5	2	125	1202	0.007236	SplittingTreeBased	2	DFA_R90_5_jH1rV.fsm
4	90	5	2	443	1090	0.001318	ShortestSeparatingSequences	0	DFA_R90_5_bGosv.fsm
4	90	5	2	434	1066	0.001849	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_bGosv.fsm
4	90	5	2	109	1150	0.006952	SplittingTreeBased	2	DFA_R90_5_bGosv.fsm
4	90	5	2	441	1082	0.001246	ShortestSeparatingSequences	0	DFA_R90_5_LNPYu.fsm
4	90	5	2	424	1094	0.001958	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_LNPYu.fsm
4	90	5	2	139	1164	0.006752	SplittingTreeBased	2	DFA_R90_5_LNPYu.fsm
4	90	5	2	444	1092	0.001297	ShortestSeparatingSequences	0	DFA_R90_5_6Rgco.fsm
4	90	5	2	439	1074	0.001863	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_6Rgco.fsm
4	90	5	2	125	1170	0.006944	SplittingTreeBased	2	DFA_R90_5_6Rgco.fsm
4	90	5	2	449	1118	0.001252	ShortestSeparatingSequences	0	DFA_R90_5_qG3Ql.fsm
4	90	5	2	432	1142	0.001890	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_qG3Ql.fsm
4	90	5	2	126	1198	0.007000	SplittingTreeBased	2	DFA_R90_5_qG3Ql.fsm
4	90	5	2	453	1154	0.001320	ShortestSeparatingSequences	0	DFA_R90_5_OySI1.fsm
4	90	5	2	450	1128	0.001825	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_OySI1.fsm
4	90	5	2	128	1168	0.006876	SplittingTreeBased	2	DFA_R90_5_OySI1.fsm
4	90	5	2	442	1106	0.001255	ShortestSeparatingSequences	0	DFA_R90_5_c8Cjx.fsm
4	90	5	2	438	1128	0.001968	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_c8Cjx.fsm
4	90	5	2	149	1304	0.007226	SplittingTreeBased	2	DFA_R90_5_c8Cjx.fsm
4	90	5	2	444	1104	0.001272	ShortestSeparatingSequences	0	DFA_R90_5_o8YOz.fsm
4	90	5	2	459	1112	0.001957	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_o8YOz.fsm
4	90	5	2	133	1184	0.007056	SplittingTreeBased	2	DFA_R90_5_o8YOz.fsm
4	90	5	2	455	1150	0.001284	ShortestSeparatingSequences	0	DFA_R90_5_n1fSZ.fsm
4	90	5	2	431	1128	0.001853	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_n1fSZ.fsm
4	90	5	2	125	1214	0.007129	SplittingTreeBased	2	DFA_R90_5_n1fSZ.fsm
4	90	5	2	433	1090	0.001269	ShortestSeparatingSequences	0	DFA_R90_5_G7jbV.fsm
4	90	5	2	424	1136	0.001892	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_G7jbV.fsm
4	90	5	2	122	1238	0.007228	SplittingTreeBased	2	DFA_R90_5_G7jbV.fsm
4	90	5	2	439	1098	0.001307	ShortestSeparatingSequences	0	DFA_R90_5_ad5Fa.fsm
4	90	5	2	441	1114	0.001920	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_ad5Fa.fsm
4	90	5	2	126	1176	0.006971	SplittingTreeBased	2	DFA_R90_5_ad5Fa.fsm
4	90	5	2	444	1124	0.001279	ShortestSeparatingSequences	0	DFA_R90_5_dCpBL.fsm
4	90	5	2	452	1158	0.001893	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_dCpBL.fsm
4	90	5	2	130	1152	0.006857	SplittingTreeBased	2	DFA_R90_5_dCpBL.fsm
4	90	5	2	439	1076	0.001298	ShortestSeparatingSequences	0	DFA_R90_5_Olh6e.fsm
4	90	5	2	440	1086	0.001839	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_Olh6e.fsm
4	90	5	2	118	1142	0.006867	SplittingTreeBased	2	DFA_R90_5_Olh6e.fsm
4	90	5	2	450	1120	0.001236	ShortestSeparatingSequences	0	DFA_R90_5_tgdER.fsm
4	90	5	2	418	1094	0.001929	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_tgdER.fsm
4	90	5	2	120	1156	0.006958	SplittingTreeBased	2	DFA_R90_5_tgdER.fsm
4	90	5	2	444	1096	0.001247	ShortestSeparatingSequences	0	DFA_R90_5_lTkQ8.fsm
4	90	5	2	436	1068	0.001844	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_lTkQ8.fsm
4	90	5	2	138	1158	0.006735	SplittingTreeBased	2	DFA_R90_5_lTkQ8.fsm
4	90	5	2	440	1080	0.001312	ShortestSeparatingSequences	0	DFA_R90_5_jxxZE.fsm
4	90	5	2	448	1100	0.001745	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_jxxZE.fsm
4	90	5	2	132	1148	0.006624	SplittingTreeBased	2	DFA_R90_5_jxxZE.fsm
4	90	5	2	432	1106	0.001311	ShortestSeparatingSequences	0	DFA_R90_5_bgymi.fsm
4	90	5	2	423	1128	0.001963	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_bgymi.fsm
4	90	5	2	136	1178	0.006868	SplittingTreeBased	2	DFA_R90_5_bgymi.fsm
4	90	5	2	428	1074	0.001352	ShortestSeparatingSequences	0	DFA_R90_5_sfQUT.fsm
4	90	5	2	435	1106	0.001941	SeparatingSequencesFromSplittingTree	1	DFA_R90_5_sfQUT.fsm
4	90	5	2	132	1166	0.006983	SplittingTreeBased	2	DFA_R90_5_sfQUT.fsm
