FSMtype	States	Inputs	Outputs	Sequences	Symbols	Seconds	Algorithm	AlgId	fileName
1	600	5	5	2193	4412	0.046957	ShortestSeparatingSequences	0	DFSM_R600_5.fsm
1	600	5	5	2189	4402	0.054974	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5.fsm
1	600	5	5	608	4164	0.166549	SplittingTreeBased	2	DFSM_R600_5.fsm
1	600	5	5	2184	4390	0.045817	ShortestSeparatingSequences	0	DFSM_R600_5_UOmHE.fsm
1	600	5	5	2195	4412	0.047346	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_UOmHE.fsm
1	600	5	5	612	4144	0.165557	SplittingTreeBased	2	DFSM_R600_5_UOmHE.fsm
1	600	5	5	2214	4462	0.044472	ShortestSeparatingSequences	0	DFSM_R600_5_9mBIs.fsm
1	600	5	5	2211	4454	0.045838	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_9mBIs.fsm
1	600	5	5	608	4126	0.165179	SplittingTreeBased	2	DFSM_R600_5_9mBIs.fsm
1	600	5	5	2191	4420	0.045265	ShortestSeparatingSequences	0	DFSM_R600_5_6Nl0T.fsm
1	600	5	5	2198	4428	0.044586	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_6Nl0T.fsm
1	600	5	5	607	4113	0.164697	SplittingTreeBased	2	DFSM_R600_5_6Nl0T.fsm
1	600	5	5	2203	4435	0.052813	ShortestSeparatingSequences	0	DFSM_R600_5_sbBrD.fsm
1	600	5	5	2192	4411	0.045330	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_sbBrD.fsm
1	600	5	5	612	4095	0.163759	SplittingTreeBased	2	DFSM_R600_5_sbBrD.fsm
1	600	5	5	2174	4370	0.045161	ShortestSeparatingSequences	0	DFSM_R600_5_ua5Qj.fsm
1	600	5	5	2198	4418	0.045441	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_ua5Qj.fsm
1	600	5	5	614	4131	0.164951	SplittingTreeBased	2	DFSM_R600_5_ua5Qj.fsm
1	600	5	5	2225	4474	0.044557	ShortestSeparatingSequences	0	DFSM_R600_5_lE25u.fsm
