FSMtype	States	Inputs	Outputs	Sequences	Symbols	Seconds	Algorithm	AlgId	fileName
2	80	5	5	277	277	0.000796	ShortestSeparatingSequences	0	Mealy_R80_5.fsm
2	80	5	5	268	268	0.000843	SeparatingSequencesFromSplittingTree	1	Mealy_R80_5.fsm
2	80	5	5	82	280	0.002338	SplittingTreeBased	2	Mealy_R80_5.fsm
2	80	5	5	274	274	0.000674	ShortestSeparatingSequences	0	Mealy_R80_5_a2Msn.fsm
2	80	5	5	275	275	0.000839	SeparatingSequencesFromSplittingTree	1	Mealy_R80_5_a2Msn.fsm
2	80	5	5	95	298	0.002417	SplittingTreeBased	2	Mealy_R80_5_a2Msn.fsm
2	80	5	5	272	272	0.000677	ShortestSeparatingSequences	0	Mealy_R80_5_HFI6u.fsm
2	80	5	5	269	269	0.000833	SeparatingSequencesFromSplittingTree	1	Mealy_R80_5_HFI6u.fsm
2	80	5	5	86	303	0.002469	SplittingTreeBased	2	Mealy_R80_5_HFI6u.fsm
2	80	5	5	272	276	0.000669	ShortestSeparatingSequences	0	Mealy_R80_5_T6xzL.fsm
2	80	5	5	264	268	0.000858	SeparatingSequencesFromSplittingTree	1	Mealy_R80_5_T6xzL.fsm
2	80	5	5	90	282	0.002356	SplittingTreeBased	2	Mealy_R80_5_T6xzL.fsm
2	80	5	5	272	272	0.000671	ShortestSeparatingSequences	0	Mealy_R80_5_uJ9pO.fsm
2	80	5	5	279	279	0.000801	SeparatingSequencesFromSplittingTree	1	Mealy_R80_5_uJ9pO.fsm
2	80	5	5	86	280	0.002332	SplittingTreeBased	2	Mealy_R80_5_uJ9pO.fsm
2	80	5	5	270	272	0.000671	ShortestSeparatingSequences	0	Mealy_R80_5_gCvjP.fsm
2	80	5	5	266	268	0.000791	SeparatingSequencesFromSplittingTree	1	Mealy_R80_5_gCvjP.fsm
2	80	5	5	101	285	0.002292	SplittingTreeBased	2	Mealy_R80_5_gCvjP.fsm
2	80	5	5	268	270	0.000658	ShortestSeparatingSequences	0	Mealy_R80_5_c7CZl.fsm
2	80	5	5	267	269	0.000825	SeparatingSequencesFromSplittingTree	1	Mealy_R80_5_c7CZl.fsm
2	80	5	5	99	286	0.002336	SplittingTreeBased	2	Mealy_R80_5_c7CZl.fsm
2	80	5	5	273	277	0.000657	ShortestSeparatingSequences	0	Mealy_R80_5_XDxUt.fsm
2	80	5	5	273	277	0.000814	SeparatingSequencesFromSplittingTree	1	Mealy_R80_5_XDxUt.fsm
2	80	5	5	90	276	0.002311	SplittingTreeBased	2	Mealy_R80_5_XDxUt.fsm
