Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	Exploration	EE	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	4	200	5	2	20018	20018	1	188573	23122	0.122616	0	0	0.496751	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5.fsm
1	4	200	5	2	19955	19955	1	168762	23067	0.136684	0	0	0.510397	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_iOHUV.fsm
1	4	200	5	2	19965	19965	1	172816	23077	0.133535	0	0	0.517868	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_cmkhY.fsm
1	4	200	5	2	20025	20025	1	180406	23088	0.127978	0	0	0.532131	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_bqk4U.fsm
1	4	200	5	2	19947	19947	1	177788	23032	0.129548	0	0	0.519755	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_Icwiw.fsm
1	4	200	5	2	20059	20059	1	191041	23115	0.120995	0	0	0.518160	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_6iNK6.fsm
1	4	200	5	2	19928	19928	1	182160	23119	0.126916	0	0	0.535401	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_UjdTY.fsm
1	4	200	5	2	19984	19984	1	183616	23108	0.125850	0	0	0.514327	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_JPJ4B.fsm
1	4	200	5	2	20058	20058	1	188767	23092	0.122331	0	0	0.500316	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_OWxjC.fsm
1	4	200	5	2	20095	20095	1	169380	23122	0.136510	0	0	0.493437	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_mXuuz.fsm
1	4	200	5	2	20082	20082	1	192801	23088	0.119750	0	0	0.511014	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_DZP9d.fsm
1	4	200	5	2	19979	19979	1	202583	23082	0.113938	0	0	0.536906	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_gatDU.fsm
1	4	200	5	2	20010	20010	1	189979	23044	0.121298	0	0	0.514735	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_yJle4.fsm
1	4	200	5	2	20057	20057	1	184536	23125	0.125314	0	0	0.517355	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_33LHl.fsm
1	4	200	5	2	19951	19951	1	165020	23032	0.139571	0	0	0.494048	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_CMPBa.fsm
1	4	200	5	2	20062	20062	1	176538	23085	0.130765	0	0	0.508158	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_ThNuO.fsm
1	4	200	5	2	19934	19934	1	165757	23040	0.138999	0	0	0.505447	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_FK51G.fsm
1	4	200	5	2	20061	20061	1	175106	23076	0.131783	0	0	0.509227	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_tD5uu.fsm
1	4	200	5	2	20027	20027	1	176403	23103	0.130967	0	0	0.495320	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_RYihw.fsm
1	4	200	5	2	20014	20014	1	165826	23106	0.139339	0	0	0.495373	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_Ph0Tn.fsm
1	4	200	5	2	20028	20028	1	187927	23037	0.122585	0	0	0.509868	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_QDaRU.fsm
1	4	200	5	2	20141	20141	1	159457	23029	0.144421	0	0	0.510380	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_votRb.fsm
1	4	200	5	2	20133	20133	1	182340	23042	0.126368	0	0	0.501298	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_7fEKn.fsm
1	4	200	5	2	20092	20092	1	179230	23127	0.129035	0	0	0.523290	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFA_R200_5_mUBAj.fsm
