Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	Exploration	EE	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	1	800	5	5	91643	91643	1	792112	92405	0.116656	0	0	2.035472	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5.fsm
1	1	800	5	5	91578	91578	1	828764	92405	0.111497	0	0	2.121997	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_WFrrO.fsm
1	1	800	5	5	91565	91565	1	842817	92411	0.109645	0	0	2.133238	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_VJyJ9.fsm
1	1	800	5	5	91579	91579	1	788063	92405	0.117256	0	0	2.083009	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_l6ilq.fsm
1	1	800	5	5	91639	91639	1	780074	92405	0.118457	0	0	2.147757	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_KHvC8.fsm
1	1	800	5	5	91617	91617	1	800295	92405	0.115464	0	0	2.046389	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_XkIyF.fsm
1	1	800	5	5	91669	91669	1	884369	92405	0.104487	0	0	2.102418	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_PIQ1I.fsm
1	1	800	5	5	91629	91629	1	814645	92405	0.113430	0	0	2.042939	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_Tmjc9.fsm
1	1	800	5	5	91525	91525	1	745608	92405	0.123932	0	0	2.058473	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_47TKm.fsm
1	1	800	5	5	91563	91563	1	781323	92415	0.118280	0	0	1.989592	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_cCVzh.fsm
1	1	800	5	5	91682	91682	1	808969	92405	0.114226	0	0	2.065019	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_4xLs7.fsm
1	1	800	5	5	91685	91685	1	823498	92405	0.112210	0	0	2.128288	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_wsz75.fsm
1	1	800	5	5	91467	91467	1	882829	92421	0.104687	0	0	2.124527	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_UFRti.fsm
1	1	800	5	5	91438	91438	1	804806	92405	0.114816	0	0	2.017507	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_oj5V8.fsm
1	1	800	5	5	91511	91511	1	831454	92405	0.111137	0	0	2.096788	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_O3os4.fsm
1	1	800	5	5	91570	91570	1	779442	92405	0.118553	0	0	2.103602	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_bC6Gf.fsm
1	1	800	5	5	91605	91605	1	825334	92405	0.111961	0	0	2.130056	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		DFSM_R800_5_gx3t1.fsm
