Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	Exploration	EE	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	3	200	5	5	22769	22769	1	176389	23028	0.130552	0	0	0.252459	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5.fsm
1	3	200	5	5	22815	22815	1	173096	23049	0.133157	0	0	0.271454	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_RroW6.fsm
1	3	200	5	5	22769	22769	1	190587	23048	0.120932	0	0	0.275805	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_ztkNm.fsm
1	3	200	5	5	22763	22763	1	187115	23031	0.123085	0	0	0.272631	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_rUveD.fsm
1	3	200	5	5	22709	22709	1	182321	23035	0.126343	0	0	0.266550	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_DGdTg.fsm
1	3	200	5	5	22866	22866	1	183505	23105	0.125909	0	0	0.260208	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_zddAN.fsm
1	3	200	5	5	22688	22688	1	186539	23062	0.123631	0	0	0.273316	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_ImrV9.fsm
1	3	200	5	5	22911	22911	1	171895	23105	0.134413	0	0	0.266646	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_PKLPt.fsm
1	3	200	5	5	22881	22881	1	183880	23111	0.125685	0	0	0.263654	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_7jmZP.fsm
1	3	200	5	5	22886	22886	1	181934	23105	0.126997	0	0	0.261503	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_y772H.fsm
1	3	200	5	5	22809	22809	1	178514	23035	0.129037	0	0	0.261303	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_HGJp0.fsm
1	3	200	5	5	22742	22742	1	180284	23030	0.127743	0	0	0.267429	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_VEnDy.fsm
1	3	200	5	5	22762	22762	1	173816	23038	0.132542	0	0	0.257422	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_8IJGj.fsm
1	3	200	5	5	22805	22805	1	166093	23030	0.138657	0	0	0.261625	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_FLQQr.fsm
1	3	200	5	5	22920	22920	1	189451	23105	0.121958	0	0	0.272782	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_JQa2X.fsm
1	3	200	5	5	22747	22747	1	173135	23028	0.133006	0	0	0.254397	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_VoZiD.fsm
1	3	200	5	5	22793	22793	1	181088	23057	0.127325	0	0	0.263984	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_Y2CIh.fsm
1	3	200	5	5	22871	22871	1	186534	23105	0.123865	0	0	0.263820	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_ZeIZ8.fsm
1	3	200	5	5	22859	22859	1	172233	23125	0.134266	0	0	0.252657	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_jht0A.fsm
1	3	200	5	5	22872	22872	1	169960	23121	0.136038	0	0	0.261506	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_26ogh.fsm
1	3	200	5	5	22886	22886	1	168684	23113	0.137020	0	0	0.248957	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_L8h0X.fsm
1	3	200	5	5	22889	22889	1	174492	23116	0.132476	0	0	0.260272	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_xNaHI.fsm
1	3	200	5	5	22831	22831	1	188287	23112	0.122749	0	0	0.272341	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_hlg2X.fsm
1	3	200	5	5	22913	22913	1	178503	23105	0.129438	0	0	0.263548	GoodSplit	maxDistLen:2+EQ	11	TeacherDFSM		Moore_R200_5_8ESfI.fsm
