States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	0.219579	0.27087	0.27087	0.269767	0.269298	0.209457	0.209457	0.2095	0.250392	0.280316	0.287749	0.171501	0.410363	0.419122	0.340844	0.669441	0.277862	0.211193	0.656989	0.685598	0.641571	0.2529385	0.2928375	0.2928375	0.2915685	0.29141575	0.22156375	0.22132175	0.22136975	0.27640975	0.302515	0.305136	0.19529075	0.4412395	0.45563075	0.37899975	0.7407435	0.36879675	0.2861795	0.74122375	0.7388445	0.6977975	0.294731	0.302288	0.302288	0.3010575	0.300487	0.227145	0.225799	0.22585	0.285716	0.3119395	0.314642	0.2061675	0.4589635	0.46959	0.392457	0.7740025	0.411779	0.3220375	0.778163	0.7725595	0.732038	0.32987875	0.306878	0.306878	0.3057155	0.3057155	0.23098925	0.230594	0.230646	0.29072	0.31529025	0.314642	0.215774	0.47071	0.48696975	0.40049975	0.8004975	0.4334025	0.34295175	0.81092375	0.793882	0.764626	0.421839	0.328612	0.328612	0.326991	0.326991	0.245736	0.239791	0.239848	0.313231	0.33485	0.335548	0.230357	0.49781	0.533815	0.43188	0.87885	0.536771	0.438957	0.87885	0.872802	0.81416	0.29432697	0.30146142	0.30146142	0.30015212	0.29956412	0.22624885	0.22566661	0.22573875	0.2847786	0.31023973	0.31251678	0.2046689	0.45614922	0.47153534	0.39069596	0.77193533	0.40456786	0.31807466	0.77643355	0.76552037	0.73024443
20	0.183305	0.232636	0.232636	0.23212	0.231644	0.176517	0.176517	0.176548	0.218667	0.248034	0.2607	0.13301	0.358043	0.424737	0.362573	0.605611	0.266903	0.212244	0.565717	0.644795	0.607638	0.2255345	0.258553	0.258553	0.257886	0.257477	0.1884185	0.18788325	0.18750875	0.23986475	0.26742475	0.278779	0.1706565	0.393561	0.4649315	0.38364475	0.67456775	0.332892	0.26636375	0.67688175	0.73038725	0.709205	0.2477535	0.266509	0.266509	0.265881	0.2654	0.1914835	0.1907745	0.1907925	0.2442425	0.2720135	0.2827	0.1787225	0.405959	0.482224	0.392972	0.7115775	0.3590655	0.289538	0.699603	0.748567	0.7318555	0.2793315	0.27047725	0.27047725	0.269868	0.26945825	0.19418875	0.19347375	0.1934925	0.24825225	0.27586825	0.286733	0.18702175	0.41418975	0.49868825	0.40049125	0.729092	0.38513	0.30932825	0.72817325	0.766861	0.74926725	0.372908	0.280786	0.280786	0.280113	0.279748	0.210856	0.200399	0.200419	0.257429	0.285764	0.295154	0.202212	0.461132	0.543725	0.419257	0.794473	0.458281	0.389549	0.79768	0.817147	0.810501	0.25526055	0.26443794	0.26443794	0.26382192	0.26343923	0.19159771	0.19025497	0.19022487	0.24327687	0.27168287	0.28281948	0.17748311	0.40410854	0.48152117	0.39184657	0.7049291	0.36022234	0.28995622	0.70014793	0.74757851	0.73066588
30	0.182032	0.227662	0.227662	0.227341	0.227227	0.168006	0.166811	0.165555	0.212173	0.242607	0.251823	0.133532	0.360202	0.425943	0.354808	0.613128	0.272791	0.222103	0.545327	0.649103	0.633663	0.20790475	0.242716	0.242716	0.242377	0.24208525	0.173247	0.17261375	0.172223	0.22298325	0.25289275	0.266136	0.159834	0.37892025	0.475175	0.39011225	0.6531775	0.32793975	0.26536625	0.6447075	0.71337225	0.70301225	0.2523095	0.2484785	0.2484785	0.248099	0.2478035	0.175998	0.175037	0.1744615	0.2273395	0.2571075	0.26851	0.1663835	0.387646	0.4934865	0.3968285	0.6771875	0.35404	0.2886115	0.675075	0.7386625	0.719048	0.28300875	0.255317	0.255317	0.254843	0.254489	0.17866675	0.1766405	0.176501	0.22985575	0.2593155	0.273388	0.1769285	0.395485	0.51020675	0.40387925	0.70076075	0.37378425	0.303477	0.7007425	0.75544275	0.7495455	0.379357	0.263062	0.263062	0.262583	0.262231	0.219435	0.181314	0.181325	0.237725	0.264773	0.278446	0.18896	0.414203	0.535314	0.413605	0.781922	0.48596	0.402721	0.769532	0.817573	0.803404	0.25217157	0.24803627	0.24783882	0.24744665	0.24717519	0.17929096	0.17458108	0.17426267	0.22656657	0.25631235	0.26913973	0.16611535	0.38728663	0.49260782	0.39563152	0.68050695	0.35185974	0.28581335	0.67258206	0.73632819	0.72317267
40	0.157023	0.214837	0.214837	0.214584	0.214389	0.158806	0.158806	0.158055	0.205305	0.236617	0.245691	0.135609	0.336327	0.445295	0.382645	0.521702	0.231825	0.193347	0.529144	0.64706	0.656824	0.203314	0.231933	0.231933	0.23166425	0.23145825	0.1639885	0.163169	0.1627105	0.214591	0.2449205	0.257967	0.1527855	0.3712835	0.485113	0.40276975	0.633639	0.31856025	0.2603665	0.623992	0.71141075	0.706745	0.2261045	0.23771	0.237999	0.2376965	0.23748	0.1676945	0.1652345	0.1645925	0.2171965	0.2474825	0.260221	0.1598125	0.376866	0.50827	0.4079025	0.662071	0.3423115	0.2819165	0.651473	0.728924	0.7254185	0.26397375	0.241176	0.241421	0.2411295	0.240969	0.18448925	0.167687	0.1666335	0.22007625	0.2508135	0.263642	0.167085	0.385099	0.524101	0.41647175	0.6827	0.359525	0.2977005	0.676858	0.747928	0.737168	0.339484	0.25353	0.25353	0.253245	0.252982	0.215711	0.170269	0.170276	0.227798	0.255764	0.270763	0.189619	0.403052	0.554552	0.430669	0.751815	0.456516	0.370462	0.735582	0.783514	0.779499	0.23774199	0.23642693	0.23663347	0.23634274	0.23613616	0.17299418	0.16524679	0.16459587	0.2170926	0.24744829	0.26054676	0.15963841	0.3775288	0.50365954	0.40909793	0.65814855	0.34003814	0.27895629	0.65090602	0.72984634	0.72335235
50	0.16489	0.207841	0.207841	0.207633	0.207472	0.151589	0.147535	0.145574	0.197988	0.22873	0.240488	0.122387	0.327919	0.393331	0.391983	0.547304	0.271762	0.201955	0.557221	0.679004	0.663981	0.20276325	0.22601675	0.22601675	0.22577	0.22557475	0.1577915	0.156093	0.15540175	0.20664775	0.237879	0.249074	0.146761	0.3616925	0.49022175	0.41288525	0.6285615	0.308754	0.2515965	0.62547525	0.7166125	0.71454875	0.226051	0.229526	0.229274	0.2290435	0.2288385	0.160531	0.1580615	0.1572505	0.208835	0.239887	0.2533215	0.154021	0.368327	0.509797	0.422908	0.6529135	0.328205	0.271446	0.6444245	0.7324045	0.7336245	0.2521	0.234604	0.234604	0.234384	0.234194	0.17971475	0.1601315	0.1585445	0.211534	0.242432	0.256493	0.1606215	0.37623325	0.52668475	0.4312765	0.68042325	0.35361925	0.2906635	0.665957	0.74928975	0.75353525	0.31724	0.246397	0.246397	0.24618	0.246059	0.206651	0.162801	0.161973	0.217312	0.247617	0.262166	0.175035	0.407751	0.562822	0.446744	0.745838	0.401399	0.329251	0.728333	0.780978	0.787478	0.23015368	0.2296659	0.22959917	0.22937145	0.22919654	0.16749957	0.15786977	0.15689411	0.20875746	0.23970737	0.25276266	0.15353105	0.36924643	0.50594871	0.42181767	0.65235479	0.33039606	0.2725661	0.64394107	0.73196832	0.73195433
60	0.157458	0.20157	0.20157	0.201422	0.201347	0.143314	0.143314	0.142367	0.189609	0.220986	0.235489	0.12042	0.324392	0.409614	0.392512	0.560735	0.242494	0.199192	0.530507	0.683076	0.682582	0.20155825	0.21804525	0.218047	0.217864	0.217712	0.1520985	0.15033875	0.149042	0.199936	0.23104775	0.24266225	0.1421435	0.35267225	0.490765	0.42234225	0.6236365	0.31514525	0.2610535	0.617265	0.7177805	0.7174015	0.230256	0.2219075	0.2219075	0.22171	0.2215725	0.1718675	0.152441	0.150935	0.2030195	0.2342525	0.246028	0.1501665	0.3612925	0.513582	0.432796	0.649922	0.3378195	0.2765285	0.6382245	0.731313	0.7279825	0.249656	0.22668725	0.22668725	0.226511	0.22639425	0.1759335	0.15432875	0.152491	0.20524225	0.2363725	0.249274	0.1559765	0.37082875	0.53320325	0.44184325	0.6665865	0.35741825	0.29600575	0.65751075	0.74306275	0.74513925	0.315323	0.233399	0.233399	0.23321	0.233061	0.207937	0.15982	0.15537	0.212038	0.243421	0.255636	0.171213	0.395513	0.57487	0.461914	0.740148	0.40908	0.334318	0.743485	0.776919	0.77668	0.22993805	0.22198713	0.22208453	0.22189812	0.22175004	0.16716097	0.15219264	0.15061958	0.20237113	0.23362936	0.24605092	0.14924742	0.36182868	0.51137649	0.43107684	0.64552379	0.33455955	0.27619086	0.63827877	0.73128122	0.73077011
70	0.15336	0.197014	0.197014	0.196887	0.196771	0.139192	0.141678	0.137818	0.186829	0.21823	0.226873	0.12272	0.321771	0.422693	0.402622	0.533062	0.262257	0.219705	0.495661	0.687767	0.684937	0.17884625	0.21422	0.2141225	0.213995	0.21387675	0.1483935	0.14668325	0.144819	0.1954695	0.2269805	0.23841225	0.13925325	0.3517495	0.49159275	0.43041075	0.624619	0.318569	0.263599	0.61385	0.71488275	0.71647425	0.209827	0.2199165	0.2197735	0.2196215	0.2195015	0.166487	0.1480955	0.146216	0.1976395	0.229614	0.2424095	0.1469045	0.3588435	0.5212035	0.4432365	0.6460075	0.3382995	0.2798295	0.636255	0.7292925	0.733701	0.2541475	0.22291275	0.222804	0.222654	0.2225305	0.17092725	0.149704	0.14797375	0.20020375	0.23190425	0.24572675	0.152416	0.3683005	0.53765925	0.45121625	0.6663555	0.355995	0.29548375	0.65260975	0.74294575	0.747998	0.305872	0.230498	0.230015	0.229857	0.229708	0.195632	0.152199	0.15126	0.206411	0.237498	0.253894	0.166733	0.38826	0.573087	0.472963	0.703774	0.399447	0.328011	0.699386	0.779079	0.78805	0.21804832	0.21878155	0.21863764	0.21848226	0.21835683	0.16328042	0.14797607	0.14626592	0.19766047	0.22925813	0.24197511	0.14567589	0.35943698	0.51475068	0.44011097	0.64451874	0.33671649	0.27909121	0.63036496	0.72963468	0.73229926
80	0.145293	0.191576	0.191576	0.191464	0.191363	0.136706	0.136706	0.133014	0.179345	0.210639	0.219921	0.115584	0.320927	0.420956	0.38728	0.501669	0.236197	0.197851	0.456257	0.65692	0.685104	0.185147	0.21068	0.21080825	0.21068275	0.210554	0.1471215	0.1429585	0.141104	0.19194375	0.2237535	0.234456	0.136705	0.345521	0.49827425	0.4366445	0.60531875	0.3075935	0.2550165	0.608218	0.71515175	0.7150375	0.218908	0.2139715	0.2139715	0.21383	0.213713	0.1653675	0.1445615	0.142706	0.193771	0.225738	0.237588	0.1426475	0.352558	0.520802	0.448349	0.62689	0.326023	0.2697955	0.6296025	0.72872	0.7314465	0.256449	0.218052	0.2179785	0.2178535	0.217746	0.16772475	0.14619125	0.1436805	0.195715	0.227353	0.241159	0.14967075	0.3624475	0.54063325	0.460361	0.64744125	0.3401235	0.2812345	0.65714975	0.7382865	0.7456775	0.328818	0.226809	0.226809	0.226675	0.226572	0.198648	0.150123	0.146894	0.20223	0.233901	0.248681	0.165422	0.387047	0.571622	0.476935	0.724883	0.394484	0.328844	0.703876	0.783102	0.783255	0.22420138	0.21425061	0.21424025	0.21410666	0.21399741	0.16329478	0.14444454	0.14228484	0.19359638	0.22540833	0.23765195	0.14212433	0.35411023	0.51691492	0.44681864	0.62731193	0.32485064	0.2691314	0.62869423	0.72760962	0.73186053
90	0.15093	0.19848	0.19755	0.197427	0.197352	0.133676	0.133676	0.133678	0.182035	0.213999	0.221635	0.113289	0.316102	0.435669	0.398854	0.518628	0.264544	0.221109	0.525183	0.691038	0.679723	0.17954375	0.2071955	0.2071955	0.20707425	0.2069695	0.15529475	0.14008975	0.13767675	0.1884235	0.220568	0.23094175	0.13596175	0.344402	0.49826675	0.44149125	0.60932275	0.3139675	0.25972425	0.60665225	0.71594375	0.7185325	0.211051	0.210682	0.210499	0.2103845	0.210282	0.161872	0.1417595	0.1389335	0.190027	0.222103	0.2333425	0.142514	0.353562	0.5179275	0.453197	0.6320465	0.331997	0.274194	0.625399	0.7273695	0.7297445	0.2415975	0.2143235	0.21409375	0.2139725	0.21388125	0.16507175	0.143388	0.1401245	0.1920305	0.22393025	0.2364315	0.148221	0.36395225	0.53688475	0.46595125	0.65233975	0.345176	0.28542575	0.64553275	0.7389415	0.7476645	0.346136	0.219204	0.219204	0.219092	0.218979	0.188291	0.149543	0.143727	0.198064	0.229686	0.243448	0.166729	0.402022	0.588442	0.486165	0.711879	0.399206	0.333885	0.698594	0.775224	0.777041	0.2127166	0.21052876	0.21037078	0.2102544	0.21015746	0.16197259	0.141738	0.13887838	0.19005235	0.2220659	0.23338514	0.14210903	0.35398173	0.51738261	0.45202116	0.63028012	0.33095029	0.27419975	0.62590808	0.72789404	0.73258613
100	0.14098	0.191712	0.191712	0.191622	0.191556	0.135356	0.134025	0.127019	0.17869	0.210641	0.216513	0.112156	0.309893	0.423424	0.378727	0.554388	0.250419	0.212941	0.544225	0.687179	0.678333	0.18562175	0.20302975	0.20302975	0.202921	0.20284475	0.1590775	0.13806375	0.13491375	0.18493675	0.21714075	0.226831	0.1348845	0.3326745	0.49431225	0.4436495	0.61825375	0.3109925	0.26070975	0.610322	0.71830125	0.7207845	0.2193095	0.2064775	0.206397	0.2062845	0.2062005	0.1604145	0.1392895	0.1359655	0.1868365	0.2189535	0.2295085	0.1399435	0.344362	0.5253205	0.461595	0.6304125	0.333563	0.276099	0.629628	0.727469	0.7315395	0.246552	0.20932675	0.209322	0.20920975	0.2091095	0.17752	0.14075975	0.13694375	0.18881825	0.2209735	0.2313835	0.14477225	0.3545385	0.541987	0.4722935	0.65441575	0.34972925	0.28916675	0.647911	0.7377985	0.74168425	0.359103	0.2234	0.214775	0.214678	0.214585	0.186542	0.143602	0.139737	0.191591	0.223951	0.23999	0.156657	0.385981	0.57414	0.492227	0.703576	0.388354	0.325045	0.674701	0.773439	0.776941	0.22023256	0.2059276	0.20572225	0.20561851	0.20553236	0.16508048	0.13929714	0.13573446	0.18661782	0.21876557	0.22909547	0.13942559	0.34465192	0.51797684	0.45559714	0.63187551	0.33022942	0.27479996	0.6285065	0.72714023	0.73263306
