States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	2	4	4	4	4	1	1	1	9	9	1	1	3	1	1	1	1	1	1	1	1	4	5	5	5	5	1	1	1	9	9	1	1	5	1	1	1	1	1	1	1	1	4	6	6	6	6	1	1	1	9	9	1	1	6	1	1	1	1	1	1	1	1	5	6	6	6	6	1	1	1	9	9	1	1	6.25	1	1	2	1	1	2	1	1	7	8	8	8	8	2	2	2	10	9	2	1	8	1	1	3	1	1	4	1	1	4.46	5.68	5.68	5.68	5.68	1.06	1.06	1.06	9.01	9	1.06	1	5.67	1	1	1.54	1	1	1.6	1	1
20	4	6	6	6	6	1	1	1	19	19	1	1	5	1	1	1	1	1	1	1	1	5	7	7	7	7	1	1	1	19	19	1	1	8.75	1	1	1	1	1	1	1	1	6	8	8	8	8	1	1	1	19	19	1	1	10	1	1	1	1	1	1	1	1	7	8	8	8	8	1	1	1	19	19	1	1	12	1	1	2	1	1	2	1	1	9	10	10	10	10	2	2	2	20	19	2	1	15	1	1	3	1	1	3	1	1	6.13	7.51	7.51	7.51	7.51	1.07	1.07	1.07	19.02	19	1.07	1	10.1	1	1	1.5	1	1	1.4	1	1
30	4	7	7	7	7	1	1	1	28	28	1	1	4	1	1	1	1	1	1	1	1	5	8	8	8	8	1	1	1	29	29	1	1	9	1	1	1	1	1	1	1	1	6.5	9	9	9	9	1	1	1	29	29	1	1	11	1	1	1	1	1	1	1	1	7	9	9	9	9	1	1	1	29	29	1	1	14	1	1	2	1	1	1.25	1	1	10	12	12	12	12	2	3	3	29	29	3	1	18	1	1	4	1	1	2	1	1	6.46	8.83	8.83	8.83	8.83	1.24	1.26	1.28	28.99	28.99	1.26	1	11.55	1	1	1.53	1	1	1.25	1	1
40	5	7	7	7	7	1	1	1	39	39	1	1	3	1	1	1	1	1	1	1	1	6	9	9	9	9	1	1	1	39	39	1	1	10	1	1	1	1	1	1	1	1	7	10	10	10	10	1	1	1	39	39	1	1	12	1	1	1	1	1	1	1	1	8	10	10	10	10	2	2	2	39	39	2	1	15	1	1	2	1	1	2	1	1	11	13	13	13	13	2	3	4	39	39	3	1	21	1	1	4	1	1	4	1	1	7.26	9.76	9.76	9.76	9.76	1.36	1.43	1.48	39	39	1.43	1	12.18	1	1	1.45	1	1	1.41	1	1
50	5	8	8	8	8	1	1	1	49	49	1	1	4	1	1	1	1	1	1	1	1	6.75	10	10	10	10	1	1	1	49	49	1	1	9	1	1	1	1	1	1	1	1	8	10	10	10	10	1	1	1	49	49	1	1	11	1	1	1	1	1	1	1	1	9	11	11	11	11	2	2	2	49	49	2	1	13.25	1	1	2	1	1	2	1	1	12	13	13	13	13	2	3	4	49	49	3	1	20	1	1	3	1	1	3	1	1	7.76	10.43	10.45	10.45	10.45	1.48	1.57	1.66	49	49	1.57	1	11.19	1	1	1.44	1	1	1.32	1	1
60	5	9	9	9	9	1	1	1	59	58	1	1	4	1	1	1	1	1	1	1	1	7	10.75	11	11	11	1	1	1	59	59	1	1	9.75	1	1	1	1	1	1	1	1	8	11	11	11	11	2	2	2	59	59	2	1	12	1	1	1	1	1	1	1	1	9	12	12	12	12	2	2	3	59	59	2	1	14	1	1	2	1	1	2	1	1	12	13	13	13	13	3	4	5	60	59	4	1	20	1	1	4	1	1	3	1	1	7.99	11.11	11.13	11.13	11.13	1.68	1.85	2.1	59.01	58.99	1.85	1	11.93	1	1	1.48	1	1	1.47	1	1
70	5	9	9	9	9	1	1	1	69	68	1	1	5	1	1	1	1	1	1	1	1	7	11	11	11	11	1	1	1	69	69	1	1	9	1	1	1	1	1	1	1	1	8	11	11	11	11	2	2	2	69	69	2	1	11	1	1	1	1	1	1	1	1	10	12	12	12	12	2	2	3	69	69	2	1	14	1	1	2	1	1	2	1	1	13	13	13	13	13	3	4	5	70	69	4	1	19	1	1	3	1	1	3	1	1	8.55	11.3	11.31	11.31	11.31	1.66	1.87	2.2	69.01	68.99	1.87	1	11.26	1	1	1.46	1	1	1.34	1	1
80	5	10	10	10	10	1	1	1	79	79	1	1	3	1	1	1	1	1	1	1	1	7	11	11	11	11	1.75	1.75	1.75	79	79	1.75	1	9	1	1	1	1	1	1	1	1	8	12	12	12	12	2	2	2	79	79	2	1	12	1	1	1	1	1	1	1	1	9.25	12	12	12	12	2	2.25	3	79	79	2.25	1	14	1	1	2	1	1	2	1	1	13	15	15	15	15	3	5	10	79	79	5	1	19	1	1	4	1	1	4	1	1	8.4	11.65	11.66	11.66	11.66	1.77	2.05	2.49	79	79	2.05	1	11.47	1	1	1.6	1	1	1.5	1	1
90	6	10	10	10	10	1	1	1	88	88	1	1	4	1	1	1	1	1	1	1	1	8	11.75	11.75	11.75	11.75	2	2	2	89	89	2	1	9	1	1	1	1	1	1	1	1	9	12	12	12	12	2	2	3	89	89	2	1	11	1	1	1	1	1	1	1	1	10	13	13	13	13	2	3	4	89	89	3	1	13	1	1	2	1	1	2	1	1	12	14	14	14	14	3	5	8	90	89	4	1	20	1	1	4	1	1	4	1	1	8.95	12.07	12.07	12.07	12.07	1.88	2.35	3.03	89	88.99	2.33	1	11.2	1	1	1.47	1	1	1.52	1	1
100	6	11	11	11	11	1	1	1	98	97	1	1	4	1	1	1	1	1	1	1	1	8	12	12	12	12	2	2	2.75	99	99	2	1	9	1	1	1	1	1	1	1	1	9	12	12	12	12	2	3	3	99	99	3	1	11.5	1	1	1	1	1	1	1	1	10	13	13	13	13	2	3	4.25	99	99	3	1	13	1	1	2	1	1	2	1	1	13	15	15	15	15	3	5	10	99	99	5	1	19	1	1	5	1	1	4	1	1	8.96	12.47	12.48	12.48	12.48	2.02	2.64	3.71	98.99	98.98	2.64	1	11.32	1	1	1.56	1	1	1.47	1	1
