States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	373	373	373	373	373	1010	1010	1010	308	308	1010	9200	321	2191	21281	365	3510	32335	386	3704	39835	610	464	464	464	464	1010	1010	1010	321	321	1010	9200	342.5	2488.25	23602.25	457.25	4068.25	37283.25	457	4164	45167	720	555	555	555	555	1010	1010	1010	327.5	327.5	1010	9200	357	2568	24584.5	486.5	4396.5	40701	493	4333.5	47249	775	555	555	555	555	1010	1010	1010	342	342	1010	9200	378.25	2674	25607	526.25	4856.75	45668.5	545.25	4630	51349.75	1537	737	737	737	737	1556	1101	1032	398	398	1101	9203	468	3278	27857	888	7704	72580	890	6179	63697	736.8	527.7	527.7	526.87	526.87	1034.57	1015.46	1010.98	334.51	334.51	1015.46	9200.13	363.43	2581.68	24631.04	496.27	4560.55	42521.67	504.89	4429.66	48288.84
20	1105	1105	1105	1105	1105	2010	2010	2010	806	806	2010	18300	900	6246	56073	1054	9799	91400	1047	9770	100832	1686	1286	1286	1286	1286	2010	2010	2010	825	825	2010	18300	954.75	6694.75	58631.75	1219.25	11393.75	106639	1213.75	10544.25	112738.75	1894	1467	1467	1467	1467	2010	2010	2010	841.5	841.5	2010	18300	983	6823.5	59369	1281	12203	113979.5	1264.5	10884	117331	2117.5	1467	1467	1467	1467	2010	2010	2010	858.5	858.5	2010	18300	1022	6927.75	60052	1343.25	13023.75	121813	1334.25	11265.25	122316.25	3640	1829	1829	1829	1829	3096	2191	2040	927	927	2191	18307	1148	7562	63392	1629	14923	142676	1721	13262	146842	1982.08	1378.31	1378.31	1378.31	1378.31	2084.21	2022.67	2011.19	845.47	845.47	2022.67	18300.16	990.25	6839.79	59269.88	1286.34	12272.74	114981.5	1282.58	10973.28	118465.48
30	1990	1926	1926	1926	1926	3010	3010	3010	1370	1370	3010	27400	1578	11077	91674	1918	17423	163121	1891	16577	173465	2714	2197	2197	2197	2197	3010	3010	3010	1405	1405	3010	27400	1668	11737	94965.75	2059	19387	182846.25	2027.5	18155.75	196156.5	3103	2468	2468	2468	2468	3010	3010	3010	1424	1424	3010	27400	1714	11993.5	96360.5	2133.5	20824.5	196882	2155	18881	204559	3534.5	2739	2470	2470	2470	3010	3010	3010	1447.5	1447.5	3010	27400	1781.25	12301	97434.25	2281.5	22490.75	211735.25	2294	19488.5	212391.5	5235	3281	3281	3281	3281	5720	3552	3052	1515	1515	3552	27414	1973	12976	103197	2587	26099	251241	2729	22623	258146	3138.98	2438.19	2424.69	2424.69	2424.69	3389.4	3080.46	3014.88	1429.93	1429.89	3080.46	27401.91	1729.17	12001.45	96249.15	2175.99	21078.93	198752.85	2183.24	18838	204303.79
40	3370	2566	2566	2566	2566	4010	4010	4010	1978	1978	4010	36500	2298	16825	133873	2735	25313	238124	2651	24301	253529	3922	3288	3288	3288	3288	4010	4010	4010	2026	2026	4010	36510	2458.25	17673.75	139580	2934.25	29142	273898.25	2915.25	26246.75	283686.5	4410	3649	3649	3649	3649	4010	4010	4010	2051.5	2051.5	4010	36510	2545	17972	141783.5	3048	30477	287660.5	3034	27068	292600	5204	3649	3649	3649	3649	6176	4371	4028.25	2083.5	2083.5	4371	36510	2617.75	18383.5	144522.5	3205.75	32326.5	304852.5	3192.25	28004.75	301748	8446	4732	4732	4732	4732	7620	4732	4055	2255	2255	4732	36519	2941	20315	153251	3750	37883	360253	3562	31969	352302	4644.11	3584.02	3562.42	3562.42	3562.42	4804.2	4165.23	4018.77	2056.69	2056.78	4165.23	36510	2546.53	18081	142271.1	3089.23	30723.79	289889.17	3071.97	27143.73	293348.01
50	3876	3657	3657	3657	3657	5010	5010	5010	2622	2622	5010	45600	3063	22698	182586	3573	34001	318754	3533	32021	333181	5310	4559	4559	4559	4559	5010	5010	5010	2674.75	2674.75	5010	45607	3296.75	23865	190995.5	3887.75	39040.5	367417.5	3834.75	34616.75	373849.5	5799	5010	4785	4785	4785	5010	5010	5010	2704.5	2704.5	5010	45610	3387	24247.5	195581	4029	40183.5	380432.5	4021.5	35681.5	389928	6617	5010	5010	5010	5010	7716	5461	5029	2737.25	2737.25	5461	45610	3469	24928.75	198498.5	4199.25	41485.25	393745	4143.75	37258.75	408323.75	9478	6363	5912	5912	5912	9520	5912	5067	2933	2933	5912	45624	4156	27383	207194	5002	47514	450244	4532	42233	469695	6016.33	4779.99	4766.51	4766.51	4766.51	6281.82	5267.07	5021.64	2709.38	2709.46	5267.07	45609.66	3400.87	24373.59	194812.77	4082.25	40473.56	382355.21	4005.12	36007.09	393340.95
60	5560	4928	4928	4928	4928	6010	6010	6010	3316	3316	6010	54700	3934	28622	233425	4582	42598	398579	4443	39715	427373	6878	6010	6010	6010	6010	6010	6010	6010	3373.75	3374	6010	54700	4195	30472.25	246591.25	4852.25	48236	457035.5	4798	43128.75	465005.75	7446	6010	6010	6010	6010	9256	6551	6028	3397	3397	6551	54710	4295.5	31061	251861	5014	50204	475917	5019	44530	478524	8268	6551	6551	6551	6551	9256	6551	6042	3423	3423	6551	54717	4405.25	31545.25	255797.5	5221.5	52756	501527	5238	45506.5	499198.25	10612	7092	7092	7092	7092	14666	7633	6083	3566	3566	7633	54729	4919	33794	262258	6474	68993	648590	5943	64360	714822	7579.31	6091.15	6080.37	6080.37	6080.37	8330.89	6469.87	6030.34	3407.2	3407.35	6469.85	54710	4312.05	31074.15	250629.87	5087.44	50815.05	482585.34	5041.72	44776.98	484075.93
70	6561	5748	5748	5748	5748	7010	7010	7010	3992	3992	7010	63800	4759	35993	289572	5372	54059	513326	5454	48972	520577	8077	7010	7010	7010	7010	7010	7010	7010	4064.75	4064.75	7010	63815	5040	37453	306466.5	5828.5	59439.5	564225	5767.75	51827	556797.5	8921	7010	7010	7010	7010	10796	7641	7029	4089	4089	7641	63815	5179.5	38170	311565.5	5998.5	62173	588352	5976	53045.5	574188	10112	7641	7641	7641	7641	10796	7641	7044.25	4130.25	4131	7641	63826	5271	39120.75	317367.75	6306.25	64637.25	607045.5	6240	54767.5	596975.25	14840	9534	8274	8274	8274	16475	8903	7088	4300	4300	8903	63834	6020	43204	335488	7249	74819	717237	7104	59416	650625	9184.92	7256.09	7205.7	7205.7	7205.7	9754.85	7558.97	7031.87	4101.28	4101.35	7558.97	63818.76	5181.64	38432.39	312246.91	6080.18	62365.6	590132.93	6038.06	53527.24	580440.49
80	7471	7289	7289	7289	7289	8010	8010	8010	4732	4732	8010	72900	5671	42553	348487	6556	65299	627146	6512	56878	602915	9728	8010	8010	8010	8010	9632.25	8550.75	8017.5	4789.5	4789.5	8550.75	72909	5956.75	44842	369073	6835.5	70455.25	666714	6819.5	61135.5	659075.75	10554	8731	8731	8731	8731	12336	8731	8031.5	4828.5	4829	8731	72930	6087.5	45621.5	376170.5	7097.5	72667	689508.5	7058	62588.5	678929.5	11475.75	8731	8731	8731	8731	12336	8911.25	8049.25	4860	4860	8911.25	72933	6266.25	46391	382044.5	7310	75175.75	711979.25	7315.25	64262.5	697919.25	15404	10894	10894	10894	10894	19546	10894	8179	5139	5142	10894	72939	6902	50461	410039	8162	84242	790937	8490	72502	789271	10688.79	8514.7	8485.91	8485.91	8485.91	11780.83	8767.05	8037.61	4833.17	4833.28	8767.05	72923.21	6122.81	45660.2	374854.19	7121.79	73027.3	692366	7101.3	62697.77	680201.74
90	9210	8199	8199	8199	8199	9010	9010	9010	5486	5486	9010	82000	6580	49649	410162	7424	74842	710877	7437	65928	713276	11192.5	9618.25	9618.25	9618.25	9618.25	13065	9821	9026	5540.5	5540.5	9821	82002	6920.75	51902	434791.5	7902.25	80051.5	764333.75	7871.25	70066	760533.5	12078	9821	9821	9821	9821	13876	9821	9043.5	5565.5	5566	9821	82011.5	7092.5	52565.5	443926	8105.5	83507	792146.5	8063	71862	778442.5	13519.75	10632	10632	10632	10632	13876	10632	9065.5	5606.25	5606.25	10632	82039	7238.25	53314.5	450264.5	8370.25	86683	822598	8331.5	73502.25	794806.25	19782	12254	11443	11443	11443	21986	12254	9149	5742	5742	11443	82044	7908	59167	479179	9302	95982	911128	9454	78788	864590	12534.78	9910.21	9877.81	9877.81	9877.81	13770.57	10104.91	9047.89	5575.29	5575.34	10088.63	82018.58	7103.73	52689.42	442332.69	8159.39	83499.14	794370.77	8115.38	71971.12	779703.34
100	10210	10010	10010	10010	10010	10010	10010	10010	6234	6234	10010	91100	7461	56461	477975	8510	86242	817235	8319	74967	798251	13062.25	10911	10911	10911	10911	15416	10911	10034.75	6287.5	6288.5	10911	91104	7904.25	58992.25	502951.75	9013.5	92964.5	880448.75	8855.25	79121	857882.5	14158	10911	10911	10911	10911	15416	11812	10050	6331.5	6331.5	11812	91111	8052.5	59980.5	514588.5	9220	95187	902604	9111	81008.5	872847	15240	11812	11812	11812	11812	19020	11812	10078.25	6363.75	6363.75	11812	91140.25	8218.25	61392.25	523276	9563	97827	933892.75	9478.25	83344.5	896177.25	22070	14515	13614	13614	13614	24426	13614	10194	6468	6468	13614	91149	8892	66738	567505	10513	111768	1045394	11382	88537	967621	14320	11397.54	11343.55	11343.55	11343.55	16551.26	11487.66	10059.92	6331.3	6331.31	11487.64	91120.2	8061.36	60299.79	514002.5	9288.21	95787.26	910255.89	9217.85	81139.69	876922.25
