States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	303	407	407	410	410	1428	1428	1427	384	346	1011	9078	322	2192	21282	366	3511	32336	387	3705	39836	555	509	509	513	514	1443	1443	1442	400	359.75	1011	9149	343.5	2489.25	23603.25	458.25	4069.25	37284.25	458	4165	45168	605.5	611	611	616	617	1451	1451	1450	408	366	1011	9152	358	2569	24585.5	487.5	4397.5	40702	494	4334.5	47250	786	611	611	616	618	1469.25	1469.25	1467.25	424	381	1011	9155.25	379.25	2675	25608	527.25	4857.75	45669.5	546.25	4631	51350.75	1057	815	815	822	825	1914	1613	1528	484	440	1093	9165	469	3279	27858	889	7705	72581	891	6180	63698	655.78	579.37	579.37	583.04	584.25	1477.88	1462.85	1456.89	414.92	373.28	1015.87	9149.23	364.43	2582.68	24632.04	497.27	4561.55	42522.67	505.89	4430.66	48289.84
20	1055	1211	1211	1216	1216	3054	3054	3053	1044	909	2011	18128	901	6247	56074	1055	9800	91401	1048	9771	100833	1477	1413	1413	1419	1421	3077	3077	3075.75	1067.75	927	2011	18199	955.75	6695.75	58632.75	1220.25	11394.75	106640	1214.75	10545.25	112739.75	1687	1615	1615	1622	1624	3094	3094	3092	1087	946	2011	18203.5	984	6824.5	59370	1282	12204	113980.5	1265.5	10885	117332	1928	1615	1615	1622	1625	3117.5	3117.5	3113.25	1103.25	963.5	2011	18210	1023	6928.75	60053	1344.25	13024.75	121814	1335.25	11266.25	122317.25	2871	2019	2019	2028	2033	3983	3382	3199	1207	1042	2183	18224	1149	7563	63393	1630	14924	142677	1722	13263	146843	1734.41	1516.02	1516.02	1522.53	1525.09	3151.9	3109.83	3096.09	1089.32	948.38	2023.02	18200.4	991.25	6840.79	59270.88	1287.34	12273.74	114982.5	1283.58	10974.28	118466.48
30	1555	2113	2113	2119	2121	4746	4746	4745	1787	1540	3011	27136	1579	11078	91675	1919	17424	163122	1892	16578	173466	2247	2415	2415	2422	2425	4794.75	4794.75	4791.75	1845.75	1578.75	3011	27234.75	1669	11738	94966.75	2060	19388	182847.25	2028.5	18156.75	196157.5	2648	2717	2717	2725	2728.5	4824	4824	4814.5	1871	1600.5	3011	27251	1715	11994.5	96361.5	2134.5	20825.5	196883	2156	18882	204560	3069	2792.25	2717	2725.25	2730	4897.75	4897.75	4838.75	1902.25	1624	3011	27260	1782.25	12302	97435.25	2282.5	22491.75	211736.25	2295	19489.5	212392.5	4212	3623	3623	3634	3638	6349	5454	4916	1987	1702	3534	27273	1974	12977	103198	2588	26100	251242	2730	22624	258147	2660.06	2674.69	2665.66	2673.52	2677.05	5096.05	4891.86	4818.06	1876.74	1605.85	3078.69	27241.08	1730.17	12002.45	96250.15	2176.99	21079.93	198753.85	2184.24	18839	204304.79
40	2466	2813	2813	2819	2822	6499	6499	6498	2622	2226	4011	36108	2299	16826	133874	2736	25314	238125	2652	24302	253530	3448	3617	3617	3625	3629	6564.75	6564.75	6557.75	2692	2276.75	4011	36259.25	2459.25	17674.75	139581	2935.25	29143	273899.25	2916.25	26247.75	283687.5	3879	4019	4019	4028	4032	6610.5	6610.5	6584	2723.5	2305	4011	36308.5	2546	17973	141784.5	3049	30478	287661.5	3035	27069	292601	4310	4019	4019	4028	4033	8149	6964.25	6618	2766	2340.25	4362	36319.5	2618.75	18384.5	144523.5	3206.75	32327.5	304853.5	3193.25	28005.75	301749	5772	5225	5225	5237	5243	8674	7554	6800	2944	2524	4715	36339	2942	20316	153252	3751	37884	360254	3563	31970	352303	3874.33	3942.57	3922.52	3931.33	3935.58	7160.45	6752.24	6588.64	2729.13	2310.18	4161.67	36287.69	2547.53	18082	142272.1	3090.23	30724.79	289890.17	3072.97	27144.73	293349.01
50	3126	4015	4015	4022	4025	8310	8310	8293	3523	2949	5011	45200	3064	22699	182587	3574	34002	318755	3534	32022	333182	4308	5019	5019	5028	5032	8377.75	8377.75	8349.5	3586.75	3006.75	5011	45294	3297.75	23866	190996.5	3888.75	39041.5	367418.5	3835.75	34617.75	373850.5	5049	5269.5	5019	5028.5	5034	8460.5	8460.5	8380.5	3623.5	3039.5	5011	45356.5	3388	24248.5	195582	4030	40184.5	380433.5	4022.5	35682.5	389929	5731	5521	5521	5531	5537	10363.25	8873.25	8418	3667	3074.5	5453	45371.25	3470	24929.75	198499.5	4200.25	41486.25	393746	4144.75	37259.75	408324.75	8134	6525	6525	6537	6544	10959	9406	8620	3955	3289	5895	45396	4157	27384	207195	5003	47515	450245	4533	42234	469696	5104.94	5254.9	5244.9	5254.39	5259.44	9324.31	8659.1	8385.63	3633.78	3044.86	5261.68	45328.29	3401.87	24374.59	194813.77	4083.25	40474.56	382356.21	4006.12	36008.09	393341.95
60	3666	5417	5417	5425	5428	10127	10127	10126	4471	3730	6011	54154	3935	28623	233426	4583	42599	398580	4444	39716	427374	5589	6620.75	6621	6631	6635	10252.5	10252.5	10199.75	4559.75	3792	6011	54311.25	4196	30473.25	246592.25	4853.25	48237	457036.5	4799	43129.75	465006.75	5904	6621	6621	6631	6637	12574	10788	10223	4595	3816	6542	54370.5	4296.5	31062	251862	5015	50205	475918	5020	44531	478525	7051	7223	7223	7234	7240.25	12627.75	10864	10262.75	4624.25	3848	6543	54405	4406.25	31546.25	255798.5	5222.5	52757	501528	5239	45507.5	499199.25	9534	7825	7825	7837	7845	15592	12038	10408	4787	4004	7596	54451	4920	33795	262259	6475	68994	648591	5944	64361	714823	6216.46	6711.26	6699.26	6709.43	6715.13	11883.79	10725.45	10236.54	4603.33	3828.32	6460.45	54354.99	4313.05	31075.15	250630.87	5088.44	50816.05	482586.34	5042.72	44777.98	484076.93
70	5047	6317	6317	6325	6328	11953	11953	11952	5413	4491	7011	63193	4760	35994	289573	5373	54060	513327	5455	48973	520578	6646.5	7721	7721	7731	7736	12075.5	12075.5	12041.5	5532.25	4570	7011	63354.25	5041	37454	306467.5	5829.5	59440.5	564226	5768.75	51828	556798.5	7510	7721	7721	7731	7737	14816	12730	12068.5	5574	4599	7628	63429.5	5180.5	38171	311566.5	5999.5	62174	588353	5977	53046.5	574189	8892	8423	8423	8434	8441	14889	12857.75	12109.25	5622.75	4641	7633	63474.25	5272	39121.75	317368.75	6307.25	64638.25	607046.5	6241	54768.5	596976.25	12015	9826	9125	9138	9146	18326	14129	12306	5835	4829	8874	63511	6021	43205	335489	7250	74820	717238	7105	59417	650626	7805.34	7973.66	7938.62	7948.99	7954.88	13989.47	12666.22	12080.27	5579.2	4608.74	7548.45	63407.37	5182.64	38433.39	312247.91	6081.18	62366.6	590133.93	6039.06	53528.24	580441.49
80	5747	8019	8019	8028	8030	13827	13827	13826	6457	5321	8011	71927	5672	42554	348488	6557	65300	627147	6513	56879	602916	7479	8821	8821	8831	8837	15786	14487	13922.75	6542.5	5384	8521.75	72395.5	5957.75	44843	369074	6836.5	70456.25	666715	6820.5	61136.5	659076.75	8510	9623	9623	9634	9640	17115	14735.5	13968	6601	5426.5	8722	72453	6088.5	45622.5	376171.5	7098.5	72668	689509.5	7059	62589.5	678930.5	10122	9623	9623	9634	9641	17209.75	14984.25	14000.5	6652	5460.25	8896	72515.25	6267.25	46392	382045.5	7311	75176.75	711980.25	7316.25	64263.5	697920.25	12615	12029	12029	12043	12052	21079	17334	14328	6947	5753	10850	72581	6903	50462	410040	8163	84243	790938	8491	72503	789272	8694.77	9374.34	9350.32	9361.02	9367.24	16530.8	14778.52	13967.9	6612.14	5431.34	8753.71	72447.11	6123.81	45661.2	374855.19	7122.79	73028.3	692367	7102.3	62698.77	680202.74
90	7448	9019	9019	9028	9031	15763	15763	15753	7510	6169	9011	81127	6581	49650	410163	7425	74843	710878	7438	65929	713277	8559	10597.5	10597.5	10608.25	10613.75	19344	16688.75	15823.5	7614	6226.75	9802	81403.75	6921.75	51903	434792.5	7903.25	80052.5	764334.75	7872.25	70067	760534.5	10296	10823	10823	10834	10841	19413	16763.5	15858.5	7654.5	6254.5	9813	81486.5	7093.5	52566.5	443927	8106.5	83508	792147.5	8064	71863	778443.5	11652	11725	11725	11737	11743.25	19563.25	17592.5	15894.5	7706.25	6298	10603.25	81532	7239.25	53315.5	450265.5	8371.25	86684	822599	8332.5	73503.25	794807.25	14565	12627	12627	12640	12650	23858	19348	16064	7886	6445	11417	81604	7909	59168	479180	9303	95983	911129	9455	78789	864591	10375.42	10904.16	10886.14	10897.23	10903.8	19147.12	17041.26	15867.06	7666.83	6265.27	10070.03	81461.49	7104.73	52690.42	442333.69	8160.39	83500.14	794371.77	8116.38	71972.12	779704.34
100	7217	11021	11021	11031	11035	17682	17682	17669	8593	7007	10011	90122	7462	56462	477976	8511	86243	817236	8320	74968	798252	9459	12023	12023	12034	12040	21684	18735.5	17729.75	8698.5	7066	10900	90413.75	7905.25	58993.25	502952.75	9014.5	92965.5	880449.75	8856.25	79122	857883.5	11396	12023	12023	12034	12041	21748.5	19642	17780.5	8750	7114.5	11758.5	90488	8053.5	59981.5	514589.5	9221	95188	902605	9112	81009.5	872848	13112.25	13025	13025	13037	13045	22705.25	19740.75	17815.5	8801.25	7146.75	11787.75	90545.25	8219.25	61393.25	523277	9564	97828	933893.75	9479.25	83345.5	896178.25	16065	15029	15029	15043	15053	26737	21714	17947	8926	7268	13561	90658	8893	66739	567506	10514	111769	1045395	11383	88538	967622	11447.12	12533.98	12503.96	12515.48	12522.32	22104.04	19364.3	17778.71	8748.12	7112.95	11462.33	90468.12	8062.36	60300.79	514003.5	9289.21	95788.26	910256.89	9218.85	81140.69	876923.25
