States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	303	407	407	410	410	1428	1428	1427	384	346	1011	9078	192	1009	10117	30	1167	12209	30	337	4052	555	509	509	513	514	1443	1443	1442	400	359.75	1011	9149	211	1078.5	10496	64	1588.5	16694.75	62	501.5	4977	605.5	611	611	616	617	1451	1451	1450	408	366	1011	9152	219	1115	10628	80	1809	19069	75	542	5494.5	786	611	611	616	618	1469.25	1469.25	1467.25	424	381	1011	9155.25	235.5	1156.75	10887.25	93	2112.25	22177	93	618.25	6185.5	1057	815	815	822	825	1914	1613	1528	484	440	1093	9165	293	1347	12339	116	2593	27585	144	762	7655	655.78	579.37	579.37	583.04	584.25	1477.88	1462.85	1456.89	414.92	373.28	1015.87	9149.23	225.72	1122.28	10714.56	78.93	1846.25	19457.46	78.23	560.32	5605.22
20	1055	1211	1211	1216	1216	3054	3054	3053	1044	909	2011	18128	499	2096	21368	124	2842	29874	114	873	8416	1477	1413	1413	1419	1421	3077	3077	3075.75	1067.75	927	2011	18199	585	2306.25	22339	175.75	4324	45548.75	170.25	1142.5	11184.5	1687	1615	1615	1622	1624	3094	3094	3092	1087	946	2011	18203.5	610	2406	22714	198	4691.5	49185	194	1220	11919	1928	1615	1615	1622	1625	3117.5	3117.5	3113.25	1103.25	963.5	2011	18210	637.25	2512	23025.5	211.5	5003.5	52610.5	218.5	1303	12853	2871	2019	2019	2028	2033	3983	3382	3199	1207	1042	2183	18224	747	2842	24417	276	6725	71529	299	1593	16422	1734.41	1516.02	1516.02	1522.53	1525.09	3151.9	3109.83	3096.09	1089.32	948.38	2023.02	18200.4	612.51	2418.77	22717.15	197.1	4685.95	49282.67	194.63	1225.67	11942.8
30	1555	2113	2113	2119	2121	4746	4746	4745	1787	1540	3011	27136	938	3267	32843	220	5685	58897	202	1314	13936	2247	2415	2415	2422	2425	4794.75	4794.75	4791.75	1845.75	1578.75	3011	27234.75	1000.75	3566.5	34184.75	311.75	7332	77807	300.5	1817.5	17755.5	2648	2717	2717	2725	2728.5	4824	4824	4814.5	1871	1600.5	3011	27251	1035	3778	34717.5	345	7833.5	82447.5	336.5	2004	19741	3069	2792.25	2717	2725.25	2730	4897.75	4897.75	4838.75	1902.25	1624	3011	27260	1070.25	3963	35145	372.25	8584.75	90124.5	363.5	2164	21592.25	4212	3623	3623	3634	3638	6349	5454	4916	1987	1702	3534	27273	1215	4514	37025	486	10007	105355	460	2649	25514	2660.06	2674.69	2665.66	2673.52	2677.05	5096.05	4891.86	4818.06	1876.74	1605.85	3078.69	27241.08	1037.06	3796.58	34677.32	341.6	7932.61	83064.97	334.42	2007.45	19664.2
40	2466	2813	2813	2819	2822	6499	6499	6498	2622	2226	4011	36108	1259	4383	44175	318	8244	86346	311	2204	21282	3448	3617	3617	3625	3629	6564.75	6564.75	6557.75	2692	2276.75	4011	36259.25	1429.75	4881.25	45958.25	434	10632	110373.75	421.5	2596.25	25576.75	3879	4019	4019	4028	4032	6610.5	6610.5	6584	2723.5	2305	4011	36308.5	1471	5093	46793.5	486.5	11411.5	118972.5	467	2771	27250.5	4310	4019	4019	4028	4033	8149	6964.25	6618	2766	2340.25	4362	36319.5	1547.75	5474	47296.75	530.25	12210.5	127005	521.5	3002	28752.75	5772	5225	5225	5237	5243	8674	7554	6800	2944	2524	4715	36339	1700	6128	49504	746	15258	156859	649	3461	34751	3874.33	3942.57	3922.52	3931.33	3935.58	7160.45	6752.24	6588.64	2729.13	2310.18	4161.67	36287.69	1487.75	5187.99	46687.14	483.24	11405.69	119070.98	470.96	2793.92	27141.38
50	3126	4015	4015	4022	4025	8310	8310	8293	3523	2949	5011	45200	1705	5422	56312	434	11863	123405	429	2809	26868	4308	5019	5019	5028	5032	8377.75	8377.75	8349.5	3586.75	3006.75	5011	45294	1885.5	6192	58150	552	13725.25	143495	577.5	3293.5	31110	5049	5269.5	5019	5028.5	5034	8460.5	8460.5	8380.5	3623.5	3039.5	5011	45356.5	1933	6530	58848.5	609	14614	152876	621	3530	33624.5	5731	5521	5521	5531	5537	10363.25	8873.25	8418	3667	3074.5	5453	45371.25	2001	7070	59938.25	669.25	15667.75	164146.5	665.25	3780.75	36478.5	8134	6525	6525	6537	6544	10959	9406	8620	3955	3289	5895	45396	2228	9405	64330	877	19049	200871	814	4306	42185	5104.94	5254.9	5244.9	5254.39	5259.44	9324.31	8659.1	8385.63	3633.78	3044.86	5261.68	45328.29	1942.48	6700.07	59176.01	613.14	14710.78	153700.39	622.1	3555.22	33870.59
60	3666	5417	5417	5425	5428	10127	10127	10126	4471	3730	6011	54154	2109	6610	67995	561	14301	148324	484	3717	34247	5589	6620.75	6621	6631	6635	10252.5	10252.5	10199.75	4559.75	3792	6011	54311.25	2333.5	7440	70285	716	17225	179349.75	710.75	4100.75	38914.5	5904	6621	6621	6631	6637	12574	10788	10223	4595	3816	6542	54370.5	2422.5	7970	71770.5	798.5	18416	193410	782	4273	40916.5	7051	7223	7223	7234	7240.25	12627.75	10864	10262.75	4624.25	3848	6543	54405	2524	8598.75	73101	833.25	19868.5	207473	840.25	4556.25	43456.75	9534	7825	7825	7837	7845	15592	12038	10408	4787	4004	7596	54451	2766	10913	78772	1052	22737	237436	964	5089	48387	6216.46	6711.26	6699.26	6709.43	6715.13	11883.79	10725.45	10236.54	4603.33	3828.32	6460.45	54354.99	2425.5	8129.61	71867.88	781.38	18486.73	193710.9	768.95	4306.48	41069.44
70	5047	6317	6317	6325	6328	11953	11953	11952	5413	4491	7011	63193	2470	7991	79259	691	17112	178447	593	4130	40263	6646.5	7721	7721	7731	7736	12075.5	12075.5	12041.5	5532.25	4570	7011	63354.25	2775.75	8969.75	82480	866.25	21078.75	217532.25	851.75	4814.25	45058.25	7510	7721	7721	7731	7737	14816	12730	12068.5	5574	4599	7628	63429.5	2869	9463.5	84629.5	939.5	22080	230328	929	5119.5	48478.5	8892	8423	8423	8434	8441	14889	12857.75	12109.25	5622.75	4641	7633	63474.25	2948.75	10491	87659.75	1014	24062.75	250402.75	986.25	5321.75	50547.5	12015	9826	9125	9138	9146	18326	14129	12306	5835	4829	8874	63511	3277	12581	96015	1280	28831	300189	1181	6029	58243	7805.34	7973.66	7938.62	7948.99	7954.88	13989.47	12666.22	12080.27	5579.2	4608.74	7548.45	63407.37	2866.4	9755.99	85373.28	944.04	22423.07	233407.14	921.05	5082.22	48107.21
80	5747	8019	8019	8028	8030	13827	13827	13826	6457	5321	8011	71927	2824	9410	90155	781	22570	233604	772	4589	44195	7479	8821	8821	8831	8837	15786	14487	13922.75	6542.5	5384	8521.75	72395.5	3256	10323.75	95435	993.25	24682	255589.5	1026.5	5604.5	52533.25	8510	9623	9623	9634	9640	17115	14735.5	13968	6601	5426.5	8722	72453	3378.5	11033	97411	1102	25985	271906	1093	5910	55584	10122	9623	9623	9634	9641	17209.75	14984.25	14000.5	6652	5460.25	8896	72515.25	3468.25	12101.25	100351.25	1192	27680.5	287900.25	1174.5	6201.5	58379.25	12615	12029	12029	12043	12052	21079	17334	14328	6947	5753	10850	72581	3749	15397	115928	1341	33113	348965	1407	7213	65919	8694.77	9374.34	9350.32	9361.02	9367.24	16530.8	14778.52	13967.9	6612.14	5431.34	8753.71	72447.11	3358.35	11293.55	98538.66	1094.9	26256.98	273921.95	1098.74	5911.4	55626.03
90	7448	9019	9019	9028	9031	15763	15763	15753	7510	6169	9011	81127	3068	10379	102929	893	24315	252720	913	5560	52950	8559	10597.5	10597.5	10608.25	10613.75	19344	16688.75	15823.5	7614	6226.75	9802	81403.75	3691.75	11854	108183.25	1183.5	28419.25	296495.25	1150.5	6416.75	59883	10296	10823	10823	10834	10841	19413	16763.5	15858.5	7654.5	6254.5	9813	81486.5	3815	12624	111208	1277.5	30217.5	315886.5	1250	6695.5	63187	11652	11725	11725	11737	11743.25	19563.25	17592.5	15894.5	7706.25	6298	10603.25	81532	3973	13848.25	116182.25	1369	31534.25	329834.5	1321.5	6957	65583.25	14565	12627	12627	12640	12650	23858	19348	16064	7886	6445	11417	81604	4497	17432	136543	1514	37075	397854	1580	7535	76153	10375.42	10904.16	10886.14	10897.23	10903.8	19147.12	17041.26	15867.06	7666.83	6265.27	10070.03	81461.49	3839.82	12819.8	112611.35	1269.06	30100.62	315152.13	1236.72	6696.6	62829.07
100	7217	11021	11021	11031	11035	17682	17682	17669	8593	7007	10011	90122	3802	11678	113274	1048	29604	307155	996	6241	57423	9459	12023	12023	12034	12040	21684	18735.5	17729.75	8698.5	7066	10900	90413.75	4186.25	13086.5	120467	1313.5	31833.75	333172.5	1319.75	7156	66581	11396	12023	12023	12034	12041	21748.5	19642	17780.5	8750	7114.5	11758.5	90488	4401.5	13906.5	124504	1393.5	33572	350528.5	1412.5	7484.5	69780.5	13112.25	13025	13025	13037	13045	22705.25	19740.75	17815.5	8801.25	7146.75	11787.75	90545.25	4585.75	15374.75	131646.25	1475.25	35491.5	370029	1493.25	7838	73962.75	16065	15029	15029	15043	15053	26737	21714	17947	8926	7268	13561	90658	4969	19405	156107	1707	40518	423744	1742	8472	82008	11447.12	12533.98	12503.96	12515.48	12522.32	22104.04	19364.3	17778.71	8748.12	7112.95	11462.33	90468.12	4392.15	14307.9	126617.09	1393.85	33744.93	351784.74	1393.68	7489.35	69921.58
