States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	993	1189	1189	1194	1194	4212	4212	4211	1029	944	3010	39938	681	4881	56453	441	6894	81409	487	5153	59372	2013.5	1513	1513	1520	1522.75	4380	4380	4379	1112.75	1017	3210	42637.25	733.5	5263.75	61029	580.5	10006	119052.25	576.25	5466.5	62024.75	2436	1776	1776	1784.5	1787.5	4476	4476	4475	1157.5	1063	3210	44624	781.5	5453.5	62969	638.5	11015.5	131531.5	634.5	5686.5	63883	3039	1897	1897	1906	1912	4579.5	4579.5	4562.5	1216.25	1113.25	3310	47109.25	842.5	5649	64734	683	13004	154678.25	738.5	6057.5	69257.75	4776	2586	2586	2599	2608	6716	5215	4859	1436	1319	3673	53644	1130	6780	75288	1118	18401	217627	1118	7729	84822	2558.82	1755.88	1755.88	1760.69	1764.35	4576.12	4505.95	4483.93	1176.68	1080.03	3252.16	45187.7	799.9	5481.51	63084.93	645.96	11446.42	135871.45	653.96	5787.4	66155.95
20	4488	3956	3956	3965	3968	10030	10030	10029	3197	2880	6810	90499	2084	12124	138017	1504	25038	289481	1540	13071	147044	6442.25	4790	4790	4800	4805	10389	10389	10388	3379.25	3026.5	7010	97849.5	2350.75	13618.25	147397.75	1709.75	30919.25	357401.5	1703.25	14149.75	154556.5	7393.5	5343	5343	5354.5	5360.5	10536	10536	10535	3480	3113	7110	102393.5	2413.5	14228.5	150723	1824.5	34219	397522	1800.5	14611.5	161715.5	8979.5	5604.5	5604.5	5619.25	5629.75	10732.75	10732.75	10724.75	3556.25	3180.25	7210	107234	2584.5	14795.5	155762.75	1921.75	37288.75	434712.75	1947.5	15065	167423.5	13731	7335	7335	7354	7371	15459	12204	11406	3874	3445	8129	137584	2976	16057	165085	2424	48763	566818	2526	17495	200047	7898.88	5223.6	5223.6	5235.83	5243.65	10861.56	10639.28	10579.64	3478.15	3113.94	7157.45	103732.42	2454.37	14237.77	151412.69	1830.29	34443.62	400914.59	1838.45	14685.16	162193.16
30	7038	7350	7350	7360	7366	16601	16601	16600	5858	5207	10810	145004	4009	21603	229320	2588	42395	488477	2659	23198	250703	11030.5	8684	8684	8696	8704.5	17074.5	17074.5	17073.5	6160.25	5462	11010	154865	4292.75	23453.25	237567.25	2982.75	54855.5	648406.5	3004.75	24633	272824	12546	9898.5	9898.5	9915.5	9929	17365.5	17365.5	17268	6288.5	5547	11210	164680	4448	24451.5	243605.5	3185.5	59299.5	685232.5	3146.5	25444.5	280206.5	14807.5	10664.75	10651	10668	10682.5	17910.75	17910.75	17524	6453.25	5678	11535	171427.75	4604.75	25349.5	246760.75	3383.25	65842.5	754771.75	3463.25	26627	293877.25	20553	14021	14021	14045	14058	26527	20264	18435	6849	6039	13592	205194	5253	27338	264663	3958	88723	1004028	4182	28764	322856	12783.14	9859.09	9812.42	9828.08	9838.99	18768.25	17651.42	17306.54	6314.14	5580.42	11455.35	165744.89	4468.85	24414.11	243430.22	3206.92	60565.31	701997.95	3256.66	25601.42	282664.47
40	11951	10541	10541	10554	10563	23551	23551	23550	8967	7878	14810	192544	5957	32084	321818	3856	58872	679192	3662	32755	364882	17165.75	13848	13835.25	13850.75	13860.75	24201	24201	24129.75	9263.25	8138.5	15210	218498.75	6456.75	34471	341463.75	4433.5	84314.25	965529.25	4403.5	35975.5	390116.5	19233	15133	15131.5	15150.5	15163	24636.5	24636.5	24379.5	9468.5	8328.5	15410	228457	6724.5	35772.5	348355	4688	90450.5	1043673.5	4707	37080	406091	22331.25	15859.25	15859.25	15879.25	15895.5	32676.25	26175.25	24675.25	9650.25	8467	16835	238963	6969.75	37453.5	353625.5	4984.75	99213.5	1141242	5030.25	38106.5	417479.75	33390	22026	22026	22052	22072	36385	29387	25595	10245	9130	19260	269245	7852	40353	368941	6089	132846	1500389	5936	43794	478399	19942.85	15198.52	15091.8	15110.4	15123.74	27491.32	25212.51	24424.33	9477.32	8314.44	16002.47	229743.53	6751.61	35970.52	347861.46	4712.21	91545.04	1052466.82	4741.28	37214.19	405707.54
50	16613	15444	15444	15457	15466	30932	30932	30931	12403	10836	19110	260548	8273	42724	430081	5406	88858	1029555	5290	44311	481717	22106.25	19133.5	19133.5	19152.75	19170.25	31728	31728	31638	12741	11118	19610	283917.75	8880	46247.75	455128.5	5965.25	112676.25	1296614.5	5896	47768.75	519291.75	26314.5	21095.5	20604.5	20624	20639.5	32955.5	32955.5	31920.5	12907	11245.5	20210	296115.5	9194	47954.5	460336	6225	125249	1435100	6189	48941.5	532010.5	30198.75	22333.5	22320.5	22342.5	22360.75	42790.25	34543.25	32283.5	13205.75	11466.75	21840	310778	9492	50224.75	471096.75	6539.75	133517.25	1532668.5	6537.5	50305.25	550118.5	44751	27698	26418	26446	26470	47407	37517	34601	14814	12823	24370	372621	11154	57936	491750	8119	171450	1914977	7514	56117	614630	26622.57	20856.33	20805.37	20826.13	20842.25	37131.63	33365.22	32016.74	12983.76	11306.65	20860.11	298682.1	9217.26	48322.66	462030.31	6273.51	123679.83	1416922.13	6237.6	49204.01	537393.58
60	18421	21477	21477	21494	21503	38714	38714	38713	16195	14094	23510	319514	10395	53230	555876	7003	110614	1284913	6715	55065	596069	29355	25947	25932	25955.25	25974.25	40278.5	40278.5	39560.75	16544.25	14366.75	24310	350782	11470	58164.75	570331	7453.25	139615.5	1608789	7494	59215.25	637036.5	33117.5	27157	27144.5	27164	27178.5	52544	42465.5	39958	16791	14528	26489	364395	11930.5	60591.5	579028.5	7751	151014.5	1738967	7842	60862.5	660615	36927.75	29562	29473.25	29500.25	29524.5	53583	43758	40444	17055.5	14769.75	27116.5	384944.25	12355.25	63774.5	590793.5	8188.75	166587.25	1911019.5	8245.25	62533.75	678533.75	52191	33407	33407	33436	33459	70531	48527	42566	18016	15458	31119	454375	14265	71040	627759	10382	225826	2549745	9754	82840	920356	33655.22	27487.05	27424.49	27447.58	27466.04	49255.91	42503.11	40048.49	16842.37	14588.25	26322.88	368046.34	11936.93	60979.41	581716.12	7901.73	153776.26	1767041.54	7921.79	61226.23	662293.62
70	26334	25967	25967	25982	25991	46345	46345	46344	19781	17132	27610	382809	12749	65566	667920	8298	150068	1712356	7977	67812	731926	37317.25	31218.5	31141.25	31164.75	31184.5	47961.75	47961.75	47488.75	20414.5	17633.25	28610	418670	13879.5	71377.75	696182.25	8906.5	169869.25	1950510.25	9097.25	70994	768103	42516.5	32356	32356	32376.5	32392.5	63191	51082.5	48109	20764.5	17907	31409.5	434425.5	14344	74290.5	709422	9433	184916.5	2110574.5	9553	72970	785646.5	49463.25	35083.25	34842	34864.5	34886	64690.75	52783.5	48536.5	21022.25	18101	32299.25	458276.5	14820.25	77595.5	723411.25	9788.25	198569.75	2269673.5	10067.25	75410.5	815578.25	80394	44149	40137	40166	40187	85488	60089	51227	22261	19067	38445	519883	16572	87799	775395	11861	251134	2853764	11639	80359	891454	43400.11	33219.7	33019.31	33042.88	33062.01	59010.32	51083.64	48090.31	20756.18	17894.23	31289.2	440148.64	14436.39	74931.61	709992.54	9453.52	186780.35	2131292	9605.23	73375.76	792638.31
80	30954	32333	32333	32355	32373	54530	54530	54529	23963	20700	32210	440908	14869	79200	795377	9814	175274	2015851	9742	80979	858984	42178.25	36746.75	36746.75	36767.75	36786	66481.5	58592	55913.5	24559.25	21099.5	35259.75	487224.5	16797.5	84365.5	821432.5	10788	208244	2398683	10705.5	83931.5	906253	47214	40182.5	40182.5	40208	40229	74242.5	60448.5	56353	24889.5	21383	36739	511292.5	17395	88297	835127	11307	221627	2525416	11232	85503	922136.5	56454.75	41472.75	41442	41464.75	41484.75	75621.75	62103.25	57005.75	25283	21714.25	38306.25	533514.5	17802.75	92149.25	851833.75	11840.5	242127.25	2770696.75	11769	87976.25	946421.75	78758	52860	52860	52895	52927	99045	74266	60828	26909	22916	47637	630718	19928	105125	930919	14376	332291	3742028	15511	97755	1077864	49167.82	39822.77	39689.74	39714.56	39735.01	71333.86	60684.08	56506.68	24973.98	21448.16	36943.81	515679.38	17306.61	88642.53	839623.27	11387.81	227032.63	2596084.3	11334.11	86194.82	929516.03
90	40998	37833	37833	37852	37870	63406	63406	63196	28001	24146	37010	491817	17416	88697	913566	11280	198789	2301995	11290	92254	989933	50542.5	44452.5	44452.5	44475.75	44498.25	84250.25	68759.5	64486.25	28983.25	24835.5	41524	553397.75	19164	97515.5	955641.75	12371	231888.25	2698542.25	12484.5	96726.5	1039682.75	60276.5	46542	46542	46567.5	46588.5	85722	69889.5	65080.5	29339	25081.5	42153	575531	20000.5	101473	975691	12910	252595	2896746	12903	98603	1063426.5	66907.25	50511	50383.75	50413.5	50442.75	88007.25	73912.75	65795.25	29641.25	25353	45891.25	603143.25	20808.75	106355.5	1003587.5	13422.75	271401.5	3111640.5	13465.25	100759	1084399.25	93116	57015	57015	57050	57081	117182	84205	68087	31038	26402	51630	724193	23735	123610	1090810	16561	322514	3660160	15467	107636	1147109	60391.92	47146.06	47030	47056.16	47078.06	84345.69	71264.71	65163.02	29342.76	25111.22	43284.01	579512.92	20101.87	102182.18	979644.81	12977.1	253971.53	2915161.81	12995.68	98889.82	1064410.94
100	43809	46776	46776	46798	46814	71891	71891	71890	32602	27880	41710	581787	20115	104786	1047590	13059	236258	2716838	12964	104030	1107684	57441.5	52164.75	52164.75	52190.75	52214.5	96227.75	78856.75	73351.5	33545.75	28608	47155.5	629344.75	22619	111339.5	1097088.75	14242.75	270576.25	3110321.5	14070.75	108930	1168436.5	65124.5	53762	53762	53788.5	53807	97192.5	82836.5	73998	33849	28882	51101.5	651166.5	23279	115775	1125778	14668.5	286141.5	3268902	14474	111065	1193585	76587.25	57988.5	57892	57923.5	57950.25	104529	84605.25	74730	34322	29241	52039.5	675414.75	24439.5	122082.75	1154053.5	15168.5	309184.25	3493503.5	15000.25	113648.5	1222792.75	97389	66610	66514	66553	66591	130941	94832	80256	35331	30235	61013	812287	26581	149583	1310132	17289	380315	4233501	18425	122732	1322221	67103.35	55419.6	55219.15	55247.08	55270.35	99870.79	82451.82	74131.63	33934.51	28946.27	50192.98	656153.43	23438.03	116886.32	1130026.21	14723.08	292151.29	3333227.11	14693.26	111618.17	1197199.47
