States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	0.000334	0.000272	0.000272	0.000278	0.000272	0.000408	0.000393	0.000396	0.000242	0.00025	0.000407	0.006067	0.000741	0.003169	0.034915	0.003048	0.013544	0.056882	0.003101	0.020986	0.277939	0.0005105	0.00037425	0.00037675	0.00037925	0.00036975	0.00044975	0.00043575	0.00042875	0.00025975	0.000271	0.0004395	0.00638875	0.0009175	0.003965	0.04458	0.004265	0.02015475	0.10967525	0.00524325	0.0374715	0.430263	0.0006675	0.000446	0.0004475	0.0004495	0.000446	0.0007615	0.000513	0.000457	0.0002775	0.000287	0.000559	0.006626	0.000993	0.004345	0.0531705	0.00504	0.0255345	0.1462935	0.0078395	0.051686	0.5033575	0.00079725	0.000522	0.00052225	0.00050425	0.00050425	0.00083725	0.00059125	0.000496	0.000297	0.000301	0.00061975	0.0069555	0.00114325	0.0049205	0.07635075	0.00584975	0.033911	0.2281235	0.0127895	0.07475375	0.629915	0.001412	0.000759	0.000771	0.000758	0.000758	0.001452	0.00116	0.000893	0.000354	0.000376	0.001146	0.013945	0.001646	0.009923	0.176607	0.010175	0.063026	0.578339	0.03642	0.263125	2.564288	0.0006853	0.00045634	0.00045527	0.00044836	0.00044708	0.00071218	0.00053586	0.00047458	0.00028046	0.00028961	0.00056553	0.0078796	0.00104038	0.00454593	0.0629371	0.00528886	0.02756645	0.18077291	0.01020893	0.06074771	0.57022762
20	0.000767	0.00098	0.00099	0.001011	0.001009	0.000966	0.00096	0.000958	0.000765	0.000788	0.000866	0.015485	0.00376	0.013056	0.138818	0.021809	0.116863	0.638649	0.027133	0.136013	1.917086	0.001642	0.0013465	0.00141075	0.00135325	0.00135675	0.00182675	0.00139425	0.0011515	0.00087775	0.000895	0.00140675	0.01629875	0.00408525	0.01537625	0.1692485	0.0302475	0.19108675	1.21251925	0.03736875	0.18192875	2.740094	0.002062	0.0015355	0.001575	0.0015335	0.001533	0.001926	0.001515	0.001241	0.000917	0.0009355	0.0015225	0.016791	0.00428	0.016376	0.1840735	0.0342525	0.2238115	1.5144255	0.0499785	0.222766	3.1244625	0.00246625	0.00173075	0.001761	0.0016805	0.0016825	0.00220875	0.00169025	0.001379	0.00095825	0.00097525	0.00180675	0.01741225	0.0047595	0.01762575	0.1987245	0.04003575	0.29429925	2.1033485	0.064103	0.3140415	3.68931375	0.004186	0.002771	0.003057	0.002896	0.006614	0.004999	0.002979	0.002057	0.001262	0.001639	0.003094	0.02307	0.007362	0.027338	0.334972	0.063045	0.570233	4.232385	0.111214	0.497631	6.285411	0.00213494	0.00157407	0.0016208	0.00155675	0.00160097	0.00212277	0.00157498	0.00127798	0.00092913	0.00095139	0.00158313	0.01694515	0.00451109	0.01687007	0.18823311	0.03590822	0.25219477	1.71070028	0.05318346	0.24980876	3.25326142
30	0.001894	0.002178	0.002234	0.00221	0.0022	0.00266	0.002063	0.00189	0.001968	0.001991	0.00191	0.025837	0.009196	0.031028	0.3234	0.07446	0.432069	2.779116	0.079085	0.429505	6.953131	0.00326025	0.00313325	0.00323975	0.003126	0.003102	0.003146	0.00273475	0.00219225	0.00216275	0.00220375	0.00286425	0.027509	0.01079825	0.03615775	0.40459775	0.097355	0.6839175	4.46937725	0.10391375	0.57595575	9.56033675	0.004134	0.003368	0.0035595	0.0033905	0.0034005	0.003356	0.002958	0.0023185	0.002278	0.0023285	0.003007	0.0280765	0.0113245	0.0390145	0.4396395	0.109923	0.8646255	5.6973635	0.1187585	0.6903625	11.9329185	0.00479425	0.0037805	0.00399525	0.0037885	0.00376175	0.0045465	0.00329125	0.0025715	0.00237775	0.00243025	0.003456	0.02904325	0.01225125	0.0422305	0.46573275	0.1283835	0.9859185	6.86064425	0.13512925	0.846149	13.861986	0.007919	0.00552	0.006119	0.005455	0.005364	0.006381	0.005296	0.004608	0.003096	0.003099	0.006383	0.032931	0.020314	0.088507	0.812955	0.206835	1.938963	15.482461	0.259507	1.456489	27.214661	0.00418166	0.00345219	0.00363105	0.00345618	0.00345474	0.00379796	0.00306544	0.0024443	0.00229103	0.00233089	0.00310534	0.02831857	0.01179585	0.04008255	0.44427188	0.11490795	0.89358913	5.98853459	0.1252366	0.744328	12.30865683
40	0.003771	0.003901	0.003958	0.003902	0.003939	0.003895	0.003444	0.003051	0.003262	0.003338	0.003267	0.039583	0.017865	0.055192	0.599458	0.172081	1.02175	5.822247	0.167391	0.823525	18.195295	0.00558575	0.00515525	0.005343	0.00517325	0.00516075	0.004423	0.00429875	0.003438	0.003721	0.0038155	0.00418325	0.049626	0.01933775	0.066564	0.728174	0.221786	1.750372	10.83541875	0.25498825	1.1839215	26.73302725	0.006739	0.005801	0.006158	0.0058495	0.0058525	0.0048585	0.0046315	0.00379	0.0039135	0.0039895	0.004833	0.066766	0.020214	0.070318	0.7666795	0.2547195	2.01571	13.6987795	0.2928205	1.4259405	30.0491745	0.0081155	0.00648125	0.00681825	0.00635575	0.0063815	0.006465	0.00496075	0.00409375	0.00405325	0.004117	0.0054715	0.078893	0.021751	0.07402775	0.8374655	0.2852695	2.3477225	16.02105675	0.33837425	1.79416325	34.08697425	0.012204	0.008883	0.009723	0.009076	0.009097	0.009404	0.008693	0.006462	0.005129	0.005307	0.009305	0.119165	0.032513	0.114855	1.283196	0.441388	4.374928	32.811427	0.650492	3.667015	54.971789	0.00701552	0.00586148	0.00621522	0.005848	0.00585833	0.00544947	0.00475381	0.00383763	0.00390242	0.00399802	0.00492969	0.0671608	0.02085559	0.07188308	0.79229899	0.26252297	2.0681247	14.01737526	0.3036395	1.55313794	30.90226018
50	0.005529	0.005725	0.00596	0.00581	0.005875	0.005522	0.004801	0.004417	0.005263	0.005472	0.004452	0.055415	0.027961	0.087751	0.945397	0.368819	2.097514	14.274651	0.340596	1.536351	44.627314	0.00917275	0.0081115	0.0085485	0.0081795	0.00815675	0.00637075	0.00624675	0.00526975	0.00576075	0.00604825	0.006425	0.05921575	0.031722	0.100861	1.10379675	0.50685075	3.63013375	24.370073	0.4082945	2.042593	55.0036215	0.010616	0.008867	0.009358	0.0087975	0.0087945	0.0090965	0.006612	0.005835	0.0060595	0.0063475	0.006576	0.060368	0.0326045	0.107022	1.207111	0.582713	4.3087005	29.931135	0.465173	2.4863995	60.8224635	0.0124345	0.009765	0.01072775	0.009824	0.009902	0.00994025	0.007157	0.00645775	0.006312	0.00663025	0.00769825	0.06228025	0.03503225	0.11583275	1.33186275	0.70627125	5.0701835	36.708961	0.553295	3.096723	67.8580265	0.025599	0.013824	0.015515	0.013749	0.013655	0.017429	0.010983	0.008327	0.007415	0.00775	0.011665	0.068879	0.053241	0.203437	1.991966	1.224625	8.627841	82.729414	0.889928	5.982333	93.089183	0.01102647	0.0089921	0.00973223	0.00909758	0.00910475	0.00865983	0.0068121	0.00588651	0.0060826	0.00637561	0.00708828	0.060868	0.0340248	0.1103988	1.23364891	0.61263185	4.53907008	32.82513975	0.49704892	2.69231965	62.81085585
60	0.007183	0.008837	0.008999	0.008983	0.009004	0.007058	0.006565	0.006542	0.007643	0.008156	0.006333	0.071535	0.049035	0.141422	1.588997	0.532952	2.953804	16.709391	0.642487	3.45553	101.673543	0.01240425	0.011394	0.012345	0.01192525	0.011909	0.0095085	0.00800325	0.007467	0.00842275	0.008908	0.008708	0.07396025	0.05406225	0.167446	1.95775825	0.7630255	5.26183025	33.4168655	0.92599725	5.418035	122.3089615	0.01409	0.0126635	0.013469	0.0127015	0.0126915	0.0106635	0.008545	0.007892	0.0086615	0.0091855	0.0091475	0.075336	0.0564515	0.179808	2.1230645	0.868611	6.5442045	41.3317835	1.093701	6.6908275	131.2550435	0.0165755	0.0145495	0.0158565	0.01451225	0.01442375	0.01112325	0.00909375	0.00836075	0.0089385	0.009392	0.01038325	0.07702275	0.059083	0.1943165	2.2940015	0.988129	7.8194245	52.49411075	1.23593475	8.22125225	143.2791918	0.024615	0.018099	0.018945	0.0187	0.017682	0.014618	0.013046	0.011863	0.012441	0.012816	0.012643	0.083384	0.082567	0.244545	2.922524	1.320724	10.994147	78.496982	1.957018	19.213421	216.424913	0.01438499	0.01280916	0.0140232	0.01310889	0.01304751	0.01026817	0.00865977	0.00798811	0.00872928	0.00921003	0.00933141	0.07561789	0.05727211	0.18223865	2.14012209	0.87856363	6.55242424	43.54684272	1.11269019	6.97523373	134.5858068
70	0.009635	0.010854	0.011271	0.011056	0.010992	0.008252	0.008072	0.007943	0.010256	0.011104	0.007479	0.087885	0.06435	0.191813	2.089637	0.920962	5.98582	35.03371	0.759852	3.655918	103.025326	0.01597775	0.015875	0.0171115	0.0162015	0.01620575	0.01125575	0.0098115	0.00991425	0.01139975	0.0122625	0.010518	0.092497	0.0715145	0.21524975	2.50889225	1.1748595	8.47499825	54.71413875	0.988664	4.49632725	133.4370568	0.019068	0.0170135	0.018719	0.0172635	0.0172415	0.013063	0.0105265	0.0106385	0.0117365	0.012655	0.011462	0.094338	0.0741325	0.2263995	2.6920655	1.3449005	10.059731	69.4727685	1.1477765	5.535832	145.9701665	0.023584	0.0188085	0.02058775	0.018913	0.01905625	0.01363225	0.0112415	0.01134275	0.01212	0.01304475	0.012552	0.09676225	0.0780925	0.2377895	2.8611235	1.5869615	11.89850725	81.08973075	1.31657625	6.69269675	157.3283255	0.039411	0.026269	0.028207	0.024828	0.024844	0.019427	0.015025	0.014641	0.013587	0.014498	0.017804	0.107764	0.099518	0.281727	3.464845	2.657521	24.29071	232.091315	1.871167	13.401863	214.693045	0.02011143	0.01731981	0.01895706	0.01757251	0.0175825	0.01248144	0.01064047	0.01064912	0.01175087	0.01262592	0.01165591	0.09499023	0.07517615	0.22785627	2.69134457	1.42257394	10.52534597	73.20171681	1.17658756	6.0085882	146.5944266
80	0.013039	0.015704	0.017026	0.016438	0.01629	0.009624	0.010258	0.011145	0.01395	0.015181	0.01028	0.10044	0.082141	0.26158	3.287875	1.388684	8.010271	49.980971	1.310518	6.706533	191.189171	0.0224945	0.02023925	0.02160975	0.02053	0.02067275	0.01361625	0.0120615	0.0129605	0.01492575	0.016031	0.01222875	0.1067325	0.101636	0.3027725	3.90583325	1.86287775	11.92210675	74.84896675	2.0769505	10.2986455	237.5086833	0.0249565	0.0224155	0.0251015	0.023097	0.0231025	0.01509	0.0126105	0.013914	0.0154965	0.0166675	0.0138845	0.1085065	0.1067215	0.317935	4.2034165	2.092412	14.1711665	97.701381	2.28264	12.5569945	256.1145195	0.02955	0.02465775	0.028562	0.0258545	0.0259295	0.016025	0.0135795	0.01445425	0.01595525	0.01720825	0.01582275	0.11094875	0.11638975	0.34738225	4.58708625	2.32658175	16.66807525	127.21653	2.6843065	16.46304675	285.050627	0.038317	0.030676	0.034816	0.030419	0.030243	0.021301	0.015232	0.017414	0.018578	0.018976	0.018806	0.119282	0.161021	0.446704	6.19936	3.188239	29.496561	274.953814	3.328043	34.020136	350.159313	0.02570181	0.02269577	0.02530039	0.02340768	0.02343211	0.01486805	0.01281143	0.01387015	0.01550973	0.01667454	0.01390799	0.10910166	0.1099568	0.32663904	4.27545561	2.12575091	14.69656711	107.0622464	2.33815593	13.98536149	263.0009705
90	0.014596	0.019131	0.020197	0.019276	0.019337	0.011192	0.01205	0.014874	0.018091	0.019669	0.011891	0.137621	0.104776	0.294072	3.262185	2.104115	13.289391	78.408245	1.536478	7.061695	223.694588	0.028201	0.02717825	0.029803	0.027878	0.0277265	0.0167355	0.0146985	0.01698575	0.01969675	0.02121675	0.0162445	0.1470445	0.1146255	0.331858	3.9799555	2.8143635	18.52062125	132.3086438	1.93438225	8.252029	261.3519963	0.032468	0.029153	0.0322295	0.0296395	0.0297195	0.0177855	0.0154255	0.017815	0.0200715	0.0216835	0.0167595	0.1525105	0.1181575	0.3500745	4.218496	3.187563	22.4953045	165.223568	2.181768	10.1277525	279.6812005	0.0376285	0.032265	0.0354425	0.03265725	0.032757	0.01910125	0.01609175	0.0189685	0.02064775	0.02222975	0.01878875	0.15991325	0.1223555	0.37267825	4.613752	3.598925	26.321364	206.0969475	2.5104785	11.90721475	294.3048073	0.071984	0.039868	0.044185	0.039297	0.039289	0.026342	0.02248	0.021894	0.022229	0.024007	0.022131	0.172953	0.156309	0.451226	5.498295	5.510247	40.967387	437.408591	3.416818	23.491126	363.526997	0.03309503	0.02952295	0.03260182	0.03003685	0.0300539	0.01781689	0.01543525	0.01809283	0.02012441	0.02169751	0.01723226	0.15383246	0.11900038	0.35292665	4.27439671	3.27578944	23.10974828	177.8381286	2.23543125	10.48416184	282.3333175
100	0.022077	0.024348	0.02561	0.024986	0.025153	0.014165	0.016248	0.020258	0.022852	0.024431	0.014412	0.146088	0.137113	0.378779	4.30903	3.474568	17.279578	123.224049	3.037339	15.081002	391.224729	0.03620875	0.037273	0.0406465	0.0374585	0.03756325	0.02067025	0.0197025	0.0229305	0.02489375	0.02718925	0.0208685	0.15114025	0.148532	0.41800175	5.12187375	4.62847075	29.62824475	219.7743815	3.93389825	20.7669955	536.7702068	0.0445585	0.04071	0.046076	0.0419495	0.0420135	0.022058	0.020893	0.0239425	0.025594	0.0278955	0.024074	0.154289	0.1518775	0.441249	5.4319825	5.185555	35.865571	286.572642	4.329519	25.162668	565.74984	0.05474425	0.04485725	0.05041075	0.045862	0.0462385	0.023524	0.02269075	0.0248615	0.0263625	0.028901	0.027666	0.15838675	0.158547	0.4652235	5.74894425	5.999403	42.6160115	355.6809823	5.1297265	30.86895425	595.969684	0.106535	0.089519	0.097242	0.093099	0.091361	0.06671	0.050134	0.058936	0.061692	0.062643	0.050632	0.167806	0.185272	0.596895	6.972681	8.42809	82.532616	915.987462	6.70728	88.749355	730.334511	0.04828282	0.04318409	0.04738596	0.04404657	0.04384329	0.02393862	0.02239678	0.02585397	0.02750073	0.0298989	0.02520459	0.15506569	0.15384956	0.44573733	5.49401757	5.33418457	36.91494177	308.588666	4.50860087	26.9373348	567.4004782
