States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	0.268617021	0.268617021	0.268617021	0.268617021	0.268617021	0.230751656	0.230751656	0.231015554	0.212121212	0.213615023	0.287749288	0.21069989	0.332278481	0.29276214	0.252979212	0.724489796	0.296074433	0.219523587	0.771929825	0.692650919	0.608656447	0.285310734	0.285310734	0.285310734	0.285310734	0.285310734	0.250341099	0.250341099	0.250791718	0.233889333	0.236395273	0.305135952	0.224940259	0.4863604	0.385990088	0.321643093	0.815360117	0.35590469	0.259864532	0.8816305	0.800257243	0.704188568	0.294460641	0.294460641	0.294460641	0.294460641	0.294460641	0.255566802	0.255566802	0.255890567	0.241927933	0.24406862	0.314641745	0.230083407	0.515318592	0.405680582	0.33493169	0.835300386	0.398839938	0.290818876	0.902744438	0.819045434	0.730369777	0.294460641	0.294460641	0.294460641	0.294460641	0.294460641	0.258642766	0.258642766	0.259057394	0.245788632	0.247726767	0.314641745	0.235616509	0.546535374	0.418526517	0.345654787	0.869256605	0.418363029	0.306905287	0.920038023	0.842420259	0.752386682	0.314641745	0.314641745	0.314641745	0.314641745	0.314641745	0.275279368	0.275279368	0.275730276	0.265785609	0.267355982	0.335548173	0.247424898	0.605590062	0.453410405	0.370483808	0.936651584	0.474327075	0.3493557	0.970954357	0.901459854	0.803596023	0.293502005	0.293502005	0.293502005	0.293502005	0.293502005	0.255359398	0.255359398	0.255789478	0.240941484	0.242882138	0.313638883	0.229462998	0.51147515	0.399406906	0.331064584	0.83640891	0.387857336	0.285735664	0.899562727	0.818667909	0.727499481
20	0.252830189	0.252830189	0.252830189	0.252830189	0.252830189	0.206726319	0.206726319	0.207067065	0.193082478	0.198127925	0.271255061	0.190829744	0.339748335	0.276371003	0.2399794	0.779411765	0.216257326	0.162798723	0.776255708	0.736581652	0.644069575	0.263779528	0.263779528	0.263779528	0.263779528	0.263779528	0.217461863	0.217461863	0.217815345	0.214402336	0.217435461	0.282700422	0.205377533	0.419918418	0.34135125	0.288287332	0.850743146	0.294620144	0.218333483	0.851650397	0.784652924	0.701396103	0.267643142	0.267643142	0.267643142	0.267643142	0.267643142	0.220479352	0.220479352	0.220806352	0.217989578	0.222010118	0.286733238	0.212148088	0.452248093	0.366726112	0.306195005	0.869132383	0.326896438	0.24208369	0.872251489	0.80215827	0.718892896	0.267643142	0.267643142	0.267643142	0.267643142	0.267643142	0.223227946	0.223227946	0.22363773	0.220918707	0.224768259	0.286733238	0.214834751	0.476201349	0.383861453	0.3202027	0.885625562	0.352242824	0.261119231	0.895585702	0.824063743	0.740807679	0.271621622	0.271621622	0.271621622	0.271621622	0.271621622	0.230689774	0.230689774	0.231220522	0.227381522	0.230734767	0.290882779	0.22480744	0.529490617	0.410522932	0.335033271	0.944751381	0.457866254	0.342518181	0.944751381	0.876810613	0.821584562	0.26549825	0.26549825	0.26549825	0.26549825	0.26549825	0.22028511	0.22028511	0.220638307	0.217085773	0.220809891	0.284492889	0.209843626	0.446484595	0.361925465	0.303029222	0.867900614	0.326467915	0.242774609	0.872614204	0.804863818	0.72193222
30	0.233152595	0.233152595	0.233152595	0.233152595	0.233152595	0.190217391	0.190217391	0.190554571	0.182874763	0.18873929	0.25062448	0.175299417	0.317439294	0.279591148	0.241963111	0.696969697	0.183968944	0.139462366	0.725393701	0.734849091	0.661483737	0.250207814	0.250207814	0.250207814	0.250207814	0.250207814	0.203248032	0.203248032	0.203574515	0.203002038	0.207647939	0.268510259	0.199062488	0.391638688	0.337737738	0.285349149	0.820498091	0.26614763	0.198468879	0.818437899	0.783631616	0.707144881	0.252516779	0.252516779	0.252516779	0.252516779	0.252516779	0.205544934	0.205544934	0.205826041	0.206396678	0.210770929	0.270927093	0.202962218	0.41642174	0.356630067	0.298902041	0.845643257	0.295599868	0.220605876	0.846975242	0.799190405	0.720102453	0.254868755	0.254868755	0.254868755	0.254868755	0.254868755	0.207657813	0.207657813	0.207977061	0.209814573	0.213918084	0.273387829	0.205958907	0.445249282	0.371023946	0.308872091	0.865911774	0.317659651	0.236714621	0.873536363	0.809634353	0.7358728	0.259706644	0.259706644	0.259706644	0.259706644	0.259706644	0.214143426	0.214143426	0.214570858	0.215132693	0.219280576	0.278445883	0.21313503	0.503412969	0.39306951	0.324457678	0.919745223	0.353244876	0.263688958	0.919745223	0.857074798	0.785664972	0.252388512	0.252388512	0.252388512	0.252388512	0.252388512	0.205365894	0.205365894	0.205711937	0.205774378	0.210047205	0.270790805	0.202002811	0.416139318	0.352314491	0.295361701	0.840541591	0.288326928	0.216384513	0.841867276	0.797208827	0.720719009
40	0.234502924	0.234502924	0.234502924	0.234502924	0.234502924	0.187918834	0.187918834	0.188218728	0.188553312	0.194156293	0.25204274	0.173150524	0.302028796	0.284452362	0.243629041	0.673595506	0.160620894	0.126413155	0.676571429	0.721344086	0.658644592	0.242296073	0.242296073	0.242296073	0.242296073	0.242296073	0.194421924	0.194421924	0.194709848	0.196202825	0.201133605	0.260220636	0.191845137	0.371000631	0.329053814	0.279443591	0.782198116	0.226335943	0.173413663	0.776855601	0.771619164	0.702240297	0.244738797	0.244738797	0.244738797	0.244738797	0.244738797	0.196462739	0.196462739	0.196795371	0.199334878	0.203980969	0.262781328	0.194841065	0.390256325	0.34609318	0.290793168	0.81547021	0.250758921	0.191630182	0.811740296	0.791227875	0.714498745	0.247225647	0.247225647	0.247225647	0.247225647	0.247225647	0.198958077	0.198958077	0.199346284	0.202031474	0.206704196	0.265387161	0.19808221	0.413589571	0.358577612	0.298833873	0.848445265	0.279996045	0.211769791	0.840613389	0.802413418	0.731582981	0.252359975	0.252359975	0.252359975	0.252359975	0.252359975	0.202331096	0.202331096	0.202678797	0.20811158	0.212976814	0.270762998	0.207866	0.4626703	0.387586696	0.320015117	0.887015177	0.359774615	0.26801561	0.887015177	0.835541475	0.756527468	0.244924187	0.244924187	0.244924187	0.244924187	0.244924187	0.196392247	0.196392247	0.196718719	0.199177756	0.204013041	0.262974281	0.194513703	0.390182364	0.343645894	0.288185423	0.813260011	0.253780723	0.192808329	0.807533744	0.787950922	0.715983134
50	0.225981055	0.225981055	0.225981055	0.225981055	0.225981055	0.178781715	0.178781715	0.179075669	0.179946285	0.183030611	0.243085881	0.171509365	0.260434412	0.248005336	0.216769605	0.640204866	0.179036107	0.141512247	0.642269381	0.726192983	0.658582966	0.235321747	0.235321747	0.235321747	0.235321747	0.235321747	0.187078178	0.187078178	0.187421098	0.190624724	0.195589747	0.252902574	0.185828259	0.352968956	0.318000554	0.268794218	0.781129844	0.221936024	0.170657806	0.757786587	0.768535933	0.701580547	0.237778832	0.237778832	0.237778832	0.237778832	0.237778832	0.189192252	0.189192252	0.189499967	0.19312835	0.198007071	0.255481897	0.190000897	0.3699173	0.336858557	0.281855385	0.803214985	0.256236797	0.193365343	0.796277417	0.781632073	0.713954081	0.24028777	0.24028777	0.24028777	0.24028777	0.24028777	0.190928062	0.190928062	0.191263353	0.19517471	0.201015049	0.258114374	0.193133428	0.39038317	0.3526443	0.294138893	0.831787433	0.278447692	0.211087372	0.822775331	0.798342478	0.73120638	0.24679803	0.24679803	0.24679803	0.24679803	0.24679803	0.195848481	0.195848481	0.196185926	0.201274254	0.206048028	0.264939186	0.20330023	0.427653948	0.374049988	0.313737355	0.892420538	0.355729082	0.274810254	0.892420538	0.838107988	0.761828379	0.237843727	0.237843727	0.237843727	0.237843727	0.237843727	0.188826783	0.188826783	0.189145927	0.192603282	0.197936057	0.255548437	0.189154215	0.367182867	0.331938608	0.278627752	0.799539524	0.25208259	0.192353163	0.790273832	0.781997548	0.714989252
60	0.222428	0.222428	0.222428	0.222428	0.222428	0.172647	0.172647	0.1729	0.171272	0.176331	0.239347	0.165503	0.256729	0.256098	0.221907	0.631222	0.143049	0.112165	0.632686	0.71956	0.666338	0.230887	0.230887	0.230887	0.230887	0.230887	0.1813505	0.1813505	0.18164525	0.18622425	0.19174225	0.248245	0.1829335	0.3447395	0.31910125	0.26831975	0.74644575	0.211657	0.16373025	0.745404	0.75985225	0.69507225	0.232855	0.232855	0.232855	0.232855	0.232855	0.183694	0.183694	0.184003	0.18865	0.194255	0.250312	0.186355	0.3662375	0.335294	0.2805885	0.7829405	0.231177	0.178367	0.7708375	0.774188	0.7131035	0.235871	0.235871	0.235871	0.235871	0.235871	0.185634	0.185634	0.18595425	0.19080925	0.196571	0.25348	0.18975175	0.375459	0.3460135	0.28834	0.80685725	0.2561555	0.196384	0.79178725	0.79092675	0.725636	0.238966	0.238966	0.238966	0.238966	0.238966	0.189256	0.189256	0.189596	0.196407	0.201367	0.256728	0.193765	0.4123	0.368828	0.305389	0.855807	0.330433	0.250601	0.843465	0.823915	0.756031	0.23294602	0.23294602	0.23294602	0.23294602	0.23294602	0.18335158	0.18335158	0.18366525	0.18826043	0.19390947	0.25040654	0.18519066	0.35904948	0.33018479	0.27690717	0.77546411	0.23637374	0.18146796	0.76692185	0.77537067	0.71122716
70	0.219956	0.219956	0.219956	0.219956	0.219956	0.17227	0.17227	0.172592	0.176636	0.182713	0.236744	0.162274	0.267871	0.254567	0.220684	0.621317	0.153906	0.12069	0.632797	0.690054	0.647862	0.226202	0.226202	0.226202	0.226202	0.226202	0.176643	0.176643	0.17696675	0.181388	0.18757725	0.243318	0.1798165	0.3308545	0.31249825	0.26347575	0.71217825	0.19446425	0.150057	0.715377	0.76015775	0.6989645	0.228637	0.228637	0.228637	0.228637	0.228637	0.17846	0.17846	0.178765	0.184263	0.190149	0.245879	0.1821225	0.347852	0.328246	0.274517	0.7525645	0.217292	0.1691045	0.744807	0.7729915	0.712293	0.231124	0.231124	0.231124	0.231124	0.231124	0.180513	0.180513	0.18081375	0.187301	0.19298475	0.248493	0.1851055	0.364514	0.33769	0.28278575	0.787093	0.24624875	0.19017225	0.78081375	0.785061	0.72328875	0.237145	0.237145	0.237145	0.237145	0.237145	0.18543	0.18543	0.185754	0.196654	0.202029	0.254816	0.194213	0.393784	0.362023	0.297684	0.860067	0.321049	0.246521	0.844401	0.802838	0.757152	0.22852733	0.22852733	0.22852733	0.22852733	0.22852733	0.17858847	0.17858847	0.1788994	0.18451929	0.19036169	0.24576257	0.18220959	0.34658761	0.3250447	0.27262752	0.74637584	0.22125367	0.17105992	0.74424986	0.77121021	0.71097274
80	0.215554	0.215554	0.215554	0.215554	0.215554	0.166952	0.166952	0.167209	0.170004	0.175218	0.232107	0.165226	0.283108	0.273703	0.235041	0.568257	0.136101	0.108037	0.579172	0.722121	0.662288	0.224181	0.224181	0.224181	0.224181	0.224181	0.173546	0.173546	0.1738365	0.17983375	0.1856375	0.241192	0.1763685	0.33003825	0.314806	0.26397125	0.69685925	0.1923395	0.1491015	0.689222	0.75104825	0.69876225	0.22557	0.22557	0.22557	0.22557	0.22557	0.17512	0.17512	0.175429	0.1817545	0.188104	0.242654	0.180427	0.343131	0.326154	0.272211	0.7385295	0.2161585	0.169237	0.722739	0.764549	0.7109405	0.226976	0.226976	0.226976	0.226976	0.226976	0.1768195	0.1768195	0.17714175	0.18435175	0.1903885	0.244133	0.18371125	0.352739	0.33582175	0.27924725	0.77003175	0.24189425	0.186164	0.75847975	0.779731	0.72284725	0.232039	0.232039	0.232039	0.232039	0.232039	0.179766	0.179766	0.180125	0.191371	0.197089	0.249455	0.189057	0.396534	0.355959	0.299278	0.837767	0.286224	0.220085	0.834929	0.818331	0.749078	0.22556071	0.22556071	0.22556071	0.22556071	0.22556071	0.17516232	0.17516232	0.17546659	0.18177774	0.18777447	0.24264316	0.17972272	0.341786	0.32401331	0.27091191	0.73058478	0.2172487	0.16846169	0.72319165	0.76519913	0.71075914
90	0.215602	0.215602	0.215602	0.215602	0.215602	0.167703	0.167703	0.168044	0.172113	0.178821	0.232157	0.162444	0.271593	0.268435	0.22936	0.552224	0.138947	0.111336	0.565755	0.692124	0.659672	0.22143	0.22143	0.22143	0.22143	0.22143	0.1707195	0.1707195	0.1709775	0.17790525	0.18468175	0.238297	0.17312025	0.32170575	0.309514	0.26119225	0.6806655	0.1843775	0.14512075	0.6847955	0.746087	0.6960475	0.2229375	0.2229375	0.2229375	0.2229375	0.2229375	0.1721455	0.1721455	0.1724635	0.18031	0.1866555	0.2398835	0.1770905	0.3369045	0.3253605	0.271206	0.7170455	0.2070925	0.16177	0.7134225	0.761242	0.7124635	0.224464	0.224464	0.224464	0.224464	0.224464	0.17336375	0.17336375	0.17367275	0.182009	0.18823025	0.24149	0.18050575	0.34907825	0.3356425	0.27732725	0.744721	0.22579975	0.1756805	0.74255775	0.7793775	0.72266125	0.227583	0.227583	0.227583	0.227583	0.227583	0.175994	0.175994	0.176276	0.186087	0.192971	0.24477	0.188752	0.397159	0.361431	0.295946	0.804997	0.285865	0.218569	0.815883	0.807142	0.751371	0.22288162	0.22288162	0.22288162	0.22288162	0.22288162	0.17200453	0.17200453	0.17230525	0.18003156	0.1863242	0.23982411	0.17646361	0.33631728	0.32223421	0.26899566	0.71114322	0.20670647	0.16119164	0.7112541	0.76096494	0.7093714
100	0.212617	0.212617	0.212617	0.212617	0.212617	0.162963	0.162963	0.163255	0.169207	0.174985	0.229009	0.161611	0.272427	0.261978	0.225197	0.568313	0.142743	0.114169	0.552764	0.697364	0.665287	0.217703	0.217703	0.217703	0.217703	0.217703	0.1669495	0.1669495	0.16722025	0.1744235	0.18099175	0.234371	0.1721145	0.32215075	0.31078725	0.259579	0.656597	0.17444975	0.1377095	0.6599675	0.74383625	0.6961605	0.219277	0.219277	0.219277	0.219277	0.219277	0.168712	0.168712	0.168994	0.176706	0.1832095	0.236029	0.175119	0.3314495	0.3222165	0.2685815	0.6994615	0.1952205	0.1535995	0.6939935	0.758859	0.707837	0.220874	0.220874	0.220874	0.220874	0.220874	0.1696665	0.1696665	0.1699555	0.17833225	0.1845285	0.237711	0.177983	0.341912	0.33132325	0.27495525	0.7348255	0.2151415	0.16835225	0.732896	0.76906475	0.7193495	0.225248	0.225248	0.225248	0.225248	0.225248	0.172729	0.172729	0.173016	0.182637	0.189459	0.242314	0.184462	0.362044	0.352392	0.289135	0.793473	0.264118	0.202538	0.795659	0.817694	0.763793	0.21925716	0.21925716	0.21925716	0.21925716	0.21925716	0.16848468	0.16848468	0.16878249	0.17641531	0.18285527	0.23600759	0.1746064	0.32988243	0.31988967	0.26686105	0.6973273	0.1986624	0.15564174	0.69490999	0.75723099	0.70838232
