States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	4.79	4.79	1	1	1.14	1	1	1.04	1	1	1.05	1	1
20	1	1	1	1	1	1	1	1	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	11	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12	12	1	1	2.25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13	13	1	1	4	1	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	10.66	10.66	1	1	1.93	1	1	1.06	1	1	1.1	1	1
30	1	1	1	1	1	1	1	1	12	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15	15	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16	16	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17	17	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	19	1	1	7	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	15.68	15.68	1	1	3.38	1	1	1.09	1	1	1.14	1	1
40	1	1	1	1	1	1	1	1	18	18	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20	20	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	21	21	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	22.25	22.25	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26	26	1	1	10	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	21.35	21.35	1	1	5.29	1	1	1.05	1	1	1.05	1	1
50	1	1	1	1	1	1	1	1	23	23	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26	26	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	27	27	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	28	28	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32	32	1	1	13	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	26.79	26.79	1	1	6.93	1	1	1.11	1	1	1.12	1	1
60	1	1	1	1	1	1	1	1	27	27	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31	31	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32	32	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.25	33.25	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	37	37	1	1	13	1	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	32.11	32.11	1	1	8	1	1	1.2	1	1	1.17	1	1
70	1	1	1	1	1	1	1	1	32	32	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	36	36	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	37.5	37.5	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	39	39	1	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	42	42	1	1	14	1	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	37.33	37.33	1	1	9.07	1	1	1.18	1	1	1.18	1	1
80	1	1	1	1	1	1	1	1	36	36	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	41	41	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	43	43	1	1	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	45	45	1	1	12	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	48	48	1	1	15	1	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	42.79	42.79	1	1	10.66	1	1	1.32	1	1	1.27	1	1
90	1	1	1	1	1	1	1	1	41	41	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	46	46	1	1	9.75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	48	48	1	1	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	50	50	1	1	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	54	54	1	1	17	1	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	48.23	48.23	1	1	10.93	1	1	1.23	1	1	1.26	1	1
100	1	1	1	1	1	1	1	1	47	47	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	52	52	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	53	53	1	1	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	55	55	1	1	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	58	58	1	1	21	1	1	3	1	1	4	1	1	1	1	1	1	1	1	1	1	53.38	53.38	1	1	11.07	1	1	1.26	1	1	1.26	1	1
