States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	1111	1111	1111	1111	1111	1281	1281	1274	280	276	1011	9140	91	949	9526	17	866	9489	7	196	2760	1111	1111	1111	1111	1111	1297.75	1297.75	1292	303	297.75	1011	9149	97	985	9816.5	27	882.75	9726.75	16	273	3318.75	1111	1111	1111	1111	1111	1303	1303	1298	313.5	306	1011	9152	104	993	9939.5	32	891	9800.5	19	302	3587.5	1111	1111	1111	1111	1111	1312	1312	1307	323	315	1011	9156	111.25	1006	10027.25	37.25	906.25	9915.75	24	335.25	3888.5	1111	1111	1111	1111	1111	1348	1348	1344	365	351	1011	9167	128	1035	10200	59	1305	14377	39	545	5651	1111	1111	1111	1111	1111	1304.84	1304.84	1299.63	314.87	307.47	1011	9152.85	104.83	994.17	9917.59	32.54	934.28	10251.34	20.58	309.21	3618.53
20	2211	2211	2211	2211	2211	2654	2654	2642	678	664	2011	18190	181	1959	19736	18	1744	19275	18	437	5348	2211	2211	2211	2211	2211	2691	2691	2681	737.5	710.5	2011	18201	199.75	1993.75	20085	31	1785.75	19748.75	29.75	585.25	7038.75	2211	2211	2211	2211	2211	2711.5	2711.5	2702.5	766	735	2011	18205.5	216.5	2006	20101	39	2027	22449	36	644	7565.5	2211	2211	2211	2211	2211	2728.5	2728.5	2718.5	787	754	2011	18209.25	232	2018.25	20120.25	51	2193.75	24343.5	42.25	682.5	8043.75	2211	2211	2211	2211	2211	2777	2777	2770	844	806	2011	18223	293	2097	20263	66	2825	31437	70	794	9046	2211	2211	2211	2211	2211	2711.65	2711.65	2702.29	763.44	734.15	2011	18205.35	218.09	2009.03	20092.34	40.61	2071.67	22888.69	36.54	632.02	7535.08
30	3311	3311	3311	3311	3311	4044	4044	4027	1131	1081	3011	27240	286	2936	29542	28	2629	29151	28	710	9001	3311	3311	3311	3311	3311	4108.75	4108.75	4094.5	1198	1145.75	3011	27253	329.5	2978.75	30074.75	48	2943	32541	44.75	877.5	10631	3311	3311	3311	3311	3311	4134	4134	4119.5	1228.5	1175	3011	27258	357	2998	30102.5	56.5	3202.5	35369.5	50.5	920.5	11093.5	3311	3311	3311	3311	3311	4154.5	4154.5	4141	1258.5	1198	3011	27265	378	3028	30146.25	69.25	3602.25	39782.75	62	985	11753.25	3311	3311	3311	3311	3311	4225	4225	4213	1336	1273	3011	27280	431	3125	30315	99	4393	48206	112	1254	13832	3311	3311	3311	3311	3311	4134.5	4134.5	4120.18	1229.08	1174.68	3011	27258.99	354.85	3006.48	30103.73	58.13	3288.08	36273.98	54.15	933.54	11187.13
40	4411	4411	4411	4411	4411	5493	5493	5473	1618	1553	4011	36301	412	3896	40004	46	3543	39183	45	983	12820	4411	4411	4411	4411	4411	5564.5	5564.5	5545.75	1700	1622.75	4011	36313	476.75	3959	40058.25	59.75	4103.25	45155.5	61	1158	14362.5	4411	4411	4411	4411	4411	5582	5582	5563	1729	1645	4011	36320	505.5	3985.5	40085.5	73	4512	49434.5	72	1222	14864.5	4411	4411	4411	4411	4411	5604	5604	5585	1758.75	1669.25	4011	36328.25	539	4016	40136	87.25	4960	53952.75	82.25	1318.5	15695	4411	4411	4411	4411	4411	5665	5665	5650	1877	1751	4011	36346	649	4123	40289	116	6065	67356	133	1642	18282	4411	4411	4411	4411	4411	5583.49	5583.49	5564.85	1731.24	1644.35	4011	36321.07	510.23	3992.11	40099.7	73.75	4551.29	50037.47	73.13	1252.1	15041.45
50	5511	5511	5511	5511	5511	6937	6937	6910	2103	2001	5011	45349	564	4866	49894	50	4416	48867	50	1265	16121	5511	5511	5511	5511	5511	7009	7009	6985.75	2206	2088.75	5011	45368	634	4931	50015	84	5205.5	56983.25	82	1490.5	18030.75	5511	5511	5511	5511	5511	7041	7041	7018	2236.5	2119	5011	45375	675	4958.5	50061	94.5	5689.5	62775.5	98	1591.5	18924.5	5511	5511	5511	5511	5511	7061.25	7061.25	7039	2285	2152	5011	45380.25	705.5	4990	50112.25	112.5	6453.75	71004.5	112.25	1652.5	19707.5	5511	5511	5511	5511	5511	7144	7144	7126	2422	2252	5011	45397	799	5116	50283	139	7758	84609	143	1963	22152	5511	5511	5511	5511	5511	7039.71	7039.71	7016.51	2246.97	2122.39	5011	45373.75	672.52	4962.56	50065.16	97.42	5841.27	64052.98	96.49	1580.88	18874.02
60	6611	6611	6611	6611	6611	8394	8394	8361	2585	2466	6011	54375	656	5846	59879	81	5512	60508	81	1560	19913	6611	6611	6611	6611	6611	8479.5	8479.5	8450.5	2736.25	2579.25	6011	54408	801.25	5899.5	59963.25	108.75	6767.75	74170	105	1772	21539.25	6611	6611	6611	6611	6611	8514	8514	8486.5	2777.5	2616.5	6011	54415	847.5	5935	60018	123.5	7167.5	78171.5	120	1908.5	22888	6611	6611	6611	6611	6611	8550.25	8550.25	8524	2824.25	2651.25	6011	54424.25	894	5969	60072.25	140	7853	85959.5	136	2041.25	23950.25	6611	6611	6611	6611	6611	8621	8621	8597	2980	2752	6011	54445	977	6149	60245	194	9894	108906	196	2523	27612	6611	6611	6611	6611	6611	8512.91	8512.91	8485.01	2776.57	2613.77	6011	54415.65	844.03	5940.26	60027.68	124.2	7339.87	80261.32	121.66	1906.75	22768.97
70	7711	7711	7711	7711	7711	9885	9885	9847	3145	2986	7011	63446	857	6815	69783	92	6560	71405	92	1718	22419	7711	7711	7711	7711	7711	9958.75	9958.75	9924.75	3259	3069.75	7011	63471.75	995	6864.5	69918	130	7746.75	84889.25	126	2076.25	25297	7711	7711	7711	7711	7711	9993	9993	9961.5	3322.5	3119.5	7011	63481	1031	6887	69985.5	145	8492	92892	143.5	2178	26461	7711	7711	7711	7711	7711	10023.25	10023.25	9992	3363.5	3151	7011	63490.25	1093.5	6941.5	70047.75	167	9355.25	102890	163	2332	27411.5	7711	7711	7711	7711	7711	10170	10170	10139	3511	3296	7011	63520	1315	7192	70304	225	11879	129443	230	2826	31084	7711	7711	7711	7711	7711	9995.72	9995.72	9963.02	3320.48	3117.14	7011	63481.93	1037.15	6913.13	69997.6	148.53	8664.06	94505.43	146.7	2207.31	26426.98
80	8811	8811	8811	8811	8811	11360	11360	11316	3670	3471	8011	72516	1018	7768	79671	121	8423	92088	120	2085	26311	8811	8811	8811	8811	8811	11451.75	11451.75	11413.75	3817.75	3586.5	8011	72539	1178	7833.75	79872.75	160.5	9735.25	106148.25	159.75	2438.25	29179.75	8811	8811	8811	8811	8811	11491	11491	11454.5	3873.5	3629	8011	72547	1228	7857	79913	182	10483	114276	177	2559.5	30497	8811	8811	8811	8811	8811	11516	11516	11480.25	3930	3666.25	8011	72560.25	1286	7909.25	80002.5	209	11538.25	125305	196	2691	31385.5	8811	8811	8811	8811	8811	11650	11650	11618	4119	3812	8011	72582	1509	8092	80163	286	13988	152583	268	3048	33268	8811	8811	8811	8811	8811	11489.58	11489.58	11452.35	3877.43	3629.77	8011	72548.78	1232.44	7875.09	79938.93	186.28	10665.18	116161.16	181.89	2563.24	30339.13
90	9911	9911	9911	9911	9911	12866	12866	12818	4230	3993	9011	81532	1178	8698	89535	149	9297	100424	149	2287	28626	9911	9911	9911	9911	9911	12961.75	12961.75	12919.75	4391	4117	9011	81563.75	1343.75	8783.5	89777.5	199.75	11252.25	121886	191.5	2797	33437.5	9911	9911	9911	9911	9911	12999	12999	12956.5	4450.5	4155	9011	81575.5	1400.5	8819.5	89867.5	215	12013	130462.5	211.5	2932	34462.5	9911	9911	9911	9911	9911	13038.25	13038.25	13000	4519	4210	9011	81585	1479	8872.25	89950	237.25	13343	145358.5	230	3064.5	35716	9911	9911	9911	9911	9911	13143	13143	13107	4669	4326	9011	81626	1898	9310	90610	296	16606	181109	300	3504	39633	9911	9911	9911	9911	9911	13000.63	13000.63	12958.85	4452.06	4158.64	9011	81574.9	1409.73	8833.05	89881.39	216.13	12368.82	134415.21	211.49	2943.54	34605.48
100	11011	11011	11011	11011	11011	14344	14344	14291	4777	4499	10011	90602	1401	9684	99590	174	10740	116081	167	2553	30735	11011	11011	11011	11011	11011	14459.5	14459.5	14412	4960	4628.25	10011	90627	1553.5	9747.25	99718.5	215.5	12867.75	139658	218.75	3113.5	36993.75	11011	11011	11011	11011	11011	14504.5	14504.5	14458	5030	4685	10011	90639	1611	9778.5	99792	245	14009.5	152508.5	243	3259.5	38443	11011	11011	11011	11011	11011	14540.75	14540.75	14496	5093	4727	10011	90650.25	1667	9823.25	99867.25	268	15089	163727	266.25	3431	40108.25	11011	11011	11011	11011	11011	14629	14629	14587	5228	4827	10011	90683	1875	10175	100322	351	19078	207358	347	3812	42872	11011	11011	11011	11011	11011	14500.36	14500.36	14453.75	5025.89	4678.59	10011	90639.09	1612.46	9795.35	99802.48	245.79	14133.12	153445.35	244.73	3265.4	38389.34
