States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	255	255	255	255	255	255	255	255	75	75	255	1180	90	428	2173	93	418	1967	91	537	2829	255	255	255	255	255	255	255	255	85	85	255	1180	92.75	449.75	2255	102	485.75	2183.75	105	617.5	3247	255	255	255	255	255	255	255	255	88	88	255	1180	96	453.5	2274.5	107	513.5	2287	110	655.5	3390	255	255	255	255	255	255	255	255	94.25	94.25	255	1180	99.25	458	2297	111	544.75	2415.25	116.25	684.75	3629.75	280	255	255	255	255	378	255	255	104	104	255	1180	114	478	2350	143	661	2937	137	808	4442	255.25	255	255	255	255	256.23	255	255	89.13	89.13	255	1180	96.58	453.64	2273.63	107.94	515.98	2306.2	111.02	654.85	3448.69
20	505	505	505	505	505	505	505	505	199	199	505	2334	181	905	4495	214	1053	4730	217	1317	6932	505	505	505	505	505	505	505	505	213.75	213.75	505	2335	194	910	4555	244.75	1210	5240.75	249.75	1478.75	7724.5	505	505	505	505	505	505	505	505	220	220	505	2335	200.5	917	4555	260	1272	5456.5	267	1538	7975	505	505	505	505	505	505	505	505	228	227.25	505	2335	207	924	4555	278.25	1354.75	5791.25	278.25	1614.75	8456.75	530	505	505	505	505	991	505	505	249	249	505	2335	230	953	4600	368	1559	6855	371	1870	9850	505.25	505	505	505	505	509.86	505	505	221.48	221.3	505	2334.99	201.19	918.17	4554.27	262.2	1281.45	5543.68	267.48	1557.06	8115.07
30	755	755	755	755	755	755	755	755	324	323	755	3485	275	1360	6794	354	1715	7476	354	2206	11245	755	755	755	755	755	755	755	755	348	348	755	3485	294	1370	6805	393	1884.5	8083.25	401.75	2395.5	12309.75	755	755	755	755	755	755	755	755	361	360.5	755	3485	307.5	1379.5	6805	410.5	2013.5	8588	418	2466	12723	755	755	755	755	755	755	755	755	372.75	371.25	755	3485	319.25	1390.5	6807.25	432	2113.25	9051.5	449	2571.25	13300	780	755	755	755	755	1965	755	755	404	404	755	3485	359	1432	6977	514	2356	10385	523	3000	15588	756	755	755	755	755	785.25	755	755	361.09	360.71	755	3485	308.25	1381.17	6819	413.5	2015.17	8614.31	424	2487.57	12880.23
40	1005	1005	1005	1005	1005	1005	1005	1005	476	475	1005	4645	371	1813	9047	502	2392	10097	506	3084	16133	1005	1005	1005	1005	1005	1005	1005	1005	503	503	1005	4645	412.75	1831.5	9055	555	2711	11478	559	3351	17147.5	1005	1005	1005	1005	1005	1005	1005	1005	517	516.5	1005	4645	429	1845.5	9055	594	2869	12165.5	597.5	3459.5	17803.5	1005	1005	1005	1005	1005	1005	1005	1005	531	530.25	1005	4645	448	1861	9063.25	634.25	3029.75	12965	637	3570	18568.25	1030	1005	1005	1005	1005	1971	1005	1005	559	559	1005	4645	490	1903	9301	876	3861	16111	808	4080	20731	1005.75	1005	1005	1005	1005	1021.1	1005	1005	517.85	517.14	1005	4645	430.54	1847.02	9077.04	602.07	2885.72	12266.13	604.53	3470.45	17869.39
50	1255	1255	1255	1255	1255	1255	1255	1255	614	614	1255	5780	495	2274	11305	691	3177	13372	688	4057	20769	1255	1255	1255	1255	1255	1255	1255	1255	661	659	1255	5780	531	2297.75	11306	743.75	3573.25	15083.5	747.5	4373.25	22643.5	1255	1255	1255	1255	1255	1255	1255	1255	671.5	671	1255	5780	557	2313.5	11350.5	777.5	3684	15662.5	777.5	4483	23155.5	1255	1255	1255	1255	1255	1255	1255	1255	687	685	1255	5780	577.25	2339.5	11432.25	808	3945.25	16769.5	830	4642	23813.5	1280	1255	1255	1255	1255	3265	1255	1255	741	737	1255	5785	624	2428	11946	1003	4535	19623	1059	5328	27956	1257	1255	1255	1255	1255	1369.57	1255	1255	673.5	672.32	1255	5780.05	555.53	2320.5	11390.53	785.24	3759.93	16000.66	793.23	4511.99	23267.81
60	1505	1505	1505	1505	1505	1505	1505	1505	788	785	1505	6934	606	2743	13555	846	3995	16758	846	4995	25289	1505	1505	1505	1505	1505	1505	1505	1505	819	816.5	1505	6935	664.5	2773.75	13563	928.25	4423.25	18776.75	915.75	5420.25	27960	1505	1505	1505	1505	1505	1505	1505	1505	833.5	833	1505	6935	690.5	2789	13640.5	974	4573.5	19474.5	964	5582	28752.5	1505	1505	1505	1505	1505	1505	1505	1505	852.25	849.25	1505	6935	709	2821	13751	1027.25	4745.5	20057.75	1016	5715.5	29526.75	1804	1746	1746	1746	1746	5120	1746	1519	891	891	1505	6936	773	2882	14209	1277	5582	24126	1390	6220	31592	1525.44	1519.46	1519.46	1519.46	1519.46	1811.07	1519.46	1505.49	833.8	832.12	1505	6935	686.26	2798.23	13676.97	979.09	4616.55	19565.42	971.26	5581.93	28718.31
70	1755	1755	1755	1755	1755	1755	1755	1755	957	956	1755	8090	750	3199	15805	1029	4886	20936	974	5945	30662	1755	1755	1755	1755	1755	1755	1755	1755	984.5	979.75	1755	8090	812	3242.75	15865.75	1107.75	5296.25	22299	1119.5	6444	33118	1755	1755	1755	1755	1755	1755	1755	1755	1001.5	999	1755	8090	836.5	3269.5	15935	1152.5	5516.5	23354.5	1161.5	6607.5	33957	1755	1755	1755	1755	1755	1755	1755	1755	1017	1013.25	1755	8090	862	3301.25	16039.25	1215	5715	24276.5	1220.25	6805.75	35175.25	2094	2036	2036	2036	2036	5970	2036	1764	1092	1086	1755	8090	938	3428	16541	1563	7461	31768	1568	7479	38498	1769.77	1766.24	1766.24	1766.24	1766.24	2007.9	1766.24	1755.22	1001.29	999.03	1755	8090	834.34	3276.38	15971.46	1167.98	5556.31	23542.01	1179.91	6636.71	34144.41
80	2005	2005	2005	2005	2005	2005	2005	2005	1112	1107	2005	9244	853	3684	18070	1175	5666	23801	1210	7139	36854	2005	2005	2005	2005	2005	2005	2005	2005	1157.75	1152.75	2005	9245	940.5	3738.5	18217	1316.75	6275.5	26451.75	1316.75	7564	38910	2005	2005	2005	2005	2005	2005	2005	2005	1169	1166	2005	9245	969.5	3778	18327.5	1361	6483	27456.5	1365.5	7790.5	39766	2005	2005	2005	2005	2005	2005	2005	2005	1186.25	1184	2005	9245	1002.25	3806	18497.25	1408.5	6704.25	28681.25	1436	7975.5	40662.75	2413	2326	2326	2326	2326	5215	2326	2015	1251	1249	2005	9250	1122	3918	19264	1698	7768	33064	1711	8762	45201	2021.95	2017.84	2017.84	2017.84	2017.84	2245.75	2017.84	2005.33	1171.51	1168.67	2005	9245.04	969.62	3776.36	18372.98	1373.7	6520.14	27657.22	1381.72	7812.93	39947.41
90	2255	2255	2255	2255	2255	2255	2255	2255	1293	1291	2255	10399	987	4154	20311	1365	6645	28082	1372	8112	40920	2255	2255	2255	2255	2255	2255	2255	2255	1329.75	1326.75	2255	10400	1087	4238.75	20602.25	1498.5	7174.75	30440.75	1489.75	8662.5	44449.25	2255	2255	2255	2255	2255	2255	2255	2255	1343	1340	2255	10400	1110.5	4280	20736	1551.5	7546.5	32024	1540	8879.5	45224	2255	2255	2255	2255	2255	2255	2255	2255	1363	1358.25	2255	10400	1145	4319.25	20921	1649.25	7823.75	33333	1603.75	9119.75	46517.75	2674	2616	2616	2616	2616	7670	2616	2264	1440	1427	2255	10406	1281	4410	21482	2067	8623	36825	2034	9707	49992	2276.26	2269.44	2269.44	2269.44	2269.44	2890.36	2269.44	2255.27	1347.26	1343.45	2255	10400.09	1118.67	4283.34	20785.83	1587.44	7536.89	32028.68	1569.57	8890.54	45434.57
100	2505	2505	2505	2505	2505	2505	2505	2505	1442	1436	2505	11555	1156	4690	22782	1574	7537	32102	1573	9368	47465	2505	2505	2505	2505	2505	2505	2505	2505	1495.75	1491	2505	11555	1235.75	4772.25	23071	1711.75	8265.75	35204.75	1709	9778.25	50211.75	2505	2505	2505	2505	2505	2505	2505	2505	1516.5	1511	2505	11555	1262	4806	23233.5	1757.5	8515	36406	1753.5	10084.5	51728.5	2511.25	2505	2505	2505	2505	2805.75	2505	2505	1532.75	1530.75	2505	11555	1304	4864.75	23514.25	1833.25	8970.75	38160.5	1836	10351.75	52843.5	2993	2906	2906	2906	2906	8520	2906	2516	1622	1621	2505	11561	1451	5095	24780	2067	9798	42561	2201	10858	55692	2538.16	2529.06	2529.06	2529.06	2529.06	3331.06	2529.06	2505.38	1517.36	1513.03	2505	11555.11	1271.04	4823.97	23341.5	1778.09	8605.08	36716.3	1788.72	10068.94	51543.95
