States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	306	306	306	306	306	390	390	384	147	144	256	1166	91	429	2174	94	419	1968	92	538	2830	306	306	306	306	306	398	398	392.75	165	156.75	256	1169	93.75	450.75	2256	103	486.75	2184.75	106	618.5	3248	306	306	306	306	306	403	403	398	171.5	160	256	1171	97	454.5	2275.5	108	514.5	2288	111	656.5	3391	306	306	306	306	306	408	408	403.25	180.25	168.25	256	1172	100.25	459	2298	112	545.75	2416.25	117.25	685.75	3630.75	392	358	358	359	360	544	444	416	195	179	256	1176	115	479	2351	144	662	2938	138	809	4443	306.86	306.52	306.52	306.53	306.54	404.78	403.78	398.25	171.91	161.55	256	1170.64	97.58	454.64	2274.63	108.94	516.98	2307.2	112.02	655.85	3449.69
20	606	606	606	606	606	826	826	815	379	352	506	2304	182	906	4496	215	1054	4731	218	1318	6933	606	606	606	606	606	844	844	834	405	370	506	2313	195	911	4556	245.75	1211	5241.75	250.75	1479.75	7725.5	606	606	606	606	606	851	851	840	419.5	378	506	2315	201.5	918	4556	261	1273	5457.5	268	1539	7976	606	606	606	606	606	859	859	849.25	431	387.25	506	2317	208	925	4556	279.25	1355.75	5792.25	279.25	1615.75	8457.75	742	708	708	709	710	1267	966	876	474	419	506	2321	231	954	4601	369	1560	6856	372	1871	9851	607.36	607.02	607.02	607.03	607.04	855.07	852.06	841.54	419.16	379.33	506	2314.87	202.19	919.17	4555.27	263.2	1282.45	5544.68	268.48	1558.06	8116.07
30	906	906	906	906	906	1276	1276	1257	601	558	756	3444	276	1361	6795	355	1716	7477	355	2207	11246	906	906	906	906	906	1295.75	1295.75	1280	656.75	591	756	3450	295	1371	6806	394	1885.5	8084.25	402.75	2396.5	12310.75	906	906	906	906	906	1310.5	1310.5	1294.5	680.5	607.5	756	3453	308.5	1380.5	6806	411.5	2014.5	8589	419	2467	12724	906	906	906	906	906	1321.25	1321.25	1306	712.25	620	756	3457	320.25	1391.5	6808.25	433	2114.25	9052.5	450	2572.25	13301	1092	1058	1058	1059	1060	2043	1464	1340	793	666	756	3463	360	1433	6978	515	2357	10386	524	3001	15589	913.44	912.08	912.08	912.12	912.16	1332.35	1314.31	1294.23	683.67	606.17	756	3453.6	309.25	1382.17	6820	414.5	2016.17	8615.31	425	2488.57	12881.23
40	1206	1206	1206	1206	1206	1736	1736	1715	906	801	1006	4590	372	1814	9048	503	2393	10098	507	3085	16134	1206	1206	1206	1206	1206	1774	1774	1753.75	952	836.75	1006	4600.75	413.75	1832.5	9056	556	2712	11479	560	3352	17148.5	1206	1206	1206	1206	1206	1786	1786	1767	981.5	855.5	1006	4604	430	1846.5	9056	595	2870	12166.5	598.5	3460.5	17804.5	1206	1206	1206	1206	1206	1801.25	1801.25	1782	1007.25	871	1006	4607	449	1862	9064.25	635.25	3030.75	12966	638	3571	18569.25	1442	1408	1408	1409	1410	2579	1989	1822	1069	910	1006	4615	491	1904	9302	877	3862	16112	809	4081	20732	1213.08	1212.06	1212.06	1212.09	1212.11	1803.86	1791.86	1767.39	980.62	854.79	1006	4603.66	431.54	1848.02	9078.04	603.07	2886.72	12267.13	605.53	3471.45	17870.39
50	1506	1506	1506	1506	1506	2222	2222	2198	1165	1044	1256	5698	496	2275	11306	692	3178	13373	689	4058	20770	1506	1506	1506	1506	1506	2251	2251	2225.75	1256.5	1087.75	1256	5723	532	2298.75	11307	744.75	3574.25	15084.5	748.5	4374.25	22644.5	1506	1506	1506	1506	1506	2265.5	2265.5	2239.5	1275	1103.5	1256	5728	558	2314.5	11351.5	778.5	3685	15663.5	778.5	4484	23156.5	1506	1506	1506	1506	1506	2281.25	2281.25	2253.25	1315	1120.25	1256	5733	578.25	2340.5	11433.25	809	3946.25	16770.5	831	4643	23814.5	1792	1758	1758	1759	1760	3540	2538	2319	1410	1181	1256	5744	625	2429	11947	1004	4536	19624	1060	5329	27957	1528.88	1526.16	1526.16	1526.24	1526.32	2347.96	2282.86	2240.84	1284.06	1103.84	1256	5727.71	556.53	2321.5	11391.53	786.24	3760.93	16001.66	794.23	4512.99	23268.81
60	1806	1806	1806	1806	1806	2684	2684	2653	1485	1296	1506	6852	607	2744	13556	847	3996	16759	847	4996	25290	1806	1806	1806	1806	1806	2731.5	2731.5	2699.75	1559.75	1338.75	1506	6868	665.5	2774.75	13564	929.25	4424.25	18777.75	916.75	5421.25	27961	1806	1806	1806	1806	1806	2750.5	2750.5	2716.5	1592.5	1355	1506	6872	691.5	2790	13641.5	975	4574.5	19475.5	965	5583	28753.5	1806	1806	1806	1806	1806	2777.5	2777.5	2734.25	1626	1376.25	1506	6876.25	710	2822	13752	1028.25	4746.5	20058.75	1017	5716.5	29527.75	2177	2108	2108	2109	2110	4258	3087	2784	1728	1433	1506	6885	774	2883	14210	1278	5583	24127	1391	6221	31593	1861.86	1854.32	1854.32	1854.48	1854.64	2943.76	2793.58	2719.1	1593.88	1356.88	1506	6871.93	687.26	2799.23	13677.97	980.09	4617.55	19566.42	972.26	5582.93	28719.31
70	2106	2106	2106	2106	2106	3182	3182	3148	1804	1563	1756	7996	751	3200	15806	1030	4887	20937	975	5946	30663	2106	2106	2106	2106	2106	3225	3225	3191	1865.5	1596	1756	8012	813	3243.75	15866.75	1108.75	5297.25	22300	1120.5	6445	33119	2106	2106	2106	2106	2106	3236.5	3236.5	3202	1910	1620.5	1756	8017	837.5	3270.5	15936	1153.5	5517.5	23355.5	1162.5	6608.5	33958	2106	2106	2106	2106	2106	3255	3255	3218	1948	1638	1756	8023	863	3302.25	16040.25	1216	5716	24277.5	1221.25	6806.75	35176.25	2527	2458	2458	2459	2461	5302	3621	3277	2071	1719	1756	8034	939	3429	16542	1564	7462	31769	1569	7480	38499	2145.65	2141.2	2141.2	2141.3	2141.41	3389.74	3270.6	3203.94	1910.58	1618.87	1756	8017.03	835.34	3277.38	15972.46	1168.98	5557.31	23543.01	1180.91	6637.71	34145.41
80	2406	2406	2406	2406	2406	3655	3655	3614	2086	1802	2006	9138	854	3685	18071	1176	5667	23802	1211	7140	36855	2406	2406	2406	2406	2406	3716.75	3716.75	3677	2204.75	1864	2006	9152	941.5	3739.5	18218	1317.75	6276.5	26452.75	1317.75	7565	38911	2406	2406	2406	2406	2406	3734	3734	3695	2239	1883.5	2006	9159	970.5	3779	18328.5	1362	6484	27457.5	1366.5	7791.5	39767	2406	2406	2406	2406	2406	3753	3753	3712	2294.5	1906.5	2006	9166	1003.25	3807	18498.25	1409.5	6705.25	28682.25	1437	7976.5	40663.75	3328	3210	3210	3212	3214	5727	4528	3792	2373	1987	2006	9183	1123	3919	19265	1699	7769	33065	1712	8763	45202	2455.51	2450.22	2450.22	2450.33	2450.44	3894.97	3774.89	3695.29	2246.15	1886.4	2006	9159.45	970.62	3777.36	18373.98	1374.7	6521.14	27658.22	1382.72	7813.93	39948.41
90	2706	2706	2706	2706	2706	4180	4180	4139	2450	2092	2256	10279	988	4155	20312	1366	6646	28083	1373	8113	40921	2706	2706	2706	2706	2706	4217	4217	4172	2545.75	2141	2256	10298.75	1088	4239.75	20603.25	1499.5	7175.75	30441.75	1490.75	8663.5	44450.25	2706	2706	2706	2706	2706	4238.5	4238.5	4193	2585	2158	2256	10306	1111.5	4281	20737	1552.5	7547.5	32025	1541	8880.5	45225	2706	2706	2706	2706	2706	4285	4285	4208.75	2633	2185	2256	10313.25	1146	4320.25	20922	1650.25	7824.75	33334	1604.75	9120.75	46518.75	3227	3158	3158	3159	3160	6505	4710	4266	2768	2264	2256	10332	1282	4411	21483	2068	8624	36826	2035	9708	49993	2814.32	2805.44	2805.44	2805.66	2805.88	4655.61	4331.33	4193.04	2589.3	2161.04	2256	10305.89	1119.67	4284.34	20786.83	1588.44	7537.89	32029.68	1570.57	8891.54	45435.57
100	3006	3006	3006	3006	3006	4666	4666	4610	2674	2317	2506	11419	1157	4691	22783	1575	7538	32103	1574	9369	47466	3006	3006	3006	3006	3006	4713.25	4713.25	4662.75	2855.5	2397.5	2506	11438	1236.75	4773.25	23072	1712.75	8266.75	35205.75	1710	9779.25	50212.75	3006	3006	3006	3006	3006	4735.5	4735.5	4683	2912	2427	2506	11447	1263	4807	23234.5	1758.5	8516	36407	1754.5	10085.5	51729.5	3140	3131.5	3131.5	3131.75	3132	5158	4908	4706	2965.75	2448	2506	11454	1305	4865.75	23515.25	1834.25	8971.75	38161.5	1837	10352.75	52844.5	4128	4010	4010	4012	4014	7334	5775	4802	3218	2569	2506	11488	1452	5096	24781	2068	9799	42562	2202	10859	55693	3158.63	3146.56	3146.56	3146.84	3147.12	5286.41	4871.13	4687.72	2914.49	2427.58	2506	11447.08	1272.04	4824.97	23342.5	1779.09	8606.08	36717.3	1789.72	10069.94	51544.95
