States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	0.000303	0.000283	0.000279	0.00028	0.00028	0.000347	0.000337	0.00034	0.000125	0.00014	0.000402	0.006306	0.000307	0.001775	0.018934	0.00071	0.003405	0.018663	0.000817	0.005945	0.08448	0.000322	0.000297	0.00029675	0.000298	0.00029475	0.00036775	0.000361	0.000357	0.000142	0.000163	0.00042275	0.006555	0.0003435	0.001948	0.02501925	0.000939	0.00474275	0.02500075	0.0010535	0.0071595	0.11139225	0.000332	0.000308	0.000311	0.00031	0.0003105	0.000378	0.000371	0.0003695	0.000153	0.000172	0.000434	0.006635	0.0003585	0.002062	0.028528	0.00102	0.005427	0.029055	0.001143	0.007794	0.123261	0.00034725	0.000323	0.000324	0.00032625	0.00032775	0.000393	0.000384	0.000383	0.000162	0.00018425	0.000445	0.00677275	0.000381	0.00219775	0.03251575	0.0011235	0.0064265	0.0345395	0.0012425	0.00883625	0.13950675	0.000493	0.000395	0.000403	0.000402	0.000509	0.000667	0.000481	0.000452	0.00019	0.000222	0.000505	0.016722	0.000565	0.002633	0.048652	0.001839	0.008566	0.049238	0.001656	0.0136	0.190115	0.00033749	0.00031298	0.00031205	0.00031443	0.00031586	0.00038478	0.00037505	0.00037369	0.00015294	0.00017356	0.00043655	0.00677064	0.0003648	0.00208931	0.02942518	0.00104149	0.00561328	0.03019147	0.00115889	0.00818446	0.12630006
20	0.00074	0.000701	0.000704	0.000709	0.000708	0.000841	0.000845	0.000843	0.000382	0.00043	0.000883	0.015106	0.000846	0.005065	0.067476	0.00332	0.021154	0.104844	0.003389	0.031953	0.542143	0.000784	0.000741	0.00074375	0.00075075	0.00075275	0.00089775	0.000889	0.000886	0.0004295	0.00047775	0.0009165	0.015598	0.00103375	0.00577475	0.086666	0.004376	0.03462275	0.20277925	0.00464125	0.03755075	0.66608625	0.0008065	0.0007615	0.0007625	0.000772	0.0007725	0.000917	0.0009195	0.0009185	0.0004545	0.000506	0.000941	0.015817	0.001094	0.006115	0.0945955	0.0049075	0.039262	0.236886	0.005176	0.0398625	0.7276715	0.00083575	0.00078425	0.0007895	0.00079725	0.00079825	0.00095525	0.000946	0.000941	0.00047625	0.0005345	0.00096025	0.0161315	0.00119325	0.00654225	0.10645025	0.00549325	0.04503675	0.27766	0.0056265	0.04457725	0.81144175	0.001131	0.000993	0.001039	0.000988	0.001028	0.001727	0.001094	0.001051	0.000545	0.000619	0.001133	0.025832	0.001701	0.01117	0.159678	0.008736	0.072421	0.416893	0.00812	0.068694	1.260633	0.00081485	0.00076851	0.0007713	0.00077781	0.00078103	0.00093616	0.00092396	0.00092066	0.00045402	0.00050888	0.00094543	0.01603546	0.00111511	0.00626683	0.09825252	0.00495525	0.04024995	0.2455316	0.00523806	0.04216803	0.74575819
30	0.001241	0.001201	0.001205	0.001222	0.001219	0.001404	0.0014	0.001403	0.000771	0.000835	0.001399	0.02472	0.001763	0.009953	0.147477	0.007755	0.071386	0.409177	0.008179	0.077033	1.285865	0.001296	0.001257	0.00125975	0.00127675	0.00127375	0.00146675	0.0014545	0.00145	0.000878	0.00095775	0.0014705	0.0255875	0.002014	0.01088975	0.17545425	0.01087275	0.1102615	0.6843655	0.0114185	0.09338325	1.78336475	0.0013225	0.001284	0.001289	0.0013055	0.001306	0.0015015	0.001488	0.0014875	0.0009185	0.000998	0.001504	0.026227	0.00219	0.01139	0.1897435	0.011788	0.1312475	0.8145735	0.0122075	0.1023075	1.9670285	0.00137525	0.001335	0.00134375	0.001349	0.00135075	0.00155375	0.00154575	0.00153575	0.00096825	0.00105975	0.00153925	0.0269225	0.00249675	0.0121795	0.21314475	0.012772	0.1524825	0.932879	0.014607	0.11928	2.13153775	0.002019	0.001846	0.002063	0.001889	0.001891	0.00335	0.001854	0.001683	0.001147	0.001235	0.001681	0.029379	0.003021	0.015568	0.279933	0.020148	0.243205	1.480239	0.019615	0.178793	2.806721	0.00135566	0.00131157	0.00132159	0.00133306	0.00133288	0.00156277	0.00151018	0.00149866	0.00092492	0.00100529	0.00150962	0.0263486	0.00224243	0.01169385	0.19807341	0.01229882	0.13281201	0.82783509	0.01308244	0.10903163	1.95506566
40	0.001957	0.001896	0.001928	0.001949	0.001933	0.002095	0.002089	0.002092	0.001289	0.001427	0.00205	0.036776	0.002758	0.01603	0.249228	0.015832	0.19044	1.170237	0.016952	0.154833	3.05638	0.00202425	0.001991	0.00199775	0.00202975	0.00203475	0.002231	0.002218	0.00220875	0.001436	0.00156175	0.002183	0.03927025	0.0033855	0.01781625	0.29431325	0.022196	0.284062	1.7715735	0.0230455	0.19340875	4.79612275	0.0020625	0.0020385	0.0020445	0.0020735	0.002075	0.002287	0.0022755	0.0022685	0.0014755	0.0016115	0.002233	0.040191	0.003634	0.0189185	0.323864	0.025129	0.3353175	2.023076	0.0263865	0.219001	6.1407185	0.00210625	0.00209125	0.00208425	0.00211475	0.00212725	0.00236725	0.002328	0.00231725	0.00152925	0.0016725	0.0022855	0.041304	0.0039075	0.0202175	0.35943375	0.02916225	0.39580075	2.30608825	0.030051	0.2530635	7.6268955	0.003226	0.002951	0.006714	0.003051	0.003045	0.00437	0.002832	0.002632	0.001705	0.001855	0.002423	0.045865	0.009181	0.026507	0.515063	0.05419	0.752109	4.207814	0.046729	0.465826	10.850061	0.00209451	0.00206439	0.00211741	0.00209963	0.00210456	0.00235309	0.0022933	0.00227035	0.0014821	0.00162216	0.00223263	0.04041848	0.0036808	0.0193382	0.32999354	0.02620886	0.35093759	2.08634603	0.02723869	0.23416152	6.30071196
50	0.002497	0.002482	0.002485	0.002521	0.002564	0.002536	0.002522	0.002519	0.001687	0.001899	0.002557	0.049445	0.004437	0.023385	0.406218	0.035618	0.374475	2.221733	0.036547	0.339325	13.556315	0.002647	0.00262475	0.00262075	0.002649	0.002648	0.00263175	0.0026085	0.00260825	0.0018895	0.00214175	0.00263375	0.05185075	0.0051055	0.02629925	0.459267	0.0419135	0.60809325	3.6362925	0.0454375	0.44714725	19.62497225	0.0026935	0.0026685	0.002668	0.0026975	0.0026915	0.002694	0.002664	0.0026665	0.001952	0.0022045	0.0027035	0.0534835	0.005368	0.0277135	0.502768	0.0491775	0.7057085	4.2294025	0.0523115	0.5046635	21.6301485	0.0027655	0.00274025	0.002728	0.00275525	0.00275975	0.00277825	0.0027595	0.0027275	0.00201125	0.00228	0.002796	0.05502625	0.0057945	0.029265	0.542635	0.05565025	0.814591	4.72506075	0.05984875	0.59158	24.649403	0.004315	0.00908	0.00817	0.009549	0.005606	0.00583	0.004617	0.002926	0.002247	0.002548	0.003027	0.06069	0.007055	0.036855	0.705322	0.088982	1.081542	5.953381	0.088359	1.258632	32.994801	0.00281051	0.00287854	0.00283541	0.0028421	0.00280568	0.00288658	0.00272147	0.00267575	0.00195402	0.00220794	0.00271884	0.05363768	0.005492	0.02807757	0.5077296	0.04972987	0.71814981	4.20465478	0.05404021	0.54423927	21.93752979
60	0.003193	0.003172	0.003181	0.003213	0.003225	0.003067	0.003054	0.003067	0.002258	0.002507	0.003074	0.058523	0.006121	0.032557	0.579909	0.04775	0.700661	4.198212	0.049457	0.419077	10.561553	0.00343575	0.00342775	0.00342175	0.003453	0.0034495	0.00325075	0.0032325	0.0032295	0.00249825	0.00284225	0.0031905	0.061017	0.00736975	0.03662125	0.65338925	0.066936	0.9777955	5.5617235	0.067099	0.539021	17.46003625	0.0035025	0.0034645	0.003471	0.0035075	0.003497	0.0033305	0.0032985	0.0033065	0.002586	0.0029515	0.0032865	0.061991	0.007768	0.0382715	0.704079	0.073946	1.1306705	6.2812215	0.073677	0.640683	19.725972	0.003647	0.00360025	0.0036	0.0036215	0.003625	0.0034795	0.0034505	0.0033755	0.00266	0.00302325	0.00347225	0.06301175	0.00813725	0.041884	0.7767955	0.081809	1.25664125	6.944329	0.0853845	0.75315025	21.85796175	0.005929	0.005242	0.010535	0.005344	0.005586	0.007544	0.004084	0.004185	0.002947	0.00335	0.003608	0.068491	0.015155	0.083443	1.376143	0.119082	2.331177	12.199582	0.137397	1.40837	31.861137	0.0038279	0.00372232	0.0039124	0.00375806	0.0037674	0.00380667	0.00338679	0.00331798	0.00258561	0.00294323	0.0033234	0.06214588	0.00782736	0.04135441	0.75082189	0.07545862	1.15938328	6.44522757	0.07646887	0.66628991	19.9785222
70	0.004221	0.004202	0.004174	0.004213	0.004201	0.003757	0.003765	0.003738	0.002895	0.003343	0.00367	0.069742	0.008862	0.044526	0.765705	0.08123	1.189744	6.786683	0.076201	0.584374	19.434142	0.004305	0.004289	0.004282	0.0043295	0.00432675	0.00392375	0.003899	0.00390075	0.00312225	0.00358975	0.003778	0.07432125	0.010261	0.0494465	0.88612725	0.10318625	1.56823325	8.6895475	0.10229775	0.75143075	26.5755335	0.0043935	0.0043515	0.0043415	0.0043895	0.0043885	0.003986	0.003986	0.003957	0.0032485	0.003733	0.003841	0.0760935	0.010755	0.052018	0.9685605	0.1132355	1.8159605	10.0821975	0.1164585	0.8929055	30.31592	0.0044885	0.00443625	0.004427	0.0044895	0.0044685	0.00409625	0.0040675	0.0040475	0.003352	0.00385375	0.0039705	0.0778715	0.0112755	0.05439525	1.02277425	0.130192	2.121163	11.623736	0.130562	1.13036975	34.2196145	0.007369	0.006684	0.00796	0.006809	0.006738	0.0104	0.004709	0.004292	0.003594	0.004167	0.004223	0.084067	0.013204	0.077398	1.715226	0.190237	4.449465	23.416007	0.185481	1.50231	41.776025	0.00466389	0.00457603	0.00462406	0.00461634	0.00461639	0.00437848	0.00403596	0.00396806	0.00324383	0.0037344	0.00388609	0.07614883	0.01079267	0.05229542	0.96804466	0.11632173	1.87402643	10.25076185	0.11897198	0.95288243	30.40242885
80	0.005137	0.005118	0.005141	0.005107	0.005119	0.004458	0.004435	0.004425	0.003594	0.004159	0.004424	0.088171	0.012075	0.05575	1.032744	0.113308	1.690797	9.720011	0.109332	0.828039	24.624092	0.005374	0.005361	0.00536825	0.00540875	0.0054045	0.0046645	0.004675	0.00466325	0.00392875	0.00460175	0.004571	0.0913565	0.01333875	0.06288825	1.150526	0.14552975	2.458098	13.45640325	0.1418635	1.113014	33.89678975	0.005451	0.005435	0.0054395	0.00549	0.005481	0.0047825	0.004772	0.0047545	0.0040485	0.0047085	0.0046545	0.093228	0.0139685	0.065964	1.2257595	0.166469	2.7296755	14.7032365	0.165217	1.2963475	39.2290475	0.00561125	0.00557325	0.005574	0.00559925	0.005608	0.0048765	0.0048585	0.00484425	0.00417875	0.004866	0.00483575	0.0954855	0.0147075	0.069799	1.28578425	0.18363575	3.1326575	16.531676	0.18994725	1.62836075	42.1592955	0.013337	0.011612	0.013163	0.011739	0.011757	0.010156	0.006526	0.005249	0.004637	0.005374	0.005271	0.107615	0.021111	0.083124	1.568819	0.331378	5.130906	26.136975	0.354715	2.496777	52.182927	0.00586815	0.00575203	0.00579257	0.00580531	0.00580885	0.00517702	0.0048433	0.00476256	0.00406106	0.00474619	0.00471807	0.09372062	0.01428123	0.06662809	1.22994813	0.169753	2.82253943	15.21145856	0.17043618	1.3921139	38.22883835
90	0.006326	0.00622	0.006196	0.006253	0.006261	0.005202	0.005171	0.005158	0.004451	0.005328	0.004998	0.096521	0.015194	0.071681	1.140114	0.16209	2.386194	13.185415	0.146641	1.257164	42.420916	0.00652075	0.006454	0.00644775	0.006497	0.00651025	0.005395	0.0053625	0.00535425	0.004721	0.00563775	0.0051525	0.10762625	0.01694775	0.07791325	1.46596225	0.2033665	3.44127225	18.50241775	0.2070825	1.61746575	57.3729015	0.0066545	0.0065855	0.006583	0.0066425	0.0066395	0.005545	0.0054885	0.0054305	0.004885	0.005816	0.0053295	0.120724	0.017517	0.0803005	1.539558	0.2332585	3.8994905	20.7047905	0.2271245	1.8470125	65.1828595	0.0068855	0.00685825	0.006884	0.00708075	0.006858	0.00569175	0.0057075	0.00556375	0.0050425	0.00599275	0.00553475	0.133242	0.01811375	0.08496275	1.6266205	0.2595415	4.40720425	23.47488925	0.25973	2.21039525	72.1502145	0.015466	0.011105	0.016947	0.010971	0.010841	0.012863	0.006723	0.005871	0.00549	0.006569	0.005896	0.186923	0.021444	0.117721	2.423876	0.352418	6.324708	31.249908	0.386291	3.617021	91.275521	0.00761932	0.00736069	0.00755558	0.00746978	0.00738429	0.00658526	0.00563647	0.00546872	0.00488754	0.00582372	0.00535136	0.12443073	0.0176097	0.08189522	1.55547423	0.23775232	3.98611783	21.11275158	0.23579909	1.92147077	65.01659667
100	0.00751	0.007513	0.00751	0.007568	0.007615	0.005943	0.005938	0.005914	0.004936	0.005739	0.005593	0.117943	0.019497	0.084329	1.629698	0.206907	3.342612	19.299866	0.203887	1.592666	59.272276	0.0077955	0.00774775	0.0077285	0.00781175	0.00781	0.00618275	0.006154	0.00613125	0.00561625	0.0065735	0.00579175	0.12417625	0.021732	0.0969735	1.82295525	0.27588875	4.9247765	26.08133825	0.2731675	2.1053185	84.0450575	0.007997	0.007918	0.0079115	0.0079535	0.0079505	0.0063265	0.0062995	0.0062545	0.0058255	0.006834	0.005881	0.127627	0.022521	0.100721	1.906528	0.3148895	5.3460095	27.866111	0.3040805	2.443811	93.710932	0.009736	0.0093605	0.01201075	0.0094005	0.0093815	0.009782	0.0067955	0.006385	0.0060435	0.00710475	0.005997	0.13213425	0.02334125	0.10630175	2.00977875	0.346207	6.011348	31.51187675	0.341602	2.90370275	102.014494	0.019221	0.016565	0.019879	0.016738	0.016744	0.017946	0.008441	0.006872	0.006744	0.007956	0.006498	0.1484	0.034954	0.1289	2.47213	0.446705	7.880302	40.070225	0.47853	4.154718	129.97467	0.00943261	0.00907033	0.00935055	0.00914391	0.00918355	0.00785109	0.00652281	0.00628259	0.00582099	0.00684735	0.00594019	0.12891273	0.02284281	0.10193268	1.9347515	0.31582745	5.46666847	28.58930239	0.31325464	2.53109228	91.81239952
