States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	945	945	945	945	945	1184	1184	1176	378	375	830	4931	151	990	6095	112	908	5953	107	722	4449	975	975	975	975	975	1251.75	1251.75	1243.5	428.5	423.75	855	5189.25	175.75	1138	6876.75	133	1069	6835.5	126	810.5	4786.25	1005	1005	1005	1005	1005	1291.5	1291.5	1283	464	451.5	880	5402	190.5	1192	7237.5	138	1170.5	7452	135.5	856.5	5012.5	1035	1035	1035	1035	1035	1327.25	1327.25	1317.75	484	470.25	905	5604.25	207.5	1258	7593.75	148	1289	8318.75	146.5	896.25	5199.75	1386	1219	1219	1221	1224	2090	1557	1530	580	558	1030	6952	287	1607	9430	212	1887	12300	187	1013	6099	1015.11	1013.44	1013.44	1013.46	1013.49	1304.59	1299.26	1289.85	462.46	450.77	885.5	5454.99	194.09	1215.91	7349.14	142.45	1204.47	7739.63	137.55	856.37	5022.4
20	2155	2155	2155	2155	2155	2913	2913	2893	1145	1118	1880	11182	370	2411	14586	257	2299	14874	262	1842	10659	2215	2215	2215	2215	2215	3052	3052	3033.75	1259.5	1211.75	1930	11684.75	439.5	2608.75	15604.25	309.75	3056.75	19430.5	317	1991.75	11551.75	2245	2245	2245	2245	2245	3111.5	3111.5	3089	1316	1254.5	1955	12009	481	2744.5	16321	338.5	3445.5	21841	344	2041	11788	2335	2335	2335	2335	2335	3194.5	3194.5	3171.25	1376.75	1308.25	2011.25	12376.25	527.25	2945.5	17391.25	368	3909.25	24704.75	362	2142	12151.75	2806	2605	2605	2608	2612	5246	3499	3471	1548	1457	2255	14247	682	3661	20736	475	5794	36279	513	2522	13797	2273.41	2271.4	2271.4	2271.43	2271.47	3141.73	3124.13	3101.76	1322.2	1259.62	1973.75	12069.12	484.69	2792.62	16621.52	342.35	3509.08	22213.62	343.84	2070.7	11863.71
30	3455	3455	3455	3455	3455	4921	4921	4887	2014	1948	3005	17587	576	3793	23118	422	4186	26527	422	3009	17277	3545	3545	3545	3545	3545	5037.75	5037.75	5005.5	2227.5	2116.75	3080	18490.5	745.25	4171.75	24993	512.5	5375.5	33861	529.75	3227.75	18338.75	3635	3635	3635	3635	3635	5158.5	5158.5	5117	2339	2206.5	3142.5	19044	797.5	4403.5	25932	545.5	6069.5	37884	569.5	3347.5	18865.5	3732.5	3732.5	3732.5	3732.5	3732.5	5310.75	5310.75	5256.25	2435.5	2285.5	3230	19781.5	865	4548	26657	584.25	6858.5	43177	620	3511.75	19478.5	4646	4411	4411	4415	4420	10015	5910	5779	2924	2648	3480	22167	1378	5567	32292	748	8991	57276	821	4026	21626	3680.09	3672.05	3672.05	3672.14	3672.3	5318.42	5204.45	5148.6	2349.33	2210.84	3164.75	19189.08	808.84	4436.67	26200.88	554.17	6152.25	38634.78	578.01	3374.13	18968.36
40	4845	4845	4845	4845	4845	6970	6970	6924	3125	2950	4205	24262	920	5396	32411	637	6447	40904	651	4223	24195	4965	4965	4965	4965	4965	7279.25	7279.25	7232.25	3455.5	3222.5	4305	26038.25	1122.25	5807	34408.25	784.25	8423.25	53151.5	791.75	4661.75	25797.75	5070	5070	5070	5070	5070	7405	7405	7365	3553.5	3315.5	4380	26735.5	1231.5	6091	35958	850.5	9783.5	60156.5	849.5	4864	26535	5175	5175	5175	5175	5175	7533	7533	7486.25	3646	3398.25	4480	27563.75	1348	6422	37560.25	926	11445	70970.25	943.25	5013	27459.25	6346	6145	6145	6147	6151	12483	8550	7895	4079	3748	4730	32827	1682	8178	47126	1331	15650	97634	1224	5718	29499	5110.53	5105.52	5105.52	5105.59	5105.66	7514.98	7440.63	7369.78	3561.06	3321.08	4399	27051.23	1245.22	6203.06	36455.07	862.17	10193.53	63127.43	875.17	4860.35	26620.21
50	6295	6295	6295	6295	6295	9343	9343	9171	4330	4090	5455	32075	1256	6918	41681	901	8509	51745	901	5629	31598	6445	6445	6445	6445	6445	9526.25	9526.25	9460	4696.75	4353.25	5580	33614.75	1524.5	7419.25	44242	1056	11876.75	73025.5	1072.75	6086	33288.25	6535	6535	6535	6535	6535	9689.5	9689.5	9618.5	4807.5	4459	5655	34577	1648.5	7804	46044.5	1139	13480	82138	1148	6252.5	33975.5	6692.5	6692.5	6692.5	6692.5	6692.5	9920.25	9920.25	9789.25	4968.75	4587	5730	35774	1784	8200.5	47778	1245.25	14968.25	93171.75	1235	6504	35112.75	8046	7811	7811	7812	7817	18085	10981	10507	5461	4982	6080	40946	2372	10298	58767	1713	22606	137927	1630	7203	38763	6652.33	6635.57	6635.57	6635.79	6636.13	10232.48	9794.96	9651.53	4838.48	4478.52	5663.25	34845.72	1670.07	7875.57	46363.42	1161.46	13748.98	84535.33	1160.07	6293.41	34295.46
60	7655	7655	7655	7655	7655	11535	11535	11468	5633	5256	6630	39277	1602	8476	51420	1132	11683	70415	1174	7084	38651	7955	7955	7955	7955	7955	11932.25	11932.25	11853.25	6010	5553	6873.75	41282	2007.25	9172	54162.5	1347.75	15411.5	95620	1333.5	7616.25	41477.75	8090	8090	8090	8090	8090	12158	12158	12044	6183.5	5686.5	6955	42811	2150.5	9454	55731	1456	17374	105712.5	1466.5	7940	42433	8345	8345	8345	8345	8345	12576.25	12576.25	12270.25	6387.25	5859	7080	43978	2332.75	10012.5	58127.5	1578.5	18862.75	116068.75	1606.5	8220.75	43563.75	10507	10057	10057	10062	10067	23300	14382	12839	6814	6231	7430	51726	3182	13706	77181	2102	29413	179733	2163	9060	47075	8365.37	8317.94	8317.94	8318.51	8319.23	13445.27	12373.76	12066.19	6188.39	5699.66	6981	42985.42	2168.37	9700.03	56930.99	1473.78	17548.02	107531.61	1485.94	7944.23	42696.44
70	9225	9225	9225	9225	9225	13962	13962	13880	7028	6529	7980	46716	2072	10057	60768	1471	15569	93016	1503	8696	47974	9435	9435	9435	9435	9435	14330.75	14330.75	14244	7329.75	6757.25	8155	49486.75	2548.75	10775	63747.5	1657	18627.75	114068.75	1718.5	9345.5	49684	9585	9585	9585	9585	9585	14541.5	14541.5	14401	7523	6889	8255	51122	2703.5	11314.5	66451.5	1768	21451	130929	1853	9506.5	50949	9765	9765	9765	9765	9765	14863	14863	14678.5	7761.5	7112.25	8355	52369.75	2883.25	11820	69266.75	1910.25	24508.5	149957	1996.25	9923.5	52234.5	12292	11704	11704	11709	11723	31893	16530	15447	8168	7450	8830	59321	3993	16572	94146	2999	47848	290555	3004	11401	55149	9785.39	9755.02	9755.02	9755.39	9755.94	15610.12	14719.48	14456.46	7554	6944.79	8272.25	51213.66	2718.32	11438.54	67091.62	1807.43	22120.93	134946.76	1881.4	9639.18	51003.75
80	10735	10735	10735	10735	10735	16367	16367	16263	8432	7821	9280	55044	2610	11756	69749	1612	18065	109678	1805	9897	54905	11035	11035	11035	11035	11035	16898.5	16898.5	16781	8788.5	8080	9505	57580.75	2983.75	12530.5	73716.25	2064.75	23882.5	144552.25	2071	10930.75	58334.75	11155	11155	11155	11155	11155	17088	17088	16962	9002.5	8248	9605	59152	3154.5	12896.5	75799	2191.5	27002.5	163833	2216	11239	59431.5	11312.5	11312.5	11312.5	11312.5	11312.5	17440.25	17440.25	17228.75	9235	8443.5	9736.25	61167	3344.75	13436.75	79128	2340	30060.75	182758.25	2359.25	11764.75	60959.5	17008	16139	16139	16149	16160	32012	22376	17974	10163	9423	10080	67995	4215	16524	94461	3013	43027	261626	3011	13389	65944	11423.65	11389.4	11389.4	11389.79	11390.29	18220.96	17347.74	17021.54	9060.72	8283.71	9633.75	59733.76	3180.22	13066.66	76751.78	2213.01	27337.27	165899.38	2239.11	11343.02	59628.94
90	12335	12335	12335	12335	12335	19142	19142	19033	9993	9143	10655	62423	3175	13511	80847	2069	21638	133938	2046	11622	64143	12665	12665	12665	12665	12665	19557.5	19557.5	19376.25	10362.5	9462.5	10898.75	66078.75	3605.5	14646	85731.25	2368.5	28622	171963	2402.5	12721.75	67183.5	12875	12875	12875	12875	12875	19971.5	19971.5	19645.5	10650.5	9655.5	11005	67977.5	3818.5	15131.5	88471.5	2551	31203.5	189737.5	2578	12973	68461	13175	13175	13175	13175	13175	20432.25	20432.25	19975	10919.5	9896.5	11155	70343.25	4058	15795.25	91553.75	2792.25	35201.75	212836.25	2768.25	13433	69819.25	15827	15591	15591	15595	15600	37083	22862	20712	11670	10655	11505	80014	5989	23577	131386	3641	48448	295139	3412	14765	75655	13356.01	13298.74	13298.74	13299.57	13300.55	22696.56	20317.2	19704.46	10668.59	9722.65	11037	68460.85	3870.7	15378.16	89755.04	2599.22	32369.68	196016.4	2601.3	13084.26	68524.84
100	13965	13965	13965	13965	13965	21612	21612	21455	11133	10337	12055	71817	3784	15119	89763	2397	27826	166038	2384	13328	72584	14227.5	14227.5	14227.5	14227.5	14227.5	22169.25	22169.25	21997	11858	10834.5	12230	75304	4203.75	16500.25	97001.5	2867.5	34695	210455	2856.75	14462	75693	14475	14475	14475	14475	14475	22460	22460	22194.5	12123	11031	12355	76768.5	4390.5	16970.5	99377	3049.5	38826.5	231814	3086	15029	77349.5	15401.5	15359.75	15359.75	15360.25	15361	25185.75	23531.5	22409.5	12414	11274	12480	78929.5	4655.75	17594.25	102750.75	3301.75	44130	264521.25	3334.25	15466	78721.5	20928	20059	20059	20068	20079	42916	28378	23354	13429	11872	12905	88466	5695	21664	123269	4140	56588	344664	4160	17031	83518	15144.74	15064.8	15064.8	15065.83	15067.14	26174.77	23078.9	22235.47	12144.91	11063.94	12368.25	77469.42	4460.25	17230.68	100537.96	3091.89	39603.42	238814.18	3097.46	15014.8	77418.87
