States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	0.287749	0.287749	0.287749	0.287749	0.287749	0.235926	0.235926	0.235926	0.281081	0.287029	0.287749	0.18091	0.383442	0.403034	0.319111	0.629231	0.25967	0.200738	0.630368	0.699425	0.668332	0.305136	0.305136	0.305136	0.305136	0.305136	0.25606875	0.25606875	0.25606875	0.307737	0.3130425	0.305136	0.2152335	0.4714075	0.4550825	0.36455725	0.76682	0.34431725	0.2651215	0.76851225	0.758602	0.71092475	0.314642	0.314642	0.314642	0.314642	0.314642	0.261726	0.261726	0.261726	0.317131	0.322252	0.314642	0.224911	0.4952905	0.471877	0.3777275	0.8078615	0.3782525	0.2939505	0.811657	0.7870835	0.7393925	0.324759	0.324759	0.324759	0.324759	0.324759	0.2675675	0.2675675	0.2675675	0.327295	0.33209625	0.324759	0.23018	0.5153055	0.49068825	0.3908615	0.83858	0.413485	0.32697125	0.8457155	0.81392775	0.76780725	0.335548	0.335548	0.335548	0.335548	0.335548	0.283628	0.283628	0.283628	0.3509	0.353169	0.335548	0.241191	0.571685	0.518551	0.420493	0.889423	0.555154	0.450181	0.88785	0.868675	0.82554	0.31328972	0.31328972	0.31328972	0.31328972	0.31328972	0.26181126	0.26181126	0.26181126	0.31768363	0.32244275	0.31328972	0.2216389	0.49373873	0.47134112	0.37766828	0.80039073	0.38138921	0.29678151	0.80433797	0.78708937	0.73939404
20	0.271255	0.271255	0.271255	0.271255	0.271255	0.21718	0.21718	0.21718	0.256498	0.264903	0.271255	0.174617	0.37796	0.40105	0.328477	0.628843	0.213282	0.17034	0.615642	0.659976	0.610784	0.2827	0.2827	0.2827	0.2827	0.2827	0.2264085	0.2264085	0.2264085	0.272474	0.2790945	0.2827	0.19410325	0.43209625	0.4661715	0.38598625	0.71379525	0.2912605	0.23006225	0.71179175	0.7351395	0.7007645	0.286733	0.286733	0.286733	0.286733	0.286733	0.230201	0.230201	0.230201	0.27822	0.2843465	0.286733	0.201419	0.447989	0.481159	0.39455	0.7401115	0.3184445	0.248778	0.741298	0.7581805	0.7207665	0.290883	0.290883	0.290883	0.290883	0.290883	0.23332775	0.23332775	0.23332775	0.283112	0.28939875	0.290883	0.20672675	0.4647175	0.49596025	0.403248	0.7796235	0.350587	0.2759825	0.77692925	0.781469	0.75427375	0.295154	0.295154	0.295154	0.295154	0.295154	0.241528	0.241528	0.241528	0.294231	0.298974	0.295154	0.224432	0.520525	0.521306	0.428813	0.862138	0.4525	0.360952	0.86451	0.848935	0.822159	0.28560797	0.28560797	0.28560797	0.28560797	0.28560797	0.22981762	0.22981762	0.22981762	0.27785524	0.28415263	0.28560797	0.19977403	0.44768981	0.4785216	0.39377777	0.74524776	0.31925854	0.25155001	0.74235836	0.76065121	0.72571259
30	0.261512	0.261512	0.261512	0.261512	0.261512	0.205405	0.205405	0.205405	0.243581	0.25	0.261512	0.163303	0.383276	0.429212	0.35569	0.568619	0.206988	0.166564	0.57903	0.646179	0.668869	0.26851	0.26851	0.26851	0.26851	0.26851	0.211388	0.211388	0.211388	0.25442675	0.26112175	0.26851	0.180267	0.40699925	0.464388	0.380561	0.677674	0.281751	0.22503975	0.693831	0.73828975	0.7103215	0.270927	0.270927	0.270927	0.270927	0.270927	0.21425	0.21425	0.21425	0.2592455	0.2666265	0.270927	0.1881775	0.421427	0.479036	0.388978	0.713249	0.310013	0.245611	0.719341	0.7591985	0.735675	0.273388	0.273388	0.273388	0.273388	0.273388	0.21661675	0.21661675	0.21661675	0.26221875	0.26929275	0.273388	0.19522775	0.44194575	0.487538	0.3954	0.74257375	0.344085	0.27297775	0.75015875	0.777187	0.75245725	0.278446	0.278446	0.278446	0.278446	0.278446	0.221535	0.221535	0.221535	0.270498	0.276699	0.278446	0.208497	0.50091	0.523169	0.417366	0.804987	0.432239	0.34048	0.827201	0.837456	0.797654	0.27142841	0.27142841	0.27142841	0.27142841	0.27142841	0.21402071	0.21402071	0.21402071	0.25846279	0.26535441	0.27142841	0.18816276	0.4254382	0.47566823	0.38753624	0.71087241	0.31227768	0.24935884	0.71660471	0.75794266	0.73298282
40	0.244363	0.244363	0.244363	0.244363	0.244363	0.191171	0.191171	0.191171	0.228098	0.23437	0.244363	0.155	0.376338	0.406869	0.352955	0.580867	0.209979	0.170179	0.565243	0.673091	0.638676	0.260221	0.260221	0.260221	0.260221	0.260221	0.20200025	0.20200025	0.20200025	0.24283225	0.25040725	0.260221	0.1737405	0.393933	0.455949	0.37327175	0.667633	0.2743065	0.2194445	0.6685475	0.72776775	0.702296	0.263642	0.263642	0.263642	0.263642	0.263642	0.2044095	0.2044095	0.2044095	0.2468845	0.254724	0.263642	0.1801565	0.4106405	0.473397	0.380851	0.7015235	0.304935	0.2419885	0.7038005	0.741449	0.724709	0.265387	0.265387	0.265387	0.265387	0.265387	0.20676775	0.20676775	0.20676775	0.250159	0.25778125	0.265387	0.185919	0.42727625	0.4820315	0.38754075	0.7386075	0.33128475	0.262145	0.73524325	0.7656595	0.74458775	0.270763	0.270763	0.270763	0.270763	0.270763	0.212653	0.212653	0.212653	0.25629	0.26378	0.270763	0.197551	0.490158	0.502188	0.398364	0.812594	0.421124	0.339359	0.804031	0.821123	0.792329	0.26237968	0.26237968	0.26237968	0.26237968	0.26237968	0.204007	0.204007	0.204007	0.24658514	0.25411494	0.26237968	0.18003523	0.41255562	0.46877033	0.3793499	0.69966846	0.3036252	0.24192216	0.69861088	0.74639028	0.72339389
50	0.237328	0.237328	0.237328	0.237328	0.237328	0.18357	0.18357	0.18357	0.215659	0.225092	0.237328	0.145666	0.356392	0.422227	0.348686	0.522076	0.208959	0.164448	0.551644	0.652728	0.633831	0.252903	0.252903	0.252903	0.252903	0.252903	0.19426875	0.19426875	0.19426875	0.23489775	0.2428315	0.252903	0.169012	0.38610925	0.45674175	0.36482725	0.65479375	0.260532	0.2105915	0.642126	0.72456025	0.703975	0.255482	0.255482	0.255482	0.255482	0.255482	0.196436	0.196436	0.196436	0.2386675	0.2465385	0.255482	0.175225	0.400576	0.4661595	0.3711535	0.684708	0.293936	0.2351385	0.678421	0.742827	0.7315335	0.258114	0.258114	0.258114	0.258114	0.258114	0.198589	0.198589	0.198589	0.2415125	0.24912625	0.258114	0.18075575	0.4102395	0.476794	0.3771775	0.70771925	0.31990275	0.25543275	0.70431125	0.76489575	0.74497	0.263546	0.263546	0.263546	0.263546	0.263546	0.204206	0.204206	0.204206	0.247435	0.254952	0.263546	0.192237	0.447887	0.495686	0.390014	0.769495	0.398717	0.320186	0.792826	0.791232	0.777744	0.25487825	0.25487825	0.25487825	0.25487825	0.25487825	0.1959792	0.1959792	0.1959792	0.23782424	0.24568396	0.25487825	0.17479585	0.39849881	0.46572821	0.37096838	0.68114212	0.29270438	0.23440138	0.67651964	0.74203799	0.7252147
60	0.241269	0.241269	0.241269	0.241269	0.241269	0.182409	0.182409	0.182409	0.219181	0.228327	0.241269	0.153534	0.354981	0.401392	0.347642	0.532136	0.180825	0.146043	0.474609	0.672824	0.658814	0.248245	0.248245	0.248245	0.248245	0.248245	0.189415	0.189415	0.189415	0.229004	0.237239	0.248245	0.16691825	0.38218175	0.4605805	0.36387275	0.6374725	0.269814	0.218731	0.6508595	0.724348	0.7107695	0.250312	0.250312	0.250312	0.250312	0.250312	0.191362	0.191362	0.191362	0.232079	0.2401185	0.250312	0.1719095	0.3935885	0.468412	0.368344	0.6743905	0.295581	0.237346	0.6785715	0.7446935	0.7284055	0.25348	0.25348	0.25348	0.25348	0.25348	0.1931465	0.1931465	0.1931465	0.2342985	0.24251575	0.25348	0.17746825	0.405367	0.4792475	0.37422025	0.6956095	0.3199795	0.25671575	0.698221	0.758171	0.74414825	0.25894	0.25894	0.25894	0.25894	0.25894	0.199284	0.199284	0.199284	0.243352	0.25075	0.25894	0.18782	0.453155	0.491996	0.381432	0.771854	0.382396	0.307482	0.765902	0.79037	0.77589	0.25077022	0.25077022	0.25077022	0.25077022	0.25077022	0.19129637	0.19129637	0.19129637	0.23181931	0.23995366	0.25077022	0.17202939	0.39434705	0.4667396	0.36826033	0.665934	0.29580274	0.23781635	0.67024058	0.74120168	0.72575659
70	0.232042	0.232042	0.232042	0.232042	0.232042	0.177473	0.177473	0.177473	0.212911	0.222293	0.232042	0.145435	0.353076	0.397398	0.342052	0.569089	0.200828	0.158815	0.542267	0.682935	0.652591	0.245019	0.245019	0.245019	0.245019	0.245019	0.18545825	0.18545825	0.18545825	0.22480975	0.233201	0.245019	0.16627325	0.37382925	0.4612555	0.360699	0.6333695	0.26773775	0.21562925	0.630563	0.724884	0.71010375	0.247616	0.247616	0.247616	0.247616	0.247616	0.187068	0.187068	0.187068	0.227927	0.2361915	0.247616	0.1714755	0.387053	0.4721165	0.365438	0.667557	0.2906305	0.2323735	0.672043	0.739933	0.7249885	0.248493	0.248493	0.248493	0.248493	0.248493	0.18862825	0.18862825	0.18862825	0.22990225	0.2378485	0.248493	0.176593	0.3981215	0.47857475	0.36966575	0.69643375	0.3173955	0.25409425	0.7033795	0.76421775	0.747249	0.254816	0.254816	0.254816	0.254816	0.254816	0.192197	0.192197	0.192197	0.236188	0.245281	0.254816	0.183091	0.419168	0.500524	0.380221	0.760852	0.376956	0.298798	0.794902	0.791862	0.778358	0.24657657	0.24657657	0.24657657	0.24657657	0.24657657	0.18687644	0.18687644	0.18687644	0.22723822	0.23545725	0.24657657	0.17086321	0.38663199	0.46694966	0.36513683	0.66544172	0.29240957	0.23520347	0.66577005	0.74159599	0.72780389
80	0.23346	0.23346	0.23346	0.23346	0.23346	0.174837	0.174837	0.174837	0.210703	0.218012	0.23346	0.136324	0.324198	0.409954	0.324675	0.532167	0.207746	0.169738	0.55859	0.6848	0.663713	0.240468	0.240468	0.240468	0.240468	0.240468	0.181025	0.181025	0.181025	0.2196765	0.228152	0.240468	0.162781	0.36747725	0.4673485	0.359291	0.63872075	0.26287675	0.21258825	0.6430775	0.7202195	0.707683	0.241921	0.241921	0.241921	0.241921	0.241921	0.182346	0.182346	0.182346	0.2221465	0.230597	0.241921	0.1682805	0.377535	0.47841	0.3641535	0.667687	0.2951315	0.2382245	0.6685185	0.736621	0.726442	0.244133	0.244133	0.244133	0.244133	0.244133	0.18362075	0.18362075	0.18362075	0.225375	0.23396225	0.244133	0.1731445	0.39275975	0.484844	0.3681555	0.70007275	0.321433	0.259547	0.69535425	0.75445625	0.745807	0.248681	0.248681	0.248681	0.248681	0.248681	0.188028	0.188028	0.188028	0.232887	0.240875	0.248681	0.181618	0.434184	0.4951	0.381244	0.766158	0.385009	0.304655	0.792321	0.819393	0.790719	0.24202907	0.24202907	0.24202907	0.24202907	0.24202907	0.18222346	0.18222346	0.18222346	0.22207348	0.23060682	0.24202907	0.16763564	0.3791559	0.47295241	0.36263429	0.66687396	0.29276685	0.23625594	0.6672179	0.73905608	0.72649219
90	0.230376	0.230376	0.230376	0.230376	0.230376	0.171809	0.171809	0.171809	0.207947	0.216805	0.230376	0.154214	0.330358	0.418882	0.337854	0.58596	0.206648	0.168367	0.521325	0.677501	0.662064	0.237668	0.237668	0.237668	0.237668	0.237668	0.1779225	0.1779225	0.1779225	0.2162065	0.22488225	0.237668	0.1623295	0.365426	0.46797425	0.35883675	0.64211775	0.27025325	0.21531225	0.64035025	0.726341	0.71500875	0.239564	0.239564	0.239564	0.239564	0.239564	0.1794605	0.1794605	0.1794605	0.2185565	0.2273535	0.239564	0.166468	0.3769245	0.479991	0.365446	0.663964	0.2904185	0.2341095	0.663628	0.7406245	0.7310165	0.24149	0.24149	0.24149	0.24149	0.24149	0.18050425	0.18050425	0.18050425	0.2210985	0.22969	0.24149	0.16937125	0.3911185	0.48727775	0.369045	0.68681125	0.318412	0.25555925	0.690105	0.7534505	0.745664	0.244107	0.244107	0.244107	0.244107	0.244107	0.182978	0.182978	0.182978	0.224893	0.2331	0.244107	0.17644	0.422573	0.506337	0.380874	0.744406	0.36718	0.301298	0.750255	0.792394	0.802399	0.23927099	0.23927099	0.23927099	0.23927099	0.23927099	0.17910376	0.17910376	0.17910376	0.21826043	0.22692072	0.23927099	0.16583191	0.37805086	0.47560576	0.36405124	0.66284801	0.29449345	0.23701736	0.66126381	0.73999031	0.72969372
100	0.228487	0.228487	0.228487	0.228487	0.228487	0.170177	0.170177	0.170177	0.20459	0.21262	0.228487	0.14705	0.331051	0.393124	0.346945	0.557408	0.206693	0.170688	0.553932	0.676498	0.681473	0.234371	0.234371	0.234371	0.234371	0.234371	0.17446975	0.17446975	0.17446975	0.21208125	0.22131025	0.234371	0.158979	0.359826	0.47383625	0.36364675	0.6281555	0.265078	0.2150995	0.622859	0.7219995	0.71480625	0.236587	0.236587	0.236587	0.236587	0.236587	0.1757145	0.1757145	0.1757145	0.214882	0.2239135	0.236587	0.162464	0.3697095	0.4838855	0.3678065	0.65396	0.286084	0.2315525	0.6460725	0.736612	0.7284295	0.2378525	0.2378525	0.2378525	0.2378525	0.2378525	0.17727225	0.17727225	0.17727225	0.2170805	0.22603175	0.2378525	0.16822425	0.3799285	0.4899095	0.372828	0.68033125	0.30258125	0.24396325	0.67739275	0.751847	0.74247625	0.241147	0.241147	0.241147	0.241147	0.241147	0.180127	0.180127	0.180127	0.225022	0.232058	0.241147	0.175499	0.413767	0.508572	0.383155	0.742034	0.366444	0.292456	0.752532	0.801924	0.778958	0.23607878	0.23607878	0.23607878	0.23607878	0.23607878	0.17573813	0.17573813	0.17573813	0.21451193	0.22330298	0.23607878	0.16307577	0.36975278	0.47854943	0.3680408	0.65231409	0.2851869	0.23033048	0.64727076	0.73576825	0.72860522
