States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	1010	1010	1010	1010	1010	1010	1010	1010	254	254	1010	9200	269	1982	19244	311	2996	27894	311	3399	36386	1010	1010	1010	1010	1010	1010	1010	1010	276	276	1010	9200	297	2182.25	20966.5	357.5	3584.25	33072.75	361.75	3737.25	40634.25	1010	1010	1010	1010	1010	1010	1010	1010	287.5	287.5	1010	9200	305	2243.5	21688.5	382.5	3849.5	35483.5	381.5	3969.5	43066	1010	1010	1010	1010	1010	1010	1010	1010	295.25	295.25	1010	9200	319	2354.5	22962	413.25	4205.25	39112	411.25	4123	45460	1010	1010	1010	1010	1010	1010	1010	1010	322	322	1010	9200	405	2512	24246	526	5400	51486	481	4770	50001	1010	1010	1010	1010	1010	1010	1010	1010	286.78	286.78	1010	9200	311.81	2259.03	21868.39	386.67	3890.21	36047.12	385.93	3951.6	43107.34
20	2010	2010	2010	2010	2010	2010	2010	2010	592	592	2010	18300	634	5204	50463	765	7474	70120	763	7797	79816	2010	2010	2010	2010	2010	2010	2010	2010	640	640	2010	18300	700.5	5568.75	54784.5	851	8742	81188	861.25	8617.75	92289.25	2010	2010	2010	2010	2010	2010	2010	2010	659	659	2010	18300	740	5707.5	55565.5	896	9483	88545	896	8823	95456.5	2010	2010	2010	2010	2010	2010	2010	2010	670.25	670.25	2010	18300	801.5	5803.75	56349.75	940.75	10262	96607.5	946.5	9233	99939.5	2010	2010	2010	2010	2010	2010	2010	2010	723	723	2010	18300	942	6089	57818	1092	13704	117589	1242	10740	126129	2010	2010	2010	2010	2010	2010	2010	2010	656.73	656.73	2010	18300	751.34	5691.49	55427.79	903.06	9598.19	89220.84	905.42	8931.64	96469.33
30	3010	3010	3010	3010	3010	3010	3010	3010	992	992	3010	27400	1040	8646	84296	1259	12466	115444	1248	12700	137393	3010	3010	3010	3010	3010	3010	3010	3010	1033.5	1033.5	3010	27400	1153	8908.75	86289.5	1380.25	14318.75	133623	1402.75	14043.75	150862.75	3010	3010	3010	3010	3010	3010	3010	3010	1054.5	1054.5	3010	27400	1207	9024	86834.5	1442.5	15225.5	141925.5	1456	14477.5	158138.5	3010	3010	3010	3010	3010	3010	3010	3010	1070.5	1070.5	3010	27400	1287.75	9141.5	87349.75	1497.5	16359	152491.5	1522	15138.5	165305.5	3010	3010	3010	3010	3010	3010	3010	3010	1137	1137	3010	27400	1570	9404	88895	2054	19723	177254	1756	16063	179411	3010	3010	3010	3010	3010	3010	3010	3010	1053.61	1053.61	3010	27400	1225.03	9023.39	86804.04	1457.8	15414.33	143669.41	1459.13	14555.93	158049.34
40	4010	4010	4010	4010	4010	4010	4010	4010	1390	1390	4010	36510	1484	11812	115949	1842	18033	166694	1787	18057	187938	4010	4010	4010	4010	4010	4010	4010	4010	1442.75	1442.75	4010	36510	1625.25	12338.75	116953.5	1955.75	20282.25	188681.25	1948.25	19672.5	211040	4010	4010	4010	4010	4010	4010	4010	4010	1465.5	1465.5	4010	36510	1699.5	12488	117254	2058.5	21470	200396.5	2049	20141.5	218756	4010	4010	4010	4010	4010	4010	4010	4010	1486.5	1486.5	4010	36510	1818.75	12687.25	118076.25	2145	22864.25	211230.25	2123	20821.75	224707.5	4010	4010	4010	4010	4010	4010	4010	4010	1597	1597	4010	36510	2047	13238	120641	2645	27129	258724	2457	22736	250667	4010	4010	4010	4010	4010	4010	4010	4010	1468.55	1468.51	4010	36510	1716.82	12498.24	117494.13	2067.04	21638.99	202054.23	2048.55	20237.97	218683.03
50	5010	5010	5010	5010	5010	5010	5010	5010	1827	1827	5010	45610	1969	15165	146073	2305	23171	215761	2301	24126	254383	5010	5010	5010	5010	5010	5010	5010	5010	1874.75	1874.75	5010	45610	2167.5	15971.5	147303.25	2540	26350.25	246372.5	2545	25623.25	275289.5	5010	5010	5010	5010	5010	5010	5010	5010	1897.5	1897	5010	45610	2281.5	16171	147886	2622.5	27852.5	262078	2627	26471.5	286777.5	5010	5010	5010	5010	5010	5010	5010	5010	1931.25	1931.25	5010	45610	2375.5	16369.75	148714	2741	29466	276874.5	2702.5	27255.25	294964.25	5010	5010	5010	5010	5010	5010	5010	5010	2022	2022	5010	45610	2727	17341	150560	3558	37086	350571	3685	29974	335923	5010	5010	5010	5010	5010	5010	5010	5010	1902.42	1902.09	5010	45610	2279.58	16166.32	147959.73	2661.96	28258	264598.8	2646.86	26453.19	286239.79
60	6010	6010	6010	6010	6010	6010	6010	6010	2248	2248	6010	54700	2372	18498	175751	2899	29035	271679	2951	29476	312620	6010	6010	6010	6010	6010	6010	6010	6010	2310.75	2310.25	6010	54700	2622.25	19901.75	177722.5	3138	33010.25	308954.75	3122	31601.75	339811.5	6010	6010	6010	6010	6010	6010	6010	6010	2335	2335	6010	54700	2755.5	20145	178608	3246	34552.5	325236.5	3257.5	32106	349991.5	6010	6010	6010	6010	6010	6010	6010	6010	2361	2361	6010	54700	2860.5	20430.25	179306.75	3418	36332	342959.25	3364.25	33144	358936.75	6010	6010	6010	6010	6010	6010	6010	6010	2433	2433	6010	54700	3299	21265	181284	4181	44335	422507	4089	36799	406222	6010	6010	6010	6010	6010	6010	6010	6010	2337.18	2336.81	6010	54700	2761.76	20121.88	178579.06	3279.36	34804.6	326576.1	3266.37	32411.99	350820.63
70	7010	7010	7010	7010	7010	7010	7010	7010	2668	2668	7010	63815	2931	22726	206597	3475	35021	323808	3497	34004	380965	7010	7010	7010	7010	7010	7010	7010	7010	2747.5	2747.5	7010	63815	3162.75	23877.75	208837.75	3723.25	39453.25	369878.25	3715.5	37762.5	409824.75	7010	7010	7010	7010	7010	7010	7010	7010	2781	2780.5	7010	63815	3255.5	24259.5	209610	3835.5	41437	388103.5	3830	39159	423901	7010	7010	7010	7010	7010	7010	7010	7010	2813	2812.75	7010	63815	3381.75	24783.25	210452	3961.25	43370.75	408917.5	3951.75	40421	435960.75	7010	7010	7010	7010	7010	7010	7010	7010	2907	2907	7010	63815	3982	25862	213403	4358	50123	477165	5609	43415	482667	7010	7010	7010	7010	7010	7010	7010	7010	2779.34	2778.75	7010	63815	3285.89	24285.98	209679.84	3864.41	41642.82	391566.06	3866.89	39066.66	424394.51
80	8010	8010	8010	8010	8010	8010	8010	8010	3131	3131	8010	72930	3439	27242	238082	4078	42160	389541	4114	41926	446943	8010	8010	8010	8010	8010	8010	8010	8010	3208.75	3207.5	8010	72930	3716.25	28539.5	241352.5	4380.75	45898.75	429342.75	4374	44296	478936.75	8010	8010	8010	8010	8010	8010	8010	8010	3235.5	3235.5	8010	72930	3867	28834	242184	4539	48147	449371.5	4500.5	45791.5	495876.5	8010	8010	8010	8010	8010	8010	8010	8010	3266.5	3266.5	8010	72930	4065.5	29077.75	243637.5	4688	50693.5	475368.25	4649.75	47131.5	509884.75	8010	8010	8010	8010	8010	8010	8010	8010	3351	3351	8010	72930	4761	29761	248336	5573	62793	594458	5954	50390	553939	8010	8010	8010	8010	8010	8010	8010	8010	3240.2	3239.5	8010	72930	3901.31	28803.94	242400.27	4572.6	48513.77	455955.5	4540.97	45798.2	496119.24
90	9010	9010	9010	9010	9010	9010	9010	9010	3540	3540	9010	82000	3953	31205	271265	4720	47900	447682	4743	46812	502707	9010	9010	9010	9010	9010	9010	9010	9010	3678	3678	9010	82000	4250	32724.25	274502.25	4972.5	52144	487752.25	4960	50006.5	545741.25	9010	9010	9010	9010	9010	9010	9010	9010	3710	3710	9010	82000	4389.5	33078.5	276257	5142	54411	510938	5085	51824	563568	9010	9010	9010	9010	9010	9010	9010	9010	3746.25	3746.25	9010	82000	4546.25	33555.75	277868.25	5305.5	57854.75	541722.25	5211	53209.5	580558	9010	9010	9010	9010	9010	9010	9010	9010	3853	3853	9010	82000	5312	35338	282967	7025	66761	629342	6993	56840	644648	9010	9010	9010	9010	9010	9010	9010	9010	3708.75	3707.87	9010	82000	4443.83	33153.55	276294.31	5188.46	55163.52	517799.23	5115.45	51661.03	562976.54
100	10010	10010	10010	10010	10010	10010	10010	10010	4062	4059	10010	91110	4515	35627	305380	5369	52867	489524	5355	53119	584762	10010	10010	10010	10010	10010	10010	10010	10010	4147.5	4147.5	10010	91110	4829.25	37347.5	312010.5	5677	59310.5	558425.5	5638	57050.25	618426	10010	10010	10010	10010	10010	10010	10010	10010	4181.5	4181.5	10010	91110	5022	37864	314926.5	5790	62468	585579.5	5749.5	58484.5	637165.5	10010	10010	10010	10010	10010	10010	10010	10010	4227.25	4225.25	10010	91110	5249.5	38364.25	317190.5	5981.25	65523.5	617926.75	5934.5	59983.5	649286.75	10010	10010	10010	10010	10010	10010	10010	10010	4308	4308	10010	91110	6000	40406	323360	8076	78009	726666	7294	63760	691972	10010	10010	10010	10010	10010	10010	10010	10010	4185.23	4184.18	10010	91110	5071.83	37820.42	314610.37	5867.62	63149.9	594293.5	5821.61	58490.99	634964.04
