States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	1010	1010	1010	1010	1010	1171	1171	1171	273	271	1010	9140	143	968	9927	28	928	9740	28	320	3499	1010	1010	1010	1010	1010	1191.75	1191.75	1191.75	303	296.75	1010	9149	162	992.75	10128.5	46	1395.25	14661	45.5	430.25	4425.25	1010	1010	1010	1010	1010	1203	1203	1203	318.5	310	1010	9152	172	1013.5	10208	54	1622	17290	54	472	4888	1010	1010	1010	1010	1010	1213	1213	1213	329.25	319	1010	9154.25	186.25	1036.25	10343.75	66	1958.75	20816.25	63.25	536.5	5432	1010	1010	1010	1010	1010	1242	1242	1242	364	349	1010	9164	230	1122	10664	95	2715	29546	91	604	5958	1010	1010	1010	1010	1010	1203.87	1203.87	1203.87	317.42	309.14	1010	9151.75	176.8	1018.74	10234	55.73	1683.44	17864.64	54.56	472.69	4909.49
20	2010	2010	2010	2010	2010	2419	2419	2419	660	641	2010	18185	294	1919	20440	63	2353	24790	61	680	7270	2010	2010	2010	2010	2010	2473	2473	2473	719.75	695	2010	18200	366	2045	21044.5	98	3698.25	38899.5	102	945.75	9353	2010	2010	2010	2010	2010	2490.5	2490.5	2490.5	744	715	2010	18204	399	2087.5	21334.5	117	4074	43878	121.5	1025.5	10490	2010	2010	2010	2010	2010	2503.25	2503.25	2503.25	762.25	730	2010	18210	453	2140.5	21643.75	140.25	4707.25	50144.25	138	1117.75	11291.5	2010	2010	2010	2010	2010	2553	2553	2553	827	786	2010	18218	538	2436	22650	186	6551	69225	195	1433	14266	2010	2010	2010	2010	2010	2488.8	2488.8	2488.8	742.16	713.33	2010	18204.74	408.22	2104.16	21371.88	119.49	4189.84	44554.48	120.41	1015.8	10400.09
30	3010	3010	3010	3010	3010	3743	3743	3743	1123	1080	3010	27234	485	2921	31084	132	4187	43931	126	1077	11593	3010	3010	3010	3010	3010	3783.75	3783.75	3783.75	1175.75	1124	3010	27251	590.75	3096.25	32349.75	177.75	5728.75	61225.75	172.75	1385.5	14259	3010	3010	3010	3010	3010	3804.5	3804.5	3804.5	1204	1148.5	3010	27256	647.5	3150.5	32812	197.5	6414.5	67651.5	196	1478.5	15212.5	3010	3010	3010	3010	3010	3821.25	3821.25	3821.25	1230	1168.25	3010	27262	705	3226.75	33240.25	221	7246	76531.75	217.5	1613.75	16318.25	3010	3010	3010	3010	3010	3882	3882	3882	1329	1245	3010	27273	941	3706	34307	310	10501	106265	269	2180	19085	3010	3010	3010	3010	3010	3803.92	3803.92	3803.92	1203.84	1148.23	3010	27256.54	656.25	3175.93	32778.91	201.87	6516.36	68632.29	195.49	1499.38	15316.75
40	4010	4010	4010	4010	4010	5059	5059	5059	1587	1514	4010	36297	666	3948	42739	161	5862	62163	169	1587	16277	4010	4010	4010	4010	4010	5114.5	5114.5	5114.5	1661.75	1576	4010	36316	844	4208.25	43884.75	249.75	8179.5	86996	244	1925.5	19883	4010	4010	4010	4010	4010	5136	5136	5136	1688	1600.5	4010	36323	903.5	4274.5	44311.5	280.5	8880	94525	292	2112.5	21528.5	4010	4010	4010	4010	4010	5159.75	5159.75	5159.75	1722.25	1622.75	4010	36327	955.5	4393	44912.25	312.25	9773.75	105317	314.5	2272	23096	4010	4010	4010	4010	4010	5282	5282	5282	1843	1747	4010	36346	1182	5114	46919	440	14474	154123	403	2740	27066	4010	4010	4010	4010	4010	5139.74	5139.74	5139.74	1691.94	1603.67	4010	36321.96	905.24	4321.6	44401.74	281.2	9111.62	97097.29	282.24	2101.88	21363.41
50	5010	5010	5010	5010	5010	6421	6421	6421	2105	1997	5010	45344	944	5000	53740	217	7758	82394	220	1953	21193	5010	5010	5010	5010	5010	6463.75	6463.75	6463.75	2166.75	2050	5010	45364.75	1111.75	5245.5	55258.75	297.75	10383.75	109982.75	315.75	2445.75	24954.5	5010	5010	5010	5010	5010	6487.5	6487.5	6487.5	2197.5	2072.5	5010	45371	1207	5360.5	55820.5	360	11425.5	121285	361	2625.5	26373.5	5010	5010	5010	5010	5010	6523.25	6523.25	6523.25	2240.5	2111.5	5010	45379	1286.25	5464.25	56428.5	398	12968.5	138167	413.25	2834.75	28710.25	5010	5010	5010	5010	5010	6626	6626	6626	2366	2216	5010	45404	1581	6275	57901	559	17638	187838	529	3526	35364	5010	5010	5010	5010	5010	6493.76	6493.76	6493.76	2204.18	2079.43	5010	45370.93	1210.54	5401.6	55867.04	355.7	11802.85	125445.36	361.97	2650.21	26758.68
60	6010	6010	6010	6010	6010	7765	7765	7765	2572	2454	6010	54380	1051	5949	64818	290	9344	99575	271	2407	26237	6010	6010	6010	6010	6010	7825	7825	7825	2678	2526.75	6010	54406	1339	6330.5	66653.75	421.25	12853.5	136372	392	2989.5	29785.5	6010	6010	6010	6010	6010	7851	7851	7851	2716	2553.5	6010	54415	1446	6487.5	67101	468	14648.5	156012	454.5	3194.5	31959	6010	6010	6010	6010	6010	7880	7880	7880	2757.75	2582.5	6010	54421.25	1530.75	6625	67767	509.25	16128	171077.5	507	3458.5	34351.25	6010	6010	6010	6010	6010	7952	7952	7952	2854	2664	6010	54443	1807	8014	69818	694	21621	230683	638	4009	39626	6010	6010	6010	6010	6010	7853.21	7853.21	7853.21	2718.93	2556.58	6010	54413.85	1443.47	6549.56	67163.91	468.63	14661.63	155359.01	450.03	3203.6	32162.57
70	7010	7010	7010	7010	7010	9116	9116	9116	3059	2913	7010	63451	1427	7048	76639	316	12897	136854	278	3038	31414	7010	7010	7010	7010	7010	9185.5	9185.5	9185.5	3193.5	3006.75	7010	63471	1592	7431.25	77957	499.75	15685.75	166403	502.5	3514.5	35476.5	7010	7010	7010	7010	7010	9220.5	9220.5	9220.5	3232.5	3044.5	7010	63480	1699.5	7586.5	78508	557	17681	186145.5	558	3793.5	37607	7010	7010	7010	7010	7010	9251.25	9251.25	9251.25	3288.25	3079	7010	63489.25	1813	7809.75	79363.75	607.75	18834.5	201628.75	610.25	4002.25	40296.25	7010	7010	7010	7010	7010	9346	9346	9346	3426	3188	7010	63506	2114	9790	81088	771	23811	254157	806	4666	47551	7010	7010	7010	7010	7010	9220.64	9220.64	9220.64	3241.76	3040.92	7010	63480.46	1719.08	7727.21	78644.54	547.9	17598.13	187117.21	553.34	3778.01	37923.75
80	8010	8010	8010	8010	8010	10492	10492	10492	3626	3423	8010	72517	1513	8047	87788	337	14727	157084	334	2847	31910	8010	8010	8010	8010	8010	10576.75	10576.75	10576.75	3750	3511.75	8010	72537	1887.5	8461.25	89257.25	559	17964.5	190527	543.75	4046.75	40863.25	8010	8010	8010	8010	8010	10605	10605	10605	3789.5	3542.5	8010	72549.5	1984	8631	90067.5	624.5	19670	207951	600.5	4402.5	44088.5	8010	8010	8010	8010	8010	10631.25	10631.25	10631.25	3834	3575.25	8010	72561	2142.5	8833	90704.75	693	22107.5	233994.25	673.5	4628.75	46024	8010	8010	8010	8010	8010	10724	10724	10724	3963	3672	8010	72592	2749	10730	93206	890	29245	310553	868	5222	52434	8010	8010	8010	8010	8010	10605.81	10605.81	10605.81	3795.28	3547.42	8010	72548.83	2026.01	8736.21	90074.28	622.05	20130.09	213694.54	605.97	4341.44	43544.48
90	9010	9010	9010	9010	9010	11847	11847	11847	4121	3875	9010	81531	1893	8952	98330	480	16763	177652	401	3780	38157	9010	9010	9010	9010	9010	11967.75	11967.75	11967.75	4303.5	4028.5	9010	81561.75	2123	9478.5	100207.75	624	20281.75	213705.5	622.75	4596.5	45408	9010	9010	9010	9010	9010	12006	12006	12006	4363	4065.5	9010	81570.5	2200.5	9663.5	100855	715	23051.5	245065.5	719.5	4881	48378	9010	9010	9010	9010	9010	12036.25	12036.25	12036.25	4414.75	4102.5	9010	81583	2367	9999.5	101822.5	813.5	25396.75	267830.75	800.25	5126	50953.75	9010	9010	9010	9010	9010	12158	12158	12158	4588	4229	9010	81606	3095	11776	104110	1030	31266	332256	1028	6011	58861	9010	9010	9010	9010	9010	12000.31	12000.31	12000.31	4356.72	4062.24	9010	81571.1	2274.23	9813.83	101030.14	721.96	22903.05	243058.5	718.25	4873.96	48449.56
100	10010	10010	10010	10010	10010	13264	13264	13264	4706	4437	10010	90593	2207	9820	108637	561	18148	191374	544	4148	44367	10010	10010	10010	10010	10010	13367.75	13367.75	13367.75	4880.75	4543	10010	90626	2450.75	10505.25	111394	736	23346.75	247063.75	729.5	5217.5	51331	10010	10010	10010	10010	10010	13406	13406	13406	4930	4583	10010	90635.5	2578	10788.5	112182.5	824	25892.5	274278.5	846	5472.5	53873.5	10010	10010	10010	10010	10010	13448.5	13448.5	13448.5	4999.5	4634	10010	90645	2801.5	11079.75	113075.5	913.75	29245.75	313117	938.75	5709.25	56489	10010	10010	10010	10010	10010	13537	13537	13537	5133	4731	10010	90681	3414	13974	116223	1098	35939	383792	1086	6650	65442	10010	10010	10010	10010	10010	13407.17	13407.17	13407.17	4930.97	4585.18	10010	90635.07	2625.42	10955.23	112199.2	826.43	26530.31	281773.39	837.21	5468.54	54113.37
