States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	0.000857	0.000809	0.000802	0.000813	0.000811	0.000975	0.000977	0.000984	0.000219	0.00024	0.00141	0.533491	0.002489	0.022182	1.900751	0.011043	0.108547	1.65214	0.010192	0.181415	29.109064	0.00090825	0.00086575	0.00086275	0.00086425	0.000865	0.0010345	0.001032	0.00103275	0.00026775	0.00029675	0.00149475	0.55375775	0.00279025	0.025839	2.3618895	0.0133025	0.19199525	2.69934075	0.012677	0.2113525	38.33355225	0.000919	0.000876	0.000881	0.000876	0.000875	0.001058	0.0010535	0.001057	0.00028	0.000311	0.0015355	0.5648385	0.002943	0.0275605	2.4671745	0.0155	0.2364635	3.839752	0.0143485	0.232403	42.0635225	0.0009465	0.00090525	0.00090775	0.000904	0.000905	0.001085	0.00108325	0.0010875	0.00029775	0.00032825	0.001571	0.5748355	0.00313125	0.02968925	2.64568075	0.0196165	0.312382	5.09632175	0.0161085	0.25674075	46.660073	0.001012	0.001005	0.001003	0.000985	0.00097	0.006447	0.001166	0.001142	0.000339	0.000376	0.001672	0.609755	0.003622	0.035119	3.350695	0.03948	0.661543	10.017587	0.023972	0.56873	65.631586	0.000924	0.00088393	0.000887	0.00088285	0.00088299	0.00111358	0.00105722	0.00105899	0.00028122	0.00031128	0.00153536	0.56660277	0.00297493	0.02778186	2.51619544	0.01737506	0.2588759	4.23596212	0.01473661	0.24470609	42.93805481
20	0.001989	0.001924	0.001924	0.001941	0.001934	0.002208	0.002192	0.002128	0.000642	0.000693	0.002993	1.15997	0.009135	0.085647	7.298904	0.056603	0.84826	15.027265	0.063406	0.972436	178.937622	0.00204675	0.001987	0.0019815	0.0019855	0.0019845	0.002299	0.00228975	0.00229575	0.00070875	0.000775	0.003179	1.209569	0.0118995	0.10023	9.58320625	0.07564375	1.5238265	24.75153425	0.095926	1.19821	219.7917175	0.00208	0.0020165	0.0020135	0.0020155	0.002018	0.002333	0.002325	0.002331	0.000744	0.0008115	0.003241	1.2441595	0.012667	0.104763	11.1065915	0.0866625	2.0291095	31.807785	0.119111	1.384928	239.472346	0.00211625	0.00204925	0.002038	0.00204025	0.0020475	0.00236975	0.0023655	0.0023705	0.00077725	0.0008525	0.0033255	1.2711325	0.0137345	0.1156935	13.32475625	0.1007585	2.395617	39.3820835	0.17084075	1.635461	279.8166365	0.002195	0.002156	0.002147	0.002133	0.002129	0.002494	0.002511	0.002523	0.000855	0.00094	0.003523	1.36347	0.018389	0.160302	19.243053	0.137996	4.070525	126.005077	0.296816	2.603003	385.811393	0.00208135	0.00202185	0.00201519	0.00201648	0.00201623	0.00233585	0.00232801	0.00233418	0.00074116	0.00081329	0.00324315	1.24111337	0.01288162	0.10904914	11.57259763	0.08944069	2.06877118	34.58369764	0.13662004	1.44946966	251.4998745
30	0.003287	0.003244	0.003225	0.003249	0.003247	0.003603	0.003584	0.003587	0.001407	0.001393	0.00466	2.015608	0.024406	0.184733	11.094823	0.170797	3.175604	43.346549	0.177263	2.690201	629.918005	0.00338825	0.0033205	0.003307	0.0033215	0.003323	0.0036925	0.00367375	0.00367975	0.001519	0.00153	0.00492175	2.3669395	0.02846175	0.21577375	19.51227025	0.2253995	4.97892375	80.6777395	0.22451775	3.36146825	805.7280273	0.003451	0.003378	0.003369	0.003368	0.00338	0.0037515	0.0037355	0.0037385	0.0015635	0.0015825	0.005047	2.822185	0.0301295	0.226396	22.571297	0.2523685	5.6993295	98.428055	0.2561255	3.8008855	871.9974515	0.003502	0.0034335	0.003427	0.0034265	0.003425	0.00382375	0.00380275	0.0037995	0.001625	0.001644	0.00512125	2.97480825	0.03260875	0.245594	25.819327	0.2892845	6.40221375	124.107857	0.28867225	4.57891925	966.3050125	0.003704	0.003572	0.003722	0.0037	0.00376	0.004138	0.004063	0.004019	0.001808	0.001837	0.005429	3.326422	0.037903	0.33353	44.371514	0.510783	10.905783	352.270526	0.428908	8.515726	1215.787717	0.00345218	0.00337993	0.00337607	0.00338331	0.00338489	0.00376394	0.00374715	0.0037499	0.00156877	0.00158754	0.00502042	2.73558362	0.03027602	0.23227345	23.01700601	0.2655747	5.81341768	103.3233933	0.26032192	4.12020263	881.5252889
40	0.004717	0.004725	0.004787	0.004796	0.004793	0.004971	0.004961	0.004988	0.002095	0.002115	0.006613	2.670345	0.038092	0.332651	18.200583	0.404593	5.164694	71.854745	0.383189	8.390494	1066.292456	0.00486775	0.0049195	0.00491725	0.00495475	0.00495225	0.0051375	0.0051075	0.00513575	0.0022915	0.00232975	0.0067595	2.94340675	0.0484595	0.36569325	20.54892675	0.48863775	9.1467395	155.0695718	0.493993	11.540547	1404.019783	0.0049375	0.004982	0.004979	0.0050305	0.0050305	0.0052435	0.005176	0.0052075	0.00238	0.002419	0.0068445	3.140319	0.0519755	0.388279	22.032733	0.537246	11.366981	191.3505865	0.556359	12.882712	1483.979364	0.00505525	0.00507325	0.00509025	0.00515	0.005134	0.00533675	0.0053115	0.00531575	0.00245125	0.002497	0.0070105	3.45342675	0.05615825	0.414648	23.39547175	0.59871	13.362209	248.4866075	0.61899525	14.76976425	1608.020465	0.005422	0.005457	0.005687	0.005603	0.005951	0.00572	0.005742	0.005578	0.002661	0.002761	0.007852	3.891559	0.07141	0.673837	27.085496	0.8999	23.993957	408.750682	1.024703	18.616568	2093.57643	0.00496576	0.00500797	0.00502331	0.00506284	0.00508819	0.00525418	0.00522152	0.00522659	0.00237884	0.00242474	0.00695129	3.19568427	0.05237625	0.40138932	22.17061516	0.55631181	11.56207528	204.6794512	0.57218199	13.24699339	1502.927403
50	0.006601	0.006574	0.006604	0.006641	0.006604	0.006435	0.006391	0.006438	0.002936	0.003226	0.00873	3.219804	0.064224	0.551245	26.814364	0.645732	12.605596	204.600731	0.712562	13.717111	1704.326906	0.0069185	0.00687725	0.0068735	0.0069075	0.00691325	0.00668175	0.00670975	0.00671425	0.00308325	0.003414	0.00890425	4.128289	0.08688025	0.6099005	43.2773725	0.93606425	18.839932	364.563859	0.89202375	22.98908	2486.70735	0.0069875	0.006946	0.0069455	0.0069785	0.006993	0.0068025	0.0067845	0.0067915	0.0031935	0.0035115	0.009	4.6372895	0.093627	0.641164	51.7202645	1.055197	22.5447295	447.805446	1.012991	26.272066	2692.684677	0.00706625	0.00705025	0.00703875	0.007099	0.007081	0.00689775	0.0068765	0.006914	0.00330525	0.00360625	0.00911425	4.97001175	0.099257	0.67866775	61.75060925	1.1605635	27.67234975	560.1089078	1.1609945	31.20206125	2962.101221	0.007703	0.007732	0.013216	0.01342	0.0077	0.007519	0.013011	0.007381	0.009339	0.003918	0.01491	5.337963	0.128671	0.942771	101.97919	2.158034	47.728072	1236.869786	2.043161	50.715245	3886.518054	0.00700504	0.00696825	0.00702403	0.0071304	0.00700232	0.00681522	0.00685989	0.0068265	0.0032558	0.00351252	0.00907859	4.57072327	0.09396957	0.65210254	53.4508349	1.09352464	24.08370664	482.3840437	1.06122576	27.74228967	2744.229279
60	0.008769	0.008744	0.008749	0.008777	0.008826	0.00831	0.008288	0.008295	0.003874	0.004246	0.010659	5.283698	0.106085	0.771037	35.745194	1.233352	22.182938	411.227992	1.01473	30.191499	3324.407892	0.00911075	0.00912175	0.009109	0.009155	0.009169	0.00867575	0.00865725	0.0086455	0.0042285	0.00465525	0.01104425	6.177365	0.128947	0.90556075	47.6862725	1.633405	33.168835	766.7859678	1.602192	42.220226	4151.94706	0.00923	0.0092255	0.0092095	0.009257	0.009272	0.0088215	0.0087615	0.0087675	0.0043195	0.0047795	0.0112	6.500513	0.1352665	0.947726	51.2504965	1.8598385	38.0626235	915.60545	1.8581225	51.0175505	4552.786666	0.0093715	0.00933425	0.0093305	0.00937725	0.00938325	0.0089755	0.008926	0.008889	0.00444425	0.0049105	0.0112835	6.91713425	0.144509	1.007579	55.22392375	2.2543945	49.25466825	1193.003584	2.171058	57.477505	5112.517672	0.009757	0.009748	0.009696	0.009645	0.009715	0.009259	0.009271	0.009336	0.004783	0.005252	0.01208	8.059525	0.184918	1.819417	71.295358	3.334001	80.802146	2667.064392	2.968448	100.519378	8597.146617	0.00924931	0.00922122	0.00921803	0.00926614	0.00927935	0.0088171	0.00879275	0.00878161	0.00433713	0.00479138	0.01117532	6.51737367	0.13715401	0.98652059	51.66528198	1.97121112	41.84323866	1004.338281	1.93252155	51.77682587	4687.856457
70	0.010493	0.01046	0.010485	0.010545	0.010539	0.009231	0.00921	0.009254	0.004605	0.005131	0.012167	6.589481	0.169654	1.045556	75.04756	1.659733	29.365028	537.363783	1.715071	53.909496	5455.095561	0.01068525	0.010651	0.01066775	0.01070975	0.01071075	0.00944625	0.00943275	0.009446	0.0050075	0.00555725	0.01235175	7.42670125	0.194774	1.32328775	112.2590073	2.43688725	47.335825	1174.589255	2.44752725	78.6983245	6880.92326	0.0107845	0.0107555	0.0107575	0.0108135	0.0108195	0.0095545	0.009533	0.0095645	0.0051255	0.0056925	0.0124525	8.1112365	0.206383	1.3963395	129.261079	2.7952085	57.392041	1450.831491	2.9758835	85.4548025	7429.469064	0.010914	0.01088075	0.0108955	0.01096175	0.01089525	0.0096275	0.00961825	0.0096575	0.0052915	0.00589125	0.01259625	8.78772775	0.21478925	1.4971555	149.116124	3.10947625	72.38909525	1873.266385	3.37879625	91.2152775	8229.579889	0.018219	0.018681	0.018056	0.01816	0.011576	0.017312	0.017334	0.017377	0.005639	0.006234	0.020064	12.054036	0.298865	2.408656	175.035055	4.508322	112.613524	4261.768392	6.416105	185.520407	15743.95432	0.01088687	0.01093814	0.01086357	0.0110408	0.01083854	0.00963812	0.00962994	0.0096415	0.00513014	0.00570094	0.01268815	8.33645269	0.20714478	1.47707656	130.6848445	2.83672065	60.25773076	1563.458493	3.00297304	87.91893615	7731.570496
80	0.013153	0.013137	0.013122	0.013301	0.013234	0.011392	0.011381	0.011378	0.006051	0.006667	0.014709	7.745559	0.215775	1.450021	70.397204	2.46219	43.518055	940.622625	2.214248	76.76344	6788.179911	0.01369325	0.01370525	0.0136725	0.01372725	0.013733	0.01176875	0.0117125	0.01180325	0.0063845	0.0071435	0.01514275	9.14505125	0.25837325	1.755535	135.8917953	3.21845875	61.4711945	1457.88397	3.7472555	105.4290718	9091.008845	0.0140395	0.013997	0.0140605	0.0141255	0.0140395	0.012187	0.0121085	0.012184	0.0066245	0.007387	0.015348	9.6826195	0.273057	1.8109035	153.2126655	3.748754	77.668006	1815.471752	4.337937	121.689882	9981.840087	0.014395	0.014343	0.01442825	0.0144315	0.01443275	0.012481	0.01256075	0.0125725	0.00680425	0.0076195	0.0158955	10.705465	0.2918305	1.9081335	169.7919375	4.57556175	93.5688315	2250.761337	5.07464775	134.6366855	11284.65341	0.016582	0.015512	0.015078	0.015019	0.014983	0.013321	0.01326	0.013503	0.007361	0.008139	0.017446	12.918758	0.340052	3.147234	239.78766	6.905383	151.34166	3555.311619	10.581171	228.470294	15771.51945	0.01409381	0.01405666	0.01404988	0.01409588	0.01408671	0.01218573	0.01216445	0.01221247	0.0066392	0.00740599	0.01551132	9.95180866	0.27515329	1.88265306	154.184011	3.93430683	79.81176016	1875.026779	4.60004319	123.7239353	10332.76504
90	0.015626	0.015641	0.015617	0.015603	0.015474	0.012684	0.012712	0.012788	0.006863	0.007657	0.016874	8.055242	0.266691	1.866166	71.907696	3.399898	51.809484	1251.863843	3.435845	119.517951	10487.55053	0.0160225	0.01598875	0.015997	0.016023	0.01599925	0.01307125	0.01314525	0.01320975	0.00763875	0.0085975	0.0172045	8.62468125	0.302544	2.10632	81.46836625	5.0005715	91.958418	2293.205365	5.34635075	154.1991483	12468.16612	0.0161455	0.0161375	0.0162	0.0162585	0.016178	0.0132805	0.0133325	0.013409	0.0078345	0.00881	0.0173805	8.8590555	0.3223515	2.166225	85.857426	5.8626405	120.043897	2951.910383	6.020578	169.8004885	13816.8872	0.01641775	0.0163985	0.0163855	0.0164495	0.01635175	0.01349675	0.01345125	0.013568	0.008022	0.0090415	0.0176025	9.11363775	0.3471175	2.2732405	91.348115	6.7963965	148.8059275	3703.492403	7.10344475	185.4857638	15464.41659	0.020888	0.021215	0.019837	0.020705	0.020661	0.014008	0.017877	0.018402	0.008617	0.013066	0.018374	9.527866	0.408375	3.900204	105.677017	13.349139	292.746563	7140.019465	13.392572	320.046313	25039.02281	0.01629622	0.01622639	0.01622106	0.01633408	0.01623032	0.01329305	0.01338506	0.01350836	0.007825	0.00887531	0.01741295	8.86566491	0.32664752	2.26680635	86.87341268	6.16363588	127.1442128	3017.63238	6.43294683	174.7961463	14236.89945
100	0.018397	0.018373	0.018346	0.018523	0.01843	0.014289	0.014259	0.014385	0.008129	0.009226	0.018487	9.355839	0.386184	2.389312	137.073775	5.230823	81.803275	1858.520854	5.081878	137.086488	12424.76685	0.01891475	0.01879275	0.01878775	0.01885025	0.0188625	0.01473425	0.01476025	0.01484675	0.00894125	0.01008025	0.0188035	9.538926	0.460559	2.86997425	260.8947668	6.955581	131.7439038	3011.458988	7.4319815	199.47115	16466.84124	0.0191485	0.019103	0.0190675	0.0191895	0.019113	0.014993	0.015001	0.0151215	0.009147	0.0103755	0.0190315	9.706376	0.49695	3.0480315	280.4766005	8.2306445	158.9343445	3808.963511	8.3427265	221.6167245	17707.64692	0.01942075	0.01939975	0.01933025	0.01947975	0.019466	0.0152595	0.01524675	0.01533275	0.00936875	0.01059825	0.01939375	9.823967	0.538197	3.23430475	305.5974675	9.63756475	199.905364	4621.14738	10.164381	260.5845883	19699.27764	0.019971	0.01996	0.020097	0.020094	0.020228	0.015756	0.015737	0.015869	0.010191	0.011506	0.020522	10.059718	0.660411	5.986484	455.785719	22.109811	375.591918	7952.661292	17.975503	484.798163	27939.61975	0.01916187	0.01911245	0.01909163	0.01918248	0.01917878	0.01500631	0.01500966	0.01510745	0.00913311	0.01032975	0.0191221	9.69325091	0.50002816	3.15949134	284.4436961	8.56173142	171.8788335	3984.757937	8.8653614	233.0299491	18376.19332
