States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	3010	3010	3010	3010	3010	3561	3561	3561	753	750	3010	38144	523	4310	53432	371	5539	65408	370	4329	51527	3110	3110	3110	3110	3110	3774.75	3774.75	3774.75	856.25	842.75	3110	39968.75	576.75	4629.5	55974.25	432.75	8653	103132.75	433.5	4829.5	56154.25	3210	3210	3210	3210	3210	3859	3859	3859	903.5	893.5	3210	40905	615	4758	57413.5	482	10249	124302	477.5	4988.5	57849	3310	3310	3310	3310	3310	3944.25	3944.25	3944.25	954.25	939	3310	42744.25	676.75	4967.75	59641.75	529.75	11980.75	141755.75	525.25	5253.25	60596	3510	3510	3510	3510	3510	4281	4281	4281	1110	1087	3510	50854	918	5482	65163	702	18372	219156	673	5837	67066	3228	3228	3228	3228	3228	3863.21	3863.21	3863.21	905.37	891.59	3228	41622.41	635.48	4800.11	57947.06	486.16	10593.31	126294.68	482.56	5022.53	58298.12
20	6810	6810	6810	6810	6810	8322	8322	8322	2080	2047	6810	81539	1218	10770	125280	906	16842	194264	903	10658	124399	6910	6910	6910	6910	6910	8614.5	8614.5	8614.5	2280.5	2235.5	6910	88523.5	1522.5	11425	136951.5	1108	25937.5	305255.25	1124	11370.75	129096.75	7010	7010	7010	7010	7010	8731.5	8731.5	8731.5	2360	2308.5	7010	90855.5	1660	11858	140611.5	1210.5	30006.5	359064.5	1223	11714	131884.5	7110	7110	7110	7110	7110	8877.75	8877.75	8877.75	2457	2388.75	7110	94279.75	1860.75	12303.75	144894.5	1304.75	34662.25	409432	1306	12023	135320.25	7410	7410	7410	7410	7410	9255	9255	9255	2721	2653	7410	104801	2237	13719	153627	1580	59145	565795	1650	14186	160297	7040	7040	7040	7040	7040	8750.27	8750.27	8750.27	2366.15	2313.1	7040	91842.22	1690.51	11922.18	140918.74	1218.21	30859.22	363333.13	1225.98	11750.74	132939.93
30	10810	10810	10810	10810	10810	13587	13587	13587	3687	3609	10810	131417	2172	17027	206653	1564	30779	357449	1522	17263	199067	11010	11010	11010	11010	11010	13895.5	13895.5	13895.5	3973.5	3882	11010	140349	2656.5	18458.75	218485.25	1893.5	42856.25	504909.5	1920.5	18687	209313.75	11110	11110	11110	11110	11110	14049	14049	14049	4082	3978.5	11110	145607	2909.5	19003.5	223282	2013.5	48878	578723.5	2032	19192	215182.5	11210	11210	11210	11210	11210	14239.25	14239.25	14239.25	4200.25	4084.5	11210	151996.75	3124.75	19463	228713.5	2168	57304.25	664107	2164.5	19723	221381	11510	11510	11510	11510	11510	14654	14654	14654	4545	4373	11510	167786	3894	20825	245731	2952	90957	978958	2556	21816	245919	11092	11092	11092	11092	11092	14068.64	14068.64	14068.64	4079.62	3973.04	11092	146028.08	2896.16	18995.2	224187.19	2060.85	50878.63	591696.85	2043.98	19214.11	215644.07
40	14810	14810	14810	14810	14810	18857	18857	18857	5526	5374	14810	184813	3099	24437	292288	2481	48183	556022	2388	24855	281603	15110	15110	15110	15110	15110	19393.75	19393.75	19393.75	5798.75	5629.75	15110	196376	3897.5	25833.5	302323.25	2769.25	62078.25	730336	2752.75	26388.75	294634	15210	15210	15210	15210	15210	19617.5	19617.5	19617.5	5945	5763.5	15210	202657.5	4154	26608.5	308726.5	2904	68641.5	807712.5	2919.5	27056	301369	15410	15410	15410	15410	15410	19851.5	19851.5	19851.5	6119.5	5903.5	15410	210141	4445	27310	315175.25	3118.25	81228.5	949362.75	3102	27686.75	308233.75	16410	16410	16410	16410	16410	20976	20976	20976	6391	6166	16410	235549	5283	29786	337189	4046	123925	1401703	4096	30312	338248	15288	15288	15288	15288	15288	19662.75	19662.75	19662.75	5958.45	5781.18	15288	203273.17	4181.07	26703.09	309978.61	2967.8	73014.56	854234.16	2947.1	27125.49	302337.95
50	19010	19010	19010	19010	19010	24534	24534	24534	7538	7351	19010	237259	4489	32450	375579	3103	59250	691317	3016	33082	361406	19410	19410	19410	19410	19410	25228	25228	25228	7837	7595.5	19410	252329.5	5338.5	33908.75	392281.25	3642.5	82308	962903.25	3665.5	34682.5	383520	19610	19610	19610	19610	19610	25504.5	25504.5	25504.5	7980.5	7725	19610	260294	5710	34674.5	398617	3860	96390.5	1110599	3893.5	35499.5	393245.5	19810	19810	19810	19810	19810	25789	25789	25789	8209.75	7915.25	19810	269863.75	6077.25	35498.25	406224.75	4204	112346.25	1304431.75	4162	36568	404951.5	21110	21110	21110	21110	21110	27292	27292	27292	8787	8401	21110	313113	7318	37744	423547	5794	161071	1840753	5314	39646	453162	19663	19663	19663	19663	19663	25572.69	25572.69	25572.69	8003.81	7745.5	19663	261646.18	5744.56	34740.36	399072.03	3929.04	99427.46	1162173.9	3933	35666.45	394799.92
60	23210	23210	23210	23210	23210	30158	30158	30158	9402	9141	23210	291236	5272	39392	463967	3958	76949	896922	4070	41203	457190	23710	23710	23710	23710	23710	31116.25	31116.25	31116.25	9923.75	9591.25	23710	308224	6523.5	42087.25	476480.5	4620.5	103285.75	1219599.25	4563	42642.5	471892.25	24010	24010	24010	24010	24010	31406.5	31406.5	31406.5	10046.5	9696.5	24010	318191.5	7007.5	43058.5	484522	4889	117384.5	1376708	4795.5	43626	482766.5	24210	24210	24210	24210	24210	31729.25	31729.25	31729.25	10227.25	9880.5	24210	327706	7432.5	43979.5	492002	5175.5	132299.25	1543262.75	5188.5	44608.25	491526.5	24910	24910	24910	24910	24910	32948	32948	32948	10959	10520	24910	356274	8799	49342	517766	7017	221004	2566947	7286	48659	547587	23971	23971	23971	23971	23971	31424.79	31424.79	31424.79	10085.8	9741.83	23971	318581.61	7028.79	43154.72	485139	4950.55	120902.46	1409059.81	4901.41	43740.37	483371.97
70	27510	27510	27510	27510	27510	36473	36473	36473	11584	11256	27510	348542	7107	48092	545072	4930	100094	1174971	4996	47862	528640	28210	28210	28210	28210	28210	37163	37163	37163	11997	11581	28210	361368.5	8018.75	50792	566046.5	5431	127553.75	1477279	5432	51039.75	563525	28310	28310	28310	28310	28310	37473	37473	37473	12183	11773.5	28310	372152.5	8370.5	51845	573793	5825.5	142735.5	1671939.5	5701.5	52610.5	581498	28610	28610	28610	28610	28610	37798.25	37798.25	37798.25	12420.25	11950.5	28610	383795.5	8882.5	53102.5	582186.75	6135	158483.75	1862588	6144.75	54179	600344	30210	30210	30210	30210	30210	39499	39499	39499	13198	12667	30210	438788	10721	60058	609480	7235	230815	2964351	8528	57854	636501	28435	28435	28435	28435	28435	37519.27	37519.27	37519.27	12236.14	11805.68	28435	374205.46	8524.95	52084.65	574464.67	5832.85	145501.36	1700372.93	5837.22	52697.21	583226.99
80	32210	32210	32210	32210	32210	42600	42600	42600	13586	13123	32210	401557	7992	57438	637334	5377	109504	1295077	5287	56741	633234	32810	32810	32810	32810	32810	43622.5	43622.5	43622.5	14311.5	13821.75	32810	421208.75	9604.75	59377.5	657304.5	6449.5	144068.25	1663543.25	6365.5	60438.25	667155.5	33110	33110	33110	33110	33110	43927.5	43927.5	43927.5	14575.5	14011	33110	433383.5	10060.5	60653	665605.5	6886	165261.5	1917376	6750	61804	678611	33310	33310	33310	33310	33310	44248	44248	44248	14825	14249.25	33310	448025	11105.25	61935.25	675746	7326.75	195021.5	2253432.25	7196.5	63658	698625.5	34310	34310	34310	34310	34310	45814	45814	45814	15583	14970	34310	534977	13715	68954	743689	8960	254927	2978320	9140	67499	746179	33100	33100	33100	33100	33100	43964.57	43964.57	43964.57	14596.71	14052.75	33100	435956.36	10340.97	60985.18	668930.91	6889.55	169937.21	1977614.68	6838.87	61998.27	683000.04
90	36910	36910	36910	36910	36910	49241	49241	49241	15932	15506	36910	464747	9645	65147	725804	6803	134430	1555472	6469	65845	727771	37310	37310	37310	37310	37310	49915.75	49915.75	49915.75	16734.75	16113.5	37310	484142.75	11029	67530.25	747270.5	7412.25	165658.5	1941309.25	7366.5	68186.25	751839	37610	37610	37610	37610	37610	50206	50206	50206	17007	16347.5	37610	492588.5	11538.5	69433.5	757154.5	7754.5	184591.5	2171298.5	7679	69608	771354	37910	37910	37910	37910	37910	50640	50640	50640	17237	16571	37910	505146	12319.5	71762.5	771667.25	8208.25	213701	2500326	8012.75	71468.25	787599	39110	39110	39110	39110	39110	52442	52442	52442	17918	17172	39110	531727	15824	78705	813595	10257	296932	3400410	9865	76506	846590	37661	37661	37661	37661	37661	50312.97	50312.97	50312.97	16997.18	16343.58	37661	494930.97	11801.97	69803.56	759321.38	7855.93	191045.29	2228970.34	7767.12	69822.79	771533.04
100	41510	41510	41510	41510	41510	55572	55572	55572	18336	17780	41510	519148	11445	72812	823236	7570	153849	1807530	7793	74181	799681	42085	42085	42085	42085	42085	56466.75	56466.75	56466.75	19245.5	18490.75	42085	541598.25	12932.5	76941.5	843877.5	8571	198926.5	2321378.5	8470.75	77914	856865.5	42310	42310	42310	42310	42310	56967.5	56967.5	56967.5	19470.5	18694.5	42310	560800	13528	78641.5	851728.5	8922.5	218960	2556502	8894.5	79401.5	871330.5	42710	42710	42710	42710	42710	57373.75	57373.75	57373.75	19847.5	19022.25	42710	573096	14682.25	80692.25	865207	9343	246251.5	2846235.75	9629	81054.5	886977	43810	43810	43810	43810	43810	58821	58821	58821	20651	19857	43810	619585	17469	94061	898448	13199	313881	3849592	11234	85470	927458	42406	42406	42406	42406	42406	56968.08	56968.08	56968.08	19518.01	18744	42406	559476.89	13763.04	79175.36	855064.17	9022.95	225175.25	2621227.63	9031.2	79520.4	871664.72
