States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	1	1	1	1	1	1	1	1	4	4	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	1	1	4	1	1	2	1	1	2	1	1	2	2	2	2	2	2	2	2	8	8	2	1	6	1	1	5	1	1	5	1	1	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	6.09	6.09	1.03	1	3.65	1	1	1.57	1	1	1.66	1	1
20	1	1	1	1	1	1	1	1	9	9	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	11	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12	12	1	1	5	1	1	2	1	1	2	1	1	2	2	2	2	2	2	2	2	14	14	2	1	8	1	1	4	1	1	4	1	1	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	11.23	11.23	1.07	1	4.01	1	1	1.5	1	1	1.49	1	1
30	1	1	1	1	1	1	1	1	13	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15.75	15.75	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17	17	1	1	4	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	18	18	1	1	5	1	1	2	1	1	2	1	1	2	2	2	2	2	2	2	3	20	20	2	1	11	1	1	4	1	1	4	1	1	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.13	16.55	16.54	1.12	1	4.57	1	1	1.71	1	1	1.68	1	1
40	1	1	1	1	1	1	1	1	17	17	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	21	21	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	22	22	1	1	6	1	1	1	1	1	1.5	1	1	1	1	1	1	1	1	1	1	24	24	1	1	7	1	1	2	1	1	2	1	1	2	2	2	2	2	2	2	3	26	26	2	1	12	1	1	4	1	1	6	1	1	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.19	22.22	22.22	1.18	1	5.85	1	1	1.7	1	1	1.67	1	1
50	1	1	1	1	1	1	1	1	23	22	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	27	27	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	28	28	1	1	6	1	1	2	1	1	2	1	1	2	2	2	2	2	2	2	2	29	29	2	1	8	1	1	3	1	1	2	1	1	3	3	3	3	3	2	3	4	32	32	3	1	15	1	1	7	1	1	6	1	1	1.35	1.35	1.35	1.35	1.35	1.32	1.35	1.38	27.78	27.73	1.35	1	6.32	1	1	2.04	1	1	1.99	1	1
60	1	1	1	1	1	1	1	1	28	28	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32	32	1	1	4	1	1	1	1	1	1	1	1	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	33	33	1.5	1	6	1	1	2	1	1	2	1	1	2	2	2	2	2	2	2	2	34	34	2	1	7	1	1	2	1	1	2.25	1	1	3	3	3	3	3	2	3	4	39	39	3	1	12	1	1	6	1	1	6	1	1	1.51	1.51	1.51	1.51	1.51	1.5	1.51	1.61	32.89	32.89	1.51	1	6.1	1	1	2.02	1	1	1.96	1	1
70	1	1	1	1	1	1	1	1	34	34	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	38	37.75	1	1	5	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	39	39	2	1	7	1	1	2	1	1	2	1	1	2	2	2	2	2	2	2	2.25	40	40	2	1	9	1	1	3	1	1	3	1	1	4	4	4	4	4	2	4	4	45	45	4	1	16	1	1	6	1	1	5	1	1	1.63	1.63	1.63	1.63	1.63	1.55	1.63	1.89	38.82	38.79	1.63	1	7	1	1	2.2	1	1	2.06	1	1
80	1	1	1	1	1	1	1	1	39	39	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	43	43	1	1	5	1	1	1.75	1	1	1	1	1	2	2	2	2	2	2	2	2	44	44	2	1	7	1	1	2	1	1	2	1	1	2	2	2	2	2	2	2	3	45	45	2	1	9	1	1	3	1	1	3	1	1	3	3	3	3	3	2	3	5	50	50	3	1	15	1	1	6	1	1	6	1	1	1.78	1.78	1.78	1.78	1.78	1.68	1.78	2.15	43.95	43.95	1.78	1	7.4	1	1	2.54	1	1	2.31	1	1
90	1	1	1	1	1	1	1	1	43	43	1	1	2	1	1	1	1	1	1	1	1	1.75	1.75	1.75	1.75	1.75	1.75	1.75	1.75	47	47	1.75	1	5	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	49	49	2	1	7	1	1	2	1	1	2	1	1	2	2	2	2	2	2	2	3	51	51	2	1	9	1	1	3	1	1	3	1	1	3	3	3	3	3	2	3	5	55	55	3	1	17	1	1	8	1	1	6	1	1	1.81	1.81	1.81	1.81	1.81	1.75	1.81	2.21	49.01	49.01	1.81	1	7.23	1	1	2.35	1	1	2.24	1	1
100	1	1	1	1	1	1	1	1	49	49	1	1	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	53	53	2	1	6	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	55	55	2	1	7	1	1	2	1	1	2	1	1	2	2	2	2	2	2	2	3	57	57	2	1	9	1	1	3	1	1	3	1	1	3	3	3	3	3	2	3	9	61	61	3	1	17	1	1	7	1	1	6	1	1	1.93	1.94	1.94	1.94	1.94	1.79	1.94	2.6	54.99	54.98	1.94	1	7.67	1	1	2.26	1	1	2.26	1	1
