States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	255	255	255	255	255	325	325	325	136	132	255	1146	124	513	2404	150	750	3275	150	761	3984	255	255	255	255	255	340	340	340	160	151	255	1167	140	580.75	2790	175	873	3912.75	172	880	4696.5	255	255	255	255	255	345.5	345.5	345.5	168	156	255	1169	145.5	601	2899.5	188.5	950	4246.5	187.5	943.5	5004	255	255	255	255	255	349	349	349	178.25	164	255	1170.25	154	627.25	3005.5	201	1033	4583.75	203.25	989.25	5380.25	366	307	307	308	309	505	405	364	200	177	292	1174	177	688	3291	261	1176	5386	268	1153	6078	258.33	256.56	256.56	256.59	256.61	349.04	346.55	345.27	168.61	156.8	256.09	1168.54	147.83	602.52	2898.3	190.34	956.54	4295.3	189.49	942	5054.32
20	505	505	505	505	505	703	703	703	346	323	505	2288	299	1320	6326	370	1778	7880	370	1867	9639	505	505	505	505	505	720	720	719.75	379.75	348	505	2311	325	1372	6598.25	423.75	2107.25	9440	423.75	2081.75	11182.25	505	505	505	505	505	729.5	729.5	729	399	359	505	2313	342	1406.5	6687	453.5	2308	10280	452.5	2199.5	11639.5	505	505	505	505	505	739.25	739.25	736.75	412.5	367.25	505	2316	361	1430.75	6768.25	479	2486	11162.75	486.25	2288.75	12200	666	607	607	608	609	1134	862	769	452	400	582	2321	428	1595	6980	661	3211	15118	652	2645	14864	516.27	512.14	512.14	512.21	512.28	753.27	735.23	728.75	397.52	358.48	510.37	2311.68	346.01	1407.14	6679.07	458.38	2315.12	10367.65	457.19	2211.5	11788.65
30	755	755	755	755	755	1096	1096	1096	593	534	755	3399	496	2056	9987	602	3307	14736	607	3001	15523	755	755	755	755	755	1118.75	1118.75	1118.75	632.75	566	755	3447	529.75	2183.5	10213	711.75	3602.5	16236.75	705.5	3353.5	17648.75	755	755	755	755	755	1128.5	1128.5	1128	654	580	755	3452	561	2231.5	10301	761.5	3825.5	17168	754	3528.5	18723	755	755	755	755	755	1143	1143	1141.25	677.25	592	755	3456	586.25	2289	10392.5	810.75	4065.5	18464.75	797	3673.75	19912.75	966	907	907	908	909	1758	1307	1169	732	620	872	3466	668	2453	10603	1024	4922	22302	1027	4474	22018	780.32	773.24	773.24	773.36	773.48	1191.57	1146.51	1129.77	655.31	578.55	768.94	3449.17	561.24	2236.88	10301.86	767.03	3889.38	17404.87	753.3	3534.1	18802.81
40	1005	1005	1005	1005	1005	1495	1495	1495	839	764	1005	4556	691	2865	13478	886	4273	19069	852	4434	23844	1005	1005	1005	1005	1005	1529	1529	1529	913.75	796.75	1005	4590	749	3048.25	13840	987	5135.5	22836.25	981	4796.25	25280.5	1005	1005	1005	1005	1005	1543.5	1543.5	1542	943	812	1005	4600	776.5	3093	13939	1038.5	5355	23959.5	1048	4921.5	26325	1005	1005	1005	1005	1005	1563.75	1563.75	1554.25	967.5	830	1005	4604	813.25	3184	14052	1101.5	5609	25135.75	1116.5	5223.75	27603.75	1266	1207	1207	1208	1209	2563	1783	1589	1025	863	1162	4613	973	3364	14449	1437	6865	31252	1498	5895	31113	1051.98	1041.36	1041.36	1041.54	1041.71	1682.79	1576.62	1542.14	939.86	812.44	1033.19	4595.27	783.97	3112.78	13958.41	1052.84	5370.43	24056.59	1058.83	5000.94	26593.44
50	1255	1255	1255	1255	1255	1912	1912	1912	1097	980	1255	5667	897	3806	17382	1186	5730	25326	1165	5564	30124	1255	1255	1255	1255	1255	1951	1951	1946.75	1200	1033.75	1255	5716	973.75	3986	17609	1300.75	6699.25	29865	1300.5	6248.25	32881	1255	1255	1255	1255	1255	1970.5	1970.5	1961	1237	1054	1255	5726	1022.5	4059	17764.5	1376	7078.5	31632.5	1367.5	6455.5	34048	1566	1507	1507	1508	1509	2783	2197.25	1976.25	1268.5	1074.25	1451	5730	1069.25	4135.25	17928	1451.25	7379.25	32982.5	1424.5	6722.75	35454.75	1897	1759	1759	1761	1763	3495	2487	2014	1345	1128	1649	5741	1189	4395	18330	1816	9023	37964	1867	7571	39878	1364.45	1343.2	1343.2	1343.55	1343.9	2286.05	2045.79	1961.57	1233.78	1052.76	1323.6	5721.42	1030.12	4067.43	17779.97	1393.65	7103.28	31596.42	1387.06	6475.8	34224.82
60	1505	1505	1505	1505	1505	2350	2350	2350	1427	1243	1505	6801	1141	4784	21390	1462	7269	32439	1463	7158	37385	1505	1505	1505	1505	1505	2382	2382	2375	1508	1280.75	1505	6857	1216	4992	21754.5	1617.5	8312.75	36651.25	1621	7714.25	40508.25	1685.5	1656	1656	1656.5	1656.5	2693.5	2539	2387	1527.5	1298	1619.5	6867	1265	5101.5	21904.5	1670	8698.5	38832.5	1680.5	7930.5	42340.5	1866	1807	1807	1808	1809	3586.75	2684	2404	1559.25	1317	1742	6873.25	1321.25	5191.75	22043	1737	8982.25	40496.5	1753.75	8193.75	43235.25	2247	2109	2109	2111	2113	4187	2954	2453	1699	1375	1979	6889	1491	5490	22924	2264	10683	48430	2387	8861	47768	1692.07	1659.02	1659.02	1659.53	1660.05	2993.85	2537.35	2390.11	1532.59	1298.75	1625.29	6862.07	1273.17	5092.6	21905.1	1696.83	8736.05	39054.98	1700.19	7947.99	42157.56
70	1755	1755	1755	1755	1755	2759	2759	2759	1734	1487	1755	7907	1371	5670	25532	1746	9162	40410	1759	8468	45835	1755	1755	1755	1755	1755	2818.75	2818.75	2807	1815.5	1537.75	1755	7975.75	1447	6003.5	26130.25	1905.75	9993.25	44769.25	1931.75	9166	48604	2166	2107	2107	2108	2109	3854	3142	2826.5	1853	1557.5	2025	8008	1507.5	6118	26363	1996.5	10389	46900	2001.5	9444	50478.5	2166	2107	2107	2108	2109	4222.25	3172.25	2847.25	1894.5	1578.25	2032	8020	1554.25	6200.75	26610	2079.25	11130	49506.75	2087.75	9812.75	52031	3048	2811	2811	2814	2817	4976	3821	2887	1979	1629	2580	8036	1910	6636	27221	2473	12401	55312	2618	10798	57186	2014.78	1976.76	1976.76	1977.39	1978.02	3595.42	3038.56	2827.04	1857.12	1557.55	1927.97	7998.64	1520.22	6108.04	26361.51	2008.96	10522.2	47195.79	2024.04	9489.42	50569.01
80	2005	2005	2005	2005	2005	3215	3215	3198	2029	1739	2005	9069	1614	6754	29836	2019	10349	46860	2021	9980	52590	2005	2005	2005	2005	2005	3261.75	3261.75	3238	2128.5	1787	2005	9110.75	1713.25	7051.75	30655.5	2232	11563.75	51482.25	2232.75	10744	56886.5	2466	2407	2407	2408	2409	4831	3632	3257.5	2169.5	1806	2318	9144.5	1781	7170.5	31004	2320	12015	54300.5	2319.5	11103.5	58846.5	2466	2407	2407	2408	2409	4881.25	3661.75	3271	2215.75	1829	2322	9159	1844.5	7303.75	31319.5	2452.75	12680.25	56301.75	2443	11450	60699.25	2947	2809	2809	2811	2813	5330	4092	3340	2318	1890	2639	9181	2221	7726	31957	3352	15251	71742	3447	13399	66852	2366.28	2318.56	2318.56	2319.34	2320.11	4374.2	3557.71	3256.82	2172.3	1807.95	2250.42	9134.78	1789.37	7184.65	31000.18	2367.7	12159.91	54507.09	2380.64	11123.89	58798.47
90	2255	2255	2255	2255	2255	3630	3630	3630	2335	1991	2255	10219	1790	7725	35031	2359	12512	55761	2332	11565	59657	2615.75	2594	2594	2594.75	2595.5	4676.25	3989.25	3672	2451	2039	2510.75	10249	1944.5	8050.75	35714	2576.75	13241.75	59098	2580.5	12213.5	65468	2766	2707	2707	2708	2709	5473.5	4120	3688	2492	2062.5	2608	10276	2009	8156	36013	2670	13887	62428.5	2680	12592.5	67063	2766	2707	2707	2708	2709	5533.5	4139.5	3711.25	2529.5	2082.25	2612	10298.25	2076	8315.25	36306.5	2791.5	14525.75	65418.25	2810.5	13020.25	68832.25	3297	3159	3159	3161	3164	6365	4638	3756	2728	2132	2969	10327	2307	8646	37412	3828	16959	78333	3854	14053	75711	2669.81	2621.12	2621.12	2621.93	2622.77	5082.57	4042.36	3690.21	2488.29	2062.72	2542.04	10273.25	2016.55	8177.71	36016.99	2723.95	13982.71	62689.14	2739.96	12653.11	67271.02
100	2505	2505	2505	2505	2505	4089	4089	4070	2653	2245	2505	11293	2016	8733	39605	2720	13612	61632	2686	12684	68364	3066	3007	3007	3008	3009	5616.75	4584	4120.75	2767.5	2307	2890.75	11379.75	2221.5	9187.5	40713.25	2881	14796	66333.25	2903.75	13753.75	73555.25	3066	3007	3007	3008	3009	6120.5	4619.5	4141.5	2845	2337.5	2898	11399.5	2271.5	9359	41035	3017.5	15485	69292	2986	14120	75120	3066	3007	3007	3008	3009	6569.5	4654.25	4163	2896	2361.5	2902	11433.25	2360.5	9501.25	41427.75	3109.75	16399.75	72916.5	3099.75	14554.25	77506	3647	3509	3509	3511	3513	6697	5167	4220	3021	2414	3299	11467	2547	9951	42688	4468	19257	84079	3645	16327	81765	3033.69	2976.88	2976.88	2977.82	2978.76	5786.31	4595.75	4142.59	2836.3	2335.28	2875.07	11404.47	2287.21	9353.09	41084.76	3045.42	15646.62	69932.34	3031.31	14185.72	75274.56
