States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	2	2	2	2	2	1	1	1	4	4	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	3	1	1	1	4	4	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	1	1	1	5	5	1	1	2	1	1	1	1	1	1	1	1	3	3	3	3	3	1	1	1	5	5	1	1	2	1	1	1	1	1	1.25	1	1	4	4	4	4	4	1	1	1	6	6	1	1	4	1	1	4	1	1	3	1	1	2.82	2.97	2.97	2.97	2.97	1	1	1	4.9	4.9	1	1	1.63	1	1	1.24	1	1	1.26	1	1
20	2	3	3	3	3	1	1	1	9	9	1	1	2	1	1	1	1	1	1	1	1	4	4	4	4	4	1	1	1	10	10	1	1	4	1	1	1	1	1	1	1	1	4	4	4	4	4	1	1	1	11	11	1	1	5	1	1	1	1	1	1	1	1	4	5	5	5	5	1	1	1	12	12	1	1	5.25	1	1	2	1	1	1	1	1	6	6	6	6	6	1	1	1	14	14	1	1	8	1	1	3	1	1	3	1	1	3.96	4.17	4.17	4.17	4.17	1	1	1	11.11	11.11	1	1	4.64	1	1	1.31	1	1	1.27	1	1
30	2	3	3	3	3	1	1	1	12	12	1	1	2	1	1	1	1	1	1	1	1	4	4	4	4	4	1	1	1	15	15	1	1	6	1	1	1	1	1	1	1	1	4	5	5	5	5	1	1	1	16	16	1	1	7	1	1	1	1	1	1	1	1	5	5	5	5	5	1	1	1	17	17	1	1	8	1	1	2	1	1	2	1	1	6	7	7	7	7	1	1	1	19	19	1	1	11	1	1	3	1	1	3	1	1	4.44	4.6	4.6	4.6	4.6	1	1	1	15.89	15.88	1	1	6.75	1	1	1.37	1	1	1.48	1	1
40	3	4	4	4	4	1	1	1	18	18	1	1	2	1	1	1	1	1	1	1	1	4	4	4	4	4	1	1	1	21	21	1	1	7	1	1	1	1	1	1	1	1	5	5	5	5	5	1	1	1	22	22	1	1	9	1	1	1	1	1	1	1	1	5	5	5	5	5	1	1	1	23	23	1	1	10	1	1	2	1	1	2	1	1	7	7	7	7	7	1	1	1	25	25	1	1	14	1	1	4	1	1	3	1	1	4.77	4.9	4.9	4.9	4.9	1	1	1	21.8	21.8	1	1	8.65	1	1	1.34	1	1	1.38	1	1
50	3	4	4	4	4	1	1	1	23	23	1	1	4	1	1	1	1	1	1	1	1	4	5	5	5	5	1	1	1	26	26	1	1	8.75	1	1	1	1	1	1	1	1	5	5	5	5	5	1	1	1	27	27	1	1	10.5	1	1	1	1	1	1	1	1	6	5	5	5	5	1	1	1	28	28	1	1	13	1	1	2	1	1	2	1	1	8	6	6	6	6	1	1	1	32	32	1	1	17	1	1	4	1	1	3	1	1	5.16	5.09	5.09	5.09	5.09	1	1	1	27.05	27.04	1	1	10.4	1	1	1.47	1	1	1.48	1	1
60	3	4	4	4	4	1	1	1	28	28	1	1	4	1	1	1	1	1	1	1	1	4	5	5	5	5	1	1	1	31	31	1	1	9	1	1	1	1	1	1	1	1	5	5	5	5	5	1	1	1	33	33	1	1	10	1	1	1	1	1	1	1	1	6	6	6	6	6	1	1	1	34	34	1	1	13	1	1	2	1	1	2	1	1	8	7	7	7	7	1	1	1	37	37	1	1	19	1	1	5	1	1	4	1	1	5.18	5.41	5.41	5.41	5.41	1	1	1	32.65	32.61	1	1	10.75	1	1	1.53	1	1	1.47	1	1
70	3	4	4	4	4	1	1	1	32	32	1	1	3	1	1	1	1	1	1	1	1	5	5	5	5	5	1	1	1	36	36	1	1	9	1	1	1	1	1	1	1	1	5	5	5	5	5	1	1	1	38	38	1	1	11	1	1	2	1	1	2	1	1	6	6	6	6	6	1	1	1	39	39	1	1	13	1	1	2	1	1	2	1	1	8	7	7	7	7	1	1	1	44	44	1	1	21	1	1	4	1	1	4	1	1	5.48	5.48	5.48	5.48	5.48	1	1	1	37.92	37.85	1	1	11.15	1	1	1.73	1	1	1.64	1	1
80	3	5	5	5	5	1	1	1	38	38	1	1	6	1	1	1	1	1	1	1	1	5	5	5	5	5	1	1	1	41	41	1	1	9	1	1	1	1	1	1	1	1	6	6	6	6	6	1	1	1	43	43	1	1	11	1	1	2	1	1	2	1	1	6	6	6	6	6	1	1	1	45	45	1	1	13	1	1	2	1	1	2	1	1	9	7	7	7	7	1	1	1	49	49	1	1	18	1	1	6	1	1	5	1	1	5.72	5.62	5.62	5.62	5.62	1	1	1	42.89	42.84	1	1	11.49	1	1	1.77	1	1	1.81	1	1
90	4	5	5	5	5	1	1	1	44	44	1	1	4	1	1	1	1	1	1	1	1	5	5	5	5	5	1	1	1	47	47	1	1	9	1	1	1	1	1	1	1	1	6	6	6	6	6	1	1	1	49	49	1	1	11	1	1	2	1	1	2	1	1	7	6	6	6	6	1	1	1	50	50	1	1	14	1	1	3	1	1	2	1	1	8	7	7	7	7	1	1	1	54	54	1	1	18	1	1	5	1	1	5	1	1	5.88	5.78	5.78	5.78	5.78	1	1	1	48.62	48.6	1	1	11.46	1	1	1.94	1	1	2.01	1	1
100	3	5	5	5	5	1	1	1	46	46	1	1	2	1	1	1	1	1	1	1	1	5	6	6	6	6	1	1	1	52	52	1	1	9	1	1	1	1	1	1	1	1	6	6	6	6	6	1	1	1	54	54	1	1	11	1	1	2	1	1	2	1	1	7	6	6	6	6	1	1	1	55	55	1	1	14	1	1	2	1	1	2	1	1	8	8	8	8	8	1	1	1	59	59	1	1	20	1	1	4	1	1	6	1	1	5.91	5.98	5.98	5.98	5.98	1	1	1	53.54	53.51	1	1	11.59	1	1	1.84	1	1	1.94	1	1
