States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	191	191	191	191	191	1010	1010	1010	162	162	1010	9200	191	1866	18591	197	1787	16469	200	2358	25688	282	282	282	282	282	1010	1010	1010	177.75	177.75	1010	9200	211.75	1898.75	18923.25	226.75	2029.25	18681	236	2763	29536.25	338	282	282	282	282	1010	1010	1010	188.5	188.5	1010	9200	218	1911	18991	241.5	2136.5	19621.5	248.5	2896	30770.5	338	282	282	282	282	1010	1010	1010	196.25	196.25	1010	9200	225	1927.5	19123	261	2298	20952	271.25	3021	32486	602	373	373	373	373	1010	1010	1010	220	220	1010	9200	258	2003	20024	325	2921	27341	320	3587	38676	327.27	279.27	279.27	279.27	279.27	1010	1010	1010	188.52	188.52	1010	9200	218.44	1916.8	19021.79	245.84	2163.05	19884.78	254.72	2898.34	31126.35
20	562	562	562	562	562	2010	2010	2010	441	441	2010	18300	438	3825	37837	541	4788	42534	540	6495	68039	817	743	743	743	743	2010	2010	2010	468.75	468.75	2010	18300	488	3880.75	38211.75	602.25	5582.5	50967	612.75	6936	75089	854	743	743	743	743	2010	2010	2010	484.5	484.5	2010	18300	506.5	3930.5	38402.5	637.5	5932.5	54345.5	653	7333	78603.5	1016	924	924	924	924	2010	2010	2010	507	507	2010	18300	525	4002	39188.25	695	6465.25	59249	695	7578.25	81369.75	2058	1105	1105	1105	1105	2010	2010	2010	585	585	2010	18300	625	4217	41407	867	7887	73411	835	8312	90946	915.16	773.77	773.77	773.77	773.77	2010	2010	2010	488.58	488.55	2010	18300	507.73	3949.21	38784.12	651.65	6040.2	55156.67	658.47	7302.56	78727.57
30	1113	842	842	842	842	3010	3010	3010	696	696	3010	27400	732	5743	57212	948	8758	78956	951	10769	112197	1187	1113	1113	1113	1113	3010	3010	3010	757.75	757	3010	27400	795.25	5963	58366.5	1034.75	9812.5	89782.5	1044.75	11429.75	121565	1522	1384	1384	1384	1384	3010	3010	3010	792.5	792.5	3010	27400	828	6067	59560.5	1081.5	10258	93856	1090	11694.5	125600.5	1710	1384	1384	1384	1384	3010	3010	3010	815	815	3010	27400	856.25	6222.25	61030	1151	10898.5	100131.5	1143.75	12224.25	132727.25	2489	1926	1926	1926	1926	3010	3010	3010	890	890	3010	27400	987	7224	68984	1345	13106	121280	1321	13824	146320	1518.88	1278.31	1275.61	1275.61	1275.61	3010	3010	3010	787.64	787.6	3010	27400	825.72	6118.8	59953.48	1094.65	10413.76	95191.31	1099.32	11809.68	126711.7
40	1483	1483	1483	1483	1483	4010	4010	4010	1039	1039	4010	36510	1053	8003	77648	1369	12587	113526	1397	15244	158510	1936	1483	1483	1483	1483	4010	4010	4010	1101	1101	4010	36510	1153.5	8374.5	81584	1517.75	14259	130330	1524	16335	174092.75	1982	1844	1844	1844	1844	4010	4010	4010	1125	1125	4010	36510	1193	8562	83683.5	1580.5	14939.5	137018.5	1585	16771	178856	2370	1844	1844	1844	1844	4010	4010	4010	1158.5	1158	4010	36510	1236	8774	85836	1647	15731.25	143991	1661.5	17340.75	184041	3219	2566	2566	2566	2566	4010	4010	4010	1271	1271	4010	36510	1352	9638	92866	1892	18094	167827	1934	18717	198951	2167.82	1807.9	1807.9	1807.9	1807.9	4010	4010	4010	1129.95	1129.87	4010	36510	1199.93	8590.6	83836.25	1587.49	15028.35	137679.93	1599.88	16790.55	179438.09
50	1853	1853	1853	1853	1853	5010	5010	5010	1350	1350	5010	45610	1460	10774	104324	1836	16743	151247	1809	20197	216255	2430.5	2304	2304	2304	2304	5010	5010	5010	1426.75	1426.75	5010	45610	1532	11089.75	108001.25	1990.5	18948.25	173747	2004.75	21267.75	228122	2865	2304	2304	2304	2304	5010	5010	5010	1454	1454	5010	45610	1577	11313	110073	2052.5	20110	182971.5	2074	21794.5	234075	3398	2416.75	2304.25	2304.25	2304.25	5010	5010	5010	1493	1493	5010	45610	1614	11593.75	112536.75	2166	20814	191265.75	2132	22455	241565.75	4923	3657	2757	2757	2757	5010	5010	5010	1666	1666	5010	45610	1761	12095	118596	2470	25386	235724	2456	23498	253859	2901.36	2367.14	2344.64	2344.64	2344.64	5010	5010	5010	1463.04	1462.77	5010	45610	1578.65	11342.33	110322.24	2082.49	20037.7	183675.55	2076.46	21846.08	234263.33
60	2223	2223	2223	2223	2223	6010	6010	6010	1730	1730	6010	54700	1792	13598	132640	2232	21590	195795	2265	24913	265088	2856	2764	2764	2764	2764	6010	6010	6010	1789.75	1788.5	6010	54700	1937.75	14144.75	137692.5	2486.25	23918.25	219070.75	2473	26317.5	281913	3470	2764	2764	2764	2764	6010	6010	6010	1812	1810	6010	54700	1988	14337	139871.5	2566.5	24766	226777	2574.5	26832.5	287736	3910	3305	3305	3305	3305	6010	6010	6010	1838	1837.25	6010	54700	2037	14550.25	141655.75	2664	25964	238050	2679.75	27562	294990.5	6015	4387	3846	3846	3846	6010	6010	6010	1975	1975	6010	54700	2225	15169	146915	3029	28675	266444	2974	30119	327405	3448.08	3018.27	2985.87	2985.87	2985.87	6010	6010	6010	1816.94	1816.31	6010	54700	1989.55	14349.16	139623.66	2584.27	24906.83	228480.97	2578.41	26960.22	288271.9
70	3270	2593	2593	2593	2593	7010	7010	7010	2052	2052	7010	63815	2216	16588	162364	2761	26892	247123	2738	30389	317340	3951.25	3224	3224	3224	3224	7010	7010	7010	2129	2129	7010	63815	2362.25	17343.75	169453.25	2985.75	29168.5	267665	2970.5	31602.5	338274.5	4020	3224	3224	3224	3224	7010	7010	7010	2173.5	2172.5	7010	63815	2414.5	17598	171265.5	3095.5	29982	276106	3107	32308.5	345132	4678	3855	3855	3855	3855	7010	7010	7010	2217.25	2216.5	7010	63815	2476.25	17853.5	173125.25	3197.5	31737	293159.25	3225	33013.25	354121.5	6158	4486	4486	4486	4486	7010	7010	7010	2402	2402	7010	63815	2759	18330	178224	3503	40334	375615	3621	35878	386328	4212.83	3533.19	3526.89	3526.89	3526.89	7010	7010	7010	2177.5	2177.1	7010	63815	2430.34	17597.4	171223.72	3101.63	30598.15	282021.25	3109.1	32434.36	346902.37
80	3730	3684	3684	3684	3684	8010	8010	8010	2425	2425	8010	72930	2582	20192	195153	3257	31507	284882	3258	34481	363621	4515	3684	3684	3684	3684	8010	8010	8010	2497.5	2496	8010	72930	2760.5	20756	201442	3468	34408	316878	3500.75	37073.75	396077.75	5254	4405	4405	4405	4405	8010	8010	8010	2534.5	2534	8010	72930	2836.5	20962.5	203647.5	3608.5	35646.5	328876.5	3604	37973.5	405709	5446	4405	4405	4405	4405	8010	8010	8010	2572	2572	8010	72930	2910.5	21163.75	205464.25	3738.5	37105	341984	3750.25	38727	414060	9058	5847	5126	5126	5126	8010	8010	8010	2714	2714	8010	72930	3166	21871	210128	4090	41949	389102	4135	41894	444540	5180.23	4145.44	4131.04	4131.04	4131.04	8010	8010	8010	2538.71	2538.09	8010	72930	2850.23	20950.18	203486.04	3624	35794.07	330020.44	3631.83	37920.99	405068.19
90	4144	4144	4144	4144	4144	9010	9010	9010	2787	2785	9010	82000	3071	23479	227601	3770	36552	333767	3803	38600	404580	5120	4144	4144	4144	4144	9010	9010	9010	2882.75	2882.75	9010	82000	3212	24040.25	233160.25	4042	39559.5	364984.75	4041	42251.5	452341	5926	4955	4955	4955	4955	9010	9010	9010	2910	2910	9010	82000	3273	24315	236092	4142.5	41298.5	380729.5	4159	43036	462838	6038	4955	4955	4955	4955	9010	9010	9010	2948	2947.5	9010	82000	3348	24605.5	237672	4287.25	43288.75	398820.5	4272.25	44171.75	471655.75	7798	7388	5768	5768	5768	9010	9010	9010	3058	3058	9010	82000	3618	25282	244712	4990	47520	438711	4850	46755	499460	5672.79	4809.02	4776.62	4776.62	4776.62	9010	9010	9010	2915.06	2914.47	9010	82000	3285.98	24322.26	235691.3	4180.09	41445.18	381938.85	4175.78	43145.6	462346.2
100	4696	4604	4604	4604	4604	10010	10010	10010	3142	3142	10010	91110	3427	26585	260399	4261	42294	391854	4218	43954	467339	5670	5505	5505	5505	5505	10010	10010	10010	3258.75	3258	10010	91110	3664.75	27485.75	266117.75	4600	46062.25	423591.5	4545.75	47841.75	510203.25	6598	5505	5505	5505	5505	10010	10010	10010	3299	3298	10010	91110	3747.5	27800.5	268571.5	4715	47466	437742.5	4699.5	48861	525485	6889.5	5505	5505	5505	5505	10010	10010	10010	3348.25	3346	10010	91110	3815.75	28073.75	270249.75	4837.5	48652.75	450895	4810.75	50124.25	537533.25	10510	8208	7307	7307	7307	10010	10010	10010	3493	3493	10010	91110	4168	28545	275751	5548	51675	480047	5491	51981	565234	6572.96	5559.06	5487.06	5487.06	5487.06	10010	10010	10010	3301.47	3300.51	10010	91110	3746.75	27749.2	268199.65	4726.47	47303.05	437226.72	4692.42	48897.35	523892.13
