States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	521	523	523	524	524	3676	3676	3670	477	464	3010	37230	332	4035	50180	234	4177	52647	227	3180	38245	892	836.75	836.75	840	842.25	3902.5	3902.5	3894.5	523.5	509.75	3210	39896.75	412.25	4488.25	53802.75	267.75	4895.5	61150.25	263	3425.75	41354.75	1082.5	867	867	871	874	3963.5	3963.5	3956.5	574	552	3210	40848	451	4671	55758	295	5402	67382.5	283.5	3551	42550.5	1203	897	897	901	904	4088	4088	4081.25	621.75	593.75	3310	41757.75	482.25	4985	59415	318.25	6114.75	75755.75	308.5	3738.5	44031.25	1926	1271	1271	1278	1284	4317	4317	4310	753	708	3510	49733	602	6035	70574	426	9031	111049	384	4359	50970	1085.87	865.95	865.95	869.72	871.32	3982.35	3982.35	3975.81	579.81	557.05	3234	40985.67	451.19	4773.63	56909.54	298.41	5597.47	69429.8	289.72	3585.77	42761.34
20	1962	1906	1906	1909	1909	8785	8785	8768	1518	1457	6810	83340	914	9103	110403	588	11563	136940	582	8329	98926	3132.25	2570	2570	2576	2579	9020.25	9020.25	9008.5	1695	1607.75	7010	87818.5	1141.75	9961.5	117835.5	730.25	15465.5	184476.5	745.75	8956.25	104458	3404	2689.5	2689.5	2694.5	2696	9133	9133	9121.5	1784	1684	7010	89581	1223	10374	122695.5	807.5	18316	217358.5	797	9279	107905	4146.5	3263.25	3263.25	3271.25	3275.5	9298.25	9298.25	9286	1856.75	1753	7110	92403.25	1312.5	10814.5	126215.75	867.25	20491.75	249650.25	864	9514.5	110619.25	6781	4319	4319	4332	4342	9772	9772	9759	2203	2056	7610	101397	1609	12106	139712	1158	33608	397331	1113	10361	119197	3593.88	2781.13	2781.13	2787.18	2790.76	9169.96	9169.96	9156.28	1794.22	1694.32	7069	90012.75	1235.59	10445.57	123096.94	812.82	18481.57	220954.93	813.01	9259.06	107984.97
30	3483	3036	3036	3040	3040	14143	14143	14119	2725	2602	10810	132044	1654	14264	173176	1142	24202	280087	1145	13927	163211	4914	4230	4230	4236	4239	14478.75	14478.75	14453	2931	2775.75	10910	138499.5	1956.25	15774.25	185118.5	1303	31240.25	369904.25	1329.5	14791.25	169763	6426	5189.5	5189.5	5197	5203.5	14668	14668	14641	3132	2953	11110	142059	2124	16318.5	191755	1401.5	34704.5	411071.5	1437	15297	174543.5	7067.25	5414	5414	5422	5428	14895	14895	14871.5	3265.25	3055.75	11310	144860.75	2285.25	17099.75	199330.25	1540	39243.75	462985.75	1522.5	15734.5	179562.25	10632	8281	7422	7435	7447	15584	15584	15555	3705	3512	11810	159026	3268	19181	217717	1818	55417	642206	1834	17023	193346	6355.88	4931.49	4916.67	4923.97	4929.12	14705.33	14705.33	14680.91	3112.65	2933.7	11129	142519.69	2123.67	16461.01	193060.56	1419.55	35630.6	419268.38	1439.31	15303.66	175139.91
40	4533	5610	5610	5617	5620	19569	19569	19537	4125	3914	14810	182961	2648	20565	245331	1763	37456	435530	1805	20365	230795	8495.75	6010	6010	6015.75	6018.75	20289.75	20289.75	20255.25	4532.75	4258.75	15110	192863.5	3019.75	21899.25	257310.25	1986.25	48795.5	574820.25	2026.5	21587.75	243003.75	9116.5	7314.5	7314.5	7322.5	7329.5	20478	20478	20446	4669	4368	15210	197782.5	3168	22739	264989	2173.5	55114.5	636764.5	2190	22059.5	248944.5	11130.75	7626.5	7626.5	7634.5	7640.5	20751.25	20751.25	20721.25	4861.25	4549.75	15410	201722.25	3430.75	23866.25	278154.25	2341.75	59579.75	691530.75	2333.75	22744.5	255844.25	15113	10542	10542	10555	10567	21487	21487	21451	5384	5011	16010	227078	4344	27854	312686	2674	80916	922604	2895	25038	276513	9533.67	7252.66	7252.66	7260.68	7266.28	20523.34	20523.34	20490.11	4682.28	4387.14	15260	197869.51	3224.81	23041.84	268026.78	2179.2	55399.63	645033.71	2210.21	22181.13	250194.46
50	8124	7150	7150	7157	7160	25561	25561	25513	5600	5292	19010	236124	3759	26504	316348	2345	53128	622641	2433	26745	306371	11244.25	9313.75	9313.75	9320.5	9325.75	26220	26220	26178.75	6120.25	5713	19310	250483.75	4135.75	28960	335731.25	2715.75	67461.5	788485.5	2708.75	28191.75	318648	12668.5	9563.5	9563.5	9571	9575.5	26486	26486	26445	6278.5	5856.5	19510	255466.5	4305	29949.5	347318.5	2876.5	75141.5	870640.5	2883	28863	323713	14633.25	10322.5	9925.5	9934.25	9937.25	26863	26863	26819.25	6439.25	6004.25	19710	262712	4517.25	30907.75	355763	3076.75	81481.75	947181	3119	29500.25	331707.25	24098	13741	11757	11767	11773	28081	28081	28041	7116	6580	20610	309456	5372	34142	390349	3822	122087	1380559	3639	32345	354423	13431.75	9740.06	9665	9673.9	9680.37	26576.38	26576.38	26532.17	6306.68	5891.81	19580	256890.54	4361.72	30127.68	348201.34	2914.45	76357.94	883718.68	2922.91	28937.67	325266.62
60	9924	9250	9250	9257	9260	31581	31581	31522	7469	7018	23110	290253	4629	34242	397847	3046	71293	834443	3145	34000	380309	13691.75	11564	11564	11573	11579	32367	32367	32315.5	7860.75	7336	23710	304740.25	5288.75	35543.75	412433.25	3539	89043	1029997.75	3588.25	35578.5	396463.5	16392	11914.5	11914.5	11922.5	11930	32746.5	32746.5	32695.5	8005.5	7464.5	23910	311557	5517	36474.5	420903.5	3720	98232	1132880.5	3817	36151.5	403139.5	17604	14058.25	13998	14009.25	14018.25	33148	33148	33099	8247.25	7645.75	24110	317764.75	5775.5	38196.5	439396.75	3975.25	111877.5	1288716.5	4050	36957.5	409387.5	29206	17941	17412	17424	17436	34684	34684	34619	8991	8346	25310	350540	7146	43595	500722	4585	146125	1666398	5559	39600	438694	16124.33	12815.95	12693.57	12703.01	12710.23	32810.13	32810.13	32755.41	8061.97	7511.09	23956	312607.51	5568.43	37038.36	426635.27	3763.32	100707.86	1159073.93	3831.97	36256.15	403791.03
70	11644	10870	10870	10876	10879	37975	37975	37912	9170	8580	27610	348224	5885	39633	470407	3632	77356	904009	3635	40445	454681	17002	13801	13801	13808.75	13813.25	38780.75	38780.75	38711.75	9597.25	8932	28110	362828.25	6564	42709.25	492503	4129.5	103181	1205012	4251	42711.25	474691.5	20048	14289	14289	14297.5	14303.5	39218.5	39218.5	39152	9856	9170	28410	372814.5	6791	43992.5	504872.5	4490	117346.5	1353978	4570.5	43464	483185.5	22076	16718.25	16717.25	16728	16734.25	39580.75	39580.75	39516	10160.25	9438.5	28635	385316.75	7112	45191.75	517902.5	4848.25	134558.25	1575874.5	4915	44859.75	493559.5	33309	20251	20251	20265	20274	40694	40694	40632	10984	10226	29410	405907	8262	52142	600312	5717	208707	2371850	6799	47716	522433	20422.42	15328.74	15293.42	15303.16	15310.36	39217.23	39217.23	39150.96	9881.43	9187.95	28422	373916.78	6857.04	44133.18	508200.23	4515.4	121303.23	1398638.39	4623.61	43724.42	484837.2
80	14215	15364	15364	15372	15378	44313	44313	44229	10792	10118	32210	404538	6939	47784	561606	4611	111202	1280326	4677	48016	536997	21857.75	16063.75	16063.75	16071.75	16077	45386	45386	45303	11495	10703.5	32710	422978.75	7770.25	50576	582728	5043	133546	1538416.25	5153	50292.75	557400.5	24144	19019	19019	19029.5	19040.5	45767.5	45767.5	45688	11761	10899	32960	431770.5	8153	51874.5	595675.5	5352.5	143232	1659778.5	5450.5	51124	564524.5	28693.5	19618	19618	19628	19637	46290.25	46290.25	46200.75	12025.5	11164.75	33235	439375	8585.5	53054.5	608307.25	5775	161376.75	1861218	5737.5	52203.75	573884.75	41109	24590	23442	23457	23469	48582	48582	48497	12733	11763	34910	482240	9403	61792	709112	7020	227174	2585132	6964	57751	636224	24937.31	18222.97	18179.85	18189.72	18197.73	45840.25	45840.25	45760.98	11772.81	10934.32	33033	433656.78	8173.73	52091.01	598103.17	5404.29	146982.68	1692306.55	5474.28	51339.21	567452.41
90	17966	17665	17665	17673	17682	51237	51237	51149	12825	11989	36710	459304	8641	55780	650364	4989	117097	1372353	5363	55432	617373	25831.25	18564	18564	18572.75	18578	52073.25	52073.25	51976.75	13557	12571.25	37385	485386.25	9122	58394.25	669183.25	5964	155807.5	1797254.75	6096.25	57520.25	633553	27999.5	22008	21979	21990	22000	52564	52564	52476.5	13805.5	12776	37710	495184	9484	59744.5	679016.5	6267.5	171774.5	1957415	6402	58834.5	647405.5	32536	22534.25	22519.25	22531.25	22542.25	53053	53053	52957	14062	12997.75	38010	506291.5	9685	60687.25	692709.5	6538.75	189184.25	2160745.75	6816.75	59754.5	656638	43698	31546	27474	27490	27504	54418	54418	54316	14726	13559	39010	589132	11193	65956	754381	8534	288721	3239265	8375	63941	698385	28827.36	21577.04	21433.88	21444.65	21453.35	52604.31	52604.31	52513.8	13807.26	12787.92	37685	497830.05	9500.72	59853.47	683231.95	6328.39	172926.09	1985029.88	6472.01	58790.86	646671.48
100	18966	19964	19964	19973	19979	57963	57963	57860	14581	13675	41510	517321	9295	62104	724239	5987	138445	1590047	5961	63373	696653	29859	24430	24278.75	24291	24302.25	58834	58834	58732.25	15553.25	14410.5	42010	539595.75	10463.75	65630	749875.75	6877.5	179949.25	2062550	6951.5	65443.5	721391.25	33240	25089	24998.5	25011	25020.5	59256.5	59256.5	59149	15855.5	14692	42210	553969	10854	66822	764124	7258.5	197727.5	2285528	7369.5	66674.5	731845	37165.5	25702.75	25657.25	25669	25675.25	59692.5	59692.5	59591.5	16143	14926.75	42510	566435.75	11250.75	68068.75	777736	7816.25	225392.5	2580541.75	7804	67909.5	742772.75	48518	34104	33905	33921	33933	61016	61016	60918	17069	15682	43510	650861	12554	73525	833623	9003	312230	3536159	9093	73039	775664	33518.38	25166.05	24899.25	24910.88	24919.63	59289.7	59289.7	59185.96	15845.89	14661.64	42255	554305.83	10831.79	66939.07	766132.7	7351.69	204786.43	2349063.63	7391.34	66849.4	733616.03
