States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	0.175274	0.186825	0.186825	0.184829	0.181152	0.133578	0.133578	0.134565	0.158284	0.176277	0.211618	0.169127	0.342857	0.303668	0.263233	0.605634	0.343497	0.234142	0.593284	0.631737	0.536711	0.23805525	0.257812	0.257812	0.25633125	0.254816	0.191298	0.191298	0.192598	0.24637525	0.26743725	0.281768	0.20625825	0.4496795	0.35888175	0.30005	0.70081525	0.40110475	0.28204225	0.737241	0.72184775	0.6659505	0.2543015	0.273859	0.273859	0.271605	0.269939	0.198986	0.198986	0.2	0.260117	0.2812995	0.289773	0.2173915	0.4708535	0.385833	0.3194375	0.75061	0.435506	0.305216	0.7928685	0.7503675	0.693857	0.276224	0.28280675	0.28280675	0.280864	0.280864	0.20597775	0.20597775	0.207655	0.271533	0.2919495	0.298246	0.22376025	0.5	0.40501275	0.3356695	0.7866755	0.46156875	0.32934425	0.822695	0.7841785	0.71604825	0.337232	0.31058	0.31058	0.308475	0.308475	0.217577	0.217577	0.219072	0.297578	0.313008	0.307229	0.239205	0.605096	0.449774	0.372203	0.881481	0.522904	0.393027	0.900826	0.838384	0.809904	0.25794009	0.27213498	0.27213498	0.27001834	0.26848148	0.19745523	0.1974832	0.1987551	0.25673686	0.27787076	0.28977502	0.21491505	0.47102597	0.38160013	0.31752148	0.74640524	0.43228599	0.30682057	0.77965612	0.75010634	0.69142689
20	0.166372	0.184567	0.184567	0.183526	0.182725	0.144368	0.144368	0.145282	0.183986	0.207447	0.234339	0.156229	0.276433	0.26382	0.224174	0.620905	0.271645	0.193121	0.614964	0.650129	0.618557	0.200106	0.22021525	0.2209695	0.22011875	0.21889	0.1574925	0.15740675	0.15854375	0.19681175	0.22204975	0.248768	0.179522	0.363071	0.329199	0.27515425	0.68547875	0.344939	0.24358275	0.69272825	0.69256775	0.665755	0.2113965	0.227002	0.227002	0.225984	0.225066	0.16019	0.1600125	0.160982	0.2032505	0.227824	0.255051	0.1901235	0.3888405	0.349532	0.2909675	0.72121	0.3717785	0.2653695	0.723576	0.7184115	0.696251	0.2268455	0.233175	0.23305575	0.23183275	0.23085975	0.16357575	0.1634175	0.16432125	0.208035	0.234076	0.261658	0.195832	0.39908825	0.36473925	0.29955625	0.75371175	0.40123975	0.28760075	0.751261	0.75499625	0.7138765	0.28169	0.257128	0.250239	0.249524	0.248813	0.193114	0.176327	0.177567	0.23269	0.251843	0.272237	0.215307	0.457883	0.418004	0.340229	0.822844	0.472182	0.363196	0.83871	0.813109	0.788073	0.21471969	0.22641121	0.22584208	0.22492416	0.22408258	0.16042117	0.15999801	0.16089657	0.20294069	0.22771598	0.2546452	0.18794404	0.37978012	0.34591403	0.28785765	0.72102035	0.37203615	0.26524055	0.7224203	0.72373965	0.69213705
30	0.144874	0.175215	0.176897	0.176471	0.176289	0.132993	0.132993	0.133333	0.164557	0.18711	0.21988	0.150925	0.25802	0.24147	0.211329	0.574092	0.222222	0.157898	0.571429	0.59849	0.56615	0.178266	0.19818825	0.200312	0.19982	0.19927675	0.1424395	0.14237225	0.14320225	0.17997825	0.205904	0.235569	0.167158	0.332375	0.327845	0.27719675	0.6421115	0.302167	0.21663575	0.6368495	0.68214025	0.6662915	0.1878935	0.206744	0.2068195	0.2063775	0.205966	0.1451365	0.145081	0.145781	0.183653	0.209941	0.239303	0.17405	0.3529755	0.3455305	0.2886255	0.675845	0.336256	0.2392075	0.6751375	0.707026	0.692462	0.2018875	0.2137005	0.21255875	0.2117275	0.21134375	0.14909925	0.14868825	0.14945325	0.18805475	0.2144745	0.243156	0.18139725	0.3693805	0.357975	0.30211225	0.715469	0.3639595	0.25950675	0.7167665	0.72895725	0.71018075	0.275845	0.236455	0.236455	0.235717	0.23491	0.233977	0.156477	0.15762	0.203737	0.225118	0.251248	0.195118	0.401515	0.397895	0.329696	0.77918	0.427227	0.306667	0.7856	0.786329	0.773499	0.19471696	0.20539339	0.20584903	0.20525565	0.20474809	0.14952968	0.14518415	0.14591578	0.18366886	0.20964385	0.23906951	0.17378021	0.34933961	0.34241382	0.28750665	0.67529144	0.3306166	0.23701004	0.67596847	0.70467478	0.6906611
40	0.147905	0.171706	0.167805	0.16722	0.166971	0.125971	0.125971	0.126622	0.153494	0.182041	0.213603	0.148726	0.269031	0.248538	0.215771	0.488597	0.228887	0.165082	0.561156	0.577273	0.591263	0.1703515	0.19007925	0.19040625	0.18982825	0.189538	0.13384375	0.1338295	0.13435375	0.16826675	0.19423075	0.225589	0.16196925	0.31644	0.331181	0.2802225	0.61797175	0.28094275	0.20304675	0.609289	0.66110675	0.65801825	0.182781	0.194881	0.195551	0.19508	0.194563	0.1366975	0.136558	0.137333	0.1726055	0.1984785	0.2286585	0.168419	0.333991	0.3474555	0.2917975	0.660141	0.3144965	0.2273795	0.6474675	0.6868405	0.6824915	0.192754	0.20019	0.20019	0.19968075	0.19920975	0.13832475	0.13823425	0.13899475	0.1758905	0.20265625	0.233449	0.17443575	0.3493705	0.36403125	0.305211	0.68982275	0.33545775	0.24419925	0.6833225	0.715995	0.70631	0.255696	0.210089	0.210089	0.209702	0.209317	0.194164	0.145007	0.144778	0.187452	0.208866	0.239001	0.185666	0.368603	0.396807	0.327076	0.782888	0.403479	0.296447	0.738599	0.771109	0.756509	0.1872494	0.19409818	0.19477975	0.1943443	0.19394347	0.13837313	0.13589332	0.13660932	0.17193481	0.19795194	0.22880772	0.1687781	0.33061679	0.3463927	0.29121342	0.65689814	0.3111016	0.22500946	0.64620299	0.68647852	0.68081032
50	0.142922	0.151186	0.155446	0.155033	0.154753	0.109427	0.117082	0.117763	0.15	0.175252	0.205609	0.133048	0.271397	0.280359	0.237128	0.484184	0.220321	0.160997	0.467648	0.585315	0.576105	0.1590965	0.1785555	0.1801715	0.1797715	0.17957225	0.126813	0.126813	0.127192	0.1599865	0.18608075	0.219023	0.156898	0.31075575	0.340638	0.290861	0.6168425	0.2699555	0.19421825	0.59154	0.65053675	0.65691625	0.167616	0.1866485	0.1880205	0.1877135	0.1874695	0.1295415	0.129378	0.129535	0.1627115	0.190416	0.221927	0.1629985	0.3209965	0.3553405	0.299893	0.6402285	0.3000565	0.2197785	0.626965	0.6745815	0.6809395	0.18133475	0.1910975	0.191703	0.191388	0.1909805	0.13181425	0.13104275	0.1317725	0.16674675	0.193423	0.22491	0.16855775	0.3333725	0.3682175	0.3090395	0.665829	0.33247325	0.241644	0.655674	0.6991035	0.69839475	0.248109	0.206069	0.204018	0.203677	0.203386	0.207171	0.135164	0.136029	0.177083	0.200363	0.231123	0.181328	0.377155	0.405854	0.335528	0.720333	0.387891	0.293646	0.706537	0.736323	0.738469	0.17280324	0.18482834	0.18558113	0.18524038	0.18494863	0.13204282	0.12897497	0.12955717	0.16303523	0.18942298	0.22125627	0.16158522	0.32091358	0.35395414	0.29787137	0.63687768	0.30202093	0.21971437	0.61764807	0.67315874	0.67785966
60	0.137638	0.157057	0.160431	0.160175	0.160021	0.116351	0.116351	0.117102	0.145396	0.169326	0.200759	0.13665	0.25977	0.314648	0.267522	0.483356	0.208158	0.152311	0.464672	0.571871	0.575508	0.158004	0.17437675	0.174772	0.17453475	0.1742325	0.1227095	0.12233325	0.1227745	0.15366525	0.1798325	0.210528	0.1528365	0.3020295	0.3465575	0.290389	0.58676425	0.25738175	0.191121	0.58612125	0.649101	0.6608775	0.16266	0.179122	0.179122	0.178865	0.1785625	0.1258675	0.125401	0.1253695	0.157391	0.1840045	0.215616	0.1568485	0.315993	0.3601275	0.3018995	0.6209375	0.285769	0.2093985	0.6083955	0.670834	0.6821185	0.17516075	0.18444225	0.183454	0.18322825	0.18304225	0.12900725	0.126706	0.127002	0.16115125	0.186342	0.21875	0.1614035	0.32641025	0.37383525	0.3099545	0.65341	0.317778	0.2296735	0.6385025	0.69093925	0.6994435	0.239212	0.210078	0.19482	0.194524	0.194302	0.206927	0.129911	0.13054	0.166022	0.191284	0.224459	0.175126	0.350545	0.396973	0.332785	0.719505	0.361387	0.271466	0.702368	0.749619	0.740256	0.16881491	0.17977551	0.17894828	0.17867119	0.17842216	0.13523224	0.12453388	0.12480972	0.15694972	0.18294518	0.21463111	0.15677008	0.31347808	0.35872222	0.30052917	0.6182909	0.28735894	0.20991383	0.60864031	0.67070746	0.68012385
70	0.139995	0.15357	0.15357	0.153436	0.153342	0.112949	0.112949	0.11215	0.140271	0.160752	0.193794	0.135029	0.239346	0.29376	0.253854	0.449639	0.176395	0.131132	0.447376	0.58427	0.607822	0.15368375	0.169734	0.1699725	0.169754	0.1695315	0.11913875	0.119104	0.1195345	0.14980425	0.1757775	0.2079195	0.14979725	0.29907925	0.35448825	0.29953075	0.566999	0.244404	0.17871175	0.5624065	0.63697925	0.656221	0.1589595	0.1751475	0.1749705	0.174752	0.174496	0.1211765	0.12095	0.1212415	0.1528255	0.1781795	0.211318	0.154188	0.309421	0.3660415	0.3067725	0.5950085	0.272406	0.2012085	0.5844275	0.6541765	0.674754	0.17309675	0.1799865	0.17996625	0.179757	0.1794345	0.12353525	0.1224575	0.1223145	0.155034	0.18142325	0.214548	0.15742975	0.31908775	0.3776915	0.31348275	0.62947925	0.2968335	0.21839675	0.620079	0.675796	0.688956	0.246607	0.208701	0.189193	0.188974	0.188732	0.202366	0.124572	0.124671	0.160144	0.187788	0.218555	0.167868	0.340508	0.397588	0.328233	0.67272	0.344603	0.258494	0.691145	0.738362	0.747158	0.16738362	0.1748952	0.1746212	0.17440215	0.17419995	0.13088078	0.12057634	0.1208239	0.1521653	0.17807062	0.21072647	0.15352395	0.3079098	0.36499851	0.30513302	0.59586959	0.27168534	0.19958538	0.58624728	0.65579385	0.67233037
80	0.124645	0.144284	0.144425	0.144139	0.144086	0.110262	0.110262	0.110927	0.135593	0.162399	0.193109	0.127337	0.225637	0.304792	0.267793	0.439238	0.181901	0.134298	0.434937	0.573259	0.594399	0.1479515	0.16610425	0.16744725	0.16723225	0.166999	0.1168265	0.11660425	0.11654275	0.1469335	0.1729405	0.203741	0.1466955	0.29390625	0.36068725	0.29719425	0.5682915	0.24939375	0.18359075	0.5520915	0.6394385	0.6584615	0.1558395	0.170595	0.171101	0.17092	0.170745	0.11838	0.1180975	0.118069	0.1489465	0.1747005	0.2071295	0.1510335	0.3040995	0.3702125	0.308579	0.5981625	0.272766	0.19797	0.585239	0.658272	0.669951	0.1645835	0.1747845	0.1747845	0.17461675	0.1744355	0.14539475	0.1195745	0.11941575	0.15112125	0.17763575	0.210388	0.1560995	0.3146745	0.38122475	0.3138715	0.621205	0.29622425	0.2173695	0.60597325	0.6745265	0.688456	0.224132	0.182231	0.182231	0.182034	0.181838	0.225861	0.123238	0.122323	0.157297	0.183603	0.215476	0.163212	0.343885	0.401098	0.32732	0.682637	0.339168	0.25401	0.685745	0.715862	0.733718	0.15984093	0.17005366	0.17077975	0.17058195	0.17039469	0.13224399	0.11776856	0.11779177	0.14875406	0.17465924	0.20677816	0.15061687	0.30213659	0.36815461	0.3056814	0.59165979	0.27005765	0.19832239	0.57850516	0.65442576	0.67129156
90	0.129814	0.14353	0.14353	0.143402	0.143302	0.106833	0.107299	0.10709	0.133472	0.155705	0.186404	0.124854	0.254294	0.328506	0.275226	0.47817	0.199501	0.148772	0.435912	0.54428	0.588522	0.14336175	0.16297525	0.1629695	0.1627985	0.16263725	0.113263	0.1128315	0.112881	0.14273925	0.16814675	0.1996385	0.14122075	0.28853625	0.36482425	0.30249375	0.55674625	0.2398015	0.178243	0.542559	0.63320675	0.65785175	0.1501785	0.16726	0.166035	0.165876	0.1657005	0.1148985	0.114551	0.1147365	0.145045	0.1711835	0.20352	0.1464275	0.3005925	0.3740715	0.3095675	0.5894155	0.2683525	0.1958145	0.5710925	0.6500225	0.6720095	0.1620695	0.17158925	0.1713465	0.17118625	0.17101175	0.11789275	0.1162745	0.1162655	0.1470865	0.173383	0.20595975	0.1496055	0.3082925	0.38366725	0.3160855	0.61526075	0.285876	0.2088515	0.60570075	0.669029	0.6892905	0.229493	0.189693	0.179679	0.179475	0.179305	0.196405	0.12	0.118224	0.152838	0.179056	0.212135	0.165064	0.334103	0.408834	0.329121	0.688896	0.350254	0.259299	0.649878	0.726624	0.763868	0.15590746	0.16679161	0.16622351	0.16604632	0.16589538	0.12792031	0.11441905	0.11443735	0.14463474	0.17028308	0.20264008	0.14526262	0.29946063	0.37279393	0.30878538	0.58506458	0.2658328	0.19573399	0.56966142	0.65073023	0.67340722
100	0.125612	0.145724	0.145724	0.145606	0.145513	0.10465	0.10465	0.105279	0.131898	0.156331	0.188261	0.121787	0.241089	0.325462	0.274047	0.441246	0.182302	0.137407	0.437766	0.552556	0.589334	0.14468925	0.16093025	0.1614385	0.16128925	0.1611425	0.11128525	0.11122225	0.11147025	0.14092375	0.1659775	0.19751425	0.13911725	0.2862835	0.363054	0.30302075	0.54291225	0.2345265	0.17375175	0.52501175	0.624968	0.65074075	0.150908	0.165744	0.165766	0.165582	0.165483	0.113024	0.112674	0.112655	0.142685	0.168592	0.201529	0.1439005	0.2945835	0.372804	0.30935	0.580031	0.2610925	0.192308	0.564664	0.652958	0.6661335	0.15917775	0.16921075	0.16910725	0.16899075	0.1688655	0.1532685	0.11415825	0.11402825	0.144373	0.17030625	0.2036795	0.1486435	0.303006	0.38401525	0.31469625	0.608627	0.28601325	0.2107235	0.5993415	0.67290875	0.68900925	0.257999	0.184555	0.176955	0.176807	0.176673	0.217372	0.117315	0.115897	0.149702	0.175221	0.208229	0.155151	0.329134	0.399849	0.324321	0.679807	0.351756	0.256921	0.676138	0.722313	0.732205	0.15479997	0.16501452	0.16499593	0.16484423	0.16469948	0.12807105	0.11261052	0.11253295	0.14235552	0.16783316	0.20074729	0.14340919	0.29374766	0.37273025	0.307835	0.57225344	0.25818829	0.19075236	0.56260095	0.6473912	0.66951373
