States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	102	103	103	104	104	391	391	385	99	94	256	1152	92	441	2183	96	456	2049	101	534	2760	168	155	155	157	157	399	399	394	117	105.75	256	1168	99	454	2243	112	517.25	2324.75	117	649.5	3410.5	183	155	155	157	158	403	403	398	123	111	256	1170	104	462	2276	121.5	561	2474.5	126	681.5	3661.5	224	155	155	157	159	409	409	404.25	133	118	256	1171	109	472.5	2306.5	131	593.25	2670.5	139	726.75	3858.25	355	207	207	210	214	559	459	425	158	139	293	1177	125	561	2832	209	773	3573	192	1174	6691	185.96	156.56	156.56	158.59	159.62	406.22	405.22	399.64	125.87	112.7	256.37	1169.56	105.38	466.16	2292.92	123.49	567.65	2540.32	129.83	695.55	3680.6
20	303	305	305	307	307	829	829	818	287	257	506	2300	212	921	4502	266	1270	5408	268	1459	7475	404	407	407	410	411	847	847	837	322.5	275	506	2312	227.5	948.75	4606.5	295	1447.5	6343.25	305.75	1667	8754.5	444	407	407	410	412	856	856	847	334	285	506	2314	238.5	975.5	4711.5	316	1518.5	6584.5	326.5	1734.5	9195	469	407	407	410	412	863.25	863.25	855.25	351	296	506	2316	246.25	1000	4851.75	352.25	1685.5	7348.75	351	1825.5	9663.25	847	713	713	719	723	1401	999	896	391	327	582	2323	317	1199	5724	415	2200	10027	446	2188	11520	456.66	406.93	401.9	404.93	406.73	860.91	856.89	846.75	335.91	286.38	506.76	2314.03	238.96	980.97	4765.99	326.28	1561.44	6821.91	331.55	1750.05	9207.91
30	453	455	455	457	458	1277	1277	1261	480	420	756	3429	339	1439	7097	443	2058	9276	460	2535	13177	644	607	607	610	612	1307	1307	1292	541.5	454.75	756	3449	374.75	1526.5	7446.75	533	2535.75	10984.25	532	2804.75	14678	805	759	759	763	765	1322.5	1322.5	1308.5	570	472	756	3453	390.5	1574	7600	567	2661	11598	569	2919	15344	875.25	759	759	763	766	1336	1336	1321.25	591	485.25	756	3456	407	1627.5	7810	594	2832.75	12446.25	600.75	3011.75	15781.25	1267	1062	911	917	920	2259	1506	1358	660	528	873	3465	454	1830	8762	745	3351	14442	729	3485	18646	810.68	711.76	695.16	698.86	701.05	1380.72	1332.56	1307.55	566.75	470.64	765.34	3452.15	392.25	1577.13	7631.97	564.16	2687.9	11682.55	569.23	2917.43	15295.69
40	603	807	807	810	811	1738	1738	1719	719	610	1006	4554	495	2044	10015	691	3355	14769	679	3593	18711	1023.75	1009	1009	1013	1015	1775	1775	1756.75	779.75	642.75	1006	4598	538	2169.5	10495.5	775.25	3690.75	16013.5	783.5	3967	20613	1080	1009	1009	1013	1016	1788	1788	1769	806	656.5	1006	4602	556	2237.5	10776.5	812.5	3873.5	16788	816.5	4095	21332	1273.5	1009	1009	1013.25	1016	1814	1814	1791.25	832.75	677.75	1006	4605	578.25	2293.5	11076.75	856.5	4036.75	17723.25	858.5	4305.25	22164	1582	1613	1413	1420	1424	2822	2020	1824	907	714	1163	4618	626	2395	11702	951	4524	19724	1000	4754	24518	1100.32	1027.02	998.9	1003.01	1005.69	1846.26	1802.16	1772.38	806.66	660.59	1015.42	4600.36	558.85	2233.13	10786.72	816.09	3888.15	16867.17	823.08	4122.84	21527.08
50	753	1007	1007	1010	1011	2222	2222	2196	972	809	1256	5694	680	2759	13492	915	4255	18366	925	4783	25163	1305	1259	1259	1263	1265	2253.5	2253.5	2229.75	1032.5	840.75	1256	5721.75	717	2916	14047	1016.75	4932.75	21414.25	1031.5	5225.25	27558.5	1596	1259	1259	1263	1266	2273.5	2273.5	2248	1070.5	862	1256	5727	738	2958	14266.5	1061	5160	22476.5	1100	5441	28139.5	1626	1511	1511	1516	1519	2304.5	2304.5	2275.25	1114.5	891.25	1256	5731.25	765	3022.75	14519.25	1129	5377	23492.75	1145	5595	28988.25	2288	2015	2015	2022	2028	3773	2738	2338	1257	962	1645	5743	821	3179	15110	1363	6596	29157	1363	6325	32693	1528.08	1349.56	1314.44	1318.83	1321.62	2377.24	2297.1	2252.71	1074.69	867.26	1273.66	5725.99	742.93	2968.79	14275.99	1075.85	5156.12	22483.66	1101.78	5431.43	28254.14
60	1224	1207	1207	1210	1211	2706	2706	2677	1199	991	1506	6841	825	3468	16869	1189	5565	24041	1122	6126	31765	1555	1509	1509	1513	1516	2740.75	2740.75	2709.25	1290.5	1043.75	1506	6863	893.75	3645.75	17542.5	1295.25	6225.75	27168	1289.5	6463.25	33859.25	1896	1659.5	1509	1514	1517	2761.5	2761.5	2727.5	1332.5	1066	1506	6872	928.5	3694	17751	1347.5	6471	28269.5	1347	6627.5	34907.5	1926	1811	1811	1816	1820	2791.5	2791.5	2749	1364.75	1085.5	1506	6876.25	951.25	3756	18015	1382.5	6719.75	29241.75	1406	6875	35898.25	2608	3015	2113	2120	2125	4663	3160	2843	1516	1186	1743	6888	1046	3994	18486	1624	7555	33587	1708	7466	40718	1809.04	1699.07	1650.94	1655.61	1658.65	3090.03	2819.57	2728.14	1331.34	1066.46	1558.04	6870.04	925.13	3705.06	17767.72	1348.47	6478.99	28232.96	1350.31	6692.59	35073.39
70	1404	1407	1407	1410	1412	3199	3199	3162	1472	1210	1756	7972	1044	4303	20405	1354	6912	30234	1437	7184	37825	1805	1759	1759	1763	1766	3237	3237	3200	1577	1265	1756	8007	1098.75	4436.75	21220.5	1564	7635.75	33160	1571.75	7844.5	40762.25	2196	2110	1759	1764	1767	3255	3255	3220	1615.5	1284	1756	8015	1120.5	4501	21523	1633	7856.5	34166	1639	8067	42140	2500.75	2111	2111	2116	2120	3284.5	3284.5	3234.25	1650	1299.25	1756	8021	1152	4563	21719.25	1697.5	8228.5	35879.25	1700.75	8288	43240	3384	2814	2463	2470	2474	5394	3706	3338	1836	1407	2033	8036	1240	4739	22226	1902	8938	39626	1983	8986	46860	2169.33	2001.75	1959.64	1964.34	1967.49	3617.11	3319.16	3218.9	1616.83	1284.64	1811.24	8013.57	1125.2	4505.57	21463.41	1633.31	7931.23	34580.24	1651.52	8069.47	42055.09
80	1604	2009	2009	2013	2015	3658	3658	3617	1738	1411	2006	9087	1226	5034	24029	1667	8222	36236	1706	8491	44358	2458.5	2009	2009	2013	2016	3724.75	3724.75	3683.75	1836.5	1469.5	2006	9147	1277	5193	24849	1839	8867.5	38559	1833.75	9214.75	47836.25	2511	2411	2411	2416	2420	3753.5	3753.5	3707.5	1896	1498.5	2006	9155.5	1316	5270.5	25038.5	1893.5	9260.5	40237.5	1911.5	9437.5	49039	2947	2812	2411	2417	2421	5354.5	4103.75	3727	1949	1520.25	2319	9166	1343	5334.75	25292	1999.5	9691.75	41851.75	2009.75	9728	50403.25	3969	3213	2813	2821	2825	6499	4194	3800	2076	1602	2323	9184	1428	5601	25905	2374	10638	47313	2378	10175	53346	2596.57	2406.8	2354.72	2359.77	2363.3	4321.14	3852.53	3706.87	1894.35	1496.86	2094.48	9154.51	1312.74	5268.99	25050.16	1917.66	9268.25	40449.32	1929.73	9460.62	49073.43
90	1804	2258	2259	2263	2264	4171	4171	4125	2032	1635	2256	10205	1371	5930	27949	1936	9212	39951	1933	9854	52081	2766	2259	2259	2263	2266	4222	4222	4176	2128.75	1686.75	2256	10292	1480.25	6026.75	28526.75	2134.5	10343.5	44941.25	2149	10653.5	55210.75	2826	2711	2711	2716	2720	4245	4245	4192.5	2174	1714.5	2256	10299.5	1513.5	6098.5	28785	2212	10679	46500.5	2233.5	10862.5	56373.5	3297	2711	2711	2716	2721	5717.25	4636	4217	2227	1734.75	2609	10309	1554	6163	28977.5	2283	11106	48332.5	2309.5	11126	58236.5	3848	3614	3163	3171	3175	7395	5151	4331	2377	1839	2970	10326	1743	6381	29450	2680	12333	52291	2643	11953	62882	2980.42	2719.81	2643.2	2648.32	2651.74	4857.93	4357.86	4197.61	2178.47	1713.57	2352.26	10298.78	1519.75	6098.13	28771.09	2226.72	10734.26	46715.09	2237.24	10879.2	56683.22
100	2024	2509	2509	2513	2515	4659	4659	4607	2224	1825	2506	11364	1600	6633	31282	2191	10967	47167	2124	11202	58081	3066	3011	3011	3016	3019	4725.25	4725.25	4676.5	2429	1920	2506	11437	1695.5	6821.5	32099.5	2407.75	11823.75	51408.25	2380.5	11999.75	61998.75	3126	3011	3011	3016	3020	4758.5	4758.5	4701.5	2491	1944.5	2506	11447	1725	6873	32305	2504.5	12153	53262	2496	12272	63671.5	3647	3512	3011	3017	3021	7205.25	5209.25	4726	2531.5	1965.25	2902	11456.25	1773.25	6946	32536.75	2627	12577.75	54884.25	2616	12557.75	65379.25	4689	4515	3513	3521	3525	8278	5294	4800	2685	2061	2903	11473	1862	7230	33086	2979	14245	62474	3019	13781	71892	3272.78	3061.06	3000.96	3006.09	3009.8	5503.08	4887.43	4699.84	2480.95	1942.55	2620.87	11444.97	1730.1	6880.3	32310.38	2524.59	12224.15	53322.38	2503.41	12305.34	64060.18
