States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	102	103	103	104	104	391	391	385	99	94	256	1152	41	225	1089	11	185	1073	9	64	284	168	155	155	157	157	399	399	394	117	105.75	256	1168	50	240.75	1192	20	199.75	1158.25	16	80.75	417.25	183	155	155	157	158	403	403	398	123	111	256	1170	55.5	247.5	1218.5	25.5	222.5	1265	20	90	463	224	155	155	157	159	409	409	404.25	133	118	256	1171	60.25	254.25	1252.75	30	250.25	1421.25	25	102	506.75	355	207	207	210	214	559	459	425	158	139	293	1177	73	277	1308	46	348	1934	46	131	726	185.96	156.56	156.56	158.59	159.62	406.22	405.22	399.64	125.87	112.7	256.37	1169.56	55.71	247.4	1219.32	25.58	231.64	1318.77	20.79	91.59	462.95
20	303	305	305	307	307	829	829	818	287	257	506	2300	112	476	2359	25	399	2299	24	139	701	404	407	407	410	411	847	847	837	322.5	275	506	2312	128	494.5	2496.75	39.75	500.75	2848	37	179.5	895.75	444	407	407	410	412	856	856	847	334	285	506	2314	136	507.5	2519.5	48.5	567.5	3246.5	43.5	199.5	995	469	407	407	410	412	863.25	863.25	855.25	351	296	506	2316	143.5	519.25	2547	56.25	632	3667.25	51.25	217	1066.25	847	713	713	719	723	1401	999	896	391	327	582	2323	205	576	2678	98	839	4738	79	247	1251	456.66	406.93	401.9	404.93	406.73	860.91	856.89	846.75	335.91	286.38	506.76	2314.03	137.27	508.54	2516.51	48.95	573.12	3266.44	45.04	197.52	984.21
30	453	455	455	457	458	1277	1277	1261	480	420	756	3429	186	707	3625	46	687	3886	45	233	1180	644	607	607	610	612	1307	1307	1292	541.5	454.75	756	3449	214	740.5	3726.75	71	908.25	5183	65	289.5	1414.75	805	759	759	763	765	1322.5	1322.5	1308.5	570	472	756	3453	228.5	756.5	3759.5	81.5	989	5605.5	75	314	1538	875.25	759	759	763	766	1336	1336	1321.25	591	485.25	756	3456	241.25	780.25	3795.25	90	1083	6157.5	83.5	335.5	1623.25	1267	1062	911	917	920	2259	1506	1358	660	528	873	3465	288	864	3953	121	1393	7924	120	406	1990	810.68	711.76	695.16	698.86	701.05	1380.72	1332.56	1307.55	566.75	470.64	765.34	3452.15	229.04	760.89	3759.95	81.61	1003.77	5688.39	76.11	312.14	1525.23
40	603	807	807	810	811	1738	1738	1719	719	610	1006	4554	282	918	4795	67	1109	6158	67	319	1600	1023.75	1009	1009	1013	1015	1775	1775	1756.75	779.75	642.75	1006	4598	314	978.25	4946.75	96.75	1295.25	7311	94	397.5	1936.75	1080	1009	1009	1013	1016	1788	1788	1769	806	656.5	1006	4602	327	1007	4984.5	109.5	1415	7941	108.5	436.5	2083	1273.5	1009	1009	1013.25	1016	1814	1814	1791.25	832.75	677.75	1006	4605	345.25	1028.25	5037	122.25	1510	8499	117.25	469.75	2265.25	1582	1613	1413	1420	1424	2822	2020	1824	907	714	1163	4618	398	1095	5126	176	1925	10814	154	616	3029	1100.32	1027.02	998.9	1003.01	1005.69	1846.26	1802.16	1772.38	806.66	660.59	1015.42	4600.36	330.5	1003.09	4987.26	110.6	1415.19	7975.98	107.16	436.82	2111.99
50	753	1007	1007	1010	1011	2222	2222	2196	972	809	1256	5694	377	1159	5989	98	1215	6703	94	462	2140	1305	1259	1259	1263	1265	2253.5	2253.5	2229.75	1032.5	840.75	1256	5721.75	419.5	1216.5	6172	133.75	1732	9745.75	128.75	524.75	2516	1596	1259	1259	1263	1266	2273.5	2273.5	2248	1070.5	862	1256	5727	439	1244.5	6234	149	1886	10580.5	143	548.5	2637.5	1626	1511	1511	1516	1519	2304.5	2304.5	2275.25	1114.5	891.25	1256	5731.25	460	1280	6287.25	164.25	2016.75	11290	154	584	2838.75	2288	2015	2015	2022	2028	3773	2738	2338	1257	962	1645	5743	520	1368	6502	228	2591	14167	186	681	3438	1528.08	1349.56	1314.44	1318.83	1321.62	2377.24	2297.1	2252.71	1074.69	867.26	1273.66	5725.99	439.69	1250.61	6231.38	148.68	1887.49	10626.42	142.12	556.35	2670.66
60	1224	1207	1207	1210	1211	2706	2706	2677	1199	991	1506	6841	449	1364	7272	120	1893	10563	136	550	2675	1555	1509	1509	1513	1516	2740.75	2740.75	2709.25	1290.5	1043.75	1506	6863	519	1455.5	7408.5	168	2211.5	12404.5	164	642.5	3049	1896	1659.5	1509	1514	1517	2761.5	2761.5	2727.5	1332.5	1066	1506	6872	548.5	1485	7471	177.5	2339.5	13117.5	176.5	679	3203	1926	1811	1811	1816	1820	2791.5	2791.5	2749	1364.75	1085.5	1506	6876.25	568.75	1519.25	7538.75	195.25	2476.5	13961.75	189.25	722.25	3354.25	2608	3015	2113	2120	2125	4663	3160	2843	1516	1186	1743	6888	637	1626	7805	242	3273	18670	248	829	3970	1809.04	1699.07	1650.94	1655.61	1658.65	3090.03	2819.57	2728.14	1331.34	1066.46	1558.04	6870.04	544.9	1486.88	7478.32	181.25	2360.83	13270.37	178.83	682.62	3209.89
70	1404	1407	1407	1410	1412	3199	3199	3162	1472	1210	1756	7972	581	1606	8521	165	2334	13054	155	656	3036	1805	1759	1759	1763	1766	3237	3237	3200	1577	1265	1756	8007	631.75	1694.5	8661	200.75	2706.25	15173.25	199.75	776.75	3686.25	2196	2110	1759	1764	1767	3255	3255	3220	1615.5	1284	1756	8015	659	1731	8732	220	2873.5	15978	212.5	812.5	3811	2500.75	2111	2111	2116	2120	3284.5	3284.5	3234.25	1650	1299.25	1756	8021	686	1767	8798.5	235	3046	16970.75	229	858	4007.5	3384	2814	2463	2470	2474	5394	3706	3338	1836	1407	2033	8036	760	1905	9086	291	3709	20658	293	982	4620	2169.33	2001.75	1959.64	1964.34	1967.49	3617.11	3319.16	3218.9	1616.83	1284.64	1811.24	8013.57	661.41	1734.47	8735.78	219.28	2881.55	16120.3	213.99	818.59	3844.5
80	1604	2009	2009	2013	2015	3658	3658	3617	1738	1411	2006	9087	681	1800	9685	168	2665	14840	190	741	3587	2458.5	2009	2009	2013	2016	3724.75	3724.75	3683.75	1836.5	1469.5	2006	9147	740	1899.75	9887	240.5	3075.25	17243.5	235	899.25	4214	2511	2411	2411	2416	2420	3753.5	3753.5	3707.5	1896	1498.5	2006	9155.5	767	1954.5	9991.5	254	3367	18889.5	251.5	942	4407.5	2947	2812	2411	2417	2421	5354.5	4103.75	3727	1949	1520.25	2319	9166	795.25	2021.75	10085.5	270.25	3556.75	19923.25	269.25	981.25	4641.25	3969	3213	2813	2821	2825	6499	4194	3800	2076	1602	2323	9184	856	2156	10343	352	4539	25378	348	1115	5333	2596.57	2406.8	2354.72	2359.77	2363.3	4321.14	3852.53	3706.87	1894.35	1496.86	2094.48	9154.51	767.23	1962.54	9994.86	255.72	3358.57	18843.02	252.93	943.26	4431.58
90	1804	2258	2259	2263	2264	4171	4171	4125	2032	1635	2256	10205	716	2023	10863	210	2850	15973	224	822	3702	2766	2259	2259	2263	2266	4222	4222	4176	2128.75	1686.75	2256	10292	860.75	2158.5	11155.75	274	3664.75	20496.75	268.25	1015.75	4675.75	2826	2711	2711	2716	2720	4245	4245	4192.5	2174	1714.5	2256	10299.5	883	2201	11226.5	296	3839	21579.5	290	1064	4985	3297	2711	2711	2716	2721	5717.25	4636	4217	2227	1734.75	2609	10309	916.75	2248	11323.25	310.75	4120.75	23118.5	310	1119.75	5173.75	3848	3614	3163	3171	3175	7395	5151	4331	2377	1839	2970	10326	1062	2497	11614	380	4688	26553	359	1243	5988	2980.42	2719.81	2643.2	2648.32	2651.74	4857.93	4357.86	4197.61	2178.47	1713.57	2352.26	10298.78	889.09	2209.93	11236.92	294.54	3862.91	21573.42	289.12	1066	4958.7
100	2024	2509	2509	2513	2515	4659	4659	4607	2224	1825	2506	11364	898	2291	12174	257	3510	19627	260	1009	4704	3066	3011	3011	3016	3019	4725.25	4725.25	4676.5	2429	1920	2506	11437	975.5	2383	12400.75	309	4122.5	22942	300.75	1145	5276.25	3126	3011	3011	3016	3020	4758.5	4758.5	4701.5	2491	1944.5	2506	11447	1002.5	2461	12484.5	333	4413	24347	326	1213	5677	3647	3512	3011	3017	3021	7205.25	5209.25	4726	2531.5	1965.25	2902	11456.25	1040.25	2495	12595	359	4660.25	26112.5	345.75	1267.5	5998.75	4689	4515	3513	3521	3525	8278	5294	4800	2685	2061	2903	11473	1153	2727	12955	403	5567	31011	445	1437	6761	3272.78	3061.06	3000.96	3006.09	3009.8	5503.08	4887.43	4699.84	2480.95	1942.55	2620.87	11444.97	1007.77	2450.09	12499.81	334.17	4417.62	24657.37	326.89	1208.9	5644.95
