States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11	Avg_12	Avg_13	Avg_14	Avg_15	Avg_16	Avg_17	Avg_18	Avg_19	Avg_20
10	0.000156	0.000135	0.000132	0.000135	0.000132	0.000305	0.000305	0.000304	0.000094	0.000107	0.000354	0.005994	0.000262	0.001533	0.018895	0.000744	0.004008	0.020446	0.000867	0.005813	0.089033	0.00026725	0.000208	0.0002025	0.0002065	0.000204	0.000327	0.000325	0.00032575	0.000117	0.00012775	0.000371	0.0061195	0.00032375	0.0018505	0.02351875	0.0010475	0.0053435	0.028014	0.0012	0.00776125	0.12346125	0.000322	0.000228	0.000217	0.000218	0.000215	0.0003435	0.0003385	0.0003425	0.0001285	0.0001365	0.000384	0.0062225	0.000358	0.001946	0.02671	0.0012095	0.006278	0.0340385	0.0013145	0.0098225	0.1402785	0.00039925	0.00025	0.0002535	0.0002435	0.000238	0.00035825	0.00036325	0.00036225	0.00014225	0.00015325	0.00040525	0.00632725	0.00040125	0.0020675	0.0311595	0.001389	0.007645	0.04035825	0.0016435	0.01230625	0.1541335	0.000729	0.000402	0.000396	0.000371	0.000371	0.000603	0.000495	0.000533	0.000209	0.000211	0.000597	0.006812	0.000601	0.003363	0.046723	0.00332	0.014777	0.074102	0.00271	0.022219	0.385133	0.00033316	0.0002344	0.00022895	0.000226	0.00022473	0.00034977	0.00034514	0.00034725	0.00013122	0.00014077	0.00039366	0.0062491	0.00036898	0.00197452	0.02760902	0.00126064	0.00668033	0.0360497	0.00142745	0.0106142	0.14342626
20	0.000524	0.000519	0.000521	0.000522	0.000528	0.000821	0.00081	0.000807	0.000368	0.000398	0.000868	0.013808	0.001016	0.004983	0.070764	0.004773	0.03198	0.166657	0.004601	0.031053	0.402135	0.00080975	0.00073125	0.00074275	0.000744	0.000738	0.000883	0.0008715	0.0008695	0.0004265	0.00046	0.000907	0.01427875	0.0011825	0.0056915	0.08323525	0.00637675	0.04735525	0.286462	0.005796	0.042988	0.74248125	0.0010535	0.000794	0.0008165	0.000793	0.0007935	0.000903	0.0008895	0.000891	0.00045	0.0004825	0.00093	0.014526	0.001279	0.0060265	0.093189	0.006986	0.058937	0.364852	0.0067975	0.0507495	0.8374165	0.001189	0.000845	0.00087625	0.0008375	0.000835	0.0009245	0.0009095	0.000908	0.000474	0.00050525	0.00095325	0.01473475	0.0014455	0.00656225	0.10696925	0.0082355	0.0698405	0.4685145	0.0080415	0.059294	0.9123885	0.00208	0.001589	0.001723	0.001633	0.001631	0.002032	0.001175	0.000985	0.000536	0.000566	0.001223	0.015765	0.002494	0.009374	0.190727	0.012042	0.111554	0.865953	0.012718	0.104599	1.490885	0.00106468	0.00079979	0.00081782	0.00079453	0.00079392	0.0009161	0.00089451	0.00089262	0.00045128	0.00048528	0.00093456	0.0145287	0.00133316	0.00622108	0.1004201	0.00741377	0.06075939	0.38967977	0.00706308	0.05309357	0.83546159
30	0.001185	0.001	0.000996	0.001001	0.001005	0.001313	0.001306	0.001348	0.000822	0.000881	0.001395	0.024714	0.002206	0.00992	0.140118	0.013762	0.103222	0.643188	0.013165	0.103655	1.582454	0.001857	0.00150475	0.00153375	0.00151325	0.0015305	0.00141275	0.00140725	0.00140475	0.0009635	0.001003	0.001482	0.0259615	0.002652	0.010935	0.1658815	0.02009525	0.18982475	1.11105275	0.0194295	0.130463	2.1309895	0.00229	0.0018205	0.0019565	0.0018865	0.001871	0.0014465	0.001448	0.00145	0.0010275	0.0010665	0.001527	0.026383	0.0028705	0.0116335	0.185657	0.023478	0.228189	1.335331	0.0215995	0.158759	2.4492765	0.0026755	0.002016	0.00211375	0.002039	0.00202475	0.00149775	0.00149925	0.001495	0.001072	0.0011195	0.001574	0.02684825	0.00313075	0.012823	0.204691	0.0286915	0.308005	1.67415575	0.02512225	0.18973125	2.73409575	0.004196	0.002807	0.002976	0.002585	0.002581	0.003995	0.001957	0.001632	0.001217	0.001245	0.002117	0.02859	0.004288	0.017295	0.361494	0.052991	0.468277	2.873673	0.035233	0.357822	3.840349	0.0023715	0.0018031	0.00186216	0.00179682	0.00179927	0.00159047	0.00147601	0.00145245	0.00102247	0.00106381	0.00155829	0.02643266	0.00289495	0.01195265	0.18847885	0.02531017	0.25250633	1.43046382	0.02250268	0.16959106	2.45645191
40	0.001495	0.002162	0.002159	0.002122	0.002155	0.002001	0.002008	0.002007	0.001389	0.001417	0.002	0.03294	0.004143	0.016743	0.235439	0.032323	0.331492	2.101338	0.034939	0.260678	7.606359	0.00299575	0.002822	0.00294225	0.00288425	0.0028845	0.00209875	0.0021	0.00209975	0.0015725	0.0016205	0.00207875	0.03398575	0.0046435	0.0187435	0.27985675	0.04261675	0.4865325	3.08136375	0.05162475	0.331483	10.46508725	0.0037705	0.0030225	0.0032105	0.0030345	0.003036	0.002132	0.002139	0.002134	0.001621	0.001686	0.002129	0.03443	0.0049135	0.019986	0.2990385	0.047428	0.574336	3.589486	0.0575875	0.4055035	11.5120325	0.0043565	0.00325025	0.00346175	0.00321825	0.003209	0.002201	0.00219925	0.00217925	0.0016975	0.00175475	0.0021655	0.03518	0.005243	0.0211465	0.32273	0.0536825	0.67403925	4.06664725	0.067908	0.4822	12.86299425	0.006072	0.004898	0.004944	0.004705	0.004692	0.00462	0.002734	0.002323	0.001852	0.001914	0.002761	0.037501	0.006074	0.026692	0.472121	0.074327	0.951918	5.838266	0.092311	0.91655	15.790204	0.00376946	0.00303676	0.00318086	0.00302534	0.00302341	0.00226999	0.00217284	0.00214476	0.00162365	0.00168072	0.0021564	0.03457502	0.00496855	0.02004485	0.30520765	0.04905275	0.58802728	3.62728269	0.06014548	0.42265005	11.69176393
50	0.00198	0.002769	0.002779	0.002792	0.002776	0.002446	0.002439	0.002445	0.001979	0.002154	0.002557	0.043113	0.00685	0.024988	0.365216	0.058992	0.701732	4.31693	0.072909	0.415242	7.068531	0.005018	0.00406475	0.00421575	0.00411375	0.0041075	0.00256175	0.002541	0.002542	0.00216275	0.00234175	0.0026625	0.04465	0.0074455	0.028129	0.42296625	0.079214	0.88783925	5.44359225	0.0884425	0.54281475	10.313962	0.0062485	0.004262	0.004461	0.004287	0.0042675	0.0026205	0.002601	0.002588	0.002266	0.0024275	0.002697	0.0453885	0.007883	0.029754	0.4468805	0.0894375	1.060721	6.567702	0.102217	0.70816	11.0293195	0.0070815	0.005088	0.0055805	0.0052615	0.00523975	0.00267525	0.00267225	0.00265425	0.00235425	0.0025405	0.00274425	0.046569	0.0082685	0.0314315	0.4874735	0.1021165	1.3284245	8.1088075	0.1178525	0.83761325	12.05229225	0.011264	0.007749	0.009035	0.007945	0.007795	0.006783	0.00372	0.002918	0.002799	0.002998	0.0044	0.055919	0.009904	0.072376	0.987406	0.139713	2.117813	12.626386	0.177863	1.228352	15.588574	0.00612108	0.00449935	0.00473814	0.00452123	0.00451475	0.002863	0.00265004	0.00260456	0.00226382	0.00244313	0.00277464	0.04569705	0.00790071	0.03127249	0.47683231	0.09261339	1.13490091	6.83796357	0.10443743	0.70907478	11.24060322
60	0.004258	0.003704	0.003744	0.003757	0.003774	0.003043	0.003002	0.003001	0.002637	0.002848	0.003047	0.059569	0.009191	0.030466	0.448919	0.10167	1.297201	7.535618	0.093951	0.60008	12.152271	0.006832	0.00553525	0.0058295	0.00563	0.00563525	0.0031525	0.0031155	0.00311325	0.0029025	0.00317525	0.00330025	0.0624065	0.01007475	0.0350425	0.52414575	0.13722375	1.76713975	10.29323275	0.128008	0.7990785	15.840775	0.0082995	0.006206	0.0067	0.006427	0.0064095	0.0032345	0.003203	0.003194	0.0030325	0.003317	0.003362	0.063245	0.010393	0.036819	0.5696725	0.1509705	1.9291575	11.3400475	0.142124	0.947435	17.536061	0.00914725	0.00737525	0.0081025	0.007448	0.00743875	0.003394	0.00335975	0.003265	0.0031465	0.0034605	0.00349325	0.0642655	0.0108535	0.03946425	0.612155	0.1791805	2.2071915	13.072725	0.1582885	1.1308145	19.33977725	0.012396	0.009851	0.009807	0.00902	0.00904	0.00809	0.003991	0.003427	0.003512	0.003807	0.004502	0.06969	0.013794	0.045971	0.755227	0.255698	3.232417	23.537996	0.289539	1.672377	30.954197	0.00807383	0.0064743	0.00691549	0.00651765	0.00651804	0.00401374	0.00331192	0.00319323	0.00303509	0.0033222	0.0035371	0.06343427	0.01050855	0.03740686	0.57212948	0.16100468	1.99225052	11.699074	0.14558283	0.98128583	17.875448
70	0.004407	0.005163	0.005279	0.005217	0.005268	0.003962	0.003877	0.003873	0.003517	0.003926	0.003802	0.071377	0.013431	0.044433	0.614333	0.141955	1.992787	11.835169	0.153832	0.871299	20.413992	0.00904725	0.00748525	0.0077565	0.0075645	0.00760625	0.004089	0.004055	0.00405375	0.003969	0.00436725	0.00417225	0.075305	0.0146805	0.051963	0.73880075	0.21634925	2.8106935	16.2041605	0.21858	1.31652725	27.8400155	0.0115165	0.008642	0.008756	0.008292	0.0082725	0.004179	0.004133	0.0041245	0.0040935	0.0045505	0.004247	0.0765755	0.015187	0.054264	0.788947	0.242996	3.2285225	18.539109	0.2451135	1.522358	31.012175	0.01296925	0.0101015	0.0106785	0.0101785	0.01019025	0.00441225	0.00430275	0.00422925	0.00426875	0.004703	0.00440725	0.0782425	0.01570425	0.05744125	0.85249725	0.26562425	3.6214215	21.52473825	0.2738085	1.8146505	35.38000625	0.02177	0.013443	0.013751	0.01399	0.012915	0.014841	0.005456	0.00808	0.008552	0.008896	0.005787	0.097864	0.021779	0.068725	0.97235	0.340872	4.893514	31.383524	0.414339	2.341459	53.952801	0.01140279	0.0090061	0.00940255	0.00901874	0.00899354	0.00528129	0.00428991	0.00419119	0.00414621	0.00457841	0.00444011	0.0769563	0.01528419	0.05483976	0.79669882	0.24257017	3.25267234	19.00169165	0.2459655	1.56006694	31.66838433
80	0.007938	0.008488	0.008623	0.008743	0.008535	0.004496	0.004478	0.004514	0.004405	0.004862	0.004358	0.085369	0.014915	0.048374	0.672284	0.222145	2.616335	15.097078	0.242027	1.686781	51.173353	0.013197	0.0097815	0.00994725	0.009918	0.00988775	0.0047115	0.00467125	0.00464875	0.00480475	0.00538775	0.00474925	0.0880985	0.01648625	0.05399025	0.7658765	0.29407625	3.9811015	22.5441005	0.36806525	2.513272	67.14116825	0.0152515	0.012171	0.0130325	0.0123125	0.0122845	0.0048215	0.0047785	0.004722	0.005051	0.0056225	0.0048855	0.0899315	0.01693	0.0562295	0.8014605	0.3277985	4.4451975	25.275431	0.422946	3.198322	73.4561115	0.01873725	0.0133605	0.0144565	0.0132835	0.01331475	0.00860325	0.0055185	0.004849	0.0052305	0.0058325	0.0058635	0.09202225	0.01751525	0.059479	0.8725925	0.3660195	5.1616185	28.823054	0.49140775	4.29178675	81.06893675	0.028656	0.016838	0.019833	0.01898	0.018761	0.013663	0.006156	0.005283	0.005767	0.00639	0.006664	0.104831	0.019134	0.069096	1.047556	0.541325	7.015114	43.357513	0.84246	7.08855	98.500646	0.0157735	0.01200644	0.01297139	0.01219826	0.01219797	0.00635911	0.00500573	0.00475815	0.00503475	0.00560308	0.00516902	0.09031401	0.01699338	0.05709166	0.82444073	0.33651997	4.56934719	25.70795711	0.43761456	3.40769993	74.45005589
90	0.00845	0.00943	0.010685	0.010702	0.010635	0.005261	0.005236	0.005208	0.005357	0.0059	0.005062	0.090743	0.021297	0.073273	0.979759	0.302432	4.033068	23.607927	0.391949	2.572639	72.391742	0.01651625	0.011936	0.0126205	0.012098	0.01216825	0.00546	0.0054065	0.0053885	0.00589775	0.00647075	0.0054085	0.10796675	0.0240715	0.0812635	1.091327	0.39311875	5.15553675	28.6644505	0.52668975	4.557885	95.007174	0.019781	0.014862	0.015653	0.0150495	0.014949	0.005593	0.005541	0.0055035	0.006108	0.0067225	0.005607	0.126578	0.0248315	0.0843025	1.1675385	0.4323005	5.956343	32.6600275	0.5940165	5.437741	102.9762335	0.023017	0.0159185	0.017011	0.0159695	0.01595	0.0088965	0.0062155	0.00560975	0.00631275	0.00692825	0.00655525	0.16316975	0.0258875	0.08951	1.2581125	0.478603	6.61729525	35.866071	0.6629055	6.13693725	111.132604	0.031882	0.020766	0.022672	0.020924	0.020996	0.01577	0.00765	0.006248	0.00702	0.007524	0.008806	0.362123	0.030698	0.109882	1.531431	0.616724	9.341569	49.043399	0.89582	8.01958	137.813517	0.01966687	0.01462806	0.01560511	0.01480772	0.01479217	0.0072271	0.00578192	0.00552144	0.0061087	0.00670307	0.00589716	0.14131	0.02497408	0.0857811	1.17944538	0.43954008	5.92311805	32.83765615	0.60121335	5.38417911	102.8415271
100	0.011027	0.012163	0.012269	0.012308	0.012274	0.005833	0.005784	0.005782	0.006119	0.006734	0.005596	0.106533	0.027797	0.091679	1.138075	0.476515	5.627626	30.412108	0.452891	2.540222	82.054007	0.025512	0.019858	0.01961525	0.018127	0.01796	0.00605575	0.006007	0.005971	0.00714525	0.00786675	0.0059285	0.11748825	0.03047025	0.10024225	1.313901	0.600907	7.794712	44.074971	0.60188475	3.9586985	111.9852765	0.035177	0.023786	0.022723	0.0197145	0.020628	0.006904	0.0065575	0.006097	0.0075655	0.008297	0.006241	0.1324305	0.0317655	0.1053125	1.3882565	0.6921395	8.930664	51.198244	0.6843115	4.596896	122.226958	0.04659825	0.033618	0.03322625	0.02479175	0.02927275	0.01373425	0.00784075	0.00652775	0.0090355	0.009268	0.00777225	0.16998225	0.03282775	0.112281	1.46025825	0.78282425	10.25116925	56.8673995	0.7424085	5.29646525	129.3855175	0.090153	0.085302	0.066255	0.072634	0.06532	0.048994	0.029871	0.028076	0.042356	0.037484	0.035488	0.246996	0.03874	0.134106	1.869489	0.982395	14.222306	74.931273	1.104757	8.601173	152.766368	0.03801354	0.02891114	0.02742378	0.02383723	0.02425942	0.01122823	0.00888043	0.00786903	0.00968404	0.01062469	0.00805188	0.14648641	0.03198748	0.10656065	1.39403094	0.69439362	9.20183608	51.37662491	0.68523192	4.72215729	120.4593541
