Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	Exploration	EE	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	4	60	5	2	1836	1836	5	10176	2510	0.246659	0	0	0.007183	L*	addAllPrefixesToS	0	TeacherDFSM		DFA_R60_5.fsm
1	4	60	5	2	3622	3622	11	18773	2951	0.157194	0	0	0.012853	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		DFA_R60_5.fsm
1	4	60	5	2	3321	3321	11	16760	2711	0.161754	0	0	0.012627	L*	addSuffix1by1ToE	2	TeacherDFSM		DFA_R60_5.fsm
1	4	60	5	2	3332	3332	11	16795	2711	0.161417	0	0	0.012327	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		DFA_R60_5.fsm
1	4	60	5	2	3338	3338	11	16819	2711	0.161187	0	0	0.012250	L*	addSuffixToE_binarySearch	4	TeacherDFSM		DFA_R60_5.fsm
1	4	60	5	2	5854	5854	3	33091	5120	0.154725	0	0	0.010735	OP	AllGlobally	5	TeacherDFSM		DFA_R60_5.fsm
1	4	60	5	2	4966	4966	6	25328	2710	0.106996	0	0	0.008066	OP	OneGlobally	6	TeacherDFSM		DFA_R60_5.fsm
1	4	60	5	2	3757	3757	24	18111	1731	0.095577	0	0	0.007627	OP	OneLocally	7	TeacherDFSM		DFA_R60_5.fsm
1	4	60	5	2	2966	2966	59	12090	1587	0.131266	0	0	0.008847	DT		8	TeacherDFSM		DFA_R60_5.fsm
1	4	60	5	2	1997	1997	57	8930	1584	0.177380	0	0	0.009028	TTT		9	TeacherDFSM		DFA_R60_5.fsm
1	4	60	5	2	2580	2580	6	13232	2710	0.204807	0	0	0.009220	Quotient		10	TeacherDFSM		DFA_R60_5.fsm
1	4	60	5	2	2889	2889	7	18858	2890	0.153251	0	0	0.012793	L*	addAllPrefixesToS	0	TeacherDFSM		DFA_R60_5_SHxIL.fsm
1	4	60	5	2	4226	4226	13	23328	3433	0.147162	0	0	0.016784	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		DFA_R60_5_SHxIL.fsm
1	4	60	5	2	3925	3925	13	21235	3193	0.150365	0	0	0.018945	L*	addSuffix1by1ToE	2	TeacherDFSM		DFA_R60_5_SHxIL.fsm
1	4	60	5	2	3938	3938	13	21281	3193	0.150040	0	0	0.016395	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		DFA_R60_5_SHxIL.fsm
1	4	60	5	2	3946	3946	13	21315	3193	0.149801	0	0	0.016496	L*	addSuffixToE_binarySearch	4	TeacherDFSM		DFA_R60_5_SHxIL.fsm
