Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	Exploration	EE	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	1	1000	5	5	50360	50360	5	331332	37267	0.112476	0	0	5.196418	L*	addAllPrefixesToS	0	TeacherDFSM		DFSM_R1000_5.fsm
1	1	1000	5	5	50014	50014	5	328487	37008	0.112662	0	0	4.340981	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		DFSM_R1000_5.fsm
1	1	1000	5	5	50014	50014	5	328487	37008	0.112662	0	0	4.871823	L*	addSuffix1by1ToE	2	TeacherDFSM		DFSM_R1000_5.fsm
1	1	1000	5	5	50018	50018	5	328508	37008	0.112655	0	0	4.355792	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		DFSM_R1000_5.fsm
1	1	1000	5	5	50024	50024	5	328547	37008	0.112641	0	0	4.349318	L*	addSuffixToE_binarySearch	4	TeacherDFSM		DFSM_R1000_5.fsm
1	1	1000	5	5	79156	79156	2	546142	65015	0.119044	0	0	0.200158	OP	AllGlobally	5	TeacherDFSM		DFSM_R1000_5.fsm
1	1	1000	5	5	74161	74161	5	479138	37008	0.077239	0	0	0.174643	OP	OneGlobally	6	TeacherDFSM		DFSM_R1000_5.fsm
1	1	1000	5	5	54071	54071	34	336605	25056	0.074437	0	0	0.140141	OP	OneLocally	7	TeacherDFSM		DFSM_R1000_5.fsm
1	1	1000	5	5	42806	42806	540	231651	20768	0.089652	0	0	0.383730	DT		8	TeacherDFSM		DFSM_R1000_5.fsm
1	1	1000	5	5	31815	31815	540	198034	20702	0.104538	0	0	0.542968	TTT		9	TeacherDFSM		DFSM_R1000_5.fsm
1	1	1000	5	5	25006	25006	1	159205	25005	0.157062	0	0	0.107823	Quotient		10	TeacherDFSM		DFSM_R1000_5.fsm
1	1	1000	5	5	45234	45234	4	295015	33172	0.112442	0	0	3.975341	L*	addAllPrefixesToS	0	TeacherDFSM		DFSM_R1000_5_htmyx.fsm
1	1	1000	5	5	45012	45012	4	293297	33007	0.112538	0	0	3.392583	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		DFSM_R1000_5_htmyx.fsm
1	1	1000	5	5	45012	45012	4	293297	33007	0.112538	0	0	3.560950	L*	addSuffix1by1ToE	2	TeacherDFSM		DFSM_R1000_5_htmyx.fsm
1	1	1000	5	5	45015	45015	4	293310	33007	0.112533	0	0	3.420468	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		DFSM_R1000_5_htmyx.fsm
1	1	1000	5	5	45019	45019	4	293334	33007	0.112524	0	0	3.401997	L*	addSuffixToE_binarySearch	4	TeacherDFSM		DFSM_R1000_5_htmyx.fsm
1	1	1000	5	5	74166	74166	2	498201	49011	0.098376	0	0	0.180062	OP	AllGlobally	5	TeacherDFSM		DFSM_R1000_5_htmyx.fsm
1	1	1000	5	5	69167	69167	4	445907	33007	0.074022	0	0	0.162393	OP	OneGlobally	6	TeacherDFSM		DFSM_R1000_5_htmyx.fsm
1	1	1000	5	5	54156	54156	38	340079	25079	0.073745	0	0	0.143001	OP	OneLocally	7	TeacherDFSM		DFSM_R1000_5_htmyx.fsm
1	1	1000	5	5	43022	43022	546	231712	20753	0.089564	0	0	0.377570	DT		8	TeacherDFSM		DFSM_R1000_5_htmyx.fsm
1	1	1000	5	5	31862	31862	546	197110	20691	0.104972	0	0	0.535675	TTT		9	TeacherDFSM		DFSM_R1000_5_htmyx.fsm
1	1	1000	5	5	25006	25006	1	159830	25005	0.156447	0	0	0.102228	Quotient		10	TeacherDFSM		DFSM_R1000_5_htmyx.fsm
1	1	1000	5	5	45234	45234	4	293350	33172	0.113080	0	0	4.043735	L*	addAllPrefixesToS	0	TeacherDFSM		DFSM_R1000_5_w0XaX.fsm
1	1	1000	5	5	45012	45012	4	291632	33007	0.113180	0	0	3.418681	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		DFSM_R1000_5_w0XaX.fsm
1	1	1000	5	5	45012	45012	4	291632	33007	0.113180	0	0	3.548322	L*	addSuffix1by1ToE	2	TeacherDFSM		DFSM_R1000_5_w0XaX.fsm
1	1	1000	5	5	45015	45015	4	291648	33007	0.113174	0	0	3.434248	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		DFSM_R1000_5_w0XaX.fsm
1	1	1000	5	5	45019	45019	4	291672	33007	0.113165	0	0	3.424772	L*	addSuffixToE_binarySearch	4	TeacherDFSM		DFSM_R1000_5_w0XaX.fsm
1	1	1000	5	5	74185	74185	2	495453	49011	0.098922	0	0	0.176318	OP	AllGlobally	5	TeacherDFSM		DFSM_R1000_5_w0XaX.fsm
1	1	1000	5	5	69187	69187	4	443424	33009	0.074441	0	0	0.153297	OP	OneGlobally	6	TeacherDFSM		DFSM_R1000_5_w0XaX.fsm
1	1	1000	5	5	54180	54180	39	338238	25060	0.074090	0	0	0.140776	OP	OneLocally	7	TeacherDFSM		DFSM_R1000_5_w0XaX.fsm
1	1	1000	5	5	42431	42431	531	229107	20621	0.090006	0	0	0.374281	DT		8	TeacherDFSM		DFSM_R1000_5_w0XaX.fsm
1	1	1000	5	5	31708	31708	531	195701	20550	0.105007	0	0	0.527355	TTT		9	TeacherDFSM		DFSM_R1000_5_w0XaX.fsm
1	1	1000	5	5	25006	25006	1	159005	25005	0.157259	0	0	0.102666	Quotient		10	TeacherDFSM		DFSM_R1000_5_w0XaX.fsm
