Correct,FSMtype,States,Inputs,Outputs,Resets,OQs,EQs,symbols,Exploration,EE,BBresets,BBsymbols,seconds,Algorithm,CEprocessing,AlgId,Teacher,BB,fileName
1,1,30,5,5,906,906,1,3485,755,0.216642755,0,0,0.001405,L*,addAllPrefixesToS,0,TeacherDFSM,,DFSM_R30_5.fsm
1,1,30,5,5,906,906,1,3485,755,0.216642755,0,0,0.001248,L*,addAllSuffixesAfterLastStateToE,1,TeacherDFSM,,DFSM_R30_5.fsm
1,1,30,5,5,906,906,1,3485,755,0.216642755,0,0,0.00125,L*,addSuffix1by1ToE,2,TeacherDFSM,,DFSM_R30_5.fsm
1,1,30,5,5,906,906,1,3485,755,0.216642755,0,0,0.001267,L*,addSuffixAfterLastStateToE,3,TeacherDFSM,,DFSM_R30_5.fsm
1,1,30,5,5,906,906,1,3485,755,0.216642755,0,0,0.00126,L*,addSuffixToE_binarySearch,4,TeacherDFSM,,DFSM_R30_5.fsm
1,1,30,5,5,1316,1316,1,4967,755,0.152003221,0,0,0.001471,OP,AllGlobally,5,TeacherDFSM,,DFSM_R30_5.fsm
1,1,30,5,5,1316,1316,1,4967,755,0.152003221,0,0,0.001423,OP,OneGlobally,6,TeacherDFSM,,DFSM_R30_5.fsm
1,1,30,5,5,1300,1300,1,4932,755,0.153081914,0,0,0.001423,OP,OneLocally,7,TeacherDFSM,,DFSM_R30_5.fsm
1,1,30,5,5,651,651,14,2165,360,0.166281755,0,0,0.000857,DT,,8,TeacherDFSM,,DFSM_R30_5.fsm
1,1,30,5,5,601,601,14,2093,360,0.172001911,0,0,0.000941,TTT,,9,TeacherDFSM,,DFSM_R30_5.fsm
1,1,30,5,5,756,756,1,3030,755,0.249174917,0,0,0.001497,Quotient,,10,TeacherDFSM,,DFSM_R30_5.fsm
1,1,30,5,5,906,906,1,3455,755,0.218523878,0,0,0.001258,L*,addAllPrefixesToS,0,TeacherDFSM,,DFSM_R30_5_i4lVo.fsm
1,1,30,5,5,906,906,1,3455,755,0.218523878,0,0,0.00122,L*,addAllSuffixesAfterLastStateToE,1,TeacherDFSM,,DFSM_R30_5_i4lVo.fsm
1,1,30,5,5,906,906,1,3455,755,0.218523878,0,0,0.001222,L*,addSuffix1by1ToE,2,TeacherDFSM,,DFSM_R30_5_i4lVo.fsm
1,1,30,5,5,906,906,1,3455,755,0.218523878,0,0,0.001239,L*,addSuffixAfterLastStateToE,3,TeacherDFSM,,DFSM_R30_5_i4lVo.fsm
1,1,30,5,5,906,906,1,3455,755,0.218523878,0,0,0.001251,L*,addSuffixToE_binarySearch,4,TeacherDFSM,,DFSM_R30_5_i4lVo.fsm
1,1,30,5,5,1319,1319,1,4936,755,0.152957861,0,0,0.001409,OP,AllGlobally,5,TeacherDFSM,,DFSM_R30_5_i4lVo.fsm
1,1,30,5,5,1319,1319,1,4936,755,0.152957861,0,0,0.0014,OP,OneGlobally,6,TeacherDFSM,,DFSM_R30_5_i4lVo.fsm
1,1,30,5,5,1306,1306,1,4909,755,0.153799144,0,0,0.001408,OP,OneLocally,7,TeacherDFSM,,DFSM_R30_5_i4lVo.fsm
1,1,30,5,5,691,691,17,2242,363,0.16190901,0,0,0.0009,DT,,8,TeacherDFSM,,DFSM_R30_5_i4lVo.fsm
1,1,30,5,5,611,611,17,2112,363,0.171875,0,0,0.000988,TTT,,9,TeacherDFSM,,DFSM_R30_5_i4lVo.fsm
1,1,30,5,5,756,756,1,3005,755,0.25124792,0,0,0.001449,Quotient,,10,TeacherDFSM,,DFSM_R30_5_i4lVo.fsm
1,1,30,5,5,906,906,1,3695,755,0.204330176,0,0,0.001363,L*,addAllPrefixesToS,0,TeacherDFSM,,DFSM_R30_5_aNwZz.fsm
1,1,30,5,5,906,906,1,3695,755,0.204330176,0,0,0.001349,L*,addAllSuffixesAfterLastStateToE,1,TeacherDFSM,,DFSM_R30_5_aNwZz.fsm
1,1,30,5,5,906,906,1,3695,755,0.204330176,0,0,0.001351,L*,addSuffix1by1ToE,2,TeacherDFSM,,DFSM_R30_5_aNwZz.fsm
1,1,30,5,5,906,906,1,3695,755,0.204330176,0,0,0.001335,L*,addSuffixAfterLastStateToE,3,TeacherDFSM,,DFSM_R30_5_aNwZz.fsm
1,1,30,5,5,906,906,1,3695,755,0.204330176,0,0,0.001348,L*,addSuffixToE_binarySearch,4,TeacherDFSM,,DFSM_R30_5_aNwZz.fsm
1,1,30,5,5,1311,1311,1,5265,755,0.14339981,0,0,0.001534,OP,AllGlobally,5,TeacherDFSM,,DFSM_R30_5_aNwZz.fsm
1,1,30,5,5,1311,1311,1,5265,755,0.14339981,0,0,0.001525,OP,OneGlobally,6,TeacherDFSM,,DFSM_R30_5_aNwZz.fsm
1,1,30,5,5,1297,1297,1,5234,755,0.14424914,0,0,0.001523,OP,OneLocally,7,TeacherDFSM,,DFSM_R30_5_aNwZz.fsm
1,1,30,5,5,707,707,16,2469,367,0.148643175,0,0,0.000972,DT,,8,TeacherDFSM,,DFSM_R30_5_aNwZz.fsm
1,1,30,5,5,617,617,16,2288,367,0.160402098,0,0,0.001052,TTT,,9,TeacherDFSM,,DFSM_R30_5_aNwZz.fsm
1,1,30,5,5,756,756,1,3205,755,0.235569423,0,0,0.001533,Quotient,,10,TeacherDFSM,,DFSM_R30_5_aNwZz.fsm
1,1,30,5,5,1092,1092,2,4646,780,0.167886354,0,0,0.002019,L*,addAllPrefixesToS,0,TeacherDFSM,,DFSM_R30_5_U6Ggd.fsm
1,1,30,5,5,1058,1058,2,4411,755,0.171163002,0,0,0.001846,L*,addAllSuffixesAfterLastStateToE,1,TeacherDFSM,,DFSM_R30_5_U6Ggd.fsm
1,1,30,5,5,1058,1058,2,4411,755,0.171163002,0,0,0.002063,L*,addSuffix1by1ToE,2,TeacherDFSM,,DFSM_R30_5_U6Ggd.fsm
1,1,30,5,5,1059,1059,2,4415,755,0.171007928,0,0,0.001889,L*,addSuffixAfterLastStateToE,3,TeacherDFSM,,DFSM_R30_5_U6Ggd.fsm
1,1,30,5,5,1060,1060,2,4420,755,0.17081448,0,0,0.001886,L*,addSuffixToE_binarySearch,4,TeacherDFSM,,DFSM_R30_5_U6Ggd.fsm
1,1,30,5,5,2043,2043,2,10015,1965,0.196205691,0,0,0.00335,OP,AllGlobally,5,TeacherDFSM,,DFSM_R30_5_U6Ggd.fsm
