Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	Exploration	EE	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	2	80	5	5	2005	2005	1	9655	2005	0.207664	0	0	0.005374	L*	addAllPrefixesToS	0	TeacherDFSM		Mealy_R80_5.fsm
1	2	80	5	5	2005	2005	1	9655	2005	0.207664	0	0	0.005044	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Mealy_R80_5.fsm
1	2	80	5	5	2005	2005	1	9655	2005	0.207664	0	0	0.005056	L*	addSuffix1by1ToE	2	TeacherDFSM		Mealy_R80_5.fsm
1	2	80	5	5	2005	2005	1	9655	2005	0.207664	0	0	0.005112	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Mealy_R80_5.fsm
1	2	80	5	5	2005	2005	1	9655	2005	0.207664	0	0	0.005163	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Mealy_R80_5.fsm
1	2	80	5	5	3230	3230	1	15691	2005	0.127780	0	0	0.010048	OP	AllGlobally	5	TeacherDFSM		Mealy_R80_5.fsm
1	2	80	5	5	3230	3230	1	15691	2005	0.127780	0	0	0.004425	OP	OneGlobally	6	TeacherDFSM		Mealy_R80_5.fsm
1	2	80	5	5	3230	3230	1	15691	2005	0.127780	0	0	0.004570	OP	OneLocally	7	TeacherDFSM		Mealy_R80_5.fsm
1	2	80	5	5	2164	2164	45	9354	1488	0.159076	0	0	0.004341	DT		8	TeacherDFSM		Mealy_R80_5.fsm
1	2	80	5	5	1794	1794	45	8473	1477	0.174318	0	0	0.005058	TTT		9	TeacherDFSM		Mealy_R80_5.fsm
1	2	80	5	5	2005	2005	1	9655	2005	0.207664	0	0	0.004928	Quotient		10	TeacherDFSM		Mealy_R80_5.fsm
1	2	80	5	5	2005	2005	1	9855	2005	0.203450	0	0	0.005438	L*	addAllPrefixesToS	0	TeacherDFSM		Mealy_R80_5_a2Msn.fsm
1	2	80	5	5	2005	2005	1	9855	2005	0.203450	0	0	0.005245	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Mealy_R80_5_a2Msn.fsm
1	2	80	5	5	2005	2005	1	9855	2005	0.203450	0	0	0.005252	L*	addSuffix1by1ToE	2	TeacherDFSM		Mealy_R80_5_a2Msn.fsm
1	2	80	5	5	2005	2005	1	9855	2005	0.203450	0	0	0.005993	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Mealy_R80_5_a2Msn.fsm
1	2	80	5	5	2005	2005	1	9855	2005	0.203450	0	0	0.005271	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Mealy_R80_5_a2Msn.fsm
1	2	80	5	5	3282	3282	1	16283	2005	0.123135	0	0	0.004711	OP	AllGlobally	5	TeacherDFSM		Mealy_R80_5_a2Msn.fsm
1	2	80	5	5	3282	3282	1	16283	2005	0.123135	0	0	0.005663	OP	OneGlobally	6	TeacherDFSM		Mealy_R80_5_a2Msn.fsm
1	2	80	5	5	3282	3282	1	16283	2005	0.123135	0	0	0.004657	OP	OneLocally	7	TeacherDFSM		Mealy_R80_5_a2Msn.fsm
