Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	Exploration	EE	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	3	800	5	5	36189	36189	8	277099	32973	0.118994	0	0	3.991000	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R800_5.fsm
1	3	800	5	5	36016	36016	8	251212	32809	0.130603	0	0	2.667614	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R800_5.fsm
1	3	800	5	5	32015	32015	8	216634	26409	0.121906	0	0	2.721368	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R800_5.fsm
1	3	800	5	5	32023	32023	8	216667	26409	0.121888	0	0	2.656681	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Moore_R800_5.fsm
1	3	800	5	5	32027	32027	8	216682	26409	0.121879	0	0	2.641724	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Moore_R800_5.fsm
1	3	800	5	5	62827	62827	2	427632	52015	0.121635	0	0	0.147964	OP	AllGlobally	5	TeacherDFSM		Moore_R800_5.fsm
1	3	800	5	5	50826	50826	3	320003	26407	0.082521	0	0	0.107941	OP	OneGlobally	6	TeacherDFSM		Moore_R800_5.fsm
1	3	800	5	5	42704	42704	21	261914	20177	0.077037	0	0	0.095452	OP	OneLocally	7	TeacherDFSM		Moore_R800_5.fsm
1	3	800	5	5	29612	29612	440	161506	16387	0.101464	0	0	0.392535	DT		8	TeacherDFSM		Moore_R800_5.fsm
1	3	800	5	5	20904	20904	435	128605	16285	0.126628	0	0	0.496134	TTT		9	TeacherDFSM		Moore_R800_5.fsm
1	3	800	5	5	26324	26324	3	172919	26407	0.152713	0	0	0.144589	Quotient		10	TeacherDFSM		Moore_R800_5.fsm
1	3	800	5	5	32168	32168	7	243477	36190	0.148638	0	0	3.392435	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R800_5_PfBnb.fsm
1	3	800	5	5	36017	36017	9	246679	29608	0.120026	0	0	3.366298	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R800_5_PfBnb.fsm
1	3	800	5	5	36017	36017	9	246679	29608	0.120026	0	0	3.439628	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R800_5_PfBnb.fsm
1	3	800	5	5	36025	36025	9	246712	29608	0.120010	0	0	3.350012	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Moore_R800_5_PfBnb.fsm
1	3	800	5	5	36032	36032	9	246743	29608	0.119995	0	0	3.351248	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Moore_R800_5_PfBnb.fsm
1	3	800	5	5	62684	62684	2	427165	52015	0.121768	0	0	0.151762	OP	AllGlobally	5	TeacherDFSM		Moore_R800_5_PfBnb.fsm
1	3	800	5	5	54687	54687	4	348682	29608	0.084914	0	0	0.130196	OP	OneGlobally	6	TeacherDFSM		Moore_R800_5_PfBnb.fsm
1	3	800	5	5	42597	42597	24	261568	20214	0.077280	0	0	0.101538	OP	OneLocally	7	TeacherDFSM		Moore_R800_5_PfBnb.fsm
1	3	800	5	5	29120	29120	432	159048	16230	0.102045	0	0	0.383379	DT		8	TeacherDFSM		Moore_R800_5_PfBnb.fsm
1	3	800	5	5	20723	20723	423	127002	16152	0.127179	0	0	0.462312	TTT		9	TeacherDFSM		Moore_R800_5_PfBnb.fsm
1	3	800	5	5	29497	29497	4	196765	29608	0.150474	0	0	0.170856	Quotient		10	TeacherDFSM		Moore_R800_5_PfBnb.fsm
1	3	800	5	5	40210	40210	9	309483	32973	0.106542	0	0	4.490665	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R800_5_cuIgE.fsm
1	3	800	5	5	36016	36016	8	250088	32809	0.131190	0	0	2.787659	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R800_5_cuIgE.fsm
1	3	800	5	5	32015	32015	8	215635	26409	0.122471	0	0	2.911563	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R800_5_cuIgE.fsm
1	3	800	5	5	32023	32023	8	215665	26409	0.122454	0	0	2.765930	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Moore_R800_5_cuIgE.fsm
1	3	800	5	5	32028	32028	8	215683	26409	0.122444	0	0	2.769010	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Moore_R800_5_cuIgE.fsm
1	3	800	5	5	62822	62822	2	425763	52015	0.122169	0	0	0.153186	OP	AllGlobally	5	TeacherDFSM		Moore_R800_5_cuIgE.fsm
