States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	447	494	494	383	383	411	627	531	683	627	537	641	512	595	595	406	407	425	652.5	586.5	724.5	652.5	586.5	719	539	595	595	417	417	433	678	611	750	678	612	759	559.5	696	696	426	424.5	451.5	714.5	629	791.5	714.5	637	809	625	898	898	527	527	524	975	771	977	975	735	1051	537.23	643.48	638.43	417.01	419.84	442.22	697.84	611.6	768.66	697.84	615.2	769.44
20	1401	1386	1185	953	959	1014	1615	1413	1797	1615	1473	1765	1545	1587	1587	1014	1012	1040.75	1686.5	1508	1899	1686.5	1538.5	1892	1605	1587	1587	1028.5	1032.5	1059	1725	1550	1954	1725	1571	1980	1645	1788	1788	1051.25	1054.5	1083.5	1824	1601.5	2019.5	1824	1613.5	2049.5	1729	2391	2190	1127	1136	1202	2129	1715	2251	2129	1785	2357	1593.7	1661.37	1665.39	1034.5	1037.95	1065.9	1778.14	1556.02	1965.22	1778.14	1576.06	1984
30	2775	2377	2377	1680	1616	1674	2811	2485	3083	2811	2545	3013	3092.5	2678	2678	1722	1703.75	1723	2896.5	2635.5	3228.5	2896.5	2645	3379	3196	2979	2979	1751.5	1739.5	1750.5	3033	2671	3286	3033	2695	3482	3253.5	2979	2979	1785.25	1804	1782.5	3385	2731	3363.5	3385	2744	3622.5	3603	3882	4183	1949	1958	1949	3859	3007	3853	3859	2873	4261	3177.58	2942.88	2942.88	1760.93	1753.28	1756.25	3136.74	2682.14	3300.08	3136.74	2697.54	3505.82
40	4867	3568	3568	2383	2339	2397	4067	3603	4511	4067	3759	4583	5275.5	3969	3969	2480	2437.5	2457.5	4238.5	3812	4671	4238.5	3870.5	4927.5	5427	4370	4370	2525	2517.5	2494	4430	3882	4744	4430	3929	5090	5564	4370	4771	2602.75	2591	2537.5	4925.5	3981	4828	4925.5	3986.5	5220	6085	5974	5573	2847	2850	2794	5823	4247	5449	5823	4307	6051	5439.71	4293.81	4297.82	2544.06	2521.67	2504.44	4576.04	3894.74	4765.58	4576.04	3933.36	5088.9
50	7487	4458	4458	3145	3101	3170	5347	5009	5969	5347	4977	5941	8081.5	5460	5460	3277.5	3225.5	3223.75	5643	5148.5	6144.5	5643	5182	6526.5	8328	5460	5460	3337	3325	3259.5	5977	5206	6236	5977	5257	6730	8543.5	5961	5961	3452.25	3422	3299.5	6553.5	5297.5	6332	6553.5	5350.5	6970	8839	7464	7965	3742	3807	3522	7873	5703	6727	7873	5533	8117	8291.33	5690.46	5680.44	3363.51	3344.98	3266.62	6117	5230.94	6253.24	6117	5267.98	6782.26
60	10735	5949	5949	3963	3899	3953	6727	6373	7609	6727	6301	7489	11398.5	6550	6550	4139	4118.25	4026.25	7068.5	6515	7743.5	7068.5	6552.5	8141	11736	7151	7151	4263.5	4234.5	4071.5	7403	6624	7807	7403	6658	8398	12096	7752	7752	4361.25	4337.75	4108.75	8092.5	6701	7902.5	8092.5	6751.5	8720.5	12899	10156	9555	4656	4550	4440	12927	7003	8557	12927	6967	12979	11742.32	7397.41	7379.38	4260.93	4220	4078.61	7641	6626.14	7851.86	7641	6649.16	8475.22
70	14879	6939	6939	4833	4731	4752	8131	7673	9073	8131	7859	9355	15556.5	8341	8341	4984.5	4925	4826.5	8541.5	7968.5	9317	8541.5	8055	9838.5	15909	9042	9042	5096	5072.5	4865.5	9285	8056	9426	9285	8137	10104	16257	9743	9217.25	5275	5193	4927.25	9768	8184	9513	9768	8225.5	10423	17117	11145	10444	5608	5637	5152	11313	8557	10059	11313	8599	11959	15923.02	8852.73	8775.62	5134.54	5077.57	4883.5	9228.2	8073.48	9440.74	9228.2	8137.64	10201.44
80	18429	8730	8730	5660	5550	5561	9721	9149	10765	9721	9325	11055	20229.5	9531	9531	5912	5854	5657.25	10022.5	9513.5	10928.5	10022.5	9561.5	11712.5	20835	10332	10332	6065	5978	5702.5	10504	9590	11025	10504	9658	11948	21310.5	11133	11133	6202.25	6073.75	5753.25	11499	9747	11168.5	11499	9763	12204.5	22741	14337	14337	7119	6840	6143	13897	10075	11881	13897	10125	14483	20758.82	10572.3	10476.18	6080.17	5973.61	5714.28	10815.36	9618.84	11069.68	10815.36	9660.48	12023.86
90	24481	8919	8919	6581	6487	6403	11233	10735	12339	11233	10833	13043	26094.5	11622	11622	6869.75	6803.5	6530.75	11528.5	11089.5	12654.5	11528.5	11117	13550.5	26832	12523	12523	7002	6967	6575	11856	11226	12756	11856	11233	13767	27451.5	13424	12523	7263	7150.5	6642.25	13266	11337.5	12891.5	13266	11345.5	14174	29253	16127	16127	7767	7555	6947	14527	11723	13425	14527	11791	15397	26815.7	12495.97	12261.71	7055.16	6972.35	6589.96	12343.26	11228.1	12784.18	12343.26	11235.3	13888.08
100	29627	10910	10910	7544	7364	7243	12693	12297	14119	12693	12147	14643	32597	13913	13913	7933	7780	7388.5	13069	12688	14366	13069	12625	15453	33426	13913	13913	8083.5	7908	7463.5	13730	12809	14486	13730	12748	15751	34303	15164.25	14914	8238	8040.25	7516.25	15027.5	12943	14631	15027.5	12897.5	16184.5	37241	19811	16916	9007	8615	7750	16705	13497	15041	16705	13263	17301	33418.12	14590.6	14133.22	8101.4	7927.81	7463.11	14104.48	12822.68	14504.2	14104.48	12754.36	15808.88
