States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	57	92	92	96	89	85	41	59	48	30	42	14	69.75	143	143	109.75	108	98.75	43.75	67	57	36	53	19.75	74.5	194	194	113	114	104	47	73	62.5	39	57	23	84	194	194	121	121	109	59.25	77	70	45	61	27	106	296	296	156	151	159	98	88	89	73	77	52	76.03	184.24	181.4	114.96	115.08	105.08	52.45	72.14	64.25	41.17	57.14	23.89
20	200	283	283	282	271	235	86	155	132	70	104	36	248	384	399.75	312.75	321	263.75	106	177	145.75	85	117	47.75	266	485	485	327.5	335	273	122	184	156	92	122.5	54	281	485	586	337	349.25	284.25	132.25	191.25	165.25	100.25	128	60	337	603	687	436	409	353	167	215	200	131	144	75	266.26	448.39	485.64	326.85	334.04	274.49	120.67	183.71	156.86	92.72	122.33	53.63
30	466	574	574	493	492	432	144	271	233	117	164	55	545.5	725	876	562	574.25	459	168	307	251	135	184.75	74.75	582	725	876	585.5	596	470	191.5	317	263.5	146	193	80	617	876	1027	610.25	616.5	482.25	206.25	329	276.25	158.25	200.25	88	723	1202	1178	726	710	595	261	374	360	200	247	105	581.22	767.8	909.95	590.57	595.79	471.75	191.04	317.12	265.61	147.2	193.95	81.54
40	828	593	793	754	742	632	191	422	317	160	237	75	955.25	965	1166	855	830	659.5	228	448.75	364.75	185.75	258.75	100	1024	999	1367	904.5	867	670.5	257.5	464	382	199	267	108.5	1082.75	1195.25	1367	950.25	904.25	686	279.5	479.25	399	212.5	274.25	120.25	1231	1398	1769	1358	1119	773	368	548	464	260	313	160	1023.5	1091.72	1282.38	915.07	870.83	674.32	258.08	464.77	382.98	200.03	267.97	110.4
50	1334	1205	954	1063	1036	806	256	576	455	220	313	113	1542.5	1456	1456	1191	1121.75	871	308.75	607	490.75	241.75	337.75	131.75	1646.5	1474	1707	1267.5	1166.5	886.5	334.5	626.5	503.5	259	346.5	139	1730.75	1707	1958	1316.5	1211	902.5	354.25	646	525.25	271.5	358.5	155	1916	2246	2209	1806	1466	977	417	725	609	323	416	193	1637.37	1534.69	1670.31	1276.2	1172.55	889.86	333.32	627.44	506.89	258.74	348.45	142.69
60	1833	1194	1192	1415	1321	1042	331	704	580	267	392	129	2252.25	1746	1793	1578.25	1429.25	1085.75	379.75	775.5	608.75	296.75	417.75	163	2361.5	2047	2047	1654	1474	1103	406	790	629	311	428	175	2484.75	2096.5	2348	1758.5	1533.5	1121.25	428	811.75	647.5	326	436	192.25	2762	2700	2950	2029	1762	1176	503	906	731	403	469	236	2356.65	1960.99	2083.67	1671.12	1482.41	1103.58	404.59	793.73	628.24	313.62	427.49	176.36
70	2570	1685	1685	1885	1641	1254	366	926	685	310	466	146	3086.25	2314.25	2387	2049	1746.5	1305.75	441.75	960	735.75	351	499	188.75	3203.5	2442	2738	2153.5	1814	1322	473	975	754.5	367	509	202	3332	2738	2738	2237.5	1878.75	1339.75	499	1001	778.25	387.25	521	216.25	3634	3089	3440	2528	2053	1430	544	1076	871	432	572	256	3208.2	2434.61	2618.11	2156.26	1818.93	1324.58	470.7	982.79	756.58	368.53	511.16	202.19
80	3641	1985	1925	2217	1975	1486	448	1071	794	360	546	176	4034	2727	2727	2449.75	2080.5	1527.75	512.75	1129.75	857	400	585.75	215.75	4198	2793.5	3128	2573	2158.5	1548	535	1154.5	875.5	415.5	595.5	235.5	4361.75	3187.5	3143	2706.5	2208.5	1567.25	562	1180	897.25	437	610.25	247.25	4929	3993	4331	3080	2366	1691	622	1318	1003	476	642	293	4201.27	2910.67	2946	2592.12	2153.69	1551.39	534.29	1157.41	877.58	418.12	597.26	233.18
90	4581	2616	2165	2559	2226	1713	512	1251	928	404	619	206	5048	3138.75	3067	2936	2402.75	1771.25	581.75	1312.75	992.75	451	668	251	5305.5	3518	3518	3055.5	2500	1784	607.5	1339.5	1018.5	470.5	684.5	266.5	5544.5	3595.25	3969	3254.5	2576	1805.5	636	1371	1040.5	495.25	701	286	5825	4495	4420	3579	2851	1875	694	1466	1090	545	745	328	5293.81	3484.63	3385.38	3077.06	2508.51	1786.67	607.71	1342.06	1017.24	471.74	684.15	266.82
100	5705	2906	2405	3017	2576	1944	576	1446	1071	465	719	234	6287.75	3908	3407	3419.75	2773.5	1990	657.75	1506.75	1125	515.5	758.75	280.75	6548	3989	3908	3548	2876	2010.5	687	1535	1152	534.5	770.5	297	6801	4409	4409	3717.5	2985.5	2035.25	710	1565	1175.5	556.25	784.25	310	7626	5411	5411	4249	3325	2228	791	1657	1299	610	829	362	6550.86	4077.99	3778	3569.24	2880.91	2014.44	684.52	1534.43	1153.37	535	772.04	296.02
