States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	0.000282	0.000213	0.000251	0.000211	0.000205	0.000173	0.000177	0.000151	0.000191	0.000232	0.000229	0.000826	0.000321	0.0002675	0.000312	0.000235	0.00023975	0.000188	0.000198	0.00016375	0.000219	0.000257	0.00026075	0.00099275	0.0003385	0.0002895	0.00035	0.000251	0.0002675	0.000196	0.000209	0.000175	0.000227	0.000281	0.000273	0.001102	0.00037325	0.000313	0.00038	0.000266	0.000294	0.000206	0.000226	0.00018225	0.0002405	0.00030425	0.00029125	0.0012105	0.000985	0.000424	0.001012	0.000427	0.000858	0.000285	0.000756	0.000272	0.000344	0.000935	0.000413	0.003597	0.00035676	0.00029417	0.000357	0.00025427	0.00027814	0.00020013	0.00022144	0.00017709	0.00023297	0.00029458	0.00027786	0.00116575
20	0.001124	0.000663	0.000756	0.000634	0.000687	0.000457	0.000597	0.000406	0.000515	0.000692	0.000646	0.003578	0.00118375	0.000815	0.000889	0.00069875	0.000774	0.000483	0.00064075	0.000457	0.00055	0.00073775	0.00070375	0.00402575	0.0012505	0.000871	0.00099	0.0007315	0.0008075	0.000493	0.00066	0.000474	0.000565	0.000767	0.0007215	0.0042695	0.0013085	0.0009665	0.00112	0.000759	0.00085175	0.00051025	0.000698	0.00048925	0.0005935	0.00082125	0.000741	0.0045645	0.001707	0.00144	0.001684	0.001034	0.001705	0.000675	0.000978	0.000664	0.000823	0.001138	0.000992	0.006761	0.00126591	0.00090213	0.00102158	0.0007386	0.00083063	0.00049988	0.00067712	0.00047978	0.00057569	0.00078915	0.00072914	0.00442594
30	0.002678	0.001506	0.001649	0.00139	0.001484	0.000813	0.001179	0.000861	0.000933	0.001334	0.001305	0.007858	0.0029755	0.001779	0.001954	0.001467	0.0015975	0.000863	0.001246	0.000921	0.00097575	0.001452	0.00137875	0.00973475	0.003072	0.001915	0.0021505	0.001522	0.0016585	0.0008785	0.0012885	0.0009445	0.0009975	0.0015225	0.0014115	0.010377	0.00321675	0.00211925	0.00234525	0.0015755	0.00173025	0.000894	0.0013485	0.0009745	0.00102225	0.0016025	0.00146125	0.011376	0.003713	0.003079	0.003445	0.002055	0.002299	0.001167	0.001701	0.0014	0.001465	0.00724	0.002005	0.019244	0.00310439	0.0019917	0.0021663	0.00153314	0.00167457	0.00088412	0.00130145	0.00095777	0.00100916	0.00159588	0.00142856	0.01069444
40	0.005143	0.002401	0.002642	0.002371	0.002493	0.001251	0.001942	0.001481	0.001416	0.002184	0.00215	0.016326	0.0056285	0.003173	0.00330925	0.00249875	0.00270575	0.00129175	0.002041	0.00154325	0.00146575	0.002347	0.00230675	0.0186445	0.0058315	0.0034805	0.0035135	0.002569	0.00278	0.0013155	0.0020875	0.0015915	0.001495	0.0024575	0.0023625	0.020128	0.0060275	0.00382175	0.0038585	0.00268775	0.00286025	0.00134225	0.002161	0.00164375	0.00153425	0.00259875	0.0024625	0.02171075	0.008179	0.005176	0.005896	0.003615	0.003839	0.001594	0.002639	0.00217	0.00192	0.003225	0.003497	0.032044	0.00586172	0.00355563	0.003599	0.00261468	0.00280556	0.00132497	0.00211989	0.00160772	0.00150912	0.00249504	0.00240002	0.02057773
50	0.008611	0.004331	0.004226	0.00349	0.003744	0.001682	0.002815	0.002129	0.001913	0.003198	0.003121	0.026493	0.00928	0.005316	0.0050585	0.003796	0.00399225	0.00176925	0.0029545	0.00227825	0.001991	0.00339375	0.00337525	0.03025225	0.009557	0.0056475	0.0053585	0.003939	0.0041325	0.001795	0.003012	0.0023405	0.002035	0.0034925	0.00346	0.0322	0.009903	0.00621	0.00576775	0.00406325	0.00428825	0.0018315	0.003129	0.002399	0.00208925	0.00366175	0.0035785	0.034197	0.013485	0.009114	0.007415	0.005109	0.005415	0.002125	0.003755	0.003032	0.002486	0.009471	0.004494	0.05343	0.009661	0.00580907	0.00547806	0.00397868	0.00418725	0.00180944	0.00306767	0.00236676	0.00205358	0.00362559	0.00349818	0.03331608
60	0.012591	0.006379	0.005781	0.005181	0.005419	0.002201	0.004012	0.003127	0.002593	0.004413	0.004562	0.04135	0.01411425	0.0081695	0.00740025	0.005484	0.00570675	0.00229	0.00414425	0.00322025	0.0026735	0.00461225	0.0047975	0.04671525	0.0145685	0.0087195	0.00789	0.0056245	0.0058095	0.00233	0.004203	0.003279	0.0027085	0.0047155	0.0048765	0.0499705	0.01505075	0.009495	0.00837175	0.00579725	0.00599	0.00238025	0.00429425	0.00335525	0.00277725	0.0048635	0.00502775	0.05370225	0.016683	0.011866	0.010341	0.006526	0.006787	0.002528	0.005033	0.003907	0.003055	0.005914	0.005489	0.080002	0.01462622	0.00885195	0.00786631	0.00568152	0.00586809	0.00233987	0.00424772	0.00331332	0.00273292	0.00477352	0.00491543	0.0511851
70	0.018468	0.010148	0.008583	0.006982	0.007174	0.002815	0.004866	0.003932	0.002884	0.005934	0.006136	0.057306	0.02021825	0.01178375	0.009943	0.007384	0.00748875	0.00289275	0.00544575	0.004315	0.00325675	0.006418	0.00653375	0.06834825	0.0208735	0.012452	0.010581	0.00762	0.0077095	0.0029225	0.005519	0.0043705	0.0033	0.006563	0.006682	0.072056	0.02171075	0.01299025	0.01116775	0.007772	0.007903	0.002964	0.005622	0.00446725	0.00335425	0.0067105	0.006799	0.07667	0.024387	0.015582	0.012625	0.008846	0.008679	0.003219	0.006876	0.005037	0.003731	0.021535	0.008011	0.131452	0.02097084	0.01248134	0.01055558	0.00761649	0.00774107	0.00293616	0.00556601	0.00441035	0.00331166	0.00678305	0.00672089	0.07365976
80	0.026024	0.013845	0.011888	0.009175	0.009455	0.003472	0.006565	0.005197	0.003867	0.007435	0.007931	0.080814	0.0283205	0.01594625	0.01337125	0.00969575	0.00986075	0.00355825	0.007064	0.0054515	0.003964	0.007752	0.0083555	0.091965	0.0290025	0.016855	0.0140165	0.009892	0.0100445	0.003606	0.0071815	0.005524	0.0040215	0.0079115	0.0084865	0.0966225	0.03000925	0.0179135	0.014694	0.01015325	0.0102395	0.00365525	0.00730225	0.00566225	0.004114	0.0080835	0.00872875	0.1014935	0.032646	0.021054	0.018359	0.011432	0.010754	0.003918	0.007877	0.006674	0.004604	0.008973	0.010607	0.126027	0.0291586	0.01709951	0.01418716	0.00996327	0.01006039	0.00361675	0.0071993	0.00557214	0.00404675	0.00795762	0.00854331	0.09793301
90	0.035529	0.018071	0.014312	0.011962	0.011968	0.004192	0.008536	0.006559	0.004562	0.009331	0.010062	0.106433	0.0376835	0.02080725	0.016458	0.01239475	0.012467	0.00429075	0.00875825	0.0068125	0.0047265	0.00957675	0.01062175	0.1225025	0.039188	0.0220295	0.01744	0.012696	0.0126905	0.0043415	0.0088695	0.0069175	0.0047795	0.009711	0.0108955	0.1294455	0.04057575	0.02307875	0.0186455	0.01291375	0.01291175	0.00439925	0.00901575	0.00702125	0.00485675	0.009945	0.011107	0.13616425	0.044306	0.026617	0.023115	0.013889	0.013625	0.005203	0.010254	0.007668	0.005052	0.016978	0.012274	0.194202	0.03928915	0.02195083	0.01763254	0.01270215	0.01268933	0.00435473	0.00891716	0.00694804	0.00479187	0.00998099	0.01090318	0.13077736
100	0.045057	0.023883	0.018111	0.014728	0.014581	0.004902	0.010438	0.008059	0.005444	0.011339	0.0124	0.150352	0.04996625	0.027348	0.02086575	0.01581125	0.01566625	0.0051045	0.010882	0.008456	0.00572	0.01176725	0.01316675	0.1727435	0.051227	0.0287035	0.0220645	0.016304	0.0161215	0.005226	0.0110675	0.0086125	0.0059275	0.011921	0.0136905	0.1876275	0.052814	0.030089	0.023466	0.016845	0.016618	0.005402	0.0112965	0.008924	0.00631525	0.01226025	0.01436425	0.20671325	0.0578	0.037862	0.027393	0.018201	0.017803	0.006085	0.012549	0.010626	0.006936	0.013076	0.016445	0.279648	0.05129522	0.02889904	0.02234694	0.01634823	0.01617093	0.00528179	0.01111275	0.00874622	0.00602165	0.01200486	0.01381888	0.19122663
