States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	3285	4628	4628	3920	3920	4130	2615	2665	3159	2438	2539	2356	3899.75	7081	6732	4483.25	4491.5	4637	2942.25	3245	3472.75	2728.5	2943	2562	4317	8158	8158	4792.5	4818.5	4903	3274.5	3471.5	3742.5	2912	3191.5	2707.5	4762.25	8670	8816.5	5045.5	5167.25	5236	3601.5	3816.5	4085.5	3189	3416.75	2945.5	5871	12734	14352	7022	8212	7836	7326	4743	5629	6855	4442	5947	4355.14	8107.88	8064.86	4829.92	4894.71	5008.2	3396.19	3530.75	3857.02	3048.6	3205.47	2822.01
20	13177	14856	16086	13238	12327	12552	6930	7990	8621	6405	7055	6063	15592.75	20566.5	22158	14434.75	14662	13866	8015.25	9641	9581	7196.75	7598.25	6661.75	16675	23296	24094	15077	15617	14419	8802	10161	10043.5	7712.5	7928	7056.5	17625.25	24647	28026.5	16101.5	16453	15038.5	9505.5	10888.75	10642.75	8151.25	8303.75	7384.75	20292	34110	35050	22140	21429	20104	12494	12584	14710	11325	9463	9122	16706.81	22930.64	24754.56	15341.01	15614.41	14551.06	8855.17	10238.81	10209.79	7817.2	7971.11	7095.31
30	30842	31344	32674	24613	24155	23434	12038	15725	15905	11145	11761	10295	37815.25	39102	44261.5	27655.25	28048	25367.5	14145.25	17391	17115.5	12565.25	12808.5	11554.25	39541	41592	48197	29104	29546	26105	15343	18376.5	17859.5	13239.5	13309	12095.5	41314	45846	55230	30916.25	30629.25	26939.5	16322	19089.75	18515.25	14044	13765.5	12570.5	45427	71914	69766	40004	36940	36438	20858	23689	27789	19448	16874	15989	39465.11	42722.64	49417.58	29475.12	29490.65	26319.56	15249.12	18466.51	18041.43	13410.49	13367.63	12109.36
40	57440	35990	49186	39170	37871	36100	17630	24432	23159	16434	17625	15171	68598	56852	66460	44300.5	42598.5	37578.5	20310.25	26615	25299.75	18020.5	18559.25	16332.25	73242.5	62376	74474	46709	44732.5	38821	21520.5	27810.5	26261.5	18812	18920	17048.5	76628.25	71398.5	78335	50170	46774.75	39761.5	23242.25	28831	27174	20147.25	19705.5	18159	87361	83102	103432	69862	60634	47178	29292	33470	33565	26079	22525	22820	72760.65	63853.44	73245.6	47529.1	44990.16	38917.08	21835.21	27834.47	26571.1	19277.57	19171.73	17368.08
50	100249	70912	58234	56897	54383	47672	23852	34824	32516	21892	23026	20206	113290.25	85018	89249	63601.5	59493	51553	26966.75	37477.5	34729.5	23893.25	24692	21814.25	118558.5	90684	100668	67533	61879	52528	28751	38576.5	35875	25210	25250	22787.5	125597.75	102453	109223	70595	64856.75	53617	30308.5	39650.25	37078.25	26446.25	26092.75	23777.25	138825	136506	130552	98549	80304	60110	39352	44569	43117	36045	27981	30050	119119.19	92232.04	98368.34	68306.06	62461.01	52798.32	28916.06	38621.38	36068.3	25456.61	25369.64	23011.95
60	143349	74068	74860	77379	73146	61706	30604	43538	41812	28164	29296	25799	169926.5	108957.5	112740	85763.25	77727.5	65673.5	34072	48125.75	44355	30386.75	30693.25	27609.25	178095	121842	125534	90905.5	80606.5	67077	35984	49659.5	45455	31121.5	31545	28505.5	185146.5	130381	138564	95501.5	84214.25	68535.5	38004	50792	46461.25	32296.25	32249	29181.25	199178	165458	180900	110970	99698	72560	43336	54859	54070	39496	35552	34376	177075.79	120729.06	126556.06	91820.55	81293.65	67232.2	36157.09	49458.31	45589.59	31582.82	31554.17	28591.49
70	200108	103352	109986	104448	89302	75890	35439	56836	50902	32709	35648	30766	237573.25	142995	146028	113484.25	97296	80474.5	40772.75	60271	54120	36191.5	37382	32986.75	248998	152498	163313	119233.5	100877	81480	43253	61999	55203.5	37732.5	38099	33986.5	255357.75	167996	173584	125379.25	104573.5	82838	45296.5	63688.75	57055	39165.25	38879.25	35249.25	273973	193144	206188	143112	115874	91136	52273	67732	64842	47812	40582	42230	246724.32	152026.52	160019.06	119785.48	101046.67	81812.92	43155.74	62105.61	55667.47	37874.23	38106.34	34262.1
80	287594	128618	124942	125376	109058	94032	43733	68764	60799	40430	41655	36651	319896.5	170748	168028	137959.25	118874.25	95927	47695.5	72305.25	64313	42478.75	44064	38840.5	331216	178284	188008	146037.5	122379	97189	50133	74011.5	66185.5	43989	44995.5	39780	344546.75	202216	203416.5	153326.75	125560.25	99338	52955.25	75754	67357	45592.5	45772.5	40808.5	389493	257502	256384	173845	138118	108270	59182	79135	75806	52687	48605	44775	332298.46	184776.98	186152.34	146884.76	122558.16	97751.4	50314.82	74025.98	66109.3	44248.03	44906.24	39908.13
90	374153	164270	142234	151593	126993	108270	50313	80239	70115	46335	48849	41802	414538	201343	192725	167299.5	138129.75	111798	55109.25	85996.5	75537.75	48605.5	51121.25	44185.75	428601.5	225566	216909	175755.5	144208	113928	58036	87987	77085	50018.5	51893.5	45381.5	441874.75	236177	241642	185309.25	149009	116082.5	60586.75	89756	78812	51914	52915	46374.25	478800	293140	282000	204767	165344	122248	67526	94032	83474	63225	54753	52823	428118	223542.54	216802.68	176371.17	144756.9	114082.42	57978.39	87855.35	77280.46	50548.03	51999.51	45514.53
100	475007	190510	160314	178124	150374	123512	57278	96405	81612	52140	56599	48191	518906	250668.5	222142	199373.25	161616.75	128639.5	63810.75	99967.75	86779.75	55990	57990	50688	545066	258148	249625	205381.5	168248	130131	66136	102798	88514	57442.5	58978	51512.5	558947.25	286906.5	275062	214218.75	174385.25	132071.5	68255	104086	90044.25	59243.75	59701	52725.75	624221	347448	339736	247718	197161	146224	75080	108086	102317	64550	61355	56873	539911.89	264171.24	245533.42	207029.72	168597.89	130503.72	66158.09	102188.52	88748.75	57643.97	58919.5	51828.05
