States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	0.241687	0.125479	0.134406	0.167161	0.16733	0.155136	0.344971	0.30505	0.392557	0.344971	0.297812	0.589079	0.3085885	0.152788	0.1573725	0.19033725	0.19323	0.17339925	0.42377825	0.34841075	0.45969175	0.42377825	0.36338325	0.68156625	0.3221515	0.191637	0.188721	0.207877	0.2136275	0.18219	0.459239	0.3707515	0.4838665	0.459239	0.3864325	0.7227555	0.3317615	0.224519	0.224519	0.2267255	0.225291	0.1965945	0.48563875	0.392323	0.51217125	0.48563875	0.41073375	0.76512925	0.377827	0.305267	0.377867	0.280196	0.378633	0.288141	0.577646	0.465294	0.55511	0.577646	0.488065	0.869512	0.32073016	0.19410035	0.19646523	0.21013671	0.21600606	0.18669003	0.4551061	0.37174527	0.48455965	0.4551061	0.38787537	0.72153007
20	0.233795	0.119419	0.127942	0.136952	0.151692	0.130302	0.373481	0.302553	0.401455	0.373481	0.335575	0.625306	0.25274275	0.160953	0.152717	0.17121025	0.166894	0.1481255	0.42573925	0.33364525	0.43893675	0.42573925	0.3797405	0.69544225	0.2618255	0.187259	0.1653645	0.1795075	0.174374	0.1533415	0.4499005	0.3506065	0.4552715	0.4499005	0.390846	0.720392	0.27101025	0.213712	0.18564975	0.18937425	0.18311175	0.15810375	0.46685975	0.3667335	0.46887825	0.46685975	0.404872	0.7488455	0.299567	0.278228	0.278228	0.22799	0.214531	0.179544	0.561286	0.403637	0.521205	0.561286	0.428871	0.853603	0.26237407	0.192161	0.17437001	0.18037787	0.17647316	0.1542005	0.44953661	0.35060676	0.4547594	0.44953661	0.39098709	0.72306121
30	0.212086	0.124729	0.117691	0.140571	0.140327	0.125844	0.389486	0.296799	0.389112	0.389486	0.361485	0.659956	0.2317545	0.168607	0.13271475	0.162974	0.152742	0.138161	0.43477875	0.32058625	0.423275	0.43477875	0.38229625	0.7084835	0.238804	0.1939405	0.146555	0.1683815	0.160198	0.1429765	0.459251	0.3291305	0.4371575	0.459251	0.3948365	0.7265655	0.24708375	0.21061025	0.167173	0.17676475	0.16855225	0.148466	0.48913075	0.340386	0.45201275	0.48913075	0.40691725	0.76569425	0.272992	0.257536	0.261958	0.198765	0.193422	0.170932	0.591268	0.368991	0.4993	0.591268	0.433172	0.826566	0.23950943	0.19024587	0.15400908	0.16934774	0.16100314	0.14343629	0.46215103	0.33059328	0.43714666	0.46215103	0.39512609	0.73235593
40	0.200913	0.122087	0.108549	0.14283	0.134767	0.126573	0.39063	0.281169	0.380006	0.39063	0.368968	0.658829	0.21823275	0.172325	0.13968275	0.1548255	0.14920125	0.134359	0.439086	0.30943925	0.4093415	0.439086	0.38970225	0.712334	0.224199	0.19042	0.1494465	0.16149	0.1572865	0.1382895	0.4685255	0.3184265	0.4215925	0.4685255	0.3989105	0.737397	0.23152875	0.2082185	0.1743555	0.16631925	0.16484075	0.1422555	0.496041	0.32482125	0.4336705	0.496041	0.408764	0.757078	0.250116	0.25511	0.273923	0.181121	0.18693	0.157413	0.580937	0.344689	0.469342	0.580937	0.434701	0.814986	0.22472577	0.1892726	0.15761193	0.16115429	0.1574154	0.13897976	0.46997809	0.3177272	0.42242076	0.46997809	0.39938495	0.73543296
50	0.193011	0.127699	0.107311	0.139713	0.129844	0.123751	0.401259	0.280605	0.366589	0.401259	0.370012	0.658214	0.207435	0.15977175	0.13026675	0.1482785	0.14460775	0.1315755	0.438132	0.295471	0.40252175	0.438132	0.38855175	0.71094475	0.2127515	0.172727	0.1527215	0.1527455	0.1523085	0.135675	0.4601035	0.3034045	0.415822	0.4601035	0.397188	0.7289635	0.2190995	0.19394	0.189339	0.15858825	0.15939775	0.1396905	0.492315	0.31367125	0.42415625	0.492315	0.406921	0.748101	0.236638	0.238648	0.248341	0.179272	0.180433	0.152105	0.544611	0.330743	0.445534	0.544611	0.435872	0.832382	0.21295095	0.17821746	0.15932125	0.15376626	0.15251094	0.13608063	0.46512303	0.30495856	0.41344331	0.46512303	0.39817224	0.72968043
60	0.191648	0.123501	0.108482	0.136712	0.128588	0.121914	0.401641	0.274523	0.364716	0.401641	0.366556	0.657105	0.199321	0.153891	0.12879825	0.14414	0.142352	0.13024625	0.43973675	0.28888375	0.3980925	0.43973675	0.394097	0.7046565	0.2050325	0.1670065	0.1528405	0.1475055	0.1492775	0.1331055	0.4723605	0.2947025	0.407555	0.4723605	0.3993875	0.7167875	0.21048975	0.181851	0.178729	0.15106125	0.1550115	0.13670175	0.50216675	0.30151875	0.4188785	0.50216675	0.407035	0.74149875	0.234621	0.237494	0.235327	0.161194	0.165751	0.144348	0.557301	0.318294	0.444789	0.557301	0.427579	0.789858	0.20553639	0.16960822	0.15545614	0.14779868	0.14841128	0.13384164	0.47239534	0.2956419	0.40814378	0.47239534	0.40092136	0.72058074
70	0.190485	0.13486	0.103994	0.135024	0.130322	0.122529	0.405662	0.268825	0.37461	0.405662	0.382642	0.663724	0.1981935	0.150551	0.12415925	0.139611	0.13702075	0.13085075	0.44587925	0.28006675	0.395038	0.44587925	0.40039475	0.7054395	0.201792	0.161549	0.1386035	0.142084	0.143857	0.1329075	0.4727805	0.2865175	0.40519	0.4727805	0.404862	0.7184935	0.206132	0.16724425	0.161408	0.145084	0.149666	0.1364195	0.5046955	0.291498	0.41435925	0.5046955	0.40945725	0.73993075	0.217866	0.206175	0.274475	0.152483	0.16779	0.146469	0.540294	0.306973	0.436551	0.540294	0.426913	0.774728	0.20252907	0.16213479	0.14728543	0.1423465	0.14486849	0.13356749	0.47511175	0.28675053	0.40514696	0.47511175	0.40536065	0.72117454
80	0.182437	0.124221	0.102816	0.124895	0.128324	0.124168	0.409379	0.268269	0.371065	0.409379	0.378712	0.669699	0.194941	0.14489	0.12532825	0.13550825	0.1377125	0.129799	0.44469425	0.27771175	0.39548975	0.44469425	0.398534	0.70450925	0.1982315	0.152925	0.148816	0.1385575	0.1418655	0.1320315	0.4628155	0.282703	0.403433	0.4628155	0.4051545	0.728476	0.20263975	0.16374625	0.1794495	0.142021	0.149166	0.13417225	0.504068	0.287443	0.40823825	0.504068	0.41040975	0.7440115	0.210584	0.202864	0.243715	0.147428	0.164165	0.142123	0.543837	0.298858	0.432565	0.543837	0.428969	0.79198	0.19873578	0.15565198	0.15623414	0.13850335	0.14352598	0.13200852	0.47251752	0.28274301	0.40212313	0.47251752	0.40459459	0.72617548
90	0.181687	0.11314	0.102076	0.126761	0.124427	0.122208	0.426658	0.258457	0.370478	0.426658	0.388645	0.674738	0.19159325	0.13833475	0.125752	0.13230725	0.13556525	0.12888625	0.44980425	0.2731995	0.3897885	0.44980425	0.40012775	0.7123065	0.1941165	0.148096	0.1511175	0.134775	0.140781	0.1310515	0.4761755	0.2770285	0.3978045	0.4761755	0.4074515	0.727332	0.1976365	0.1601075	0.17920225	0.1377915	0.14464675	0.13370425	0.5054645	0.2814955	0.40535575	0.5054645	0.4125915	0.74392675	0.208985	0.1812	0.253297	0.143919	0.163645	0.139211	0.548519	0.295084	0.419956	0.548519	0.427805	0.798624	0.19469557	0.14865115	0.1554543	0.13517076	0.14105079	0.13123402	0.4782656	0.27692826	0.39794118	0.4782656	0.40654105	0.72903816
100	0.181739	0.104845	0.102924	0.123384	0.126895	0.122672	0.415044	0.258389	0.373633	0.415044	0.393176	0.680397	0.1880865	0.1367895	0.13047825	0.1303655	0.13443975	0.12893775	0.44716575	0.2688995	0.38927925	0.44716575	0.40356975	0.7163655	0.1903945	0.1456945	0.156695	0.1328415	0.1390505	0.131028	0.4884045	0.2725725	0.396971	0.4884045	0.408498	0.7291455	0.1948595	0.1483505	0.1796	0.134775	0.144676	0.13381775	0.510458	0.27655525	0.4013215	0.510458	0.41175475	0.74770725	0.207043	0.179927	0.263485	0.140151	0.158787	0.139528	0.543369	0.289274	0.418386	0.543369	0.424086	0.786117	0.19152703	0.14350146	0.16024267	0.13274406	0.14002461	0.13126864	0.47950466	0.27273171	0.39552096	0.47950466	0.40804075	0.73223108
