States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	601	580	580	547	547	548	607	605	498	468	600	435	639	598	598	583	583	606.25	665	646.5	589.5	525.75	642.75	474	654	1120	1120	605	603.5	688.5	683	662.5	646.5	556	659.5	490.5	669	1139	1139	655.5	655	746	693.25	687	695.25	583.25	683	509	715	1680	1680	770	770	1000	771	888	930	650	767	578	654.52	958.2	958.2	620.18	619.46	696.59	682.53	671.36	652.09	554.9	664.44	491.42
20	1437	2465	2465	1338	1338	1668	1537	1455	1501	1171	1434	1074	1472.5	2541	2541	1649.25	1649.25	1929.75	1636.75	1537	1788.75	1267.75	1521	1137.25	1483	3704	3704	1746.5	1749.5	2057	1673	1612	1883.5	1317.5	1580.5	1167.5	1501	3762	3762	1831.25	1832	2216	1700.5	1690	2007.25	1370	1620.25	1206.25	1555	4905	4905	2249	2249	2524	1817	1893	2455	1531	1860	1314	1486.48	3312.71	3312.71	1744.18	1744.93	2076.65	1674.09	1618.66	1902.56	1319.53	1582.2	1170.67
30	2277	3905	3905	2783	2783	3224	2592	2380	2833	1922	2341	1743	2313	5844	5844	3066.25	3065.5	3551	2705.75	2524.25	3195.25	2055.75	2465.75	1852.75	2331	5902	5902	3191.5	3201	3735	2749	2601	3348	2129	2546	1913	2349	6076	6076	3336	3336	3948.5	2792.25	2728	3488	2197.5	2618.75	1962.25	2493	7979	7979	3798	3798	4380	3078	3179	3917	2507	3066	2196	2331.5	6175.96	6175.96	3211.47	3211.87	3760.32	2751.48	2634.26	3353.93	2133.16	2559.13	1911.92
40	3107	7868	7868	4318	4318	5008	3643	3370	4372	2704	3269	2344	3161	8100	8100	4750.75	4750.75	5540	3840	3591.75	4816.5	2901.75	3484.25	2602.25	3188	10429	10429	4894.5	4908.5	5674	3888.5	3747.5	4997	2969	3575.5	2644	3215	10819	10819	5069.75	5066	5888.5	3944.5	3871.75	5130.5	3062.5	3660.25	2698.5	3305	13676	13676	5706	5706	6464	4110	4163	5577	3320	4077	2872	3186.56	9555.9	9555.9	4912.5	4909.19	5703.64	3894.9	3735.02	4982.77	2978.38	3576.43	2650.7
50	3955	10182	10182	5942	5942	7040	4815	4338	5934	3568	4372	3140	4045	10573.5	10573.5	6627.5	6627.5	7542.5	5032.25	4771.5	6520.25	3770.75	4550	3320.5	4081	13737	13737	6811	6812	7758	5084	4903.5	6713	3853.5	4676	3381.5	4117	14049	14049	7026	7013.25	7971	5155	5114.25	6922.25	3970.5	4817.75	3496.5	4261	20735	20735	7490	7490	8994	5345	5480	7397	4190	5307	3723	4081.74	13176.59	13176.59	6830.66	6821.38	7792.5	5095.69	4940.48	6708.58	3863.36	4694.74	3399.11
60	4875	12612	12612	8304	8214	9042	6017	5331	7649	4431	5415	3880	4929	16811	16811	8662	8662	9633.5	6250.75	5973	8192.25	4697	5695.75	4100.5	4983	16967	16967	8835	8823.5	9958	6331.5	6168.5	8478.5	4791	5786.5	4181.5	5019	17201	17201	9068.5	9068.75	10294	6420.25	6355	8754.25	4911	5937	4281	5181	21736	21736	10041	9751	11346	6655	6876	9264	5177	6262	4519	4982.28	16868.84	16868.84	8878.08	8872.31	9982.14	6332.05	6165.15	8488.09	4796.7	5805.96	4193.22
70	5723	15158	15158	10270	10156	11664	7265	6791	9629	5300	6502	4580	5849	20119	20119	10824.25	10803.25	12053.5	7497	7209.75	10147	5589.5	6782	4847	5921	20431	20431	11049	11044	12441	7604.5	7401.5	10399	5706	6934.5	4972	5961.5	20743	20762.5	11307	11250	12689	7702.25	7704.5	10653	5796.5	7078.25	5050.75	6387	26060	26060	11800	11800	13976	7913	8255	11630	6180	7635	5473	5925.67	21133.99	21184.2	11056.63	11044.74	12454.68	7604.51	7461.97	10427.41	5705.54	6953.55	4959.46
80	6661	17588	17588	12352	12352	13490	8483	7909	11295	6151	7559	5393	6787	23427	23427	13183	13073.5	14609.5	8812.75	8588.75	12135	6585	7958.5	5689.25	6841	23661	23661	13484.5	13452.5	14991	8887.5	8815	12415.5	6704	8104	5789.5	6895	29208	29208	13742.5	13740.25	15214	8984	9016.5	12688.5	6832.75	8345	5868	7748	35225	35225	14488	14389	16410	9255	9715	13724	7251	8986	6178	6876.13	25544.43	25544.43	13463.78	13426.71	14946.7	8897.32	8817.73	12430.69	6711.08	8145.57	5784.5
90	7617	26189	26189	14514	14514	16260	9851	9487	13290	7171	8714	6167	7725	26657	26657	15513.25	15399	17144	10101.25	9932.75	14200.75	7531	9181.75	6489.25	7770	27164	27164	15811.5	15740	17536	10222.5	10159	14452	7680	9344.5	6606	7869	33336	33336	16149.75	16083.25	17897.5	10309.5	10429.75	14691.25	7807.75	9486.25	6739.25	8849	39583	39583	17136	17136	18818	10568	11290	15333	8072	10068	7031	7844	29760.19	29824.8	15806.1	15745.06	17514.3	10209.65	10188.45	14417.79	7686.64	9355.08	6598.69
100	8537	29419	29419	17111	17035	18774	11195	10597	15240	8175	10055	7009	8730.5	30277	30277	18087	17981	19931	11489.5	11406.5	16238.75	8554.75	10362.75	7365.25	9000	37023	37023	18434	18347.5	20291	11572.5	11624	16566	8683	10524	7493.5	9251.75	37758	37758	18841.75	18753	20721	11652.75	11932.25	16857.75	8828.5	10675	7608.5	9613	45475	45475	19772	19701	21710	12033	12716	17576	9190	11203	7898	8996.37	34255.75	34255.75	18435.84	18372.23	20263.6	11568.87	11650.59	16530.77	8687.39	10537.06	7484.27
